"BirdieorBetterPercentageFairway_RANKTHISWEEK_2007","BirdieorBetterPercentageFairway_RANKLASTWEEK_2007","BirdieorBetterPercentageFairway_PLAYERNAME_2007","BirdieorBetterPercentageFairway_ROUNDS_2007","BirdieorBetterPercentageFairway_Pct_2007","BirdieorBetterPercentageFairway_TOTALBIRDIES_2007","BirdieorBetterPercentageFairway_TOTALHOLES_2007","stat_name","year"
1,1,"Tiger Woods",63,27.69,157,567,"BirdieorBetterPercentageFairway",2007
2,2,"Adam Scott",69,26.43,189,715,"BirdieorBetterPercentageFairway",2007
3,3,"Phil Mickelson",73,24.92,162,650,"BirdieorBetterPercentageFairway",2007
4,4,"Rory Sabbatini",81,24.69,197,798,"BirdieorBetterPercentageFairway",2007
5,5,"Jonathan Byrd",73,24.57,201,818,"BirdieorBetterPercentageFairway",2007
6,6,"Freddie Jacobson",70,24.34,222,912,"BirdieorBetterPercentageFairway",2007
7,7,"Mark Calcavecchia",93,24.29,238,980,"BirdieorBetterPercentageFairway",2007
8,8,"Lucas Glover",98,24.25,259,1068,"BirdieorBetterPercentageFairway",2007
9,9,"Aaron Baddeley",83,24.12,206,854,"BirdieorBetterPercentageFairway",2007
10,10,"Brendon de Jonge",76,24.09,205,851,"BirdieorBetterPercentageFairway",2007
11,11,"Carl Pettersson",111,24.03,286,1190,"BirdieorBetterPercentageFairway",2007
12,12,"Sergio Garcia",68,24.02,165,687,"BirdieorBetterPercentageFairway",2007
13,13,"Steve Stricker",81,23.98,217,905,"BirdieorBetterPercentageFairway",2007
14,14,"KJ Choi",87,23.87,216,905,"BirdieorBetterPercentageFairway",2007
15,15,"Camilo Villegas",82,23.8,214,899,"BirdieorBetterPercentageFairway",2007
16,16,"Vijay Singh",102,23.75,248,1044,"BirdieorBetterPercentageFairway",2007
17,17,"Tim Clark",66,23.52,179,761,"BirdieorBetterPercentageFairway",2007
17,17,"Charles Warren",101,23.52,298,1267,"BirdieorBetterPercentageFairway",2007
19,19,"Ernie Els",59,23.49,132,562,"BirdieorBetterPercentageFairway",2007
19,19,"Sean OHair",98,23.49,264,1124,"BirdieorBetterPercentageFairway",2007
21,21,"Justin Rose",63,23.42,126,538,"BirdieorBetterPercentageFairway",2007
22,22,"Joe Ogilvie",102,23.12,265,1146,"BirdieorBetterPercentageFairway",2007
23,23,"Jesper Parnevik",88,23.08,228,988,"BirdieorBetterPercentageFairway",2007
24,24,"Chris Riley",59,23.06,169,733,"BirdieorBetterPercentageFairway",2007
25,25,"Stewart Cink",91,22.94,217,946,"BirdieorBetterPercentageFairway",2007
26,26,"Kevin Na",84,22.93,233,1016,"BirdieorBetterPercentageFairway",2007
27,27,"Michael Allen",74,22.72,199,876,"BirdieorBetterPercentageFairway",2007
28,28,"Luke Donald",69,22.68,164,723,"BirdieorBetterPercentageFairway",2007
29,29,"Ryuji Imada",104,22.63,260,1149,"BirdieorBetterPercentageFairway",2007
