"ProximitytoHolefrom30yards_RANKTHISWEEK_2009","ProximitytoHolefrom30yards_RANKLASTWEEK_2009","ProximitytoHolefrom30yards_PLAYERNAME_2009","ProximitytoHolefrom30yards_ROUNDS_2009","ProximitytoHolefrom30yards_AVGDTP_2009","ProximitytoHolefrom30yards_TOTALDISTANCEFEET_2009","ProximitytoHolefrom30yards_OFSHOTS_2009","ProximitytoHolefrom30yards_SCRAMBLINGRANK_2009","stat_name","year"
1,1,"Parker McLachlin",71,NA,713.5,78,98,"ProximitytoHolefrom30yards",2009
2,2,"Rod Pampling",72,NA,392.25,42,74,"ProximitytoHolefrom30yards",2009
2,2,"Steve Stricker",81,NA,410.417,44,2,"ProximitytoHolefrom30yards",2009
4,4,"Brad Adamonis",70,NA,520,55,36,"ProximitytoHolefrom30yards",2009
5,5,"Spencer Levin",75,NA,622.25,64,15,"ProximitytoHolefrom30yards",2009
6,6,"Tim Clark",81,NA,235.833,24,19,"ProximitytoHolefrom30yards",2009
6,6,"Brandt Snedeker",81,NA,480.833,49,25,"ProximitytoHolefrom30yards",2009
8,8,"Stuart Appleby",79,NA,590.417,58,160,"ProximitytoHolefrom30yards",2009
8,8,"KJ Choi",65,NA,487.583,48,141,"ProximitytoHolefrom30yards",2009
8,8,"Freddie Jacobson",83,NA,672.5,66,51,"ProximitytoHolefrom30yards",2009
11,11,"Robert Allenby",71,NA,368.917,36,56,"ProximitytoHolefrom30yards",2009
11,11,"David Duval",56,NA,409.75,40,183,"ProximitytoHolefrom30yards",2009
13,13,"Tiger Woods",64,NA,473.583,46,1,"ProximitytoHolefrom30yards",2009
14,14,"Brian Davis",103,NA,878.25,84,95,"ProximitytoHolefrom30yards",2009
15,15,"Chris DiMarco",97,NA,619.667,59,15,"ProximitytoHolefrom30yards",2009
15,15,"Phil Mickelson",66,NA,430.25,41,109,"ProximitytoHolefrom30yards",2009
15,15,"Kevin Na",91,NA,596.833,57,6,"ProximitytoHolefrom30yards",2009
15,15,"Sean OHair",80,NA,418.75,40,113,"ProximitytoHolefrom30yards",2009
15,15,"Tom Pernice Jr",82,NA,765.5,73,12,"ProximitytoHolefrom30yards",2009
15,15,"Brendon Todd",53,NA,566.5,54,180,"ProximitytoHolefrom30yards",2009
15,15,"Jimmy Walker",74,NA,515.917,49,27,"ProximitytoHolefrom30yards",2009
22,22,"Ben Crane",93,NA,486.25,46,32,"ProximitytoHolefrom30yards",2009
22,22,"Bob Estes",78,NA,530.25,50,28,"ProximitytoHolefrom30yards",2009
22,22,"Lucas Glover",93,NA,495.833,47,97,"ProximitytoHolefrom30yards",2009
22,22,"Adam Scott",53,NA,380.167,36,171,"ProximitytoHolefrom30yards",2009
22,22,"Webb Simpson",94,NA,741.417,70,17,"ProximitytoHolefrom30yards",2009
22,22,"Kevin Stadler",65,NA,359.25,34,33,"ProximitytoHolefrom30yards",2009
28,28,"Charley Hoffman",97,NA,702.167,66,79,"ProximitytoHolefrom30yards",2009
29,29,"Charles Howell III",99,NA,857.75,80,118,"ProximitytoHolefrom30yards",2009
29,29,"Ryan Moore",89,NA,787.667,73,46,"ProximitytoHolefrom30yards",2009
29,29,"Mark Wilson",99,NA,645.583,60,21,"ProximitytoHolefrom30yards",2009
32,32,"Jason Gore",74,NA,627.917,58,127,"ProximitytoHolefrom30yards",2009
32,32,"Davis Love III",89,NA,594.083,55,109,"ProximitytoHolefrom30yards",2009
32,32,"Rocco Mediate",79,NA,684.75,63,145,"ProximitytoHolefrom30yards",2009
32,32,"Bryce Molder",69,NA,368.083,34,37,"ProximitytoHolefrom30yards",2009
36,36,"Alex Cejka",82,NA,632.583,58,108,"ProximitytoHolefrom30yards",2009
36,36,"Stewart Cink",79,NA,446.833,41,113,"ProximitytoHolefrom30yards",2009
36,36,"Brett Quigley",92,NA,635.167,58,76,"ProximitytoHolefrom30yards",2009
39,39,"Jarrod Lyle",65,NA,460.333,42,65,"ProximitytoHolefrom30yards",2009
39,39,"Nick OHern",90,NA,704.167,64,70,"ProximitytoHolefrom30yards",2009
39,39,"Patrick Sheehan",51,NA,275.333,25,23,"ProximitytoHolefrom30yards",2009
42,42,"DA Points",99,NA,807.333,73,111,"ProximitytoHolefrom30yards",2009
43,43,"Matt Bettencourt",98,NA,1051.25,94,125,"ProximitytoHolefrom30yards",2009
43,43,"Matt Kuchar",82,NA,546.917,49,3,"ProximitytoHolefrom30yards",2009
43,43,"Leif Olson",51,NA,323.25,29,173,"ProximitytoHolefrom30yards",2009
43,43,"Camilo Villegas",76,NA,526.583,47,129,"ProximitytoHolefrom30yards",2009
43,43,"Mike Weir",85,NA,604.5,54,14,"ProximitytoHolefrom30yards",2009
48,48,"Jeff Overton",92,NA,799.75,71,95,"ProximitytoHolefrom30yards",2009
48,48,"Corey Pavin",73,NA,462.5,41,80,"ProximitytoHolefrom30yards",2009
48,48,"Ian Poulter",59,NA,325.167,29,4,"ProximitytoHolefrom30yards",2009
51,51,"Will Ma Kenzie",69,NA,488.5,43,164,"ProximitytoHolefrom30yards",2009
51,51,"Jeff Maggert",79,NA,690.583,61,68,"ProximitytoHolefrom30yards",2009
51,51,"Vaughn Taylor",88,NA,713.333,63,156,"ProximitytoHolefrom30yards",2009
54,54,"Padraig Harrington",66,NA,434.917,38,11,"ProximitytoHolefrom30yards",2009
54,54,"Ryuji Imada",85,NA,892.917,78,54,"ProximitytoHolefrom30yards",2009
54,54,"Justin Leonard",95,NA,706.25,62,63,"ProximitytoHolefrom30yards",2009
54,54,"Justin Rose",71,NA,512.417,45,87,"ProximitytoHolefrom30yards",2009
58,58,"Joe Ogilvie",85,NA,725.833,63,41,"ProximitytoHolefrom30yards",2009
58,58,"Peter Tomasulo",61,NA,424.25,37,172,"ProximitytoHolefrom30yards",2009
58,58,"Charles Warren",63,NA,573.25,50,121,"ProximitytoHolefrom30yards",2009
61,61,"Jason Bohn",88,NA,612.5,53,163,"ProximitytoHolefrom30yards",2009
61,61,"Greg Chalmers",85,NA,824.75,71,55,"ProximitytoHolefrom30yards",2009
61,61,"Todd Hamilton",83,NA,589.417,51,105,"ProximitytoHolefrom30yards",2009
61,61,"Geoff Ogilvy",78,NA,615.667,53,62,"ProximitytoHolefrom30yards",2009
61,61,"Charlie Wi",92,NA,798.5,69,83,"ProximitytoHolefrom30yards",2009
61,61,"Jay Williamson",69,NA,440.75,38,86,"ProximitytoHolefrom30yards",2009
67,67,"Jason Dufner",90,NA,654,56,52,"ProximitytoHolefrom30yards",2009
67,67,"Brad Faxon",59,NA,629,54,120,"ProximitytoHolefrom30yards",2009
69,69,"John Senden",100,NA,833.333,71,128,"ProximitytoHolefrom30yards",2009
69,69,"Scott Verplank",88,NA,777.25,66,75,"ProximitytoHolefrom30yards",2009
69,69,"Johnson Wagner",81,NA,774.75,66,115,"ProximitytoHolefrom30yards",2009
72,72,"Kris Blanks",60,NA,390.083,33,131,"ProximitytoHolefrom30yards",2009
72,72,"Mark Brooks",55,NA,412.917,35,10,"ProximitytoHolefrom30yards",2009
72,72,"Chad Campbell",90,NA,579.833,49,67,"ProximitytoHolefrom30yards",2009
72,72,"Darron Stiles",52,NA,342.25,29,133,"ProximitytoHolefrom30yards",2009
76,76,"Zach Johnson",94,NA,619.333,52,31,"ProximitytoHolefrom30yards",2009
76,76,"George McNeill",82,NA,704.75,59,29,"ProximitytoHolefrom30yards",2009
76,76,"Rory Sabbatini",81,NA,797.167,67,129,"ProximitytoHolefrom30yards",2009
79,79,"Stephen Ames",77,NA,588.333,49,142,"ProximitytoHolefrom30yards",2009
79,79,"Briny Baird",89,NA,624.583,52,126,"ProximitytoHolefrom30yards",2009
79,79,"Daniel Chopra",89,NA,770.167,64,152,"ProximitytoHolefrom30yards",2009
79,79,"Ken Duke",87,NA,719.667,60,53,"ProximitytoHolefrom30yards",2009
79,79,"Billy Mayfair",83,NA,540,45,169,"ProximitytoHolefrom30yards",2009
79,79,"Ted Purdy",101,NA,647.25,54,151,"ProximitytoHolefrom30yards",2009
85,85,"Pat Perez",74,NA,590.25,49,78,"ProximitytoHolefrom30yards",2009
85,85,"Carl Pettersson",86,NA,734.917,61,164,"ProximitytoHolefrom30yards",2009
85,85,"Kevin Streelman",97,NA,783.333,65,167,"ProximitytoHolefrom30yards",2009
