"GIRPuttingAvg35_RANKTHISWEEK_2013","GIRPuttingAvg35_RANKLASTWEEK_2013","GIRPuttingAvg35_PLAYERNAME_2013","GIRPuttingAvg35_ROUNDS_2013","GIRPuttingAvg35_PctMADE_2013","GIRPuttingAvg35_ATTEMPTS_2013","GIRPuttingAvg35_PUTTSMADE_2013","stat_name","year"
1,1,"Peter Hanson",45,0.79,63,5,"GIRPuttingAvg35",2013
2,2,"Stephen Ames",49,0.78,90,7,"GIRPuttingAvg35",2013
3,3,"Colt Knost",69,0.64,125,8,"GIRPuttingAvg35",2013
3,3,"Aaron Watkins",46,0.64,78,5,"GIRPuttingAvg35",2013
5,5,"DH Lee",65,0.63,144,9,"GIRPuttingAvg35",2013
6,6,"Jason Bohn",70,0.62,129,8,"GIRPuttingAvg35",2013
6,6,"Jason Day",86,0.62,146,9,"GIRPuttingAvg35",2013
6,6,"John Merrick",79,0.62,161,10,"GIRPuttingAvg35",2013
9,9,"Carl Pettersson",82,0.61,132,8,"GIRPuttingAvg35",2013
10,10,"Luke Guthrie",82,0.6,133,8,"GIRPuttingAvg35",2013
10,10,"Jason Kokrak",78,0.6,150,9,"GIRPuttingAvg35",2013
12,12,"Sean OHair",56,0.59,102,6,"GIRPuttingAvg35",2013
13,13,"Rickie Fowler",75,0.58,104,6,"GIRPuttingAvg35",2013
13,13,"Richard Lee",81,0.58,173,10,"GIRPuttingAvg35",2013
13,13,"DA Points",87,0.58,138,8,"GIRPuttingAvg35",2013
13,13,"Brandt Snedeker",79,0.58,104,6,"GIRPuttingAvg35",2013
13,13,"Brian Stuard",78,0.58,138,8,"GIRPuttingAvg35",2013
18,18,"Bill Haas",85,0.57,157,9,"GIRPuttingAvg35",2013
19,19,"Brian Gay",79,0.55,110,6,"GIRPuttingAvg35",2013
19,19,"Padraig Harrington",52,0.55,55,3,"GIRPuttingAvg35",2013
19,19,"Morgan Hoffmann",64,0.55,110,6,"GIRPuttingAvg35",2013
19,19,"Matt Kuchar",93,0.55,127,7,"GIRPuttingAvg35",2013
19,19,"Scott Piercy",78,0.55,110,6,"GIRPuttingAvg35",2013
24,24,"Chad Campbell",78,0.54,149,8,"GIRPuttingAvg35",2013
24,24,"Brian Davis",91,0.54,147,8,"GIRPuttingAvg35",2013
26,26,"James Hahn",78,0.53,113,6,"GIRPuttingAvg35",2013
26,26,"Marc Leishman",77,0.53,133,7,"GIRPuttingAvg35",2013
26,26,"George McNeill",68,0.53,131,7,"GIRPuttingAvg35",2013
29,29,"Jin Park",52,0.52,97,5,"GIRPuttingAvg35",2013
30,30,"Ken Duke",87,0.5,121,6,"GIRPuttingAvg35",2013
30,30,"Brad Fritsch",81,0.5,120,6,"GIRPuttingAvg35",2013
30,30,"JJ Henry",83,0.5,181,9,"GIRPuttingAvg35",2013
30,30,"Cameron Percy",68,0.5,121,6,"GIRPuttingAvg35",2013
34,34,"Freddie Jacobson",63,0.49,81,4,"GIRPuttingAvg35",2013
34,34,"Charlie Wi",75,0.49,123,6,"GIRPuttingAvg35",2013
