"BirdieorBetterPercentageRightRough_RANKTHISWEEK_2015","BirdieorBetterPercentageRightRough_RANKLASTWEEK_2015","BirdieorBetterPercentageRightRough_PLAYERNAME_2015","BirdieorBetterPercentageRightRough_ROUNDS_2015","BirdieorBetterPercentageRightRough_Pct_2015","BirdieorBetterPercentageRightRough_TOTALBIRDIES_2015","BirdieorBetterPercentageRightRough_TOTALHOLES_2015","stat_name","year"
1,1,"Bubba Watson",71,24.17,29,120,"BirdieorBetterPercentageRightRough",2015
2,2,"Stewart Cink",77,22.94,25,109,"BirdieorBetterPercentageRightRough",2015
3,3,"Jason Kokrak",88,22.15,35,158,"BirdieorBetterPercentageRightRough",2015
4,4,"Brendan Steele",88,22.06,30,136,"BirdieorBetterPercentageRightRough",2015
5,5,"Keegan Bradley",87,21.88,21,96,"BirdieorBetterPercentageRightRough",2015
6,6,"DA Points",72,21.19,25,118,"BirdieorBetterPercentageRightRough",2015
7,7,"Tony Finau",106,20.26,47,232,"BirdieorBetterPercentageRightRough",2015
8,8,"Dustin Johnson",75,20,24,120,"BirdieorBetterPercentageRightRough",2015
9,9,"Paul Casey",87,19.81,21,106,"BirdieorBetterPercentageRightRough",2015
10,10,"Brian Harman",90,19.7,26,132,"BirdieorBetterPercentageRightRough",2015
11,11,"Rory Sabbatini",81,19.51,24,123,"BirdieorBetterPercentageRightRough",2015
12,12,"Jordan Spieth",91,19.49,23,118,"BirdieorBetterPercentageRightRough",2015
13,13,"Brooks Koepka",84,19.38,25,129,"BirdieorBetterPercentageRightRough",2015
14,14,"Pat Perez",96,18.66,25,134,"BirdieorBetterPercentageRightRough",2015
15,15,"Boo Weekley",79,18.58,21,113,"BirdieorBetterPercentageRightRough",2015
16,16,"Webb Simpson",81,18.56,18,97,"BirdieorBetterPercentageRightRough",2015
16,16,"Justin Thomas",106,18.56,31,167,"BirdieorBetterPercentageRightRough",2015
18,18,"Shawn Stefani",94,18.49,27,146,"BirdieorBetterPercentageRightRough",2015
19,19,"John Merrick",78,18.48,17,92,"BirdieorBetterPercentageRightRough",2015
20,20,"Sergio Garcia",59,18.31,13,71,"BirdieorBetterPercentageRightRough",2015
