"GreensinRegulationPercentage_RANKTHISWEEK_2011","GreensinRegulationPercentage_RANKLASTWEEK_2011","GreensinRegulationPercentage_PLAYERNAME_2011","GreensinRegulationPercentage_ROUNDS_2011","GreensinRegulationPercentage_Pct_2011","GreensinRegulationPercentage_GREENSHIT_2011","GreensinRegulationPercentage_HOLES_2011","GreensinRegulationPercentage_RELATIVEPAR_2011","stat_name","year"
1,1,"Boo Weekley",66,71.68,800,1116,-0.23,"GreensinRegulationPercentage",2011
2,2,"Heath Slocum",89,71.4,1131,1584,-0.23,"GreensinRegulationPercentage",2011
3,3,"Joe Durant",71,71.26,885,1242,-0.18,"GreensinRegulationPercentage",2011
4,4,"Chad Campbell",99,71.13,1242,1746,-0.22,"GreensinRegulationPercentage",2011
5,5,"John Senden",94,70.86,1199,1692,-0.26,"GreensinRegulationPercentage",2011
6,6,"David Toms",78,70.2,935,1332,-0.27,"GreensinRegulationPercentage",2011
7,7,"Ernie Els",71,69.89,868,1242,-0.22,"GreensinRegulationPercentage",2011
8,8,"Webb Simpson",98,69.84,1232,1764,-0.32,"GreensinRegulationPercentage",2011
9,9,"Bubba Watson",85,69.83,993,1422,-0.29,"GreensinRegulationPercentage",2011
10,10,"Justin Rose",79,69.48,963,1386,-0.26,"GreensinRegulationPercentage",2011
11,11,"Bill Haas",93,69.44,1150,1656,-0.27,"GreensinRegulationPercentage",2011
12,12,"Gary Woodland",93,69.41,1162,1674,-0.28,"GreensinRegulationPercentage",2011
13,13,"Bill Lunde",92,69.38,1099,1584,-0.25,"GreensinRegulationPercentage",2011
14,14,"Brandt Jobe",100,69.16,1195,1728,-0.26,"GreensinRegulationPercentage",2011
15,15,"Briny Baird",60,69.14,672,972,-0.24,"GreensinRegulationPercentage",2011
16,16,"John Rollins",85,69.08,1032,1494,-0.26,"GreensinRegulationPercentage",2011
17,17,"DJ Trahan",91,68.99,1130,1638,-0.23,"GreensinRegulationPercentage",2011
18,18,"JJ Henry",96,68.96,1142,1656,-0.24,"GreensinRegulationPercentage",2011
19,19,"Charles Howell III",108,68.91,1290,1872,-0.25,"GreensinRegulationPercentage",2011
20,20,"Kris Blanks",92,68.89,1116,1620,-0.24,"GreensinRegulationPercentage",2011
21,21,"David Hearn",88,68.82,991,1440,-0.23,"GreensinRegulationPercentage",2011
22,22,"Hunter Mahan",92,68.79,1102,1602,-0.29,"GreensinRegulationPercentage",2011
23,23,"Billy Mayfair",94,68.77,1114,1620,-0.24,"GreensinRegulationPercentage",2011
24,24,"John Merrick",71,68.69,779,1134,-0.25,"GreensinRegulationPercentage",2011
25,25,"William McGirt",103,68.63,1223,1782,-0.23,"GreensinRegulationPercentage",2011
26,26,"Chez Reavie",92,68.6,1136,1656,-0.26,"GreensinRegulationPercentage",2011
27,27,"Dustin Johnson",72,68.39,874,1278,-0.3,"GreensinRegulationPercentage",2011
28,28,"Davis Love III",70,68.25,860,1260,-0.25,"GreensinRegulationPercentage",2011
29,29,"Alexandre Rocha",65,68.23,700,1026,-0.19,"GreensinRegulationPercentage",2011
30,30,"Kyle Stanley",98,68.21,1105,1620,-0.28,"GreensinRegulationPercentage",2011
31,31,"Trevor Immelman",84,68.12,1030,1512,-0.24,"GreensinRegulationPercentage",2011
32,32,"Adam Scott",60,68.08,723,1062,-0.28,"GreensinRegulationPercentage",2011
33,33,"Kevin Stadler",88,68.06,980,1440,-0.26,"GreensinRegulationPercentage",2011
34,34,"Bo Van Pelt",92,68.02,1102,1620,-0.26,"GreensinRegulationPercentage",2011
35,35,"Spencer Levin",113,67.99,1334,1962,-0.26,"GreensinRegulationPercentage",2011
36,36,"Jim Herman",69,67.94,746,1098,-0.21,"GreensinRegulationPercentage",2011
37,37,"Michael Bradley",74,67.62,852,1260,-0.25,"GreensinRegulationPercentage",2011
38,38,"Jim Furyk",87,67.57,1046,1548,-0.24,"GreensinRegulationPercentage",2011
39,39,"Robert Allenby",84,67.54,1009,1494,-0.24,"GreensinRegulationPercentage",2011
40,40,"Brian Davis",105,67.35,1273,1890,-0.27,"GreensinRegulationPercentage",2011
41,41,"Luke Donald",73,67.33,812,1206,-0.33,"GreensinRegulationPercentage",2011
42,42,"Jason Bohn",74,67.3,848,1260,-0.26,"GreensinRegulationPercentage",2011
42,42,"Cameron Tringale",110,67.3,1284,1908,-0.25,"GreensinRegulationPercentage",2011
44,44,"Jhonattan Vegas",84,67.22,968,1440,-0.25,"GreensinRegulationPercentage",2011
45,45,"Johnson Wagner",81,67.17,931,1386,-0.22,"GreensinRegulationPercentage",2011
46,46,"Aron Price",58,67.09,628,936,-0.25,"GreensinRegulationPercentage",2011
47,47,"Billy Horschel",75,67.07,833,1242,-0.24,"GreensinRegulationPercentage",2011
48,48,"Tommy Gainey",104,67,1206,1800,-0.27,"GreensinRegulationPercentage",2011
48,48,"Chris Stroud",88,67,1013,1512,-0.25,"GreensinRegulationPercentage",2011
50,50,"Matt Kuchar",94,66.98,1061,1584,-0.3,"GreensinRegulationPercentage",2011
51,51,"Phil Mickelson",79,66.96,928,1386,-0.28,"GreensinRegulationPercentage",2011
52,52,"Jason Dufner",78,66.95,940,1404,-0.26,"GreensinRegulationPercentage",2011
53,53,"Josh Teater",104,66.89,1180,1764,-0.27,"GreensinRegulationPercentage",2011
54,54,"Woody Austin",59,66.88,638,954,-0.26,"GreensinRegulationPercentage",2011
54,54,"Nick Watney",80,66.88,927,1386,-0.32,"GreensinRegulationPercentage",2011
56,56,"Sergio Garcia",61,66.85,734,1098,-0.26,"GreensinRegulationPercentage",2011
57,57,"Charley Hoffman",93,66.79,1106,1656,-0.3,"GreensinRegulationPercentage",2011
58,58,"Chris Kirk",87,66.67,1044,1566,-0.29,"GreensinRegulationPercentage",2011
58,58,"Nick OHern",89,66.67,1020,1530,-0.24,"GreensinRegulationPercentage",2011
60,60,"Scott Stallings",84,66.6,935,1404,-0.26,"GreensinRegulationPercentage",2011
61,61,"Martin Laird",77,66.59,911,1368,-0.3,"GreensinRegulationPercentage",2011
62,62,"Ricky Barnes",78,66.52,934,1404,-0.24,"GreensinRegulationPercentage",2011
63,63,"JB Holmes",57,66.46,634,954,-0.31,"GreensinRegulationPercentage",2011
