"AllAroundRanking_RANKTHISWEEK_2009","AllAroundRanking_RANKLASTWEEK_2009","AllAroundRanking_PLAYERNAME_2009","AllAroundRanking_EVENTS_2009","AllAroundRanking_TOTAL_2009","stat_name","year"
1,1,"Tiger Woods",17,158,"AllAroundRanking",2009
2,2,"Zach Johnson",26,316,"AllAroundRanking",2009
3,3,"Tim Clark",23,347,"AllAroundRanking",2009
4,4,"Hunter Mahan",25,356,"AllAroundRanking",2009
5,5,"Jonathan Byrd",25,373,"AllAroundRanking",2009
6,6,"Steve Stricker",22,374,"AllAroundRanking",2009
7,7,"Jason Day",18,400,"AllAroundRanking",2009
8,8,"Dustin Johnson",25,404,"AllAroundRanking",2009
9,9,"David Toms",27,415,"AllAroundRanking",2009
10,10,"Stephen Ames",23,420,"AllAroundRanking",2009
11,11,"John Senden",29,422,"AllAroundRanking",2009
12,12,"Justin Leonard",26,429,"AllAroundRanking",2009
13,13,"Bill Haas",29,431,"AllAroundRanking",2009
14,14,"Bo Van Pelt",30,443,"AllAroundRanking",2009
15,15,"Ben Crane",27,452,"AllAroundRanking",2009
16,16,"Chris Riley",22,456,"AllAroundRanking",2009
16,16,"Scott Verplank",24,456,"AllAroundRanking",2009
18,18,"Kenny Perry",24,461,"AllAroundRanking",2009
19,19,"Charley Hoffman",27,472,"AllAroundRanking",2009
20,20,"Lucas Glover",26,474,"AllAroundRanking",2009
20,20,"Matt Weibring",22,474,"AllAroundRanking",2009
22,22,"Sean OHair",23,484,"AllAroundRanking",2009
23,23,"Harrison Frazar",28,497,"AllAroundRanking",2009
24,24,"Nick Watney",24,498,"AllAroundRanking",2009
25,25,"Jim Furyk",23,500,"AllAroundRanking",2009
26,26,"Charlie Wi",28,506,"AllAroundRanking",2009
27,27,"Chad Campbell",26,509,"AllAroundRanking",2009
28,28,"Kevin Na",26,511,"AllAroundRanking",2009
29,29,"Bryce Molder",21,521,"AllAroundRanking",2009
30,30,"Mark Wilson",28,526,"AllAroundRanking",2009
31,31,"Steve Marino",29,532,"AllAroundRanking",2009
32,32,"Justin Rose",22,543,"AllAroundRanking",2009
33,33,"Phil Mickelson",18,544,"AllAroundRanking",2009
34,34,"Anthony Kim",22,550,"AllAroundRanking",2009
35,35,"Matt Kuchar",24,556,"AllAroundRanking",2009
36,36,"Chris Stroud",28,560,"AllAroundRanking",2009
37,37,"Jerry Kelly",26,561,"AllAroundRanking",2009
38,38,"George McNeill",26,564,"AllAroundRanking",2009
39,39,"Michael Letzig",28,565,"AllAroundRanking",2009
40,40,"Matt Jones",17,567,"AllAroundRanking",2009
41,41,"Robert Allenby",21,572,"AllAroundRanking",2009
41,41,"Camilo Villegas",21,572,"AllAroundRanking",2009
41,41,"YE Yang",23,572,"AllAroundRanking",2009
44,44,"Kevin Sutherland",27,581,"AllAroundRanking",2009
45,45,"Marc Leishman",28,590,"AllAroundRanking",2009
46,46,"Retief Goosen",20,593,"AllAroundRanking",2009
47,47,"Martin Laird",24,594,"AllAroundRanking",2009
48,48,"Vaughn Taylor",28,599,"AllAroundRanking",2009
49,49,"Geoff Ogilvy",20,601,"AllAroundRanking",2009
50,50,"Sergio Garcia",17,603,"AllAroundRanking",2009
51,51,"Nick OHern",27,604,"AllAroundRanking",2009
52,52,"Briny Baird",28,606,"AllAroundRanking",2009
53,53,"Ryan Moore",27,608,"AllAroundRanking",2009
54,54,"Tag Ridings",16,609,"AllAroundRanking",2009
55,55,"Fred Couples",16,615,"AllAroundRanking",2009
56,56,"DJ Trahan",30,617,"AllAroundRanking",2009
57,57,"Davis Love III",27,621,"AllAroundRanking",2009
58,58,"Robert Garrigus",25,625,"AllAroundRanking",2009
58,58,"Rory Sabbatini",25,625,"AllAroundRanking",2009
60,60,"Rod Pampling",23,626,"AllAroundRanking",2009
60,60,"Bubba Watson",24,626,"AllAroundRanking",2009
62,62,"Michael Allen",22,627,"AllAroundRanking",2009
63,63,"Greg Owen",30,628,"AllAroundRanking",2009
64,64,"Kevin Streelman",29,630,"AllAroundRanking",2009
65,65,"Mike Weir",24,632,"AllAroundRanking",2009
66,66,"Greg Chalmers",26,636,"AllAroundRanking",2009
67,67,"Jason Dufner",26,641,"AllAroundRanking",2009
67,67,"Nicholas Thompson",31,641,"AllAroundRanking",2009
69,69,"Daniel Chopra",28,651,"AllAroundRanking",2009
70,70,"Scott McCarron",27,652,"AllAroundRanking",2009
71,71,"Ernie Els",19,653,"AllAroundRanking",2009
72,72,"Brian Davis",32,654,"AllAroundRanking",2009
73,73,"Bill Lunde",27,655,"AllAroundRanking",2009
74,74,"Ted Purdy",30,659,"AllAroundRanking",2009
75,75,"Webb Simpson",30,662,"AllAroundRanking",2009
76,76,"JJ Henry",28,665,"AllAroundRanking",2009
77,77,"John Rollins",27,670,"AllAroundRanking",2009
78,78,"Kris Blanks",20,672,"AllAroundRanking",2009
79,79,"Charles Warren",20,673,"AllAroundRanking",2009
80,80,"Joe Ogilvie",29,680,"AllAroundRanking",2009
81,81,"Heath Slocum",30,683,"AllAroundRanking",2009
82,82,"Jason Bohn",25,689,"AllAroundRanking",2009
83,83,"Alex Cejka",25,695,"AllAroundRanking",2009
84,84,"Woody Austin",24,696,"AllAroundRanking",2009
85,85,"Luke Donald",21,697,"AllAroundRanking",2009
86,86,"Scott Piercy",28,702,"AllAroundRanking",2009
87,87,"Pat Perez",22,703,"AllAroundRanking",2009
88,88,"Steve Elkington",23,704,"AllAroundRanking",2009
89,89,"Bob Heintz",20,711,"AllAroundRanking",2009
90,90,"Bob Estes",23,714,"AllAroundRanking",2009
91,91,"Brian Gay",27,715,"AllAroundRanking",2009
92,92,"Troy Matteson",30,721,"AllAroundRanking",2009
93,93,"DA Points",29,722,"AllAroundRanking",2009
93,93,"Dean Wilson",29,722,"AllAroundRanking",2009
95,95,"Brandt Snedeker",26,723,"AllAroundRanking",2009
96,96,"Ryan Palmer",26,727,"AllAroundRanking",2009
97,97,"James Nitties",27,728,"AllAroundRanking",2009
98,98,"Rich Beem",26,730,"AllAroundRanking",2009
99,99,"John Merrick",28,737,"AllAroundRanking",2009
99,99,"Kevin Stadler",20,737,"AllAroundRanking",2009
101,101,"Charles Howell III",29,744,"AllAroundRanking",2009
102,102,"Tim Herron",27,749,"AllAroundRanking",2009
103,103,"Cameron Beckman",26,751,"AllAroundRanking",2009
103,103,"Boo Weekley",22,751,"AllAroundRanking",2009
105,105,"Tim Petrovic",31,753,"AllAroundRanking",2009
106,106,"John Mallinger",27,757,"AllAroundRanking",2009
107,107,"Corey Pavin",23,759,"AllAroundRanking",2009
108,108,"Jimmy Walker",24,760,"AllAroundRanking",2009
109,109,"Ian Poulter",17,765,"AllAroundRanking",2009
110,110,"Patrick Sheehan",15,773,"AllAroundRanking",2009
111,111,"Aaron Baddeley",23,778,"AllAroundRanking",2009
112,112,"Angel Cabrera",17,784,"AllAroundRanking",2009
113,113,"Joe Durant",20,792,"AllAroundRanking",2009
114,114,"Paul Goydos",25,793,"AllAroundRanking",2009
115,115,"Brendon de Jonge",29,800,"AllAroundRanking",2009
116,116,"Mathew Goggin",26,801,"AllAroundRanking",2009
117,117,"Stewart Cink",22,808,"AllAroundRanking",2009
118,118,"Jeff Klauk",29,809,"AllAroundRanking",2009
119,119,"Jeff Maggert",28,811,"AllAroundRanking",2009
120,120,"Brett Quigley",28,814,"AllAroundRanking",2009
121,121,"Andres Romero",20,816,"AllAroundRanking",2009
122,122,"Kirk Triplett",20,819,"AllAroundRanking",2009
123,123,"Chris DiMarco",29,822,"AllAroundRanking",2009
124,124,"Jeff Overton",28,828,"AllAroundRanking",2009
125,125,"Freddie Jacobson",25,834,"AllAroundRanking",2009
125,125,"Jay Williamson",22,834,"AllAroundRanking",2009
127,127,"Steve Flesch",27,840,"AllAroundRanking",2009
128,128,"Jeff Quinney",26,844,"AllAroundRanking",2009
129,129,"Padraig Harrington",20,845,"AllAroundRanking",2009
130,130,"Matt Bettencourt",31,850,"AllAroundRanking",2009
130,130,"Johnson Wagner",26,850,"AllAroundRanking",2009
132,132,"Tommy Armour III",19,851,"AllAroundRanking",2009
133,133,"Cliff Kresge",28,858,"AllAroundRanking",2009
134,134,"Tom Pernice Jr",26,859,"AllAroundRanking",2009
135,135,"Vijay Singh",21,862,"AllAroundRanking",2009
136,136,"Chez Reavie",27,863,"AllAroundRanking",2009
136,136,"Darron Stiles",20,863,"AllAroundRanking",2009
138,138,"Lee Janzen",23,873,"AllAroundRanking",2009
139,139,"Scott Sterling",16,888,"AllAroundRanking",2009
140,140,"Peter Tomasulo",25,903,"AllAroundRanking",2009
141,141,"Mark Calcavecchia",23,914,"AllAroundRanking",2009
141,141,"David Duval",22,914,"AllAroundRanking",2009
143,143,"Jason Gore",24,916,"AllAroundRanking",2009
144,144,"Colt Knost",24,917,"AllAroundRanking",2009
145,145,"Casey Wittenberg",25,918,"AllAroundRanking",2009
146,146,"Steve Lowery",27,921,"AllAroundRanking",2009
147,147,"Brad Adamonis",25,930,"AllAroundRanking",2009
147,147,"Rocco Mediate",22,930,"AllAroundRanking",2009
149,149,"Richard Johnson",26,934,"AllAroundRanking",2009
150,150,"KJ Choi",22,941,"AllAroundRanking",2009
151,151,"Spencer Levin",25,943,"AllAroundRanking",2009
152,152,"Aron Price",27,944,"AllAroundRanking",2009
153,153,"Ben Curtis",18,948,"AllAroundRanking",2009
154,154,"Ricky Barnes",23,952,"AllAroundRanking",2009
154,154,"Glen Day",26,952,"AllAroundRanking",2009
156,156,"Ryuji Imada",25,954,"AllAroundRanking",2009
157,157,"Carl Pettersson",29,958,"AllAroundRanking",2009
158,158,"David Mathis",27,965,"AllAroundRanking",2009
159,159,"Ken Duke",29,978,"AllAroundRanking",2009
160,160,"Will Ma Kenzie",24,985,"AllAroundRanking",2009
161,161,"Nathan Green",30,988,"AllAroundRanking",2009
162,162,"Tom Lehman",16,990,"AllAroundRanking",2009
163,163,"Jarrod Lyle",21,993,"AllAroundRanking",2009
164,164,"Derek Fathauer",25,995,"AllAroundRanking",2009
165,165,"Billy Mayfair",28,1003,"AllAroundRanking",2009
166,166,"Todd Hamilton",29,1013,"AllAroundRanking",2009
166,166,"Brian Vranesh",20,1013,"AllAroundRanking",2009
168,168,"Mark Brooks",17,1015,"AllAroundRanking",2009
169,169,"Leif Olson",21,1025,"AllAroundRanking",2009
169,169,"Gary Woodland",18,1025,"AllAroundRanking",2009
171,171,"Kent Jones",24,1026,"AllAroundRanking",2009
172,172,"Rick Price",21,1062,"AllAroundRanking",2009
173,173,"Adam Scott",19,1084,"AllAroundRanking",2009
174,174,"JB Holmes",25,1090,"AllAroundRanking",2009
175,175,"Bart Bryant",17,1092,"AllAroundRanking",2009
176,176,"Parker McLachlin",25,1094,"AllAroundRanking",2009
177,177,"Peter Lonard",30,1116,"AllAroundRanking",2009
178,178,"Stuart Appleby",25,1147,"AllAroundRanking",2009
179,179,"Brian Bateman",25,1190,"AllAroundRanking",2009
180,180,"Brad Faxon",23,1205,"AllAroundRanking",2009
181,181,"Eric Axley",30,1232,"AllAroundRanking",2009
182,182,"Marc Turnesa",30,1250,"AllAroundRanking",2009
183,183,"Brendon Todd",21,1285,"AllAroundRanking",2009
184,184,"Greg Kraft",21,1348,"AllAroundRanking",2009
