"CurrentParorBetterStreak_RANKTHISWEEK_2015","CurrentParorBetterStreak_RANKLASTWEEK_2015","CurrentParorBetterStreak_PLAYERNAME_2015","CurrentParorBetterStreak_EVENTS_2015","CurrentParorBetterStreak_NUMBEROFROUNDS_2015","stat_name","year"
1,1,"Austin Cook",7,12,"CurrentParorBetterStreak",2015
2,2,"Jim Furyk",524,11,"CurrentParorBetterStreak",2015
2,2,"Branden Grace",40,11,"CurrentParorBetterStreak",2015
4,4,"Thorbjorn Olesen",26,8,"CurrentParorBetterStreak",2015
5,5,"George Coetzee",24,7,"CurrentParorBetterStreak",2015
5,5,"Luke Guthrie",83,7,"CurrentParorBetterStreak",2015
5,5,"Doug LaBelle II",94,7,"CurrentParorBetterStreak",2015
5,5,"Louis Oosthuizen",94,7,"CurrentParorBetterStreak",2015
5,5,"Cameron Smith",13,7,"CurrentParorBetterStreak",2015
10,10,"Jonathan Byrd",342,5,"CurrentParorBetterStreak",2015
10,10,"Fabian Gomez",79,5,"CurrentParorBetterStreak",2015
10,10,"Wes Homan",4,5,"CurrentParorBetterStreak",2015
10,10,"Martin Piller",25,5,"CurrentParorBetterStreak",2015
10,10,"Angelo Que",3,5,"CurrentParorBetterStreak",2015
10,10,"Sam Saunders",49,5,"CurrentParorBetterStreak",2015
10,10,"Jordan Spieth",81,5,"CurrentParorBetterStreak",2015
10,10,"Garrett Willis",222,5,"CurrentParorBetterStreak",2015
18,18,"Byeong Hun An",14,4,"CurrentParorBetterStreak",2015
18,18,"Greg Chalmers",368,4,"CurrentParorBetterStreak",2015
18,18,"Ashley Chesters",2,4,"CurrentParorBetterStreak",2015
18,18,"Derek Ernst",74,4,"CurrentParorBetterStreak",2015
18,18,"Gonzalo Fdez Castano",82,4,"CurrentParorBetterStreak",2015
18,18,"Oscar Fraustro",23,4,"CurrentParorBetterStreak",2015
18,18,"Lucas Glover",308,4,"CurrentParorBetterStreak",2015
18,18,"Billy Horschel",127,4,"CurrentParorBetterStreak",2015
18,18,"Martin Kaymer",88,4,"CurrentParorBetterStreak",2015
18,18,"Anirban Lahiri",15,4,"CurrentParorBetterStreak",2015
18,18,"Justin Leonard",551,4,"CurrentParorBetterStreak",2015
18,18,"Troy Matteson",261,4,"CurrentParorBetterStreak",2015
18,18,"Prom Meesawat",3,4,"CurrentParorBetterStreak",2015
18,18,"Robby Shelton",2,4,"CurrentParorBetterStreak",2015
18,18,"Michael Smith",2,4,"CurrentParorBetterStreak",2015
18,18,"Brendan Steele",123,4,"CurrentParorBetterStreak",2015
18,18,"Steve Stricker",429,4,"CurrentParorBetterStreak",2015
18,18,"Vaughn Taylor",281,4,"CurrentParorBetterStreak",2015
18,18,"Justin Thomas",41,4,"CurrentParorBetterStreak",2015
18,18,"Anthony Wall",12,4,"CurrentParorBetterStreak",2015
18,18,"Nick Watney",289,4,"CurrentParorBetterStreak",2015
18,18,"Cory Whitsett",3,4,"CurrentParorBetterStreak",2015
18,18,"Tiger Woods",312,4,"CurrentParorBetterStreak",2015
41,41,"Wu Ashun",4,3,"CurrentParorBetterStreak",2015
41,41,"Matt Bettencourt",151,3,"CurrentParorBetterStreak",2015
41,41,"Victor Dubuisson",19,3,"CurrentParorBetterStreak",2015
41,41,"Marcus Fraser",14,3,"CurrentParorBetterStreak",2015
41,41,"James Hahn",80,3,"CurrentParorBetterStreak",2015
