"ConsecutiveCuts_RANKTHISWEEK_2009","ConsecutiveCuts_RANKLASTWEEK_2009","ConsecutiveCuts_PLAYERNAME_2009","ConsecutiveCuts__2009","ConsecutiveCuts_TOTAL_2009","ConsecutiveCuts_STARTTOURNAMENTID_2009","stat_name","year"
1,1,"Kenny Perry",NA,28,2008380,"ConsecutiveCuts",2009
2,2,"Jim Furyk",NA,15,2009190,"ConsecutiveCuts",2009
2,2,"Graeme McDowell",NA,15,2008140,"ConsecutiveCuts",2009
4,4,"Retief Goosen",NA,12,2009190,"ConsecutiveCuts",2009
5,5,"Phil Mickelson",NA,11,2009160,"ConsecutiveCuts",2009
5,5,"YE Yang",NA,11,2009240,"ConsecutiveCuts",2009
7,7,"Zach Johnson",NA,10,2009270,"ConsecutiveCuts",2009
7,7,"Justin Leonard",NA,10,2009270,"ConsecutiveCuts",2009
7,7,"Chris Riley",NA,10,2009290,"ConsecutiveCuts",2009
10,10,"Ben Crane",NA,9,2009330,"ConsecutiveCuts",2009
10,10,"Kevin Na",NA,9,2009300,"ConsecutiveCuts",2009
10,10,"Michael Sim",NA,9,2008080,"ConsecutiveCuts",2009
10,10,"David Toms",NA,9,2009350,"ConsecutiveCuts",2009
14,14,"Todd Demsey",NA,8,2008370,"ConsecutiveCuts",2009
14,14,"Luke Donald",NA,8,2009310,"ConsecutiveCuts",2009
14,14,"Troy Matteson",NA,8,2009330,"ConsecutiveCuts",2009
14,14,"Boo Weekley",NA,8,2009270,"ConsecutiveCuts",2009
14,14,"Lee Westwood",NA,8,2009090,"ConsecutiveCuts",2009
19,19,"Bob Estes",NA,7,2009290,"ConsecutiveCuts",2009
19,19,"Padraig Harrington",NA,7,2009310,"ConsecutiveCuts",2009
19,19,"JJ Henry",NA,7,2009340,"ConsecutiveCuts",2009
19,19,"Charles Howell III",NA,7,2009370,"ConsecutiveCuts",2009
19,19,"Dustin Johnson",NA,7,2009350,"ConsecutiveCuts",2009
19,19,"Hunter Mahan",NA,7,2009350,"ConsecutiveCuts",2009
19,19,"Corey Pavin",NA,7,2009300,"ConsecutiveCuts",2009
19,19,"Brandt Snedeker",NA,7,2009370,"ConsecutiveCuts",2009
