"AverageGoingforitShotDistanceinYards_RANKTHISWEEK_2014","AverageGoingforitShotDistanceinYards_RANKLASTWEEK_2014","AverageGoingforitShotDistanceinYards_PLAYERNAME_2014","AverageGoingforitShotDistanceinYards_EVENTS_2014","AverageGoingforitShotDistanceinYards_AVG_2014","AverageGoingforitShotDistanceinYards_DISTANCEININCHES_2014","AverageGoingforitShotDistanceinYards_ATTEMPTS_2014","stat_name","year"
1,1,"Dustin Johnson",17,241.4,921054,106,"AverageGoingforitShotDistanceinYards",2014
2,2,"Paul Casey",16,244.5,633656,72,"AverageGoingforitShotDistanceinYards",2014
3,3,"Brad Fritsch",18,245.1,591247,67,"AverageGoingforitShotDistanceinYards",2014
4,4,"Charlie Beljan",26,246.9,1102014,124,"AverageGoingforitShotDistanceinYards",2014
5,5,"Hudson Swafford",26,247.1,916373,103,"AverageGoingforitShotDistanceinYards",2014
6,6,"Stewart Cink",25,247.3,1050353,118,"AverageGoingforitShotDistanceinYards",2014
7,7,"Lucas Glover",26,247.5,882044,99,"AverageGoingforitShotDistanceinYards",2014
8,8,"Jason Dufner",17,248,669522,75,"AverageGoingforitShotDistanceinYards",2014
9,9,"Robert Allenby",29,248.3,893948,100,"AverageGoingforitShotDistanceinYards",2014
10,10,"Tommy Gainey",26,248.4,938826,105,"AverageGoingforitShotDistanceinYards",2014
11,11,"Ryo Ishikawa",24,248.5,1055762,118,"AverageGoingforitShotDistanceinYards",2014
11,11,"Davis Love III",22,248.5,921316,103,"AverageGoingforitShotDistanceinYards",2014
13,13,"Briny Baird",17,248.8,609180,68,"AverageGoingforitShotDistanceinYards",2014
14,14,"Ben Martin",26,248.9,940938,105,"AverageGoingforitShotDistanceinYards",2014
15,15,"Jason Kokrak",19,249.1,1291107,144,"AverageGoingforitShotDistanceinYards",2014
16,16,"Chad Campbell",18,249.2,565213,63,"AverageGoingforitShotDistanceinYards",2014
17,17,"Tyrone Van Aswegen",25,249.3,789685,88,"AverageGoingforitShotDistanceinYards",2014
18,18,"Bo Van Pelt",25,249.6,925674,103,"AverageGoingforitShotDistanceinYards",2014
19,19,"Jim Herman",21,249.8,809248,90,"AverageGoingforitShotDistanceinYards",2014
20,20,"Trevor Immelman",28,249.9,971669,108,"AverageGoingforitShotDistanceinYards",2014
21,21,"Aaron Baddeley",24,250.1,1008411,112,"AverageGoingforitShotDistanceinYards",2014
21,21,"Nick Watney",25,250.1,909482,101,"AverageGoingforitShotDistanceinYards",2014
23,23,"Martin Laird",20,250.2,1098971,122,"AverageGoingforitShotDistanceinYards",2014
23,23,"Michael Thompson",22,250.2,891733,99,"AverageGoingforitShotDistanceinYards",2014
25,25,"Jhonattan Vegas",23,250.3,1270641,141,"AverageGoingforitShotDistanceinYards",2014
26,26,"Woody Austin",22,250.4,739269,82,"AverageGoingforitShotDistanceinYards",2014
26,26,"Ian Poulter",17,250.4,622098,69,"AverageGoingforitShotDistanceinYards",2014
28,28,"Martin Flores",26,250.6,1073426,119,"AverageGoingforitShotDistanceinYards",2014
