"EaglesHolesper_RANKTHISWEEK_2010","EaglesHolesper_RANKLASTWEEK_2010","EaglesHolesper_PLAYERNAME_2010","EaglesHolesper_ROUNDS_2010","EaglesHolesper_FREQUENCY_2010","EaglesHolesper_OFHOLES_2010","EaglesHolesper_OFEAGLES_2010","stat_name","year"
1,1,"Dustin Johnson",83,92.3,1476,16,"EaglesHolesper",2010
2,2,"Matt Bettencourt",91,96.4,1638,17,"EaglesHolesper",2010
3,3,"Bubba Watson",77,106.6,1386,13,"EaglesHolesper",2010
4,4,"Adam Scott",70,111.3,1224,11,"EaglesHolesper",2010
5,5,"Phil Mickelson",76,114,1368,12,"EaglesHolesper",2010
6,6,"Martin Laird",91,117,1638,14,"EaglesHolesper",2010
7,7,"Davis Love III",79,118.5,1422,12,"EaglesHolesper",2010
8,8,"John Daly",63,126,1134,9,"EaglesHolesper",2010
9,9,"Charles Warren",64,128,1152,9,"EaglesHolesper",2010
10,10,"JB Holmes",100,128.6,1800,14,"EaglesHolesper",2010
11,11,"Aaron Baddeley",94,130.2,1692,13,"EaglesHolesper",2010
12,12,"Andres Romero",73,131.4,1314,10,"EaglesHolesper",2010
13,13,"Scott Piercy",88,132,1584,12,"EaglesHolesper",2010
14,14,"Kenny Perry",69,136,1224,9,"EaglesHolesper",2010
15,15,"Rocco Mediate",71,142,1278,9,"EaglesHolesper",2010
16,16,"Robert Allenby",76,148,1332,9,"EaglesHolesper",2010
17,17,"Paul Casey",64,149.1,1044,7,"EaglesHolesper",2010
18,18,"DJ Trahan",92,150.5,1656,11,"EaglesHolesper",2010
19,19,"Michael Letzig",84,151.2,1512,10,"EaglesHolesper",2010
19,19,"Hunter Mahan",85,151.2,1512,10,"EaglesHolesper",2010
21,21,"Charley Hoffman",85,153,1530,10,"EaglesHolesper",2010
22,22,"Kevin Stadler",86,154.8,1548,10,"EaglesHolesper",2010
22,22,"Kevin Sutherland",86,154.8,1548,10,"EaglesHolesper",2010
24,24,"Billy Mayfair",78,156,1404,9,"EaglesHolesper",2010
24,24,"Rory McIlroy",54,156,936,6,"EaglesHolesper",2010
26,26,"Bill Lunde",79,158,1422,9,"EaglesHolesper",2010
27,27,"Alex Prugh",88,158.4,1584,10,"EaglesHolesper",2010
27,27,"Nick Watney",91,158.4,1584,10,"EaglesHolesper",2010
29,29,"Garth Mulroy",53,159,954,6,"EaglesHolesper",2010
30,30,"Matt Jones",89,160.2,1602,10,"EaglesHolesper",2010
31,31,"Rickie Fowler",98,160.4,1764,11,"EaglesHolesper",2010
32,32,"Richard Johnson",90,162,1620,10,"EaglesHolesper",2010
32,32,"Derek Lamely",81,162,1458,9,"EaglesHolesper",2010
34,34,"Sean OHair",84,164,1476,9,"EaglesHolesper",2010
35,35,"Vijay Singh",75,166.5,1332,8,"EaglesHolesper",2010
36,36,"Chris Couch",66,169.7,1188,7,"EaglesHolesper",2010
37,37,"Mike Weir",59,171,1026,6,"EaglesHolesper",2010
38,38,"Rod Pampling",77,173.3,1386,8,"EaglesHolesper",2010
39,39,"Jason Dufner",87,174,1566,9,"EaglesHolesper",2010
39,39,"Bill Haas",87,174,1566,9,"EaglesHolesper",2010
41,41,"Steve Flesch",78,175.5,1404,8,"EaglesHolesper",2010
42,42,"George McNeill",79,177.8,1422,8,"EaglesHolesper",2010
43,43,"Jeff Overton",89,178,1602,9,"EaglesHolesper",2010
44,44,"Rich Barcelo",70,180,1260,7,"EaglesHolesper",2010
44,44,"Stewart Cink",84,180,1440,8,"EaglesHolesper",2010
44,44,"Scott McCarron",90,180,1620,9,"EaglesHolesper",2010
47,47,"Josh Teater",101,181.8,1818,10,"EaglesHolesper",2010
48,48,"John Rollins",81,182.3,1458,8,"EaglesHolesper",2010
49,49,"Ben Crane",85,184.5,1476,8,"EaglesHolesper",2010
50,50,"Ricky Barnes",103,185.4,1854,10,"EaglesHolesper",2010
51,51,"Woody Austin",93,186,1674,9,"EaglesHolesper",2010
52,52,"Brendon de Jonge",114,186.5,2052,11,"EaglesHolesper",2010
53,53,"Matt Kuchar",97,190,1710,9,"EaglesHolesper",2010
54,54,"Lucas Glover",75,190.3,1332,7,"EaglesHolesper",2010
55,55,"Tom Gillis",97,194,1746,9,"EaglesHolesper",2010
56,56,"Joe Ogilvie",99,198,1782,9,"EaglesHolesper",2010
56,56,"Carl Pettersson",99,198,1782,9,"EaglesHolesper",2010
56,56,"Cameron Tringale",55,198,990,5,"EaglesHolesper",2010
56,56,"Boo Weekley",88,198,1584,8,"EaglesHolesper",2010
60,60,"Michael Connell",89,200.3,1602,8,"EaglesHolesper",2010
61,61,"James Driscoll",78,200.6,1404,7,"EaglesHolesper",2010
62,62,"Joe Durant",67,201,1206,6,"EaglesHolesper",2010
63,63,"Padraig Harrington",57,201.6,1008,5,"EaglesHolesper",2010
64,64,"Charles Howell III",103,206,1854,9,"EaglesHolesper",2010
65,65,"James Nitties",92,207,1656,8,"EaglesHolesper",2010
66,66,"Alex Cejka",81,208.3,1458,7,"EaglesHolesper",2010
67,67,"Camilo Villegas",78,216,1296,6,"EaglesHolesper",2010
68,68,"Mathew Goggin",85,218.6,1530,7,"EaglesHolesper",2010
69,69,"Webb Simpson",98,220.5,1764,8,"EaglesHolesper",2010
70,70,"Troy Merritt",86,221.1,1548,7,"EaglesHolesper",2010
71,71,"Chad Collins",87,223.7,1566,7,"EaglesHolesper",2010
72,72,"Mark Calcavecchia",50,225,900,4,"EaglesHolesper",2010
72,72,"Cliff Kresge",50,225,900,4,"EaglesHolesper",2010
74,74,"Brandt Snedeker",89,228.9,1602,7,"EaglesHolesper",2010
75,75,"Lee Janzen",77,231,1386,6,"EaglesHolesper",2010
76,76,"JJ Henry",92,236.6,1656,7,"EaglesHolesper",2010
77,77,"JP Hayes",79,237,1422,6,"EaglesHolesper",2010
77,77,"Ryan Moore",80,237,1422,6,"EaglesHolesper",2010
79,79,"Steve Marino",81,243,1458,6,"EaglesHolesper",2010
80,80,"KJ Choi",82,246,1476,6,"EaglesHolesper",2010
81,81,"Trevor Immelman",55,247.5,990,4,"EaglesHolesper",2010
82,82,"Blake Adams",84,252,1512,6,"EaglesHolesper",2010
82,82,"Jason Bohn",84,252,1512,6,"EaglesHolesper",2010
82,82,"Troy Matteson",84,252,1512,6,"EaglesHolesper",2010
82,82,"Ryan Palmer",84,252,1512,6,"EaglesHolesper",2010
82,82,"Aron Price",70,252,1260,5,"EaglesHolesper",2010
82,82,"Jeev Milkha Singh",59,252,1008,4,"EaglesHolesper",2010
88,88,"Jerry Kelly",99,254.6,1782,7,"EaglesHolesper",2010
89,89,"Jonathan Byrd",85,255,1530,6,"EaglesHolesper",2010
89,89,"Johnson Wagner",85,255,1530,6,"EaglesHolesper",2010
91,91,"Robert Garrigus",71,255.6,1278,5,"EaglesHolesper",2010
92,92,"Will Ma Kenzie",72,259.2,1296,5,"EaglesHolesper",2010
92,92,"Steve Stricker",73,259.2,1296,5,"EaglesHolesper",2010
94,94,"Stuart Appleby",101,259.7,1818,7,"EaglesHolesper",2010
95,95,"Vaughn Taylor",87,261,1566,6,"EaglesHolesper",2010
95,95,"Vance Veazey",58,261,1044,4,"EaglesHolesper",2010
97,97,"Chris Riley",73,262.8,1314,5,"EaglesHolesper",2010
98,98,"Nicholas Thompson",88,264,1584,6,"EaglesHolesper",2010
99,99,"Daniel Chopra",74,266.4,1332,5,"EaglesHolesper",2010
99,99,"Steve Elkington",74,266.4,1332,5,"EaglesHolesper",2010
99,99,"Tom Pernice Jr",74,266.4,1332,5,"EaglesHolesper",2010
102,102,"Martin Flores",75,270,1350,5,"EaglesHolesper",2010
102,102,"DA Points",90,270,1620,6,"EaglesHolesper",2010
102,102,"Kevin Streelman",90,270,1620,6,"EaglesHolesper",2010
105,105,"Jeff Maggert",76,273.6,1368,5,"EaglesHolesper",2010
105,105,"Jay Williamson",76,273.6,1368,5,"EaglesHolesper",2010
107,107,"Greg Chalmers",93,279,1674,6,"EaglesHolesper",2010
107,107,"Kevin Johnson",62,279,1116,4,"EaglesHolesper",2010
109,109,"John Mallinger",78,280.8,1404,5,"EaglesHolesper",2010
109,109,"Rory Sabbatini",79,280.8,1404,5,"EaglesHolesper",2010
111,111,"Angel Cabrera",64,283.5,1134,4,"EaglesHolesper",2010
112,112,"Brett Quigley",96,288,1728,6,"EaglesHolesper",2010
113,113,"Jason Day",82,295.2,1476,5,"EaglesHolesper",2010
113,113,"Jimmy Walker",82,295.2,1476,5,"EaglesHolesper",2010
113,113,"Garrett Willis",82,295.2,1476,5,"EaglesHolesper",2010
116,116,"Steve Lowery",67,301.5,1206,4,"EaglesHolesper",2010
117,117,"Brian Davis",101,303,1818,6,"EaglesHolesper",2010
118,118,"Tim Clark",88,306,1530,5,"EaglesHolesper",2010
119,119,"Nathan Green",86,309.6,1548,5,"EaglesHolesper",2010
120,120,"David Lutterus",69,310.5,1242,4,"EaglesHolesper",2010
121,121,"Bo Van Pelt",104,312,1872,6,"EaglesHolesper",2010
122,122,"Briny Baird",87,313.2,1566,5,"EaglesHolesper",2010
123,123,"YE Yang",72,315,1260,4,"EaglesHolesper",2010
124,124,"Graham DeLaet",88,316.8,1584,5,"EaglesHolesper",2010
124,124,"Chris DiMarco",88,316.8,1584,5,"EaglesHolesper",2010
124,124,"Justin Leonard",89,316.8,1584,5,"EaglesHolesper",2010
127,127,"Retief Goosen",75,319.5,1278,4,"EaglesHolesper",2010
128,128,"Henrik Bjornstad",72,324,1296,4,"EaglesHolesper",2010
128,128,"Jarrod Lyle",54,324,972,3,"EaglesHolesper",2010
128,128,"Roland Thatcher",72,324,1296,4,"EaglesHolesper",2010
128,128,"Brett Wetterich",54,324,972,3,"EaglesHolesper",2010
132,132,"John Merrick",109,327,1962,6,"EaglesHolesper",2010
133,133,"Scott Verplank",74,328.5,1314,4,"EaglesHolesper",2010
134,134,"Stephen Ames",75,333,1332,4,"EaglesHolesper",2010
134,134,"Steve Wheatcroft",74,333,1332,4,"EaglesHolesper",2010
136,136,"Kevin Na",94,334.8,1674,5,"EaglesHolesper",2010
137,137,"Chad Campbell",95,338.4,1692,5,"EaglesHolesper",2010
138,138,"Jeff Gove",57,342,1026,3,"EaglesHolesper",2010
138,138,"Charlie Wi",95,342,1710,5,"EaglesHolesper",2010
140,140,"Roger Tambellini",77,346.5,1386,4,"EaglesHolesper",2010
140,140,"Chris Tidland",77,346.5,1386,4,"EaglesHolesper",2010
142,142,"Skip Kendall",58,348,1044,3,"EaglesHolesper",2010
143,143,"Paul Goydos",78,351,1404,4,"EaglesHolesper",2010
144,144,"Tim Herron",79,355.5,1422,4,"EaglesHolesper",2010
145,145,"Matt Every",60,360,1080,3,"EaglesHolesper",2010
146,146,"Brian Stuard",81,364.5,1458,4,"EaglesHolesper",2010
147,147,"John Senden",103,370.8,1854,5,"EaglesHolesper",2010
148,148,"Bryce Molder",84,378,1512,4,"EaglesHolesper",2010
149,149,"David Toms",86,382.5,1530,4,"EaglesHolesper",2010
150,150,"Chris Wilson",65,390,1170,3,"EaglesHolesper",2010
151,151,"Marc Leishman",87,391.5,1566,4,"EaglesHolesper",2010
151,151,"Mark Wilson",87,391.5,1566,4,"EaglesHolesper",2010
153,153,"Brenden Pappas",66,396,1188,3,"EaglesHolesper",2010
154,154,"Ryuji Imada",90,405,1620,4,"EaglesHolesper",2010
154,154,"Pat Perez",90,405,1620,4,"EaglesHolesper",2010
156,156,"Jeff Quinney",91,409.5,1638,4,"EaglesHolesper",2010
157,157,"Greg Owen",69,414,1242,3,"EaglesHolesper",2010
158,158,"Ernie Els",72,420,1260,3,"EaglesHolesper",2010
159,159,"David Duval",71,426,1278,3,"EaglesHolesper",2010
160,160,"Heath Slocum",97,436.5,1746,4,"EaglesHolesper",2010
161,161,"Cameron Percy",73,438,1314,3,"EaglesHolesper",2010
162,162,"Brian Gay",101,441,1764,4,"EaglesHolesper",2010
162,162,"Ian Poulter",55,441,882,2,"EaglesHolesper",2010
164,164,"Jim Furyk",76,444,1332,3,"EaglesHolesper",2010
165,165,"Sergio Garcia",58,468,936,2,"EaglesHolesper",2010
165,165,"Andrew McLardy",52,468,936,2,"EaglesHolesper",2010
167,167,"Bob Estes",79,474,1422,3,"EaglesHolesper",2010
168,168,"Jerod Turner",54,486,972,2,"EaglesHolesper",2010
169,169,"Justin Bolli",55,495,990,2,"EaglesHolesper",2010
170,170,"Freddie Jacobson",83,498,1494,3,"EaglesHolesper",2010
171,171,"Ted Purdy",86,516,1548,3,"EaglesHolesper",2010
172,172,"Brad Faxon",58,522,1044,2,"EaglesHolesper",2010
173,173,"Mathias Gronberg",61,549,1098,2,"EaglesHolesper",2010
174,174,"Paul Stankowski",62,558,1116,2,"EaglesHolesper",2010
175,175,"Michael Sim",64,567,1134,2,"EaglesHolesper",2010
176,176,"Cameron Beckman",68,612,1224,2,"EaglesHolesper",2010
177,177,"Shaun Micheel",70,630,1260,2,"EaglesHolesper",2010
177,177,"Tim Petrovic",105,630,1890,3,"EaglesHolesper",2010
179,179,"Michael Bradley",77,693,1386,2,"EaglesHolesper",2010
180,180,"Ben Curtis",78,702,1404,2,"EaglesHolesper",2010
180,180,"Justin Rose",78,702,1404,2,"EaglesHolesper",2010
182,182,"Chris Stroud",90,810,1620,2,"EaglesHolesper",2010
183,183,"Kris Blanks",91,819,1638,2,"EaglesHolesper",2010
183,183,"Zach Johnson",93,819,1638,2,"EaglesHolesper",2010
185,185,"Greg Kraft",52,936,936,1,"EaglesHolesper",2010
186,186,"Dean Wilson",54,972,972,1,"EaglesHolesper",2010
187,187,"Spencer Levin",110,990,1980,2,"EaglesHolesper",2010
188,188,"Brent Delahoussaye",57,1026,1026,1,"EaglesHolesper",2010
189,189,"Geoff Ogilvy",62,1080,1080,1,"EaglesHolesper",2010
190,190,"Luke Donald",71,1224,1224,1,"EaglesHolesper",2010
191,191,"Omar Uresti",74,1332,1332,1,"EaglesHolesper",2010
