"YTDSubParRoundsStreak_RANKTHISWEEK_2011","YTDSubParRoundsStreak_RANKLASTWEEK_2011","YTDSubParRoundsStreak_PLAYERNAME_2011","YTDSubParRoundsStreak__2011","YTDSubParRoundsStreak_VALUE_2011","stat_name","year"
1,1,"Luke Donald",NA,17,"YTDSubParRoundsStreak",2011
2,2,"Chez Reavie",NA,16,"YTDSubParRoundsStreak",2011
3,3,"Matt Kuchar",NA,14,"YTDSubParRoundsStreak",2011
4,4,"Briny Baird",NA,12,"YTDSubParRoundsStreak",2011
4,4,"Bill Haas",NA,12,"YTDSubParRoundsStreak",2011
4,4,"Brandt Snedeker",NA,12,"YTDSubParRoundsStreak",2011
4,4,"Jhonattan Vegas",NA,12,"YTDSubParRoundsStreak",2011
8,8,"Charles Howell III",NA,11,"YTDSubParRoundsStreak",2011
8,8,"Jerry Kelly",NA,11,"YTDSubParRoundsStreak",2011
8,8,"DA Points",NA,11,"YTDSubParRoundsStreak",2011
11,11,"Brian Gay",NA,10,"YTDSubParRoundsStreak",2011
11,11,"Chris Kirk",NA,10,"YTDSubParRoundsStreak",2011
13,13,"Blake Adams",NA,9,"YTDSubParRoundsStreak",2011
13,13,"Aaron Baddeley",NA,9,"YTDSubParRoundsStreak",2011
13,13,"Bud Cauley",NA,9,"YTDSubParRoundsStreak",2011
13,13,"David Duval",NA,9,"YTDSubParRoundsStreak",2011
13,13,"Jim Furyk",NA,9,"YTDSubParRoundsStreak",2011
13,13,"Trevor Immelman",NA,9,"YTDSubParRoundsStreak",2011
13,13,"Kevin Na",NA,9,"YTDSubParRoundsStreak",2011
13,13,"Scott Piercy",NA,9,"YTDSubParRoundsStreak",2011
13,13,"Vijay Singh",NA,9,"YTDSubParRoundsStreak",2011
13,13,"Heath Slocum",NA,9,"YTDSubParRoundsStreak",2011
23,23,"Cameron Beckman",NA,8,"YTDSubParRoundsStreak",2011
23,23,"Matt Bettencourt",NA,8,"YTDSubParRoundsStreak",2011
23,23,"Jason Bohn",NA,8,"YTDSubParRoundsStreak",2011
23,23,"KJ Choi",NA,8,"YTDSubParRoundsStreak",2011
23,23,"Andres Gonzales",NA,8,"YTDSubParRoundsStreak",2011
23,23,"Padraig Harrington",NA,8,"YTDSubParRoundsStreak",2011
23,23,"Marc Leishman",NA,8,"YTDSubParRoundsStreak",2011
23,23,"Justin Leonard",NA,8,"YTDSubParRoundsStreak",2011
23,23,"Frank Lickliter II",NA,8,"YTDSubParRoundsStreak",2011
23,23,"Steve Marino",NA,8,"YTDSubParRoundsStreak",2011
23,23,"Matt McQuillan",NA,8,"YTDSubParRoundsStreak",2011
23,23,"Nick OHern",NA,8,"YTDSubParRoundsStreak",2011
23,23,"Jeff Overton",NA,8,"YTDSubParRoundsStreak",2011
23,23,"Tim Petrovic",NA,8,"YTDSubParRoundsStreak",2011
23,23,"Carl Pettersson",NA,8,"YTDSubParRoundsStreak",2011
23,23,"Aron Price",NA,8,"YTDSubParRoundsStreak",2011
23,23,"Webb Simpson",NA,8,"YTDSubParRoundsStreak",2011
23,23,"Steve Stricker",NA,8,"YTDSubParRoundsStreak",2011
23,23,"Kevin Sutherland",NA,8,"YTDSubParRoundsStreak",2011
23,23,"Roland Thatcher",NA,8,"YTDSubParRoundsStreak",2011
23,23,"David Toms",NA,8,"YTDSubParRoundsStreak",2011
23,23,"Bubba Watson",NA,8,"YTDSubParRoundsStreak",2011
23,23,"Brett Wetterich",NA,8,"YTDSubParRoundsStreak",2011
46,46,"Arjun Atwal",NA,7,"YTDSubParRoundsStreak",2011
46,46,"Steven Bowditch",NA,7,"YTDSubParRoundsStreak",2011
46,46,"Keegan Bradley",NA,7,"YTDSubParRoundsStreak",2011
46,46,"Jonathan Byrd",NA,7,"YTDSubParRoundsStreak",2011
46,46,"Michael Connell",NA,7,"YTDSubParRoundsStreak",2011
46,46,"Chris Couch",NA,7,"YTDSubParRoundsStreak",2011
46,46,"Ben Crane",NA,7,"YTDSubParRoundsStreak",2011
46,46,"Brian Davis",NA,7,"YTDSubParRoundsStreak",2011
46,46,"Jason Day",NA,7,"YTDSubParRoundsStreak",2011
46,46,"Jason Dufner",NA,7,"YTDSubParRoundsStreak",2011
46,46,"Tommy Gainey",NA,7,"YTDSubParRoundsStreak",2011
46,46,"Billy Horschel",NA,7,"YTDSubParRoundsStreak",2011
46,46,"Zach Johnson",NA,7,"YTDSubParRoundsStreak",2011
46,46,"Matt Jones",NA,7,"YTDSubParRoundsStreak",2011
46,46,"Sung Kang",NA,7,"YTDSubParRoundsStreak",2011
46,46,"Martin Laird",NA,7,"YTDSubParRoundsStreak",2011
46,46,"Tom Lehman",NA,7,"YTDSubParRoundsStreak",2011
46,46,"Spencer Levin",NA,7,"YTDSubParRoundsStreak",2011
46,46,"Bill Lunde",NA,7,"YTDSubParRoundsStreak",2011
46,46,"Jarrod Lyle",NA,7,"YTDSubParRoundsStreak",2011
46,46,"David Mathis",NA,7,"YTDSubParRoundsStreak",2011
46,46,"William McGirt",NA,7,"YTDSubParRoundsStreak",2011
46,46,"Bryce Molder",NA,7,"YTDSubParRoundsStreak",2011
46,46,"Francesco Molinari",NA,7,"YTDSubParRoundsStreak",2011
