"FirstTeeEarlyLowestRound_RANKTHISWEEK_2008","FirstTeeEarlyLowestRound_RANKLASTWEEK_2008","FirstTeeEarlyLowestRound_PLAYERNAME_2008","FirstTeeEarlyLowestRound_ROUNDS_2008","FirstTeeEarlyLowestRound_LOWRND_2008","stat_name","year"
1,1,"Steve Elkington",84,61,"FirstTeeEarlyLowestRound",2008
1,1,"Carl Pettersson",110,61,"FirstTeeEarlyLowestRound",2008
3,3,"Chad Campbell",94,62,"FirstTeeEarlyLowestRound",2008
3,3,"Tim Herron",97,62,"FirstTeeEarlyLowestRound",2008
3,3,"Hunter Mahan",87,62,"FirstTeeEarlyLowestRound",2008
3,3,"Jim McGovern",75,62,"FirstTeeEarlyLowestRound",2008
3,3,"Parker McLachlin",88,62,"FirstTeeEarlyLowestRound",2008
3,3,"Kevin Streelman",114,62,"FirstTeeEarlyLowestRound",2008
3,3,"DJ Trahan",94,62,"FirstTeeEarlyLowestRound",2008
3,3,"Boo Weekley",86,62,"FirstTeeEarlyLowestRound",2008
3,3,"Tim Wilkinson",95,62,"FirstTeeEarlyLowestRound",2008
3,3,"Jay Williamson",96,62,"FirstTeeEarlyLowestRound",2008
13,13,"Michael Allen",91,63,"FirstTeeEarlyLowestRound",2008
13,13,"Rich Beem",90,63,"FirstTeeEarlyLowestRound",2008
13,13,"Ben Crane",86,63,"FirstTeeEarlyLowestRound",2008
13,13,"Brad Elder",67,63,"FirstTeeEarlyLowestRound",2008
13,13,"Charley Hoffman",94,63,"FirstTeeEarlyLowestRound",2008
13,13,"Matt Kuchar",88,63,"FirstTeeEarlyLowestRound",2008
13,13,"Martin Laird",98,63,"FirstTeeEarlyLowestRound",2008
13,13,"Michael Letzig",88,63,"FirstTeeEarlyLowestRound",2008
13,13,"Scott McCarron",63,63,"FirstTeeEarlyLowestRound",2008
13,13,"George McNeill",97,63,"FirstTeeEarlyLowestRound",2008
13,13,"Sean OHair",81,63,"FirstTeeEarlyLowestRound",2008
13,13,"Pat Perez",93,63,"FirstTeeEarlyLowestRound",2008
13,13,"Tom Pernice Jr",104,63,"FirstTeeEarlyLowestRound",2008
13,13,"Vijay Singh",82,63,"FirstTeeEarlyLowestRound",2008
13,13,"Bob Sowards",61,63,"FirstTeeEarlyLowestRound",2008
13,13,"Steve Stricker",75,63,"FirstTeeEarlyLowestRound",2008
13,13,"Esteban Toledo",12,63,"FirstTeeEarlyLowestRound",2008
13,13,"Johnson Wagner",83,63,"FirstTeeEarlyLowestRound",2008
13,13,"Mike Weir",88,63,"FirstTeeEarlyLowestRound",2008
13,13,"Dean Wilson",109,63,"FirstTeeEarlyLowestRound",2008
33,33,"Steve Allan",58,64,"FirstTeeEarlyLowestRound",2008
33,33,"Jason Allred",63,64,"FirstTeeEarlyLowestRound",2008
33,33,"Eric Axley",113,64,"FirstTeeEarlyLowestRound",2008
33,33,"Briny Baird",113,64,"FirstTeeEarlyLowestRound",2008
33,33,"Cameron Beckman",87,64,"FirstTeeEarlyLowestRound",2008
33,33,"Shane Bertsch",96,64,"FirstTeeEarlyLowestRound",2008
33,33,"KJ Choi",74,64,"FirstTeeEarlyLowestRound",2008
33,33,"Tim Clark",90,64,"FirstTeeEarlyLowestRound",2008
