"Par5ScoringAverage_RANKTHISWEEK_2015","Par5ScoringAverage_RANKLASTWEEK_2015","Par5ScoringAverage_PLAYERNAME_2015","Par5ScoringAverage_ROUNDS_2015","Par5ScoringAverage_AVG_2015","Par5ScoringAverage_TOTALSTROKES_2015","Par5ScoringAverage_TOTALHOLES_2015","stat_name","year"
1,1,"Bubba Watson",71,4.47,929,208,"Par5ScoringAverage",2015
2,2,"Justin Thomas",106,4.49,1507,336,"Par5ScoringAverage",2015
3,3,"Dustin Johnson",75,4.5,1009,224,"Par5ScoringAverage",2015
4,4,"Matt Kuchar",97,4.54,1353,298,"Par5ScoringAverage",2015
4,4,"Justin Rose",69,4.54,954,210,"Par5ScoringAverage",2015
4,4,"Webb Simpson",81,4.54,1054,232,"Par5ScoringAverage",2015
7,7,"Jason Day",75,4.55,1055,232,"Par5ScoringAverage",2015
7,7,"Brooks Koepka",84,4.55,1101,242,"Par5ScoringAverage",2015
9,9,"Carlos Ortiz",100,4.56,1419,311,"Par5ScoringAverage",2015
9,9,"Jimmy Walker",89,4.56,1195,262,"Par5ScoringAverage",2015
11,11,"Aaron Baddeley",76,4.57,1041,228,"Par5ScoringAverage",2015
11,11,"Jamie Donaldson",50,4.57,695,152,"Par5ScoringAverage",2015
13,13,"Daniel Berger",97,4.58,1398,305,"Par5ScoringAverage",2015
13,13,"Keegan Bradley",87,4.58,1236,270,"Par5ScoringAverage",2015
13,13,"Paul Casey",87,4.58,1057,231,"Par5ScoringAverage",2015
13,13,"Graham DeLaet",65,4.58,916,200,"Par5ScoringAverage",2015
13,13,"Phil Mickelson",70,4.58,1027,224,"Par5ScoringAverage",2015
13,13,"Adam Scott",51,4.58,678,148,"Par5ScoringAverage",2015
19,19,"Rickie Fowler",76,4.59,1065,232,"Par5ScoringAverage",2015
19,19,"JB Holmes",89,4.59,1268,276,"Par5ScoringAverage",2015
19,19,"Matt Jones",89,4.59,1312,286,"Par5ScoringAverage",2015
19,19,"Jason Kokrak",88,4.59,1257,274,"Par5ScoringAverage",2015
19,19,"Jordan Spieth",91,4.59,1277,278,"Par5ScoringAverage",2015
24,24,"Angel Cabrera",53,4.6,764,166,"Par5ScoringAverage",2015
24,24,"Charles Howell III",105,4.6,1564,340,"Par5ScoringAverage",2015
24,24,"Hideki Matsuyama",95,4.6,1352,294,"Par5ScoringAverage",2015
