"BirdietoBogeyRatio_RANKTHISWEEK_2006","BirdietoBogeyRatio_RANKLASTWEEK_2006","BirdietoBogeyRatio_PLAYERNAME_2006","BirdietoBogeyRatio_ROUNDS_2006","BirdietoBogeyRatio_BIRDIETOBOGEYRATIO_2006","BirdietoBogeyRatio_TOTALBIRDIESANDBETTER_2006","BirdietoBogeyRatio_TOTALBOGEYSANDWORSE_2006","stat_name","year"
1,1,"Tiger Woods",55,2.23,254,114,"BirdietoBogeyRatio",2006
2,2,"Jim Furyk",89,1.95,360,185,"BirdietoBogeyRatio",2006
3,3,"Steve Stricker",64,1.81,248,137,"BirdietoBogeyRatio",2006
4,4,"Jonathan Byrd",66,1.68,286,170,"BirdietoBogeyRatio",2006
5,5,"Phil Mickelson",74,1.59,312,196,"BirdietoBogeyRatio",2006
6,6,"Luke Donald",66,1.56,241,154,"BirdietoBogeyRatio",2006
7,7,"Trevor Immelman",86,1.5,337,225,"BirdietoBogeyRatio",2006
8,8,"Vijay Singh",103,1.47,407,277,"BirdietoBogeyRatio",2006
9,9,"Brian Gay",107,1.45,395,273,"BirdietoBogeyRatio",2006
9,9,"Frank Lickliter II",99,1.45,372,256,"BirdietoBogeyRatio",2006
9,9,"Justin Rose",98,1.45,387,266,"BirdietoBogeyRatio",2006
12,12,"John Senden",96,1.43,341,239,"BirdietoBogeyRatio",2006
13,13,"Greg Owen",79,1.41,289,205,"BirdietoBogeyRatio",2006
14,14,"Scott Verplank",88,1.4,323,231,"BirdietoBogeyRatio",2006
15,15,"Daniel Chopra",110,1.38,448,325,"BirdietoBogeyRatio",2006
15,15,"Lucas Glover",105,1.38,414,301,"BirdietoBogeyRatio",2006
15,15,"Jesper Parnevik",84,1.38,314,227,"BirdietoBogeyRatio",2006
15,15,"Brett Quigley",109,1.38,387,280,"BirdietoBogeyRatio",2006
15,15,"Adam Scott",70,1.38,274,199,"BirdietoBogeyRatio",2006
20,20,"Ian Poulter",53,1.37,190,139,"BirdietoBogeyRatio",2006
21,21,"Briny Baird",81,1.36,297,219,"BirdietoBogeyRatio",2006
22,22,"Robert Allenby",79,1.35,302,223,"BirdietoBogeyRatio",2006
22,22,"Padraig Harrington",54,1.35,188,139,"BirdietoBogeyRatio",2006
22,22,"Arron Oberholser",82,1.35,298,221,"BirdietoBogeyRatio",2006
25,25,"Charley Hoffman",100,1.34,397,296,"BirdietoBogeyRatio",2006
25,25,"Mark Wilson",79,1.34,289,215,"BirdietoBogeyRatio",2006
27,27,"Stephen Ames",63,1.33,236,177,"BirdietoBogeyRatio",2006
27,27,"David Toms",76,1.33,272,205,"BirdietoBogeyRatio",2006
27,27,"Nick Watney",97,1.33,373,281,"BirdietoBogeyRatio",2006
27,27,"Brett Wetterich",82,1.33,340,256,"BirdietoBogeyRatio",2006
31,31,"Steve Elkington",52,1.32,169,128,"BirdietoBogeyRatio",2006
31,31,"Jeff Gove",91,1.32,304,230,"BirdietoBogeyRatio",2006
31,31,"Stephen Leaney",84,1.32,292,222,"BirdietoBogeyRatio",2006
31,31,"Bubba Watson",83,1.32,303,230,"BirdietoBogeyRatio",2006
35,35,"David Branshaw",98,1.31,346,264,"BirdietoBogeyRatio",2006
36,36,"Stewart Cink",93,1.3,329,254,"BirdietoBogeyRatio",2006
36,36,"Joe Durant",101,1.3,375,288,"BirdietoBogeyRatio",2006
36,36,"Jerry Kelly",100,1.3,368,282,"BirdietoBogeyRatio",2006
36,36,"Joe Ogilvie",95,1.3,346,266,"BirdietoBogeyRatio",2006
36,36,"Kevin Sutherland",100,1.3,336,259,"BirdietoBogeyRatio",2006
41,41,"Harrison Frazar",95,1.29,365,283,"BirdietoBogeyRatio",2006
41,41,"Davis Love III",85,1.29,303,235,"BirdietoBogeyRatio",2006
41,41,"Hunter Mahan",98,1.29,386,299,"BirdietoBogeyRatio",2006
41,41,"Mike Weir",88,1.29,325,251,"BirdietoBogeyRatio",2006
