"AverageDistanceofPuttsmade_RANKTHISWEEK_2013","AverageDistanceofPuttsmade_RANKLASTWEEK_2013","AverageDistanceofPuttsmade_PLAYERNAME_2013","AverageDistanceofPuttsmade_ROUNDS_2013","AverageDistanceofPuttsmade_AVG_2013","AverageDistanceofPuttsmade_TOTALDISTINCHES_2013","AverageDistanceofPuttsmade_TOTALROUNDS_2013","AverageDistanceofPuttsmade_AVGDIST_2013","AverageDistanceofPuttsmade_BESTROUND_2013","stat_name","year"
1,1,"Brandt Snedeker",79,NA,56768,58,NA,NA,"AverageDistanceofPuttsmade",2013
2,2,"Sangmoon Bae",83,NA,70436,72,NA,NA,"AverageDistanceofPuttsmade",2013
2,2,"Peter Hanson",45,NA,32278,33,NA,NA,"AverageDistanceofPuttsmade",2013
2,2,"Russell Henley",80,NA,64556,66,NA,NA,"AverageDistanceofPuttsmade",2013
5,5,"Stephen Ames",49,NA,42570,44,NA,NA,"AverageDistanceofPuttsmade",2013
6,6,"Charl Schwartzel",69,NA,52111,54,NA,NA,"AverageDistanceofPuttsmade",2013
7,7,"Phil Mickelson",78,NA,54937,57,NA,NA,"AverageDistanceofPuttsmade",2013
8,8,"Ted Potter Jr",65,NA,52804,55,NA,NA,"AverageDistanceofPuttsmade",2013
9,9,"Harris English",95,NA,78232,82,NA,NA,"AverageDistanceofPuttsmade",2013
10,10,"Greg Chalmers",77,NA,66122,70,NA,NA,"AverageDistanceofPuttsmade",2013
11,11,"James Driscoll",76,NA,59487,63,NA,NA,"AverageDistanceofPuttsmade",2013
12,12,"Rickie Fowler",75,NA,55566,59,NA,NA,"AverageDistanceofPuttsmade",2013
13,13,"Chris Kirk",89,NA,75850,81,NA,NA,"AverageDistanceofPuttsmade",2013
14,14,"David Hearn",88,NA,67927,73,NA,NA,"AverageDistanceofPuttsmade",2013
15,15,"Richard Lee",81,NA,66823,72,NA,NA,"AverageDistanceofPuttsmade",2013
16,16,"Billy Horschel",96,NA,76841,83,NA,NA,"AverageDistanceofPuttsmade",2013
16,16,"Doug LaBelle II",72,NA,54638,59,NA,NA,"AverageDistanceofPuttsmade",2013
18,18,"Graeme McDowell",53,NA,34161,37,NA,NA,"AverageDistanceofPuttsmade",2013
19,19,"Aaron Baddeley",68,NA,54200,59,NA,NA,"AverageDistanceofPuttsmade",2013
19,19,"Sergio Garcia",65,NA,43216,47,NA,NA,"AverageDistanceofPuttsmade",2013
21,21,"Jeff Overton",78,NA,67820,74,NA,NA,"AverageDistanceofPuttsmade",2013
22,22,"Tim Clark",64,NA,39324,43,NA,NA,"AverageDistanceofPuttsmade",2013
23,23,"Charlie Wi",75,NA,60193,66,NA,NA,"AverageDistanceofPuttsmade",2013
24,24,"Ryan Palmer",79,NA,62821,69,NA,NA,"AverageDistanceofPuttsmade",2013
25,25,"Erik Compton",74,NA,59007,65,NA,NA,"AverageDistanceofPuttsmade",2013
25,25,"Ben Kohles",75,NA,56293,62,NA,NA,"AverageDistanceofPuttsmade",2013
25,25,"Steve Stricker",51,NA,31777,35,NA,NA,"AverageDistanceofPuttsmade",2013
28,28,"Aaron Watkins",46,NA,31716,35,NA,NA,"AverageDistanceofPuttsmade",2013
29,29,"Patrick Reed",83,NA,66864,74,NA,NA,"AverageDistanceofPuttsmade",2013
29,29,"Jordan Spieth",82,NA,60546,67,NA,NA,"AverageDistanceofPuttsmade",2013
31,31,"Morgan Hoffmann",64,NA,47805,53,NA,NA,"AverageDistanceofPuttsmade",2013
32,32,"Tommy Gainey",84,NA,67493,75,NA,NA,"AverageDistanceofPuttsmade",2013
