"PuttsperRoundRound2_RANKTHISWEEK_2016","PuttsperRoundRound2_RANKLASTWEEK_2016","PuttsperRoundRound2_PLAYERNAME_2016","PuttsperRoundRound2__2016","PuttsperRoundRound2_AVG_2016","PuttsperRoundRound2_TOTALPUTTS_2016","PuttsperRoundRound2_TOTALROUNDS_2016","stat_name","year"
1,1,"Brian Gay",NA,27.13,217,8,"PuttsperRoundRound2",2016
2,2,"Jordan Spieth",NA,27.25,218,8,"PuttsperRoundRound2",2016
3,3,"Jonas Blixt",NA,27.38,438,16,"PuttsperRoundRound2",2016
4,6,"Luke Guthrie",NA,27.45,302,11,"PuttsperRoundRound2",2016
5,7,"Justin Leonard",NA,27.5,220,8,"PuttsperRoundRound2",2016
5,7,"Troy Merritt",NA,27.5,385,14,"PuttsperRoundRound2",2016
5,7,"Steve Stricker",NA,27.5,220,8,"PuttsperRoundRound2",2016
5,4,"Brian Stuard",NA,27.5,220,8,"PuttsperRoundRound2",2016
9,4,"William McGirt",NA,27.6,414,15,"PuttsperRoundRound2",2016
10,12,"Andrew Landry",NA,27.67,249,9,"PuttsperRoundRound2",2016
11,20,"Brendon Todd",NA,27.72,499,18,"PuttsperRoundRound2",2016
12,13,"John Huh",NA,27.75,444,16,"PuttsperRoundRound2",2016
12,13,"Billy Hurley III",NA,27.75,222,8,"PuttsperRoundRound2",2016
14,10,"Chad Collins",NA,27.81,445,16,"PuttsperRoundRound2",2016
15,15,"KJ Choi",NA,27.86,390,14,"PuttsperRoundRound2",2016
15,15,"Charl Schwartzel",NA,27.86,195,7,"PuttsperRoundRound2",2016
17,17,"Aaron Baddeley",NA,27.87,418,15,"PuttsperRoundRound2",2016
18,29,"Ernie Els",NA,28,280,10,"PuttsperRoundRound2",2016
18,11,"Padraig Harrington",NA,28,308,11,"PuttsperRoundRound2",2016
18,35,"Rory McIlroy",NA,28,224,8,"PuttsperRoundRound2",2016
18,20,"DJ Trahan",NA,28,196,7,"PuttsperRoundRound2",2016
22,20,"Erik Compton",NA,28.07,393,14,"PuttsperRoundRound2",2016
23,24,"Dicky Pride",NA,28.08,365,13,"PuttsperRoundRound2",2016
24,54,"Ryan Moore",NA,28.1,281,10,"PuttsperRoundRound2",2016
25,32,"Michael Kim",NA,28.11,506,18,"PuttsperRoundRound2",2016
26,20,"Ricky Barnes",NA,28.12,478,17,"PuttsperRoundRound2",2016
27,29,"Retief Goosen",NA,28.2,282,10,"PuttsperRoundRound2",2016
27,28,"Morgan Hoffmann",NA,28.2,423,15,"PuttsperRoundRound2",2016
29,25,"Steven Bowditch",NA,28.21,395,14,"PuttsperRoundRound2",2016
29,25,"Graham DeLaet",NA,28.21,395,14,"PuttsperRoundRound2",2016
31,19,"Derek Fathauer",NA,28.24,480,17,"PuttsperRoundRound2",2016
32,33,"Freddie Jacobson",NA,28.25,452,16,"PuttsperRoundRound2",2016
33,34,"Zach Johnson",NA,28.27,311,11,"PuttsperRoundRound2",2016
34,37,"Jon Curran",NA,28.33,510,18,"PuttsperRoundRound2",2016
34,37,"Ken Duke",NA,28.33,255,9,"PuttsperRoundRound2",2016
