"GIRPutting1015_RANKTHISWEEK_2014","GIRPutting1015_RANKLASTWEEK_2014","GIRPutting1015_PLAYERNAME_2014","GIRPutting1015_ROUNDS_2014","GIRPutting1015_Pct_2014","GIRPutting1015_ATTEMPTS_2014","GIRPutting1015_PUTTSMADE_2014","stat_name","year"
1,1,"Aaron Baddeley",74,42.16,102,43,"GIRPutting1015",2014
2,2,"Matt Every",85,41.27,126,52,"GIRPutting1015",2014
3,3,"Brandt Snedeker",89,37.93,116,44,"GIRPutting1015",2014
4,4,"Jimmy Walker",98,37.68,138,52,"GIRPutting1015",2014
5,5,"Mike Weir",69,37.35,83,31,"GIRPutting1015",2014
6,6,"Lee Westwood",57,36.49,74,27,"GIRPutting1015",2014
7,7,"Ben Martin",80,36.22,127,46,"GIRPutting1015",2014
8,8,"Brian Stuard",91,36.02,161,58,"GIRPutting1015",2014
9,9,"Freddie Jacobson",91,35.54,166,59,"GIRPutting1015",2014
10,10,"Brendon Todd",108,35.29,170,60,"GIRPutting1015",2014
11,11,"Gonzalo Fdez Castano",83,35.09,114,40,"GIRPutting1015",2014
11,11,"Martin Flores",85,35.09,114,40,"GIRPutting1015",2014
13,13,"Bill Haas",107,34.97,163,57,"GIRPutting1015",2014
14,14,"Matt Kuchar",91,34.78,138,48,"GIRPutting1015",2014
14,14,"Daniel Summerhays",98,34.78,161,56,"GIRPutting1015",2014
16,16,"Tommy Gainey",73,34.51,113,39,"GIRPutting1015",2014
17,17,"Jason Kokrak",65,34.45,119,41,"GIRPutting1015",2014
18,18,"John Merrick",87,34.15,123,42,"GIRPutting1015",2014
19,19,"Hideki Matsuyama",82,34.11,129,44,"GIRPutting1015",2014
20,20,"Charles Howell III",106,33.99,153,52,"GIRPutting1015",2014
21,21,"Scott Langley",95,33.85,130,44,"GIRPutting1015",2014
22,22,"Ryan Palmer",85,33.59,128,43,"GIRPutting1015",2014
23,23,"Robert Garrigus",80,33.56,149,50,"GIRPutting1015",2014
24,24,"Webb Simpson",87,33.1,142,47,"GIRPutting1015",2014
25,25,"Paul Casey",56,32.95,88,29,"GIRPutting1015",2014
26,26,"Sergio Garcia",61,32.94,85,28,"GIRPutting1015",2014
27,27,"Ernie Els",85,32.8,125,41,"GIRPutting1015",2014
27,27,"Brian Harman",111,32.8,189,62,"GIRPutting1015",2014
29,29,"Tyrone Van Aswegen",79,32.73,110,36,"GIRPutting1015",2014
30,30,"George McNeill",79,32.52,123,40,"GIRPutting1015",2014
31,31,"Justin Leonard",75,32.38,105,34,"GIRPutting1015",2014
32,32,"Bo Van Pelt",83,32.26,124,40,"GIRPutting1015",2014
33,33,"Andrew Loupe",65,32.18,87,28,"GIRPutting1015",2014
34,34,"Davis Love III",74,32.17,115,37,"GIRPutting1015",2014
34,34,"Pat Perez",84,32.17,143,46,"GIRPutting1015",2014
36,36,"David Hearn",97,32.09,187,60,"GIRPutting1015",2014
37,37,"Charley Hoffman",93,32,150,48,"GIRPutting1015",2014
38,38,"Kevin Na",94,31.97,147,47,"GIRPutting1015",2014
39,39,"DA Points",75,31.94,72,23,"GIRPutting1015",2014
40,40,"Ben Curtis",77,31.93,119,38,"GIRPutting1015",2014
41,41,"Chris Kirk",105,31.9,163,52,"GIRPutting1015",2014
42,42,"Scott Stallings",77,31.82,110,35,"GIRPutting1015",2014
43,43,"Martin Laird",66,31.58,95,30,"GIRPutting1015",2014
44,44,"Andrew Svoboda",77,31.53,111,35,"GIRPutting1015",2014
45,45,"Jerry Kelly",80,31.34,134,42,"GIRPutting1015",2014
46,46,"Brian Davis",93,31.25,144,45,"GIRPutting1015",2014
46,46,"Jason Day",54,31.25,64,20,"GIRPutting1015",2014
48,48,"Jordan Spieth",102,31.21,157,49,"GIRPutting1015",2014
49,49,"Retief Goosen",94,31.11,135,42,"GIRPutting1015",2014
49,49,"Graeme McDowell",66,31.11,90,28,"GIRPutting1015",2014
51,51,"Morgan Hoffmann",103,31.03,145,45,"GIRPutting1015",2014
51,51,"Heath Slocum",71,31.03,116,36,"GIRPutting1015",2014
53,53,"Robert Streb",75,31,100,31,"GIRPutting1015",2014
54,54,"Erik Compton",88,30.89,123,38,"GIRPutting1015",2014
55,55,"David Toms",64,30.83,120,37,"GIRPutting1015",2014
56,56,"William McGirt",96,30.77,156,48,"GIRPutting1015",2014
56,56,"Kevin Stadler",90,30.77,130,40,"GIRPutting1015",2014
58,58,"Greg Chalmers",85,30.7,114,35,"GIRPutting1015",2014
59,59,"Kevin Chappell",100,30.54,167,51,"GIRPutting1015",2014
60,60,"Stewart Cink",91,30.53,131,40,"GIRPutting1015",2014
60,60,"Charlie Wi",72,30.53,95,29,"GIRPutting1015",2014
62,62,"Harris English",95,30.37,135,41,"GIRPutting1015",2014
63,63,"Michael Thompson",74,30.36,112,34,"GIRPutting1015",2014
64,64,"Kevin Streelman",79,30.16,126,38,"GIRPutting1015",2014
65,65,"Keegan Bradley",89,30.14,146,44,"GIRPutting1015",2014
66,66,"Graham DeLaet",80,30.08,133,40,"GIRPutting1015",2014
67,67,"John Senden",99,30.07,153,46,"GIRPutting1015",2014
68,68,"Rory McIlroy",66,30,110,33,"GIRPutting1015",2014
69,69,"Jonathan Byrd",76,29.92,127,38,"GIRPutting1015",2014
70,70,"Chad Collins",78,29.91,107,32,"GIRPutting1015",2014
71,71,"Troy Merritt",62,29.85,134,40,"GIRPutting1015",2014
72,72,"Brian Gay",81,29.82,114,34,"GIRPutting1015",2014
73,73,"Chesson Hadley",84,29.79,141,42,"GIRPutting1015",2014
74,74,"Bud Cauley",56,29.76,84,25,"GIRPutting1015",2014
75,75,"Gary Woodland",93,29.71,138,41,"GIRPutting1015",2014
76,76,"Jeff Overton",80,29.69,128,38,"GIRPutting1015",2014
77,77,"Scott Brown",100,29.63,135,40,"GIRPutting1015",2014
78,78,"Ricky Barnes",92,29.56,159,47,"GIRPutting1015",2014
79,79,"Woody Austin",63,29.52,105,31,"GIRPutting1015",2014
80,80,"Charlie Beljan",76,29.41,119,35,"GIRPutting1015",2014
80,80,"Jim Furyk",84,29.41,119,35,"GIRPutting1015",2014
82,82,"David Lingmerth",80,29.37,126,37,"GIRPutting1015",2014
83,83,"Zach Johnson",97,29.3,157,46,"GIRPutting1015",2014
84,84,"Dustin Johnson",58,29.21,89,26,"GIRPutting1015",2014
84,84,"Wes Roach",67,29.21,89,26,"GIRPutting1015",2014
86,86,"Danny Lee",84,29.17,144,42,"GIRPutting1015",2014
87,87,"Cameron Tringale",111,29.1,189,55,"GIRPutting1015",2014
88,88,"Camilo Villegas",95,29.05,148,43,"GIRPutting1015",2014
89,89,"Russell Henley",92,29.01,131,38,"GIRPutting1015",2014
90,90,"Luke Donald",57,28.95,76,22,"GIRPutting1015",2014
91,91,"Jason Bohn",81,28.89,135,39,"GIRPutting1015",2014
91,91,"Ryo Ishikawa",75,28.89,135,39,"GIRPutting1015",2014
91,91,"Josh Teater",90,28.89,135,39,"GIRPutting1015",2014
94,94,"Ben Crane",81,28.79,132,38,"GIRPutting1015",2014
95,95,"Nicholas Thompson",85,28.57,119,34,"GIRPutting1015",2014
96,96,"Justin Hicks",103,28.5,193,55,"GIRPutting1015",2014
97,97,"Hunter Mahan",88,28.17,142,40,"GIRPutting1015",2014
98,98,"Richard Lee",80,28.04,107,30,"GIRPutting1015",2014
99,99,"Sangmoon Bae",76,28.03,132,37,"GIRPutting1015",2014
100,100,"Charl Schwartzel",64,27.91,86,24,"GIRPutting1015",2014
101,101,"Ken Duke",80,27.89,147,41,"GIRPutting1015",2014
102,102,"Angel Cabrera",69,27.84,97,27,"GIRPutting1015",2014
102,102,"Spencer Levin",59,27.84,97,27,"GIRPutting1015",2014
