"GIRPercentagefromFairway_RANKTHISWEEK_2014","GIRPercentagefromFairway_RANKLASTWEEK_2014","GIRPercentagefromFairway_PLAYERNAME_2014","GIRPercentagefromFairway_ROUNDS_2014","GIRPercentagefromFairway_Pct_2014","GIRPercentagefromFairway_GREENSHIT_2014","GIRPercentagefromFairway_OFHOLES_2014","stat_name","year"
1,1,"Chad Campbell",57,84.06,406,483,"GIRPercentagefromFairway",2014
2,2,"Graham DeLaet",80,81.73,559,684,"GIRPercentagefromFairway",2014
3,3,"Adam Scott",68,81.63,480,588,"GIRPercentagefromFairway",2014
4,4,"Rory McIlroy",66,81.19,436,537,"GIRPercentagefromFairway",2014
5,5,"Jimmy Walker",98,81.18,565,696,"GIRPercentagefromFairway",2014
6,6,"Bud Cauley",56,80.89,364,450,"GIRPercentagefromFairway",2014
7,7,"Dustin Johnson",58,80.57,369,458,"GIRPercentagefromFairway",2014
8,8,"Charles Howell III",106,80.13,625,780,"GIRPercentagefromFairway",2014
9,9,"Brendan Steele",89,80.06,566,707,"GIRPercentagefromFairway",2014
10,10,"Billy Horschel",92,80.02,677,846,"GIRPercentagefromFairway",2014
10,10,"John Senden",99,80.02,709,886,"GIRPercentagefromFairway",2014
12,12,"Camilo Villegas",95,80,636,795,"GIRPercentagefromFairway",2014
13,13,"Bo Van Pelt",83,79.78,580,727,"GIRPercentagefromFairway",2014
14,14,"Bill Haas",107,79.65,736,924,"GIRPercentagefromFairway",2014
15,15,"Brice Garnett",92,79.56,576,724,"GIRPercentagefromFairway",2014
16,16,"Ryo Ishikawa",75,79.5,442,556,"GIRPercentagefromFairway",2014
17,17,"Harris English",95,79.38,612,771,"GIRPercentagefromFairway",2014
18,18,"Jeff Overton",80,79.11,481,608,"GIRPercentagefromFairway",2014
19,19,"Martin Flores",85,79.02,531,672,"GIRPercentagefromFairway",2014
20,20,"JJ Henry",91,79,617,781,"GIRPercentagefromFairway",2014
21,21,"Kevin Stadler",90,78.97,631,799,"GIRPercentagefromFairway",2014
22,22,"Jhonattan Vegas",77,78.94,506,641,"GIRPercentagefromFairway",2014
23,23,"Matt Kuchar",91,78.8,654,830,"GIRPercentagefromFairway",2014
24,24,"George McNeill",79,78.69,539,685,"GIRPercentagefromFairway",2014
24,24,"Carl Pettersson",91,78.69,587,746,"GIRPercentagefromFairway",2014
26,26,"Justin Hicks",103,78.58,796,1013,"GIRPercentagefromFairway",2014
27,27,"Robert Allenby",83,78.53,545,694,"GIRPercentagefromFairway",2014
28,28,"Martin Laird",66,78.42,418,533,"GIRPercentagefromFairway",2014
29,29,"Davis Love III",74,78.34,463,591,"GIRPercentagefromFairway",2014
30,30,"Chesson Hadley",84,78.11,521,667,"GIRPercentagefromFairway",2014
31,31,"Boo Weekley",73,78.06,548,702,"GIRPercentagefromFairway",2014
32,32,"Robert Garrigus",80,78.02,497,637,"GIRPercentagefromFairway",2014
33,33,"Jason Kokrak",65,77.93,392,503,"GIRPercentagefromFairway",2014
