"FairwayBunkerTendency_RANKTHISWEEK_2013","FairwayBunkerTendency_RANKLASTWEEK_2013","FairwayBunkerTendency_PLAYERNAME_2013","FairwayBunkerTendency_ROUNDS_2013","FairwayBunkerTendency_Pct_2013","FairwayBunkerTendency_TOTALFAIRWAYBUNKERS_2013","FairwayBunkerTendency_POSSIBLEFWYS_2013","FairwayBunkerTendency_RELATIVETOPAR_2013","stat_name","year"
1,1,"Mark Wilson",56,3.3,23,696,0.304,"FairwayBunkerTendency",2013
2,2,"DJ Trahan",48,3.8,20,522,0.1,"FairwayBunkerTendency",2013
3,3,"Jerry Kelly",75,3.9,35,888,0.286,"FairwayBunkerTendency",2013
4,4,"Zach Johnson",84,4.3,40,936,0.425,"FairwayBunkerTendency",2013
5,5,"Hunter Mahan",91,4.5,43,951,0.186,"FairwayBunkerTendency",2013
5,5,"Steve Stricker",51,4.5,22,490,0.136,"FairwayBunkerTendency",2013
7,7,"Graham DeLaet",94,4.6,51,1116,0.118,"FairwayBunkerTendency",2013
7,7,"Darron Stiles",51,4.6,27,582,0.259,"FairwayBunkerTendency",2013
9,9,"Padraig Harrington",52,4.8,23,483,0.261,"FairwayBunkerTendency",2013
9,9,"Ryan Moore",72,4.8,38,796,0.184,"FairwayBunkerTendency",2013
9,9,"Henrik Stenson",65,4.8,29,607,0.31,"FairwayBunkerTendency",2013
12,12,"Brian Harman",89,4.9,52,1054,0.346,"FairwayBunkerTendency",2013
12,12,"Bryce Molder",82,4.9,48,982,0.229,"FairwayBunkerTendency",2013
12,12,"Jin Park",52,4.9,29,597,0.172,"FairwayBunkerTendency",2013
12,12,"Jordan Spieth",82,4.9,46,930,0.087,"FairwayBunkerTendency",2013
16,16,"Charlie Wi",75,5,46,916,0.13,"FairwayBunkerTendency",2013
17,17,"Robert Garrigus",69,5.1,34,672,0.235,"FairwayBunkerTendency",2013
17,17,"Russell Henley",80,5.1,47,915,0.234,"FairwayBunkerTendency",2013
17,17,"Jim Herman",59,5.1,31,610,0.29,"FairwayBunkerTendency",2013
17,17,"Eric Meierdierks",48,5.1,26,508,0.192,"FairwayBunkerTendency",2013
17,17,"Ted Potter Jr",65,5.1,39,768,0.256,"FairwayBunkerTendency",2013
22,22,"JJ Henry",83,5.2,53,1028,0.208,"FairwayBunkerTendency",2013
23,23,"Keegan Bradley",88,5.3,53,996,0.17,"FairwayBunkerTendency",2013
23,23,"Ken Duke",87,5.3,55,1043,0.218,"FairwayBunkerTendency",2013
23,23,"Jim Furyk",80,5.3,47,889,0.106,"FairwayBunkerTendency",2013
23,23,"Doug LaBelle II",72,5.3,43,813,0.326,"FairwayBunkerTendency",2013
23,23,"Marc Leishman",77,5.3,47,887,0.106,"FairwayBunkerTendency",2013
23,23,"David Mathis",71,5.3,45,857,0.244,"FairwayBunkerTendency",2013
23,23,"Pat Perez",69,5.3,47,883,0.149,"FairwayBunkerTendency",2013
23,23,"Chez Reavie",72,5.3,49,932,0.265,"FairwayBunkerTendency",2013
31,31,"Brian Davis",91,5.4,62,1153,0.226,"FairwayBunkerTendency",2013
31,31,"Bob Estes",66,5.4,46,858,0.065,"FairwayBunkerTendency",2013
33,33,"Charlie Beljan",62,5.5,41,752,0.317,"FairwayBunkerTendency",2013
33,33,"Brian Gay",79,5.5,54,983,0.111,"FairwayBunkerTendency",2013
33,33,"Henrik Norlander",70,5.5,45,813,0.178,"FairwayBunkerTendency",2013
33,33,"Kevin Stadler",83,5.5,53,958,0.283,"FairwayBunkerTendency",2013
33,33,"Bubba Watson",76,5.5,45,823,0.311,"FairwayBunkerTendency",2013
38,38,"David Lingmerth",68,5.6,44,787,0.182,"FairwayBunkerTendency",2013
38,38,"Brandt Snedeker",79,5.6,45,809,0.022,"FairwayBunkerTendency",2013
38,38,"Brendan Steele",86,5.6,60,1066,0.267,"FairwayBunkerTendency",2013
41,41,"KJ Choi",85,5.7,50,876,0.38,"FairwayBunkerTendency",2013
41,41,"Morgan Hoffmann",64,5.7,42,731,0,"FairwayBunkerTendency",2013
41,41,"David Lynn",70,5.7,44,775,0.182,"FairwayBunkerTendency",2013
41,41,"Ian Poulter",59,5.7,31,544,0.032,"FairwayBunkerTendency",2013
41,41,"Johnson Wagner",64,5.7,41,720,0.171,"FairwayBunkerTendency",2013
46,46,"Justin Hicks",79,5.8,53,916,0.226,"FairwayBunkerTendency",2013
46,46,"John Huh",88,5.8,61,1049,0.246,"FairwayBunkerTendency",2013
46,46,"Scott Stallings",79,5.8,53,912,0.491,"FairwayBunkerTendency",2013
49,49,"Peter Hanson",45,5.9,27,458,0.074,"FairwayBunkerTendency",2013
49,49,"Matt Jones",83,5.9,57,965,0.228,"FairwayBunkerTendency",2013
49,49,"Martin Kaymer",61,5.9,34,574,0.382,"FairwayBunkerTendency",2013
49,49,"Richard Lee",81,5.9,59,999,0.237,"FairwayBunkerTendency",2013
49,49,"Robert Streb",75,5.9,50,844,0.06,"FairwayBunkerTendency",2013
