"BirdieorBetterConversionPercentage_RANKTHISWEEK_2016","BirdieorBetterConversionPercentage_RANKLASTWEEK_2016","BirdieorBetterConversionPercentage_PLAYERNAME_2016","BirdieorBetterConversionPercentage_ROUNDS_2016","BirdieorBetterConversionPercentage_Pct_2016","BirdieorBetterConversionPercentage_BIRDIES_2016","BirdieorBetterConversionPercentage_GREENSHIT_2016","stat_name","year"
1,1,"Jordan Spieth",34,39.36,135,343,"BirdieorBetterConversionPercentage",2016
2,2,"Dustin Johnson",37,39.27,150,382,"BirdieorBetterConversionPercentage",2016
3,7,"Rory McIlroy",37,36.51,134,367,"BirdieorBetterConversionPercentage",2016
4,3,"Hideki Matsuyama",40,36.48,170,466,"BirdieorBetterConversionPercentage",2016
5,4,"Adam Scott",39,35.9,163,454,"BirdieorBetterConversionPercentage",2016
6,5,"Jason Day",36,35.8,126,352,"BirdieorBetterConversionPercentage",2016
7,8,"Phil Mickelson",37,35.09,140,399,"BirdieorBetterConversionPercentage",2016
8,9,"Andrew Loupe",50,34.97,200,572,"BirdieorBetterConversionPercentage",2016
9,6,"Byeong Hun An",23,34.38,77,224,"BirdieorBetterConversionPercentage",2016
10,10,"Henrik Stenson",30,33.95,129,380,"BirdieorBetterConversionPercentage",2016
11,14,"Rickie Fowler",42,33.87,169,499,"BirdieorBetterConversionPercentage",2016
12,11,"JB Holmes",39,33.65,143,425,"BirdieorBetterConversionPercentage",2016
13,12,"Kevin Kisner",49,33.63,188,559,"BirdieorBetterConversionPercentage",2016
14,13,"Jimmy Walker",43,33.62,158,470,"BirdieorBetterConversionPercentage",2016
15,16,"Steve Stricker",25,33.21,90,271,"BirdieorBetterConversionPercentage",2016
16,17,"Marc Leishman",41,32.96,148,449,"BirdieorBetterConversionPercentage",2016
17,15,"Anirban Lahiri",44,32.75,151,461,"BirdieorBetterConversionPercentage",2016
18,18,"Daniel Summerhays",55,32.69,203,621,"BirdieorBetterConversionPercentage",2016
19,29,"Jonas Blixt",46,32.67,164,502,"BirdieorBetterConversionPercentage",2016
20,31,"Justin Rose",35,32.59,132,405,"BirdieorBetterConversionPercentage",2016
21,19,"Brandt Snedeker",47,32.54,165,507,"BirdieorBetterConversionPercentage",2016
22,24,"Vaughn Taylor",30,32.46,112,345,"BirdieorBetterConversionPercentage",2016
23,21,"Ryan Palmer",46,32.26,180,558,"BirdieorBetterConversionPercentage",2016
24,22,"Aaron Baddeley",51,32.22,184,571,"BirdieorBetterConversionPercentage",2016
25,24,"Brooks Koepka",39,32.13,133,414,"BirdieorBetterConversionPercentage",2016
26,26,"Bubba Watson",30,32.1,113,352,"BirdieorBetterConversionPercentage",2016
27,29,"Smylie Kaufman",57,32.02,211,659,"BirdieorBetterConversionPercentage",2016
28,32,"Patton Kizzire",57,31.99,198,619,"BirdieorBetterConversionPercentage",2016
29,27,"Matt Jones",45,31.97,156,488,"BirdieorBetterConversionPercentage",2016
30,34,"Jason Dufner",53,31.88,197,618,"BirdieorBetterConversionPercentage",2016
30,28,"Harold Varner III",58,31.88,219,687,"BirdieorBetterConversionPercentage",2016
32,41,"Danny Lee",53,31.86,187,587,"BirdieorBetterConversionPercentage",2016
33,36,"Kevin Na",52,31.77,190,598,"BirdieorBetterConversionPercentage",2016
34,33,"Ben Crane",48,31.68,173,546,"BirdieorBetterConversionPercentage",2016
35,51,"Tony Finau",49,31.63,179,566,"BirdieorBetterConversionPercentage",2016
36,20,"Justin Thomas",53,31.61,189,598,"BirdieorBetterConversionPercentage",2016
37,23,"Emiliano Grillo",47,31.42,170,541,"BirdieorBetterConversionPercentage",2016
38,37,"Michael Thompson",46,31.33,167,533,"BirdieorBetterConversionPercentage",2016
39,42,"DJ Trahan",23,31.27,86,275,"BirdieorBetterConversionPercentage",2016
40,44,"Scott Piercy",45,31.26,161,515,"BirdieorBetterConversionPercentage",2016
41,55,"Charles Howell III",63,31.25,240,768,"BirdieorBetterConversionPercentage",2016
42,35,"Jamie Lovemark",57,31.21,211,676,"BirdieorBetterConversionPercentage",2016
43,45,"Freddie Jacobson",54,31.2,195,625,"BirdieorBetterConversionPercentage",2016
44,42,"Martin Laird",46,31.17,168,539,"BirdieorBetterConversionPercentage",2016
45,47,"Derek Fathauer",58,31.12,202,649,"BirdieorBetterConversionPercentage",2016
45,39,"Will Wilcox",47,31.12,164,527,"BirdieorBetterConversionPercentage",2016
47,40,"Morgan Hoffmann",43,31.06,150,483,"BirdieorBetterConversionPercentage",2016
48,48,"David Lingmerth",54,31.03,180,580,"BirdieorBetterConversionPercentage",2016
49,50,"Matt Kuchar",46,31.01,156,503,"BirdieorBetterConversionPercentage",2016
50,49,"Webb Simpson",34,30.95,121,391,"BirdieorBetterConversionPercentage",2016
51,52,"Billy Horschel",45,30.94,155,501,"BirdieorBetterConversionPercentage",2016
52,53,"Seung Yul Noh",54,30.93,197,637,"BirdieorBetterConversionPercentage",2016
53,54,"Brian Gay",22,30.92,64,207,"BirdieorBetterConversionPercentage",2016
54,59,"Zach Johnson",42,30.8,142,461,"BirdieorBetterConversionPercentage",2016
55,71,"William McGirt",54,30.79,202,656,"BirdieorBetterConversionPercentage",2016
56,60,"Graeme McDowell",33,30.77,108,351,"BirdieorBetterConversionPercentage",2016
56,60,"Rory Sabbatini",40,30.77,140,455,"BirdieorBetterConversionPercentage",2016
56,87,"Tim Wilkinson",40,30.77,144,468,"BirdieorBetterConversionPercentage",2016
59,81,"Brian Harman",60,30.76,211,686,"BirdieorBetterConversionPercentage",2016
60,38,"Carlos Ortiz",47,30.7,167,544,"BirdieorBetterConversionPercentage",2016
61,66,"Daniel Berger",52,30.68,181,590,"BirdieorBetterConversionPercentage",2016
62,65,"Luke Guthrie",31,30.62,109,356,"BirdieorBetterConversionPercentage",2016
63,46,"Alex Cejka",47,30.58,174,569,"BirdieorBetterConversionPercentage",2016
64,62,"Ricky Barnes",57,30.57,203,664,"BirdieorBetterConversionPercentage",2016
65,70,"Jason Bohn",37,30.55,139,455,"BirdieorBetterConversionPercentage",2016
65,68,"Charley Hoffman",49,30.55,161,527,"BirdieorBetterConversionPercentage",2016
67,64,"Ben Martin",48,30.54,175,573,"BirdieorBetterConversionPercentage",2016
68,79,"Patrick Reed",53,30.53,167,547,"BirdieorBetterConversionPercentage",2016
