"RightRoughTendency_RANKTHISWEEK_2013","RightRoughTendency_RANKLASTWEEK_2013","RightRoughTendency_PLAYERNAME_2013","RightRoughTendency_ROUNDS_2013","RightRoughTendency_Pct_2013","RightRoughTendency_TOTALRIGHTROUGH_2013","RightRoughTendency_POSSIBLEFWYS_2013","RightRoughTendency_RELATIVETOPAR_2013","stat_name","year"
1,1,"Henrik Stenson",65,9.56,58,607,0.05,"RightRoughTendency",2013
2,2,"Russell Henley",80,9.95,91,915,-0.04,"RightRoughTendency",2013
3,3,"Brian Davis",91,9.97,115,1153,0.12,"RightRoughTendency",2013
4,4,"Jeff Maggert",63,10.43,83,796,0.14,"RightRoughTendency",2013
5,5,"Graeme McDowell",53,10.62,55,518,0.07,"RightRoughTendency",2013
6,6,"Luke Donald",60,10.69,68,636,0.06,"RightRoughTendency",2013
7,7,"Chez Reavie",72,10.73,100,932,0.09,"RightRoughTendency",2013
8,8,"Kevin Stadler",83,10.96,105,958,0.1,"RightRoughTendency",2013
9,9,"Zach Johnson",84,11.11,104,936,0.07,"RightRoughTendency",2013
10,10,"KJ Choi",85,11.19,98,876,0.07,"RightRoughTendency",2013
11,11,"Jerry Kelly",75,11.26,100,888,0.14,"RightRoughTendency",2013
12,12,"Sergio Garcia",65,11.34,73,644,0.04,"RightRoughTendency",2013
13,13,"JJ Henry",83,11.38,117,1028,0.15,"RightRoughTendency",2013
14,14,"Lee Westwood",70,11.44,81,708,0.1,"RightRoughTendency",2013
15,15,"Nicholas Thompson",99,11.5,137,1191,0.05,"RightRoughTendency",2013
16,16,"Michael Bradley",56,11.75,69,587,0.03,"RightRoughTendency",2013
17,17,"Richard Lee",81,11.81,118,999,0.09,"RightRoughTendency",2013
18,18,"Steve Stricker",51,11.84,58,490,-0.05,"RightRoughTendency",2013
19,19,"Tim Clark",64,11.87,71,598,0.07,"RightRoughTendency",2013
20,20,"William McGirt",75,11.91,117,982,0.05,"RightRoughTendency",2013
21,21,"Jim Furyk",80,11.92,106,889,0.13,"RightRoughTendency",2013
22,22,"Carl Pettersson",82,12,106,883,0.08,"RightRoughTendency",2013
23,23,"Billy Horschel",96,12.03,138,1147,0.04,"RightRoughTendency",2013
