"GoodDrivePercentage_RANKTHISWEEK_2005","GoodDrivePercentage_RANKLASTWEEK_2005","GoodDrivePercentage_PLAYERNAME_2005","GoodDrivePercentage_ROUNDS_2005","GoodDrivePercentage_Pct_2005","GoodDrivePercentage_HIT_2005","GoodDrivePercentage_TOTALATTEMPTS_2005","stat_name","year"
1,1,"Olin Browne",99,89.23,1177,1319,"GoodDrivePercentage",2005
2,2,"Omar Uresti",84,88.24,1035,1173,"GoodDrivePercentage",2005
3,3,"Joe Durant",81,88.18,1000,1134,"GoodDrivePercentage",2005
4,4,"Jeff Hart",63,87.51,743,849,"GoodDrivePercentage",2005
5,5,"Billy Mayfair",114,87.48,1342,1534,"GoodDrivePercentage",2005
6,6,"Doug Barron",70,87.41,854,977,"GoodDrivePercentage",2005
7,7,"Bart Bryant",91,87.17,1114,1278,"GoodDrivePercentage",2005
8,8,"Jay Williamson",53,87.14,644,739,"GoodDrivePercentage",2005
9,9,"Fred Funk",102,87.1,1229,1411,"GoodDrivePercentage",2005
10,10,"Heath Slocum",103,86.97,1201,1381,"GoodDrivePercentage",2005
11,11,"Jeff Brehaut",71,86.68,807,931,"GoodDrivePercentage",2005
12,12,"David Hearn",68,86.48,819,947,"GoodDrivePercentage",2005
13,13,"Brian Davis",75,86.25,903,1047,"GoodDrivePercentage",2005
14,14,"Darron Stiles",78,86.24,915,1061,"GoodDrivePercentage",2005
15,15,"Joey Snyder III",102,86.1,1177,1367,"GoodDrivePercentage",2005
16,16,"Scott Verplank",87,86.07,1038,1206,"GoodDrivePercentage",2005
17,17,"Kenny Perry",82,85.84,964,1123,"GoodDrivePercentage",2005
18,18,"Jose Coceres",56,85.81,647,754,"GoodDrivePercentage",2005
19,19,"Joey Sindelar",104,85.79,1244,1450,"GoodDrivePercentage",2005
20,20,"Mario Tiziani",67,85.75,776,905,"GoodDrivePercentage",2005
21,21,"Skip Kendall",80,85.73,931,1086,"GoodDrivePercentage",2005
22,22,"Sergio Garcia",73,85.68,826,964,"GoodDrivePercentage",2005
23,23,"Paul Claxton",79,85.66,944,1102,"GoodDrivePercentage",2005
24,24,"Robert Damron",89,85.55,1060,1239,"GoodDrivePercentage",2005
25,25,"Hidemichi Tanaka",106,85.49,1214,1420,"GoodDrivePercentage",2005
26,26,"Tommy Armour III",103,85.47,1224,1432,"GoodDrivePercentage",2005
27,27,"Vijay Singh",111,85.41,1311,1535,"GoodDrivePercentage",2005
28,28,"Charles Warren",89,85.38,1034,1211,"GoodDrivePercentage",2005
29,29,"John Senden",101,85.35,1177,1379,"GoodDrivePercentage",2005
30,30,"Briny Baird",98,85.33,1140,1336,"GoodDrivePercentage",2005
31,31,"Gavin Coles",70,85.19,834,979,"GoodDrivePercentage",2005
32,32,"Tom Gillis",77,84.98,888,1045,"GoodDrivePercentage",2005
33,33,"Justin Rose",99,84.97,1125,1324,"GoodDrivePercentage",2005
34,34,"Stephen Leaney",89,84.84,1013,1194,"GoodDrivePercentage",2005
35,35,"Mark Wilson",74,84.69,824,973,"GoodDrivePercentage",2005
36,36,"Greg Owen",84,84.66,944,1115,"GoodDrivePercentage",2005
37,37,"Richard Johnson",50,84.6,588,695,"GoodDrivePercentage",2005
38,38,"Duffy Waldorf",86,84.55,974,1152,"GoodDrivePercentage",2005
39,39,"John Cook",72,84.51,824,975,"GoodDrivePercentage",2005
40,40,"Arron Oberholser",65,84.49,741,877,"GoodDrivePercentage",2005
41,41,"Tom Byrum",83,84.41,980,1161,"GoodDrivePercentage",2005
42,42,"Danny Briggs",70,84.4,801,949,"GoodDrivePercentage",2005
43,43,"Jeff Sluman",94,84.39,1103,1307,"GoodDrivePercentage",2005
44,44,"Jeff Maggert",79,84.3,870,1032,"GoodDrivePercentage",2005
45,45,"Tjaart van der Walt",56,84.23,657,780,"GoodDrivePercentage",2005
46,46,"Jerry Kelly",101,84.19,1161,1379,"GoodDrivePercentage",2005
47,47,"Jim Carter",62,84.11,704,837,"GoodDrivePercentage",2005
48,48,"Mark Calcavecchia",92,84.05,1059,1260,"GoodDrivePercentage",2005
49,49,"Jim Furyk",94,84.04,1095,1303,"GoodDrivePercentage",2005
49,49,"Kirk Triplett",55,84.04,611,727,"GoodDrivePercentage",2005
51,51,"Dean Wilson",86,84.02,1004,1195,"GoodDrivePercentage",2005
52,52,"Jay Haas",54,83.99,598,712,"GoodDrivePercentage",2005
53,53,"Alex Cejka",84,83.97,948,1129,"GoodDrivePercentage",2005
54,54,"Marco Dawson",82,83.95,957,1140,"GoodDrivePercentage",2005
55,55,"Larry Mize",54,83.93,585,697,"GoodDrivePercentage",2005
56,56,"Luke Donald",67,83.83,710,847,"GoodDrivePercentage",2005
56,56,"Zach Johnson",96,83.83,1120,1336,"GoodDrivePercentage",2005
58,58,"DJ Trahan",81,83.81,901,1075,"GoodDrivePercentage",2005
59,59,"Jonathan Kaye",77,83.73,870,1039,"GoodDrivePercentage",2005
60,60,"Bo Van Pelt",112,83.72,1311,1566,"GoodDrivePercentage",2005
61,61,"Robert Allenby",95,83.69,1047,1251,"GoodDrivePercentage",2005
62,62,"Paul Gow",78,83.64,864,1033,"GoodDrivePercentage",2005
63,63,"Tom Lehman",69,83.63,787,941,"GoodDrivePercentage",2005
64,64,"DJ Brigman",76,83.58,840,1005,"GoodDrivePercentage",2005
64,64,"Roland Thatcher",75,83.58,850,1017,"GoodDrivePercentage",2005
66,66,"Vaughn Taylor",99,83.51,1155,1383,"GoodDrivePercentage",2005
67,67,"Phillip Price",77,83.45,847,1015,"GoodDrivePercentage",2005
68,68,"Cameron Beckman",96,83.42,1067,1279,"GoodDrivePercentage",2005
69,69,"Ben Curtis",65,83.41,759,910,"GoodDrivePercentage",2005
70,70,"JJ Henry",102,83.39,1160,1391,"GoodDrivePercentage",2005
71,71,"Justin Leonard",78,83.33,880,1056,"GoodDrivePercentage",2005
72,72,"Kent Jones",99,83.32,1124,1349,"GoodDrivePercentage",2005
72,72,"Brett Wetterich",76,83.32,859,1031,"GoodDrivePercentage",2005
74,74,"Peter Lonard",85,83.28,981,1178,"GoodDrivePercentage",2005
75,75,"Chris Anderson",66,83.24,720,865,"GoodDrivePercentage",2005
75,75,"Harrison Frazar",105,83.24,1172,1408,"GoodDrivePercentage",2005
77,77,"Geoff Ogilvy",97,83.23,1087,1306,"GoodDrivePercentage",2005
78,78,"Corey Pavin",77,83.2,847,1018,"GoodDrivePercentage",2005
79,79,"JL Lewis",98,83.19,1133,1362,"GoodDrivePercentage",2005
80,80,"Sean OHair",103,83.08,1154,1389,"GoodDrivePercentage",2005
81,81,"Tim Clark",92,83.05,1014,1221,"GoodDrivePercentage",2005
81,81,"Ted Purdy",122,83.05,1421,1711,"GoodDrivePercentage",2005
83,83,"Brian Gay",101,83.03,1145,1379,"GoodDrivePercentage",2005
84,84,"Rocco Mediate",73,83.02,841,1013,"GoodDrivePercentage",2005
85,85,"Steve Elkington",67,83.01,772,930,"GoodDrivePercentage",2005
86,86,"Lucas Glover",88,82.99,995,1199,"GoodDrivePercentage",2005
87,87,"Kevin Sutherland",89,82.96,1008,1215,"GoodDrivePercentage",2005
88,88,"Charles Howell III",95,82.92,1044,1259,"GoodDrivePercentage",2005
89,89,"Mathias Gronberg",60,82.9,669,807,"GoodDrivePercentage",2005
90,90,"Glen Hnatiuk",59,82.88,634,765,"GoodDrivePercentage",2005
91,91,"Fred Couples",72,82.86,793,957,"GoodDrivePercentage",2005
92,92,"Bradley Hughes",52,82.85,599,723,"GoodDrivePercentage",2005
93,93,"KJ Choi",78,82.78,851,1028,"GoodDrivePercentage",2005
94,94,"Scott Gutschewski",86,82.74,954,1153,"GoodDrivePercentage",2005
95,95,"Craig Barlow",81,82.63,885,1071,"GoodDrivePercentage",2005
96,96,"Dudley Hart",84,82.62,970,1174,"GoodDrivePercentage",2005
97,97,"Carl Pettersson",109,82.6,1206,1460,"GoodDrivePercentage",2005
98,98,"John Rollins",97,82.59,1096,1327,"GoodDrivePercentage",2005
99,99,"Phil Mickelson",81,82.52,859,1041,"GoodDrivePercentage",2005
100,100,"Matt Kuchar",60,82.51,689,835,"GoodDrivePercentage",2005
101,101,"Neal Lancaster",95,82.49,1093,1325,"GoodDrivePercentage",2005
101,101,"Frank Lickliter II",100,82.49,1102,1336,"GoodDrivePercentage",2005
103,103,"Glen Day",80,82.43,896,1087,"GoodDrivePercentage",2005
103,103,"Shigeki Maruyama",99,82.43,1131,1372,"GoodDrivePercentage",2005
105,105,"Robert Gamez",91,82.42,1041,1263,"GoodDrivePercentage",2005
106,106,"Bob Tway",87,82.4,960,1165,"GoodDrivePercentage",2005
107,107,"David Toms",87,82.37,888,1078,"GoodDrivePercentage",2005
108,108,"Hunter Mahan",103,82.28,1156,1405,"GoodDrivePercentage",2005
109,109,"John Huston",90,82.26,983,1195,"GoodDrivePercentage",2005
110,110,"Loren Roberts",54,82.16,608,740,"GoodDrivePercentage",2005
111,111,"Chris Smith",93,82.12,1061,1292,"GoodDrivePercentage",2005
112,112,"Jason Bohn",91,82.06,1038,1265,"GoodDrivePercentage",2005
113,113,"Billy Andrade",83,81.99,947,1155,"GoodDrivePercentage",2005
114,114,"Adam Scott",72,81.98,787,960,"GoodDrivePercentage",2005
115,115,"Kevin Stadler",96,81.97,1050,1281,"GoodDrivePercentage",2005
116,116,"Todd Fischer",99,81.94,1107,1351,"GoodDrivePercentage",2005
117,117,"Ryuji Imada",78,81.93,893,1090,"GoodDrivePercentage",2005
117,117,"Pat Perez",89,81.93,1025,1251,"GoodDrivePercentage",2005
119,119,"Stuart Appleby",84,81.91,924,1128,"GoodDrivePercentage",2005
119,119,"Dan Forsman",52,81.91,566,691,"GoodDrivePercentage",2005
119,119,"Bernhard Langer",67,81.91,770,940,"GoodDrivePercentage",2005
119,119,"DA Points",94,81.91,1028,1255,"GoodDrivePercentage",2005
123,123,"Matt Gogel",78,81.89,868,1060,"GoodDrivePercentage",2005
