"TenthTeeLateScoringAverage_RANKTHISWEEK_2014","TenthTeeLateScoringAverage_RANKLASTWEEK_2014","TenthTeeLateScoringAverage_PLAYERNAME_2014","TenthTeeLateScoringAverage_ROUNDS_2014","TenthTeeLateScoringAverage_AVG_2014","TenthTeeLateScoringAverage_TOTALSTROKES_2014","TenthTeeLateScoringAverage_TOTAL10THTEELATERNDS_2014","stat_name","year"
1,1,"Adam Scott",68,66,66,1,"TenthTeeLateScoringAverage",2014
2,2,"Rory McIlroy",66,66.5,133,2,"TenthTeeLateScoringAverage",2014
3,3,"Jordan Spieth",102,67,67,1,"TenthTeeLateScoringAverage",2014
4,4,"Patrick Reed",92,67.86,475,7,"TenthTeeLateScoringAverage",2014
5,5,"Bubba Watson",76,68,272,4,"TenthTeeLateScoringAverage",2014
6,6,"Jason Day",54,68.67,206,3,"TenthTeeLateScoringAverage",2014
6,6,"Martin Kaymer",65,68.67,412,6,"TenthTeeLateScoringAverage",2014
8,8,"Sergio Garcia",61,68.75,275,4,"TenthTeeLateScoringAverage",2014
9,9,"Brad Fritsch",50,68.88,551,8,"TenthTeeLateScoringAverage",2014
10,10,"Jerry Kelly",80,69,828,12,"TenthTeeLateScoringAverage",2014
10,10,"Hideki Matsuyama",82,69,552,8,"TenthTeeLateScoringAverage",2014
10,10,"Justin Rose",70,69,207,3,"TenthTeeLateScoringAverage",2014
13,13,"Brandt Snedeker",89,69.14,484,7,"TenthTeeLateScoringAverage",2014
14,14,"Ryan Palmer",85,69.15,899,13,"TenthTeeLateScoringAverage",2014
15,15,"Ryan Moore",86,69.17,830,12,"TenthTeeLateScoringAverage",2014
15,15,"Kevin Na",94,69.17,1245,18,"TenthTeeLateScoringAverage",2014
17,17,"Charl Schwartzel",64,69.22,623,9,"TenthTeeLateScoringAverage",2014
18,18,"Keegan Bradley",89,69.25,554,8,"TenthTeeLateScoringAverage",2014
19,19,"Henrik Stenson",56,69.29,485,7,"TenthTeeLateScoringAverage",2014
20,20,"Brendon de Jonge",109,69.3,1386,20,"TenthTeeLateScoringAverage",2014
21,21,"Chad Campbell",57,69.33,624,9,"TenthTeeLateScoringAverage",2014
21,21,"Bill Haas",107,69.33,832,12,"TenthTeeLateScoringAverage",2014
23,23,"James Hahn",82,69.4,1041,15,"TenthTeeLateScoringAverage",2014
24,24,"Heath Slocum",71,69.59,1183,17,"TenthTeeLateScoringAverage",2014
25,25,"Billy Horschel",92,69.64,975,14,"TenthTeeLateScoringAverage",2014
26,26,"Jimmy Walker",98,69.75,279,4,"TenthTeeLateScoringAverage",2014
27,27,"Morgan Hoffmann",103,69.77,907,13,"TenthTeeLateScoringAverage",2014
28,28,"Andrew Svoboda",77,69.79,977,14,"TenthTeeLateScoringAverage",2014
29,29,"Brendon Todd",108,69.81,1117,16,"TenthTeeLateScoringAverage",2014
30,30,"Brian Harman",111,69.89,1258,18,"TenthTeeLateScoringAverage",2014
31,31,"Trevor Immelman",84,69.9,699,10,"TenthTeeLateScoringAverage",2014
31,31,"Shawn Stefani",60,69.9,699,10,"TenthTeeLateScoringAverage",2014
33,33,"Kevin Chappell",100,69.93,979,14,"TenthTeeLateScoringAverage",2014
34,34,"Jason Dufner",57,70,280,4,"TenthTeeLateScoringAverage",2014
34,34,"Zach Johnson",97,70,280,4,"TenthTeeLateScoringAverage",2014
34,34,"Matt Kuchar",91,70,70,1,"TenthTeeLateScoringAverage",2014
34,34,"Marc Leishman",81,70,1120,16,"TenthTeeLateScoringAverage",2014
34,34,"Camilo Villegas",95,70,1260,18,"TenthTeeLateScoringAverage",2014
39,39,"Seung Yul Noh",92,70.06,1261,18,"TenthTeeLateScoringAverage",2014
40,40,"George McNeill",79,70.08,841,12,"TenthTeeLateScoringAverage",2014
40,40,"Boo Weekley",73,70.08,841,12,"TenthTeeLateScoringAverage",2014
42,42,"Daniel Summerhays",98,70.13,1122,16,"TenthTeeLateScoringAverage",2014
43,43,"Charles Howell III",106,70.15,1824,26,"TenthTeeLateScoringAverage",2014
44,44,"Ricky Barnes",92,70.17,1263,18,"TenthTeeLateScoringAverage",2014
45,45,"Harris English",95,70.25,562,8,"TenthTeeLateScoringAverage",2014
46,46,"Freddie Jacobson",91,70.27,1054,15,"TenthTeeLateScoringAverage",2014
47,47,"Robert Garrigus",80,70.29,984,14,"TenthTeeLateScoringAverage",2014
47,47,"Russell Knox",92,70.29,984,14,"TenthTeeLateScoringAverage",2014
47,47,"Jason Kokrak",65,70.29,984,14,"TenthTeeLateScoringAverage",2014
50,50,"Carl Pettersson",91,70.3,1406,20,"TenthTeeLateScoringAverage",2014
51,51,"Jim Furyk",84,70.33,211,3,"TenthTeeLateScoringAverage",2014
