"TenthTeeLateRound1ScoringAverage_RANKTHISWEEK_2006","TenthTeeLateRound1ScoringAverage_RANKLASTWEEK_2006","TenthTeeLateRound1ScoringAverage_PLAYERNAME_2006","TenthTeeLateRound1ScoringAverage__2006","TenthTeeLateRound1ScoringAverage_AVG_2006","TenthTeeLateRound1ScoringAverage_TOTALSTROKES_2006","TenthTeeLateRound1ScoringAverage_TOTALROUNDS_2006","stat_name","year"
1,1,"Chad Campbell",NA,67,268,4,"TenthTeeLateRound1ScoringAverage",2006
1,1,"David Howell",NA,67,134,2,"TenthTeeLateRound1ScoringAverage",2006
3,3,"Geoff Ogilvy",NA,68,136,2,"TenthTeeLateRound1ScoringAverage",2006
3,3,"Steve Stricker",NA,68,136,2,"TenthTeeLateRound1ScoringAverage",2006
5,5,"Charley Hoffman",NA,68.2,341,5,"TenthTeeLateRound1ScoringAverage",2006
6,6,"Fred Funk",NA,68.33,410,6,"TenthTeeLateRound1ScoringAverage",2006
6,6,"Rory Sabbatini",NA,68.33,205,3,"TenthTeeLateRound1ScoringAverage",2006
8,8,"Jeff Sluman",NA,68.5,274,4,"TenthTeeLateRound1ScoringAverage",2006
9,9,"JJ Henry",NA,68.6,343,5,"TenthTeeLateRound1ScoringAverage",2006
10,10,"Bubba Watson",NA,68.86,482,7,"TenthTeeLateRound1ScoringAverage",2006
11,11,"Bart Bryant",NA,69,207,3,"TenthTeeLateRound1ScoringAverage",2006
11,11,"Ian Poulter",NA,69,345,5,"TenthTeeLateRound1ScoringAverage",2006
11,11,"John Rollins",NA,69,207,3,"TenthTeeLateRound1ScoringAverage",2006
14,14,"Zach Johnson",NA,69.17,415,6,"TenthTeeLateRound1ScoringAverage",2006
14,14,"Bernhard Langer",NA,69.17,415,6,"TenthTeeLateRound1ScoringAverage",2006
14,14,"DA Points",NA,69.17,415,6,"TenthTeeLateRound1ScoringAverage",2006
17,17,"Stephen Leaney",NA,69.2,346,5,"TenthTeeLateRound1ScoringAverage",2006
18,18,"Robert Allenby",NA,69.33,208,3,"TenthTeeLateRound1ScoringAverage",2006
18,18,"Greg Owen",NA,69.33,208,3,"TenthTeeLateRound1ScoringAverage",2006
20,20,"Dean Wilson",NA,69.45,764,11,"TenthTeeLateRound1ScoringAverage",2006
21,21,"Joe Durant",NA,69.5,278,4,"TenthTeeLateRound1ScoringAverage",2006
21,21,"Shaun Micheel",NA,69.5,278,4,"TenthTeeLateRound1ScoringAverage",2006
21,21,"Phil Mickelson",NA,69.5,139,2,"TenthTeeLateRound1ScoringAverage",2006
