"EaglesHolesper_RANKTHISWEEK_2011","EaglesHolesper_RANKLASTWEEK_2011","EaglesHolesper_PLAYERNAME_2011","EaglesHolesper_ROUNDS_2011","EaglesHolesper_FREQUENCY_2011","EaglesHolesper_OFHOLES_2011","EaglesHolesper_OFEAGLES_2011","stat_name","year"
1,1,"Sung Kang",63,75.6,1134,15,"EaglesHolesper",2011
2,2,"Bobby Gates",82,86.8,1476,17,"EaglesHolesper",2011
3,3,"Bubba Watson",85,94.8,1422,15,"EaglesHolesper",2011
4,4,"Derek Lamely",65,97.5,1170,12,"EaglesHolesper",2011
5,5,"Will Strickler",51,102,918,9,"EaglesHolesper",2011
6,6,"Angel Cabrera",50,112.5,900,8,"EaglesHolesper",2011
7,7,"Greg Chalmers",88,113.1,1584,14,"EaglesHolesper",2011
8,8,"Scott McCarron",65,117,1170,10,"EaglesHolesper",2011
9,9,"Kyle Stanley",98,117.6,1764,15,"EaglesHolesper",2011
10,10,"Rickie Fowler",84,121.5,1458,12,"EaglesHolesper",2011
11,11,"Sergio Garcia",61,122,1098,9,"EaglesHolesper",2011
12,12,"Andres Romero",77,126,1386,11,"EaglesHolesper",2011
12,12,"DJ Trahan",91,126,1638,13,"EaglesHolesper",2011
14,14,"Chris Couch",73,131.4,1314,10,"EaglesHolesper",2011
15,15,"Nate Smith",66,132,1188,9,"EaglesHolesper",2011
16,16,"Lucas Glover",74,133.2,1332,10,"EaglesHolesper",2011
17,17,"Bo Van Pelt",92,135,1620,12,"EaglesHolesper",2011
18,18,"Webb Simpson",98,135.7,1764,13,"EaglesHolesper",2011
19,19,"Steve Marino",76,136.8,1368,10,"EaglesHolesper",2011
20,20,"George McNeill",69,138,1242,9,"EaglesHolesper",2011
21,21,"John Rollins",85,139.1,1530,11,"EaglesHolesper",2011
21,21,"Brandt Snedeker",85,139.1,1530,11,"EaglesHolesper",2011
23,23,"Kevin Chappell",78,140.4,1404,10,"EaglesHolesper",2011
24,24,"Kevin Stadler",88,144,1584,11,"EaglesHolesper",2011
25,25,"DA Points",89,145.6,1602,11,"EaglesHolesper",2011
25,25,"Brendan Steele",89,145.6,1602,11,"EaglesHolesper",2011
27,27,"Michael Bradley",74,148,1332,9,"EaglesHolesper",2011
28,28,"Joe Ogilvie",75,150,1350,9,"EaglesHolesper",2011
28,28,"Daniel Summerhays",75,150,1350,9,"EaglesHolesper",2011
30,30,"Robert Karlsson",61,151.7,1062,7,"EaglesHolesper",2011
30,30,"Adam Scott",60,151.7,1062,7,"EaglesHolesper",2011
32,32,"Martin Laird",77,152,1368,9,"EaglesHolesper",2011
33,33,"Nick Watney",80,154,1386,9,"EaglesHolesper",2011
34,34,"Steven Bowditch",86,154.8,1548,10,"EaglesHolesper",2011
35,35,"Ricky Barnes",78,156,1404,9,"EaglesHolesper",2011
35,35,"Scott Piercy",78,156,1404,9,"EaglesHolesper",2011
35,35,"Josh Teater",104,156,1872,12,"EaglesHolesper",2011
38,38,"Tag Ridings",87,156.6,1566,10,"EaglesHolesper",2011
