"TotalDriving_RANKTHISWEEK_2014","TotalDriving_RANKLASTWEEK_2014","TotalDriving_PLAYERNAME_2014","TotalDriving_EVENTS_2014","TotalDriving_TOTAL_2014","TotalDriving_DISTANCERANK_2014","TotalDriving_ACCURACYRANK_2014","stat_name","year"
1,1,"Lucas Glover",26,74,20,54,"TotalDriving",2014
2,2,"Henrik Stenson",15,78,64,14,"TotalDriving",2014
3,3,"Hunter Mahan",25,81,45,36,"TotalDriving",2014
4,4,"Hudson Swafford",26,82,33,49,"TotalDriving",2014
5,5,"Derek Ernst",28,83,38,45,"TotalDriving",2014
6,6,"Kevin Chappell",28,84,43,41,"TotalDriving",2014
6,6,"Shawn Stefani",17,84,31,53,"TotalDriving",2014
8,8,"Keegan Bradley",26,86,17,69,"TotalDriving",2014
9,9,"Graham DeLaet",24,89,14,75,"TotalDriving",2014
10,10,"Adam Scott",17,93,13,80,"TotalDriving",2014
11,11,"Billy Horschel",27,99,76,23,"TotalDriving",2014
12,12,"Jhonattan Vegas",23,101,8,93,"TotalDriving",2014
12,12,"Nick Watney",25,101,45,56,"TotalDriving",2014
14,14,"Bubba Watson",21,103,1,102,"TotalDriving",2014
15,15,"Boo Weekley",24,110,100,10,"TotalDriving",2014
16,16,"Rory McIlroy",17,111,3,108,"TotalDriving",2014
17,17,"Kevin Streelman",24,113,97,16,"TotalDriving",2014
18,18,"Louis Oosthuizen",16,119,21,98,"TotalDriving",2014
19,19,"Will Wilcox",16,121,36,85,"TotalDriving",2014
20,20,"Ben Martin",26,122,75,47,"TotalDriving",2014
20,20,"Kyle Stanley",28,122,33,89,"TotalDriving",2014
22,22,"Brendon de Jonge",31,123,106,17,"TotalDriving",2014
22,22,"Russell Henley",29,123,61,62,"TotalDriving",2014
24,24,"Kevin Stadler",26,125,76,49,"TotalDriving",2014
25,25,"Jim Herman",21,126,52,74,"TotalDriving",2014
25,25,"Martin Laird",20,126,37,89,"TotalDriving",2014
27,27,"JJ Henry",28,128,82,46,"TotalDriving",2014
27,27,"Justin Hicks",30,128,125,3,"TotalDriving",2014
27,27,"Will Ma Kenzie",27,128,84,44,"TotalDriving",2014
27,27,"Gary Woodland",25,128,9,119,"TotalDriving",2014
31,31,"Sergio Garcia",16,130,57,73,"TotalDriving",2014
31,31,"Hideki Matsuyama",24,130,51,79,"TotalDriving",2014
33,33,"Harris English",28,132,26,106,"TotalDriving",2014
34,34,"Charlie Beljan",26,136,11,125,"TotalDriving",2014
34,34,"Nicholas Thompson",30,136,114,22,"TotalDriving",2014
36,36,"Bill Haas",28,137,73,64,"TotalDriving",2014
36,36,"John Merrick",25,137,122,15,"TotalDriving",2014
38,38,"Scott Brown",30,138,112,26,"TotalDriving",2014
38,38,"Martin Kaymer",19,138,50,88,"TotalDriving",2014
38,38,"Russell Knox",26,138,120,18,"TotalDriving",2014
38,38,"Ryan Moore",24,138,129,9,"TotalDriving",2014
42,42,"Rickie Fowler",26,141,33,108,"TotalDriving",2014
42,42,"Robert Streb",21,141,25,116,"TotalDriving",2014
44,44,"Chad Campbell",18,142,107,35,"TotalDriving",2014
44,44,"Andrew Svoboda",24,142,111,31,"TotalDriving",2014
46,46,"Bo Van Pelt",25,143,78,65,"TotalDriving",2014
47,47,"Josh Teater",28,144,53,91,"TotalDriving",2014
