"FedExCupBonusMoney_RANKTHISWEEK_2007","FedExCupBonusMoney_RANKLASTWEEK_2007","FedExCupBonusMoney_PLAYERNAME_2007","FedExCupBonusMoney_EVENTS_2007","FedExCupBonusMoney_MONEY_2007","stat_name","year"
1,1,"Tiger Woods",3,1e+07,"FedExCupBonusMoney",2007
2,2,"Steve Stricker",4,3e+06,"FedExCupBonusMoney",2007
3,3,"Phil Mickelson",3,2e+06,"FedExCupBonusMoney",2007
4,4,"Rory Sabbatini",4,1500000,"FedExCupBonusMoney",2007
5,5,"KJ Choi",4,1e+06,"FedExCupBonusMoney",2007
6,6,"Aaron Baddeley",4,8e+05,"FedExCupBonusMoney",2007
7,7,"Zach Johnson",4,7e+05,"FedExCupBonusMoney",2007
8,8,"Mark Calcavecchia",4,6e+05,"FedExCupBonusMoney",2007
9,9,"Sergio Garcia",4,550000,"FedExCupBonusMoney",2007
10,10,"Vijay Singh",4,5e+05,"FedExCupBonusMoney",2007
11,11,"Jim Furyk",4,3e+05,"FedExCupBonusMoney",2007
12,12,"Adam Scott",4,290000,"FedExCupBonusMoney",2007
13,13,"Geoff Ogilvy",4,280000,"FedExCupBonusMoney",2007
14,14,"Scott Verplank",3,270000,"FedExCupBonusMoney",2007
15,15,"Hunter Mahan",4,250000,"FedExCupBonusMoney",2007
16,16,"Justin Rose",4,245000,"FedExCupBonusMoney",2007
17,17,"Woody Austin",4,240000,"FedExCupBonusMoney",2007
18,18,"Charles Howell III",4,235000,"FedExCupBonusMoney",2007
19,19,"Ernie Els",3,230000,"FedExCupBonusMoney",2007
20,20,"Brandt Snedeker",4,225000,"FedExCupBonusMoney",2007
21,21,"Tim Clark",4,220000,"FedExCupBonusMoney",2007
22,22,"Stewart Cink",4,215000,"FedExCupBonusMoney",2007
23,23,"Robert Allenby",4,210000,"FedExCupBonusMoney",2007
24,24,"Camilo Villegas",4,205000,"FedExCupBonusMoney",2007
25,25,"Boo Weekley",4,2e+05,"FedExCupBonusMoney",2007
26,26,"John Rollins",4,195000,"FedExCupBonusMoney",2007
27,27,"Brett Wetterich",4,190000,"FedExCupBonusMoney",2007
28,28,"Jonathan Byrd",4,185000,"FedExCupBonusMoney",2007
29,29,"Padraig Harrington",3,180000,"FedExCupBonusMoney",2007
30,30,"Heath Slocum",4,175000,"FedExCupBonusMoney",2007
31,31,"Luke Donald",3,165000,"FedExCupBonusMoney",2007
32,32,"Jerry Kelly",3,155000,"FedExCupBonusMoney",2007
33,33,"David Toms",3,150000,"FedExCupBonusMoney",2007
34,34,"Arron Oberholser",3,145000,"FedExCupBonusMoney",2007
35,35,"Lucas Glover",3,142000,"FedExCupBonusMoney",2007
36,36,"Stuart Appleby",3,140000,"FedExCupBonusMoney",2007
37,37,"Bubba Watson",3,138000,"FedExCupBonusMoney",2007
38,38,"Carl Pettersson",3,137000,"FedExCupBonusMoney",2007
39,39,"Henrik Stenson",3,136000,"FedExCupBonusMoney",2007
40,40,"Trevor Immelman",3,135000,"FedExCupBonusMoney",2007
41,41,"Nick Watney",3,134000,"FedExCupBonusMoney",2007
42,42,"Mark Wilson",3,133000,"FedExCupBonusMoney",2007
43,43,"Anthony Kim",3,132000,"FedExCupBonusMoney",2007
44,44,"Pat Perez",3,131000,"FedExCupBonusMoney",2007
45,45,"Ken Duke",3,130000,"FedExCupBonusMoney",2007
46,46,"Nathan Green",3,129000,"FedExCupBonusMoney",2007
47,47,"Angel Cabrera",3,128000,"FedExCupBonusMoney",2007
48,48,"Troy Matteson",3,127000,"FedExCupBonusMoney",2007
49,49,"Billy Mayfair",3,126000,"FedExCupBonusMoney",2007
50,50,"Charley Hoffman",3,125000,"FedExCupBonusMoney",2007
51,51,"Jeff Quinney",3,120000,"FedExCupBonusMoney",2007
52,52,"Ryan Moore",3,115000,"FedExCupBonusMoney",2007
53,53,"Rod Pampling",3,114000,"FedExCupBonusMoney",2007
54,54,"Ryuji Imada",3,113000,"FedExCupBonusMoney",2007
55,55,"John Senden",3,110000,"FedExCupBonusMoney",2007
56,56,"Kevin Sutherland",3,110000,"FedExCupBonusMoney",2007
57,57,"Ian Poulter",3,110000,"FedExCupBonusMoney",2007
58,58,"Sean OHair",3,110000,"FedExCupBonusMoney",2007
59,59,"Paul Goydos",2,110000,"FedExCupBonusMoney",2007
60,60,"Kenny Perry",3,110000,"FedExCupBonusMoney",2007
61,61,"John Mallinger",3,110000,"FedExCupBonusMoney",2007
62,62,"Nick OHern",3,110000,"FedExCupBonusMoney",2007
63,63,"Vaughn Taylor",3,110000,"FedExCupBonusMoney",2007
64,64,"Bo Van Pelt",3,110000,"FedExCupBonusMoney",2007
65,65,"Rocco Mediate",3,110000,"FedExCupBonusMoney",2007
66,66,"Jose Coceres",3,110000,"FedExCupBonusMoney",2007
67,67,"Brian Bateman",3,110000,"FedExCupBonusMoney",2007
68,68,"Bernhard Langer",0,110000,"FedExCupBonusMoney",2007
69,69,"Stephen Ames",2,110000,"FedExCupBonusMoney",2007
70,70,"Steve Marino",3,110000,"FedExCupBonusMoney",2007
71,71,"Steve Flesch",2,80000,"FedExCupBonusMoney",2007
72,72,"Peter Lonard",2,80000,"FedExCupBonusMoney",2007
73,73,"Will Ma Kenzie",2,80000,"FedExCupBonusMoney",2007
74,74,"Stephen Leaney",2,80000,"FedExCupBonusMoney",2007
75,75,"Dean Wilson",2,80000,"FedExCupBonusMoney",2007
76,76,"Brian Davis",2,80000,"FedExCupBonusMoney",2007
77,77,"Fred Funk",2,80000,"FedExCupBonusMoney",2007
78,78,"Brian Gay",2,80000,"FedExCupBonusMoney",2007
79,79,"Bart Bryant",2,80000,"FedExCupBonusMoney",2007
80,80,"Tim Petrovic",2,80000,"FedExCupBonusMoney",2007
81,81,"Jason Gore",2,75000,"FedExCupBonusMoney",2007
82,82,"Joe Ogilvie",2,75000,"FedExCupBonusMoney",2007
83,83,"Davis Love III",2,75000,"FedExCupBonusMoney",2007
84,84,"Freddie Jacobson",2,75000,"FedExCupBonusMoney",2007
85,85,"Charles Warren",2,75000,"FedExCupBonusMoney",2007
86,86,"Justin Leonard",2,75000,"FedExCupBonusMoney",2007
87,87,"Mike Weir",2,75000,"FedExCupBonusMoney",2007
88,88,"Steve Elkington",2,75000,"FedExCupBonusMoney",2007
89,89,"Retief Goosen",2,75000,"FedExCupBonusMoney",2007
90,90,"Tom Lehman",1,75000,"FedExCupBonusMoney",2007
90,90,"Charlie Wi",2,75000,"FedExCupBonusMoney",2007
92,92,"Matt Kuchar",2,75000,"FedExCupBonusMoney",2007
93,93,"Tom Pernice Jr",2,75000,"FedExCupBonusMoney",2007
94,94,"JJ Henry",2,75000,"FedExCupBonusMoney",2007
95,95,"Cliff Kresge",2,75000,"FedExCupBonusMoney",2007
96,96,"Robert Garrigus",2,75000,"FedExCupBonusMoney",2007
97,97,"Chris DiMarco",2,75000,"FedExCupBonusMoney",2007
98,98,"Kevin Na",2,75000,"FedExCupBonusMoney",2007
99,99,"Shaun Micheel",2,75000,"FedExCupBonusMoney",2007
100,100,"Jose Maria Olazabal",0,75000,"FedExCupBonusMoney",2007
101,101,"Briny Baird",2,70000,"FedExCupBonusMoney",2007
102,102,"Jeff Maggert",2,70000,"FedExCupBonusMoney",2007
103,103,"Craig Kanada",2,70000,"FedExCupBonusMoney",2007
104,104,"Tim Herron",2,70000,"FedExCupBonusMoney",2007
105,105,"Ted Purdy",2,70000,"FedExCupBonusMoney",2007
106,106,"George McNeill",2,70000,"FedExCupBonusMoney",2007
107,107,"Chad Campbell",2,70000,"FedExCupBonusMoney",2007
108,108,"Kevin Stadler",2,70000,"FedExCupBonusMoney",2007
109,109,"Bob Estes",2,70000,"FedExCupBonusMoney",2007
110,110,"Rich Beem",2,70000,"FedExCupBonusMoney",2007
111,111,"Jeff Overton",2,70000,"FedExCupBonusMoney",2007
112,112,"Tommy Armour III",2,70000,"FedExCupBonusMoney",2007
113,113,"JB Holmes",2,70000,"FedExCupBonusMoney",2007
114,114,"Ben Curtis",2,70000,"FedExCupBonusMoney",2007
115,115,"Daniel Chopra",2,70000,"FedExCupBonusMoney",2007
116,116,"Brett Quigley",2,70000,"FedExCupBonusMoney",2007
117,117,"DJ Trahan",2,70000,"FedExCupBonusMoney",2007
118,118,"JP Hayes",2,70000,"FedExCupBonusMoney",2007
119,119,"Harrison Frazar",2,70000,"FedExCupBonusMoney",2007
120,120,"Doug LaBelle II",2,70000,"FedExCupBonusMoney",2007
121,121,"Steve Allan",1,70000,"FedExCupBonusMoney",2007
122,122,"Mathew Goggin",1,70000,"FedExCupBonusMoney",2007
123,123,"Joe Durant",1,70000,"FedExCupBonusMoney",2007
124,124,"Alex Cejka",1,70000,"FedExCupBonusMoney",2007
125,125,"Bob Heintz",1,70000,"FedExCupBonusMoney",2007
126,126,"Bill Haas",1,32000,"FedExCupBonusMoney",2007
127,127,"Jason Dufner",1,32000,"FedExCupBonusMoney",2007
128,128,"Ryan Armour",1,32000,"FedExCupBonusMoney",2007
129,129,"John Merrick",1,32000,"FedExCupBonusMoney",2007
130,130,"Johnson Wagner",1,32000,"FedExCupBonusMoney",2007
131,131,"Jason Bohn",0,32000,"FedExCupBonusMoney",2007
132,132,"Frank Lickliter II",1,32000,"FedExCupBonusMoney",2007
133,133,"Gavin Coles",1,32000,"FedExCupBonusMoney",2007
134,134,"Ryan Palmer",0,32000,"FedExCupBonusMoney",2007
135,135,"Tripp Isenhour",1,32000,"FedExCupBonusMoney",2007
136,136,"Billy Andrade",1,32000,"FedExCupBonusMoney",2007
137,137,"Anders Hansen",1,32000,"FedExCupBonusMoney",2007
138,138,"Corey Pavin",1,32000,"FedExCupBonusMoney",2007
139,139,"Jesper Parnevik",1,32000,"FedExCupBonusMoney",2007
140,140,"Shigeki Maruyama",1,32000,"FedExCupBonusMoney",2007
141,141,"Michael Putnam",1,32000,"FedExCupBonusMoney",2007
142,142,"Andrew Buckle",1,32000,"FedExCupBonusMoney",2007
143,143,"Bob Tway",1,32000,"FedExCupBonusMoney",2007
144,144,"Jeff Gove",1,32000,"FedExCupBonusMoney",2007
145,145,"Eric Axley",29,32000,"FedExCupBonusMoney",2007
146,146,"Lee Janzen",19,32000,"FedExCupBonusMoney",2007
147,147,"Glen Day",20,32000,"FedExCupBonusMoney",2007
148,148,"Marco Dawson",16,32000,"FedExCupBonusMoney",2007
149,149,"Cameron Beckman",22,32000,"FedExCupBonusMoney",2007
150,150,"Mark Hensby",20,32000,"FedExCupBonusMoney",2007
