"OnePuttPercentageRound3_RANKTHISWEEK_2014","OnePuttPercentageRound3_RANKLASTWEEK_2014","OnePuttPercentageRound3_PLAYERNAME_2014","OnePuttPercentageRound3__2014","OnePuttPercentageRound3_Pct_2014","OnePuttPercentageRound3_OF1PUTTS_2014","OnePuttPercentageRound3_OFHOLES_2014","stat_name","year"
1,1,"Angel Cabrera",NA,49.54,107,216,"OnePuttPercentageRound3",2014
2,2,"Bryce Molder",NA,47.44,111,234,"OnePuttPercentageRound3",2014
3,3,"Morgan Hoffmann",NA,46.49,159,342,"OnePuttPercentageRound3",2014
4,4,"Jerry Kelly",NA,46.3,150,324,"OnePuttPercentageRound3",2014
5,5,"Ernie Els",NA,46.08,141,306,"OnePuttPercentageRound3",2014
6,6,"Rickie Fowler",NA,45.99,149,324,"OnePuttPercentageRound3",2014
7,7,"Chad Collins",NA,45.96,91,198,"OnePuttPercentageRound3",2014
8,8,"Brian Gay",NA,45.83,132,288,"OnePuttPercentageRound3",2014
9,9,"Ryo Ishikawa",NA,45.24,114,252,"OnePuttPercentageRound3",2014
10,10,"Wes Roach",NA,44.95,89,198,"OnePuttPercentageRound3",2014
11,11,"Sean OHair",NA,44.84,113,252,"OnePuttPercentageRound3",2014
12,12,"Andres Romero",NA,44.81,121,270,"OnePuttPercentageRound3",2014
13,13,"Chris Stroud",NA,44.72,161,360,"OnePuttPercentageRound3",2014
14,14,"David Lingmerth",NA,44.44,104,234,"OnePuttPercentageRound3",2014
15,15,"Freddie Jacobson",NA,44.17,159,360,"OnePuttPercentageRound3",2014
16,16,"Tim Wilkinson",NA,44.14,143,324,"OnePuttPercentageRound3",2014
17,17,"Matt Jones",NA,44.12,135,306,"OnePuttPercentageRound3",2014
18,18,"Rory McIlroy",NA,44.1,127,288,"OnePuttPercentageRound3",2014
19,19,"Charl Schwartzel",NA,44.05,111,252,"OnePuttPercentageRound3",2014
20,20,"James Driscoll",NA,43.94,87,198,"OnePuttPercentageRound3",2014
21,21,"Andrew Loupe",NA,43.89,79,180,"OnePuttPercentageRound3",2014
21,21,"Kevin Na",NA,43.89,158,360,"OnePuttPercentageRound3",2014
23,23,"Justin Leonard",NA,43.75,126,288,"OnePuttPercentageRound3",2014
24,24,"Phil Mickelson",NA,43.7,118,270,"OnePuttPercentageRound3",2014
25,25,"DA Points",NA,43.52,94,216,"OnePuttPercentageRound3",2014
26,26,"Chris Kirk",NA,43.33,195,450,"OnePuttPercentageRound3",2014
27,27,"Jordan Spieth",NA,43.24,179,414,"OnePuttPercentageRound3",2014
28,28,"Luke Guthrie",NA,43.21,140,324,"OnePuttPercentageRound3",2014
29,29,"YE Yang",NA,43.16,101,234,"OnePuttPercentageRound3",2014
30,30,"John Peterson",NA,43.06,62,144,"OnePuttPercentageRound3",2014
31,31,"Scott Langley",NA,42.98,147,342,"OnePuttPercentageRound3",2014
32,32,"Sangmoon Bae",NA,42.96,116,270,"OnePuttPercentageRound3",2014
33,33,"Ted Potter Jr",NA,42.93,85,198,"OnePuttPercentageRound3",2014
33,33,"Lee Westwood",NA,42.93,85,198,"OnePuttPercentageRound3",2014
35,35,"Aaron Baddeley",NA,42.86,108,252,"OnePuttPercentageRound3",2014
35,35,"Tim Clark",NA,42.86,108,252,"OnePuttPercentageRound3",2014
35,35,"Richard Lee",NA,42.86,108,252,"OnePuttPercentageRound3",2014
38,38,"Ricky Barnes",NA,42.5,153,360,"OnePuttPercentageRound3",2014
38,38,"Ryan Palmer",NA,42.5,153,360,"OnePuttPercentageRound3",2014
40,40,"Will Ma Kenzie",NA,42.46,107,252,"OnePuttPercentageRound3",2014
41,41,"Jimmy Walker",NA,42.42,168,396,"OnePuttPercentageRound3",2014
42,42,"DH Lee",NA,42.36,61,144,"OnePuttPercentageRound3",2014
42,42,"Nick Watney",NA,42.36,122,288,"OnePuttPercentageRound3",2014
44,44,"Charley Hoffman",NA,42.17,167,396,"OnePuttPercentageRound3",2014
45,45,"Jonas Blixt",NA,42.13,91,216,"OnePuttPercentageRound3",2014
45,45,"Brooks Koepka",NA,42.13,91,216,"OnePuttPercentageRound3",2014
45,45,"Charlie Wi",NA,42.13,91,216,"OnePuttPercentageRound3",2014
