"BirdieorBetterPercentageLess125_RANKTHISWEEK_2005","BirdieorBetterPercentageLess125_RANKLASTWEEK_2005","BirdieorBetterPercentageLess125_PLAYERNAME_2005","BirdieorBetterPercentageLess125_ROUNDS_2005","BirdieorBetterPercentageLess125_Pct_2005","BirdieorBetterPercentageLess125_TOTALBIRDIES_2005","BirdieorBetterPercentageLess125_TOTALHOLES_2005","stat_name","year"
1,1,"Steve Stricker",62,32.23,78,242,"BirdieorBetterPercentageLess125",2005
2,2,"Tiger Woods",76,29.91,70,234,"BirdieorBetterPercentageLess125",2005
3,3,"Jeff Maggert",79,28.22,68,241,"BirdieorBetterPercentageLess125",2005
4,4,"Doug Barron",70,27.85,83,298,"BirdieorBetterPercentageLess125",2005
5,5,"Fred Couples",72,27.83,59,212,"BirdieorBetterPercentageLess125",2005
5,5,"Larry Mize",54,27.83,59,212,"BirdieorBetterPercentageLess125",2005
7,7,"Richard Johnson",50,27.64,55,199,"BirdieorBetterPercentageLess125",2005
8,8,"Luke Donald",67,27.56,43,156,"BirdieorBetterPercentageLess125",2005
9,9,"Jeff Brehaut",71,27.44,73,266,"BirdieorBetterPercentageLess125",2005
10,10,"Bart Bryant",91,27.21,83,305,"BirdieorBetterPercentageLess125",2005
11,11,"JP Hayes",63,27.2,68,250,"BirdieorBetterPercentageLess125",2005
12,12,"Chris Anderson",66,27.08,75,277,"BirdieorBetterPercentageLess125",2005
13,13,"Dan Forsman",52,27.06,59,218,"BirdieorBetterPercentageLess125",2005
14,14,"Scott Verplank",87,26.83,66,246,"BirdieorBetterPercentageLess125",2005
15,15,"Glen Hnatiuk",59,26.79,60,224,"BirdieorBetterPercentageLess125",2005
16,16,"Stephen Leaney",89,26.73,81,303,"BirdieorBetterPercentageLess125",2005
17,17,"Brad Faxon",75,26.67,56,210,"BirdieorBetterPercentageLess125",2005
18,18,"Zach Johnson",96,26.6,104,391,"BirdieorBetterPercentageLess125",2005
19,19,"Tim Herron",100,26.51,88,332,"BirdieorBetterPercentageLess125",2005
20,20,"Olin Browne",99,26.44,101,382,"BirdieorBetterPercentageLess125",2005
21,21,"Chris DiMarco",83,26.42,70,265,"BirdieorBetterPercentageLess125",2005
22,22,"Justin Leonard",78,26.41,61,231,"BirdieorBetterPercentageLess125",2005
23,23,"Bob Estes",92,26.32,80,304,"BirdieorBetterPercentageLess125",2005
24,24,"Arjun Atwal",65,26.27,67,255,"BirdieorBetterPercentageLess125",2005
25,25,"Gavin Coles",70,26.16,79,302,"BirdieorBetterPercentageLess125",2005
26,26,"Bob Heintz",67,26.1,83,318,"BirdieorBetterPercentageLess125",2005
27,27,"Omar Uresti",84,25.9,86,332,"BirdieorBetterPercentageLess125",2005
28,28,"Vaughn Taylor",99,25.78,108,419,"BirdieorBetterPercentageLess125",2005
29,29,"Brian Davis",75,25.72,71,276,"BirdieorBetterPercentageLess125",2005
30,30,"Ryuji Imada",78,25.67,67,261,"BirdieorBetterPercentageLess125",2005
