"LeftRoughProximity_RANKTHISWEEK_2008","LeftRoughProximity_RANKLASTWEEK_2008","LeftRoughProximity_PLAYERNAME_2008","LeftRoughProximity_ROUNDS_2008","LeftRoughProximity_AVG_2008","LeftRoughProximity_ATTEMPTS_2008","LeftRoughProximity_TOTALDISTANCEFEET_2008","LeftRoughProximity_RELATIVETOPAR_2008","stat_name","year"
1,1,"Scott Verplank",82,NA,70,2318.833,13,"LeftRoughProximity",2008
2,2,"Kevin Stadler",90,NA,131,4753.167,19,"LeftRoughProximity",2008
3,3,"Michael Letzig",88,NA,119,4343.667,11,"LeftRoughProximity",2008
4,4,"Ron Whittaker",54,NA,50,1867.917,14,"LeftRoughProximity",2008
5,5,"John Senden",93,NA,135,5104.917,25,"LeftRoughProximity",2008
6,6,"Steve Elkington",84,NA,112,4258.917,2,"LeftRoughProximity",2008
7,7,"Vijay Singh",82,NA,118,4545.333,-1,"LeftRoughProximity",2008
8,8,"Michael Allen",91,NA,112,4346,18,"LeftRoughProximity",2008
8,8,"Ted Purdy",68,NA,97,3763.417,11,"LeftRoughProximity",2008
10,10,"Paul Goydos",78,NA,91,3541.417,18,"LeftRoughProximity",2008
11,11,"Kenny Perry",97,NA,204,7960.5,19,"LeftRoughProximity",2008
12,12,"Steve Allan",58,NA,73,2852.417,11,"LeftRoughProximity",2008
12,12,"Geoff Ogilvy",65,NA,87,3397.917,20,"LeftRoughProximity",2008
14,14,"Padraig Harrington",52,NA,66,2586.5,1,"LeftRoughProximity",2008
15,15,"John Rollins",94,NA,108,4235.917,5,"LeftRoughProximity",2008
16,16,"Sean OHair",81,NA,107,4208.083,10,"LeftRoughProximity",2008
17,17,"Bo Van Pelt",101,NA,156,6143.5,21,"LeftRoughProximity",2008
18,18,"Cody Freeman",66,NA,97,3843.167,14,"LeftRoughProximity",2008
18,18,"Frank Lickliter II",107,NA,147,5817.083,25,"LeftRoughProximity",2008
18,18,"Adam Scott",51,NA,77,3045.75,-1,"LeftRoughProximity",2008
18,18,"Kevin Sutherland",98,NA,151,5972.75,20,"LeftRoughProximity",2008
22,22,"Woody Austin",109,NA,121,4799.667,13,"LeftRoughProximity",2008
23,23,"Steve Flesch",95,NA,173,6878.917,26,"LeftRoughProximity",2008
23,23,"Martin Laird",98,NA,128,5085.75,23,"LeftRoughProximity",2008
25,25,"Tommy Armour III",77,NA,104,4179.833,13,"LeftRoughProximity",2008
26,26,"DJ Trahan",94,NA,118,4751,23,"LeftRoughProximity",2008
27,27,"Stewart Cink",87,NA,101,4070.667,6,"LeftRoughProximity",2008
28,28,"Ben Crane",86,NA,111,4490,8,"LeftRoughProximity",2008
28,28,"Sergio Garcia",72,NA,107,4324.083,8,"LeftRoughProximity",2008
30,30,"Briny Baird",113,NA,151,6120.083,17,"LeftRoughProximity",2008
30,30,"Ben Curtis",80,NA,85,3440.25,9,"LeftRoughProximity",2008
30,30,"Charles Howell III",101,NA,153,6190.667,6,"LeftRoughProximity",2008
33,33,"Robert Gamez",79,NA,89,3618.75,19,"LeftRoughProximity",2008
33,33,"Dudley Hart",74,NA,129,5244,29,"LeftRoughProximity",2008
33,33,"Rocco Mediate",87,NA,96,3907.917,14,"LeftRoughProximity",2008
36,36,"Heath Slocum",104,NA,110,4480,12,"LeftRoughProximity",2008
36,36,"YE Yang",89,NA,131,5337.25,21,"LeftRoughProximity",2008
38,38,"Daniel Chopra",84,NA,143,5840.083,6,"LeftRoughProximity",2008
38,38,"Charley Hoffman",94,NA,144,5877,25,"LeftRoughProximity",2008
40,40,"Tim Clark",90,NA,117,4782.75,6,"LeftRoughProximity",2008
40,40,"Harrison Frazar",73,NA,95,3884.333,5,"LeftRoughProximity",2008
40,40,"Kyle Thompson",70,NA,98,4010.167,25,"LeftRoughProximity",2008
43,43,"Matt Kuchar",88,NA,130,5330.917,15,"LeftRoughProximity",2008
44,44,"Richard Johnson",60,NA,102,4202,17,"LeftRoughProximity",2008
44,44,"Steve Lowery",74,NA,114,4696,12,"LeftRoughProximity",2008
44,44,"Bob Tway",70,NA,99,4077.333,10,"LeftRoughProximity",2008
47,47,"John Merrick",98,NA,101,4184.25,21,"LeftRoughProximity",2008
47,47,"Travis Perkins",53,NA,74,3067.083,10,"LeftRoughProximity",2008
50,50,"Robert Allenby",108,NA,124,5157,10,"LeftRoughProximity",2008
50,50,"Gavin Coles",54,NA,68,2827.417,1,"LeftRoughProximity",2008
50,50,"Brett Rumford",72,NA,106,4403.417,17,"LeftRoughProximity",2008
50,50,"Omar Uresti",74,NA,81,3369.417,9,"LeftRoughProximity",2008
54,54,"Bob Estes",90,NA,123,5122.5,12,"LeftRoughProximity",2008
54,54,"Carl Pettersson",110,NA,202,8409.167,8,"LeftRoughProximity",2008
54,54,"Ian Poulter",51,NA,53,2209.25,2,"LeftRoughProximity",2008
57,57,"Pat Perez",93,NA,115,4800.167,17,"LeftRoughProximity",2008
58,58,"Rich Beem",90,NA,104,4354.667,7,"LeftRoughProximity",2008
58,58,"Kent Jones",68,NA,74,3095.75,14,"LeftRoughProximity",2008
60,60,"Chris DiMarco",87,NA,142,5952.833,19,"LeftRoughProximity",2008
60,60,"Ernie Els",51,NA,62,2600.75,10,"LeftRoughProximity",2008
60,60,"Todd Hamilton",92,NA,98,4107.5,17,"LeftRoughProximity",2008
60,60,"Boo Weekley",86,NA,102,4272.083,18,"LeftRoughProximity",2008
64,64,"Parker McLachlin",88,NA,83,3496.25,-3,"LeftRoughProximity",2008
64,64,"Ryan Palmer",69,NA,109,4584.083,15,"LeftRoughProximity",2008
66,66,"Camilo Villegas",79,NA,108,4556.917,26,"LeftRoughProximity",2008
67,67,"Ryan Armour",87,NA,96,4054.667,17,"LeftRoughProximity",2008
67,67,"Freddie Jacobson",78,NA,104,4397,15,"LeftRoughProximity",2008
69,69,"Brandt Jobe",52,NA,72,3047.75,12,"LeftRoughProximity",2008
70,70,"Jason Gore",94,NA,113,4797.417,21,"LeftRoughProximity",2008
70,70,"Dean Wilson",109,NA,169,7163.333,19,"LeftRoughProximity",2008
72,72,"John Huston",56,NA,66,2802.75,16,"LeftRoughProximity",2008
72,72,"Joe Ogilvie",100,NA,162,6882,4,"LeftRoughProximity",2008
74,74,"Nick OHern",82,NA,94,4005.417,21,"LeftRoughProximity",2008
74,74,"Kevin Streelman",114,NA,155,6604.25,10,"LeftRoughProximity",2008
74,74,"Vaughn Taylor",103,NA,158,6730.583,26,"LeftRoughProximity",2008
77,77,"Justin Bolli",87,NA,111,4731.583,23,"LeftRoughProximity",2008
77,77,"Nick Flanagan",89,NA,137,5840.5,31,"LeftRoughProximity",2008
77,77,"Zach Johnson",85,NA,83,3540.333,6,"LeftRoughProximity",2008
77,77,"Tom Lehman",51,NA,48,2046.583,4,"LeftRoughProximity",2008
77,77,"Jin Park",85,NA,117,4989.583,21,"LeftRoughProximity",2008
77,77,"Charlie Wi",97,NA,117,4989.417,17,"LeftRoughProximity",2008
83,83,"Ken Duke",116,NA,166,7096.917,33,"LeftRoughProximity",2008
83,83,"Tommy Gainey",60,NA,69,2951.167,24,"LeftRoughProximity",2008
83,83,"George McNeill",97,NA,153,6540.833,26,"LeftRoughProximity",2008
86,86,"John Mallinger",95,NA,129,5529.417,17,"LeftRoughProximity",2008
86,86,"Rory Sabbatini",77,NA,104,4454.167,16,"LeftRoughProximity",2008
88,88,"James Driscoll",85,NA,157,6735.083,20,"LeftRoughProximity",2008
88,88,"Bubba Watson",97,NA,151,6480.167,4,"LeftRoughProximity",2008
90,90,"Tom Scherrer",56,NA,71,3059.083,11,"LeftRoughProximity",2008
91,91,"Nick Watney",96,NA,132,5699.917,29,"LeftRoughProximity",2008
92,92,"Robert Garrigus",90,NA,162,7002.833,28,"LeftRoughProximity",2008
92,92,"Dustin Johnson",92,NA,184,7963.083,17,"LeftRoughProximity",2008
94,94,"Troy Matteson",94,NA,131,5674.667,22,"LeftRoughProximity",2008
94,94,"Andres Romero",69,NA,104,4509.917,16,"LeftRoughProximity",2008
94,94,"Nicholas Thompson",113,NA,144,6235.583,23,"LeftRoughProximity",2008
97,97,"Retief Goosen",59,NA,78,3383.25,24,"LeftRoughProximity",2008
97,97,"JJ Henry",108,NA,182,7901.5,27,"LeftRoughProximity",2008
97,97,"Steve Marino",119,NA,199,8639.417,31,"LeftRoughProximity",2008
100,100,"Stephen Ames",83,NA,112,4869.167,8,"LeftRoughProximity",2008
100,100,"Angel Cabrera",55,NA,88,3829.75,13,"LeftRoughProximity",2008
100,100,"Justin Leonard",101,NA,121,5263.333,6,"LeftRoughProximity",2008
100,100,"Charles Warren",79,NA,138,6002.583,35,"LeftRoughProximity",2008
104,104,"Alejandro Canizares",52,NA,80,3484.583,14,"LeftRoughProximity",2008
105,105,"Mark Calcavecchia",67,NA,84,3666.5,3,"LeftRoughProximity",2008
106,106,"Stephen Leaney",53,NA,65,2846,22,"LeftRoughProximity",2008
106,106,"David Toms",70,NA,77,3368.333,7,"LeftRoughProximity",2008
108,108,"Brian Gay",102,NA,138,6047.917,20,"LeftRoughProximity",2008
108,108,"Brandt Snedeker",85,NA,117,5133.25,17,"LeftRoughProximity",2008
110,110,"Eric Axley",113,NA,179,7861.583,37,"LeftRoughProximity",2008
110,110,"Mark Hensby",71,NA,132,5795.75,20,"LeftRoughProximity",2008
112,112,"Shane Bertsch",96,NA,129,5675,24,"LeftRoughProximity",2008
112,112,"Bill Haas",99,NA,164,7213.583,6,"LeftRoughProximity",2008
114,114,"Alex Cejka",75,NA,97,4274.75,16,"LeftRoughProximity",2008
114,114,"Anthony Kim",81,NA,119,5249.583,7,"LeftRoughProximity",2008
114,114,"Jim McGovern",75,NA,119,5241.917,24,"LeftRoughProximity",2008
114,114,"Steve Stricker",75,NA,128,5647.917,-4,"LeftRoughProximity",2008
