"RyderCupWorldPoints_RANKTHISWEEK_2014","RyderCupWorldPoints_RANKLASTWEEK_2014","RyderCupWorldPoints_PLAYERNAME_2014","RyderCupWorldPoints__2014","RyderCupWorldPoints_POINTS_2014","stat_name","year"
1,1,"Rory McIlroy",NA,538.18,"RyderCupWorldPoints",2014
2,2,"Henrik Stenson",NA,389.6,"RyderCupWorldPoints",2014
3,3,"Sergio Garcia",NA,368.05,"RyderCupWorldPoints",2014
4,4,"Justin Rose",NA,287.38,"RyderCupWorldPoints",2014
5,5,"Martin Kaymer",NA,247.27,"RyderCupWorldPoints",2014
6,6,"Thomas Bjorn",NA,206.34,"RyderCupWorldPoints",2014
7,7,"Victor Dubuisson",NA,204.79,"RyderCupWorldPoints",2014
8,8,"Jamie Donaldson",NA,194.51,"RyderCupWorldPoints",2014
9,9,"Graeme McDowell",NA,171.82,"RyderCupWorldPoints",2014
10,10,"Stephen Gallacher",NA,170.21,"RyderCupWorldPoints",2014
11,11,"Luke Donald",NA,167.55,"RyderCupWorldPoints",2014
12,12,"Ian Poulter",NA,150.62,"RyderCupWorldPoints",2014
13,13,"Miguel Angel Jimenez",NA,142.85,"RyderCupWorldPoints",2014
14,14,"Francesco Molinari",NA,141.45,"RyderCupWorldPoints",2014
15,15,"Joost Luiten",NA,136.58,"RyderCupWorldPoints",2014
16,16,"Lee Westwood",NA,120.48,"RyderCupWorldPoints",2014
17,17,"Gonzalo Fdez Castano",NA,111.13,"RyderCupWorldPoints",2014
18,18,"Pablo Larrazabal",NA,106.27,"RyderCupWorldPoints",2014
19,19,"Mikko Ilonen",NA,102.89,"RyderCupWorldPoints",2014
20,20,"Shane Lowry",NA,95.55,"RyderCupWorldPoints",2014
21,21,"Rafa Cabrera Bello",NA,92.01,"RyderCupWorldPoints",2014
22,22,"Bernd Wiesberger",NA,90.03,"RyderCupWorldPoints",2014
23,23,"Jonas Blixt",NA,89.64,"RyderCupWorldPoints",2014
24,24,"Ross Fisher",NA,84.9,"RyderCupWorldPoints",2014
25,25,"Marc Warren",NA,82.42,"RyderCupWorldPoints",2014
26,26,"David Howell",NA,79.67,"RyderCupWorldPoints",2014
27,27,"Freddie Jacobson",NA,76.6,"RyderCupWorldPoints",2014
28,28,"Alexander Levy",NA,73.58,"RyderCupWorldPoints",2014
29,29,"Paul Casey",NA,72.13,"RyderCupWorldPoints",2014
30,30,"Tommy Fleetwood",NA,71.89,"RyderCupWorldPoints",2014
31,31,"Alejandro Canizares",NA,67.07,"RyderCupWorldPoints",2014
32,32,"Danny Willett",NA,65.37,"RyderCupWorldPoints",2014
33,33,"Robert Karlsson",NA,65.18,"RyderCupWorldPoints",2014
34,34,"Gregory Bourdy",NA,64.85,"RyderCupWorldPoints",2014
35,35,"Julien Quesne",NA,64.26,"RyderCupWorldPoints",2014
36,36,"Simon Dyson",NA,62.57,"RyderCupWorldPoints",2014
37,37,"David Horsey",NA,61.96,"RyderCupWorldPoints",2014
38,38,"Thorbjorn Olesen",NA,60.68,"RyderCupWorldPoints",2014
39,39,"Romain Wattel",NA,59.32,"RyderCupWorldPoints",2014
40,40,"Kristoffer Broberg",NA,58.87,"RyderCupWorldPoints",2014
41,41,"Matteo Manassero",NA,58.51,"RyderCupWorldPoints",2014
42,42,"Morten Orum Madsen",NA,58.34,"RyderCupWorldPoints",2014
43,43,"Edoardo Molinari",NA,54.59,"RyderCupWorldPoints",2014
44,44,"Chris Wood",NA,54.56,"RyderCupWorldPoints",2014
45,45,"Matthew Baldwin",NA,50.87,"RyderCupWorldPoints",2014
46,46,"Tyrrell Hatton",NA,50.51,"RyderCupWorldPoints",2014
47,47,"David Lynn",NA,49.68,"RyderCupWorldPoints",2014
48,48,"Brian Davis",NA,47.41,"RyderCupWorldPoints",2014
49,49,"Moritz Lampert",NA,45.89,"RyderCupWorldPoints",2014
50,50,"Andrew Johnston",NA,45.15,"RyderCupWorldPoints",2014
51,51,"Craig Lee",NA,45.14,"RyderCupWorldPoints",2014
52,52,"Scott Jamieson",NA,44.67,"RyderCupWorldPoints",2014
53,53,"Marcel Siem",NA,43.45,"RyderCupWorldPoints",2014
54,54,"Peter Hanson",NA,43.4,"RyderCupWorldPoints",2014
55,55,"Andy Sullivan",NA,43.37,"RyderCupWorldPoints",2014
56,56,"Oliver Fisher",NA,42.74,"RyderCupWorldPoints",2014
57,57,"Michael Hoey",NA,41.27,"RyderCupWorldPoints",2014
58,58,"Alvaro Quiros",NA,40.1,"RyderCupWorldPoints",2014
59,59,"Paul Waring",NA,39.63,"RyderCupWorldPoints",2014
60,60,"Alex Cejka",NA,38.54,"RyderCupWorldPoints",2014
61,61,"Maximilian Kieffer",NA,38.37,"RyderCupWorldPoints",2014
62,62,"Rikard Karlberg",NA,37.64,"RyderCupWorldPoints",2014
63,63,"Robert Jan Derksen",NA,37.23,"RyderCupWorldPoints",2014
64,64,"Johan Carlsson",NA,36.77,"RyderCupWorldPoints",2014
65,65,"Gregory Havret",NA,36.76,"RyderCupWorldPoints",2014
66,66,"Damian McGrane",NA,36.71,"RyderCupWorldPoints",2014
67,67,"Soren Kjeldsen",NA,36.38,"RyderCupWorldPoints",2014
68,68,"Daan Huizing",NA,35,"RyderCupWorldPoints",2014
69,69,"Andrea Pavan",NA,34.93,"RyderCupWorldPoints",2014
70,70,"Richie Ramsay",NA,34.45,"RyderCupWorldPoints",2014
71,71,"Bradley Dredge",NA,34.32,"RyderCupWorldPoints",2014
72,72,"Tom Lewis",NA,34.27,"RyderCupWorldPoints",2014
73,73,"Seve Benson",NA,34.21,"RyderCupWorldPoints",2014
74,74,"Steve Webster",NA,33.73,"RyderCupWorldPoints",2014
75,75,"Raphael Jacquelin",NA,32.85,"RyderCupWorldPoints",2014
76,76,"Marco Crespi",NA,32.37,"RyderCupWorldPoints",2014
77,77,"Nicolas Colsaerts",NA,32.34,"RyderCupWorldPoints",2014
78,78,"Magnus Carlsson",NA,31.09,"RyderCupWorldPoints",2014
79,79,"Eddie Pepperell",NA,30.64,"RyderCupWorldPoints",2014
80,80,"Lucas Bjerregaard",NA,30.26,"RyderCupWorldPoints",2014
81,81,"Mikael Lundberg",NA,29.64,"RyderCupWorldPoints",2014
82,82,"Roope Kakko",NA,29.63,"RyderCupWorldPoints",2014
83,83,"Eduardo De La Riva",NA,29.21,"RyderCupWorldPoints",2014
84,84,"Jordi Garcia Pinto",NA,29.07,"RyderCupWorldPoints",2014
85,85,"Anders Hansen",NA,28.52,"RyderCupWorldPoints",2014
86,86,"Nacho Elvira",NA,28.14,"RyderCupWorldPoints",2014
87,87,"Thomas Pieters",NA,28.12,"RyderCupWorldPoints",2014
88,88,"Florian Fritsch",NA,27.98,"RyderCupWorldPoints",2014
89,89,"Martin Laird",NA,27.73,"RyderCupWorldPoints",2014
90,90,"Stuart Manley",NA,27.44,"RyderCupWorldPoints",2014
91,91,"Jorge Campillo",NA,26.85,"RyderCupWorldPoints",2014
92,92,"Daniel Brooks",NA,26.09,"RyderCupWorldPoints",2014
93,93,"Richard Finch",NA,24.27,"RyderCupWorldPoints",2014
94,94,"Sam Hutsby",NA,23.17,"RyderCupWorldPoints",2014
95,95,"Paul Lawrie",NA,22.16,"RyderCupWorldPoints",2014
96,96,"Chris Doak",NA,22.05,"RyderCupWorldPoints",2014
97,97,"Robert Rock",NA,21.92,"RyderCupWorldPoints",2014
98,98,"Rich Bland",NA,21.37,"RyderCupWorldPoints",2014
99,99,"Padraig Harrington",NA,20.87,"RyderCupWorldPoints",2014
100,100,"Greg Owen",NA,20.87,"RyderCupWorldPoints",2014
101,101,"Darren Clarke",NA,20.79,"RyderCupWorldPoints",2014
102,102,"Soren Hansen",NA,20.21,"RyderCupWorldPoints",2014
103,103,"Oliver Farr",NA,20.04,"RyderCupWorldPoints",2014
104,104,"Carlos Del Moral",NA,19.36,"RyderCupWorldPoints",2014
105,105,"Rhys Davies",NA,18.86,"RyderCupWorldPoints",2014
106,106,"Anthony Wall",NA,18.8,"RyderCupWorldPoints",2014
107,107,"Gary Stal",NA,18.36,"RyderCupWorldPoints",2014
108,108,"Andrew McCarthy",NA,18.23,"RyderCupWorldPoints",2014
109,109,"Michael Lorenzo Vera",NA,18.04,"RyderCupWorldPoints",2014
110,110,"Mikko Korhonen",NA,17.83,"RyderCupWorldPoints",2014
111,111,"Jamie McLeary",NA,17.6,"RyderCupWorldPoints",2014
112,112,"Jeppe Huldahl",NA,16.99,"RyderCupWorldPoints",2014
113,113,"Carlos Pigem",NA,16.6,"RyderCupWorldPoints",2014
