"DrivingAccuracyPercentage_RANKTHISWEEK_2015","DrivingAccuracyPercentage_RANKLASTWEEK_2015","DrivingAccuracyPercentage_PLAYERNAME_2015","DrivingAccuracyPercentage_ROUNDS_2015","DrivingAccuracyPercentage_Pct_2015","DrivingAccuracyPercentage_FAIRWAYSHIT_2015","DrivingAccuracyPercentage_POSSIBLEFAIRWAYS_2015","stat_name","year"
1,1,"Francesco Molinari",56,76.88,572,744,"DrivingAccuracyPercentage",2015
2,2,"David Toms",62,74.5,602,808,"DrivingAccuracyPercentage",2015
3,3,"Chez Reavie",56,71.89,560,779,"DrivingAccuracyPercentage",2015
4,4,"Justin Leonard",61,71.7,613,855,"DrivingAccuracyPercentage",2015
5,5,"Jason Bohn",95,71.58,947,1323,"DrivingAccuracyPercentage",2015
6,6,"Steven Alker",62,71.41,597,836,"DrivingAccuracyPercentage",2015
7,7,"Colt Knost",90,71.24,852,1196,"DrivingAccuracyPercentage",2015
8,8,"Zach Johnson",90,71.21,873,1226,"DrivingAccuracyPercentage",2015
9,9,"Jerry Kelly",79,70.45,775,1100,"DrivingAccuracyPercentage",2015
10,10,"Brendon Todd",96,70.24,918,1307,"DrivingAccuracyPercentage",2015
11,11,"Ryan Moore",81,70.05,767,1095,"DrivingAccuracyPercentage",2015
12,12,"Henrik Stenson",63,69.91,590,844,"DrivingAccuracyPercentage",2015
13,13,"Heath Slocum",57,69.51,513,738,"DrivingAccuracyPercentage",2015
14,14,"John Huh",102,69.44,975,1404,"DrivingAccuracyPercentage",2015
15,15,"Brian Stuard",97,69.31,899,1297,"DrivingAccuracyPercentage",2015
16,16,"Spencer Levin",99,69.09,932,1349,"DrivingAccuracyPercentage",2015
17,17,"Jim Furyk",71,69.08,621,899,"DrivingAccuracyPercentage",2015
18,18,"Will Wilcox",58,68.98,516,748,"DrivingAccuracyPercentage",2015
19,19,"Nicholas Thompson",90,68.7,821,1195,"DrivingAccuracyPercentage",2015
20,20,"Kevin Streelman",95,68.63,875,1275,"DrivingAccuracyPercentage",2015
21,21,"Cameron Tringale",96,68.5,922,1346,"DrivingAccuracyPercentage",2015
22,22,"John Merrick",78,68.32,703,1029,"DrivingAccuracyPercentage",2015
23,23,"Zac Blair",108,67.91,984,1449,"DrivingAccuracyPercentage",2015
23,23,"Ken Duke",93,67.91,840,1237,"DrivingAccuracyPercentage",2015
25,25,"William McGirt",103,67.87,976,1438,"DrivingAccuracyPercentage",2015
26,26,"Webb Simpson",81,67.85,745,1098,"DrivingAccuracyPercentage",2015
27,27,"Jason Dufner",76,67.81,693,1022,"DrivingAccuracyPercentage",2015
28,28,"Russell Knox",96,67.76,910,1343,"DrivingAccuracyPercentage",2015
29,29,"Brian Davis",86,67.66,772,1141,"DrivingAccuracyPercentage",2015
30,30,"John Peterson",84,67.52,790,1170,"DrivingAccuracyPercentage",2015
31,31,"Ben Crane",62,67.49,548,812,"DrivingAccuracyPercentage",2015
32,32,"Jon Curran",83,67.46,740,1097,"DrivingAccuracyPercentage",2015
33,33,"Jim Herman",88,67.1,824,1228,"DrivingAccuracyPercentage",2015
34,34,"Kevin Kisner",104,66.85,972,1454,"DrivingAccuracyPercentage",2015
35,35,"Bryce Molder",91,66.8,809,1211,"DrivingAccuracyPercentage",2015
36,36,"Jason Gore",76,66.67,670,1005,"DrivingAccuracyPercentage",2015
37,37,"John Senden",80,66.6,704,1057,"DrivingAccuracyPercentage",2015
38,38,"Mark Hubbard",79,66.32,711,1072,"DrivingAccuracyPercentage",2015
39,39,"Billy Hurley III",83,65.91,723,1097,"DrivingAccuracyPercentage",2015
40,40,"Roberto Castro",54,65.76,457,695,"DrivingAccuracyPercentage",2015
41,41,"Chad Campbell",97,65.75,889,1352,"DrivingAccuracyPercentage",2015
42,42,"SJ Park",79,65.73,702,1068,"DrivingAccuracyPercentage",2015
43,43,"Pat Perez",96,65.7,881,1341,"DrivingAccuracyPercentage",2015
44,44,"Brendon de Jonge",106,65.69,969,1475,"DrivingAccuracyPercentage",2015
45,45,"Jonathan Byrd",69,65.6,593,904,"DrivingAccuracyPercentage",2015
46,46,"David Lingmerth",90,65.51,828,1264,"DrivingAccuracyPercentage",2015
47,47,"Graham DeLaet",65,65.46,597,912,"DrivingAccuracyPercentage",2015
48,48,"Adam Hadwin",95,65.43,846,1293,"DrivingAccuracyPercentage",2015
49,49,"Hideki Matsuyama",95,65.25,830,1272,"DrivingAccuracyPercentage",2015
50,50,"Ben Martin",93,65.09,828,1272,"DrivingAccuracyPercentage",2015
51,51,"Davis Love III",51,64.94,463,713,"DrivingAccuracyPercentage",2015
52,52,"Keegan Bradley",87,64.85,762,1175,"DrivingAccuracyPercentage",2015
53,53,"Mark Wilson",89,64.53,764,1184,"DrivingAccuracyPercentage",2015
54,54,"Russell Henley",87,64.39,763,1185,"DrivingAccuracyPercentage",2015
55,55,"Brian Harman",90,64.37,813,1263,"DrivingAccuracyPercentage",2015
