"Approach200225yardsRTP_RANKTHISWEEK_2015","Approach200225yardsRTP_RANKLASTWEEK_2015","Approach200225yardsRTP_PLAYERNAME_2015","Approach200225yardsRTP_ROUNDS_2015","Approach200225yardsRTP_AVGRTP_2015","stat_name","year"
85,85,"Billy Horschel",99,-0.008,"Approach200225yardsRTP",2015
86,86,"Spencer Levin",99,-0.007,"Approach200225yardsRTP",2015
86,86,"Scott Piercy",90,-0.007,"Approach200225yardsRTP",2015
86,86,"Cameron Tringale",96,-0.007,"Approach200225yardsRTP",2015
89,89,"John Huh",102,-0.006,"Approach200225yardsRTP",2015
90,90,"Charlie Beljan",76,0,"Approach200225yardsRTP",2015
90,90,"Daniel Berger",97,0,"Approach200225yardsRTP",2015
90,90,"Jonas Blixt",78,0,"Approach200225yardsRTP",2015
90,90,"Martin Flores",95,0,"Approach200225yardsRTP",2015
90,90,"Brice Garnett",81,0,"Approach200225yardsRTP",2015
90,90,"Retief Goosen",81,0,"Approach200225yardsRTP",2015
90,90,"Padraig Harrington",60,0,"Approach200225yardsRTP",2015
90,90,"Hideki Matsuyama",95,0,"Approach200225yardsRTP",2015
90,90,"William McGirt",103,0,"Approach200225yardsRTP",2015
90,90,"Kevin Streelman",95,0,"Approach200225yardsRTP",2015
90,90,"Jimmy Walker",89,0,"Approach200225yardsRTP",2015
101,101,"Brendon de Jonge",106,0.007,"Approach200225yardsRTP",2015
101,101,"Chesson Hadley",101,0.007,"Approach200225yardsRTP",2015
101,101,"Pat Perez",96,0.007,"Approach200225yardsRTP",2015
104,104,"James Hahn",94,0.009,"Approach200225yardsRTP",2015
105,105,"Chad Collins",79,0.01,"Approach200225yardsRTP",2015
106,106,"Ricky Barnes",82,0.011,"Approach200225yardsRTP",2015
107,107,"Louis Oosthuizen",68,0.013,"Approach200225yardsRTP",2015
108,108,"Carl Pettersson",106,0.014,"Approach200225yardsRTP",2015
109,109,"Steven Bowditch",103,0.016,"Approach200225yardsRTP",2015
109,109,"Scott Brown",97,0.016,"Approach200225yardsRTP",2015
109,109,"Zach Johnson",90,0.016,"Approach200225yardsRTP",2015
109,109,"Kyle Reifers",96,0.016,"Approach200225yardsRTP",2015
113,113,"Nick Watney",91,0.017,"Approach200225yardsRTP",2015
114,114,"Scott Langley",94,0.018,"Approach200225yardsRTP",2015
114,114,"Alex Prugh",84,0.018,"Approach200225yardsRTP",2015
116,116,"Hunter Mahan",88,0.019,"Approach200225yardsRTP",2015
117,117,"Tim Wilkinson",73,0.021,"Approach200225yardsRTP",2015
118,118,"Colt Knost",90,0.022,"Approach200225yardsRTP",2015
119,119,"Jim Renner",68,0.024,"Approach200225yardsRTP",2015
120,120,"Jason Bohn",95,0.025,"Approach200225yardsRTP",2015
120,120,"George McNeill",93,0.025,"Approach200225yardsRTP",2015
122,122,"Patrick Reed",103,0.026,"Approach200225yardsRTP",2015
123,123,"Scott Pinckney",88,0.028,"Approach200225yardsRTP",2015
123,123,"Michael Putnam",87,0.028,"Approach200225yardsRTP",2015
125,125,"Ben Crane",62,0.031,"Approach200225yardsRTP",2015
126,126,"SJ Park",79,0.032,"Approach200225yardsRTP",2015
127,127,"David Toms",62,0.033,"Approach200225yardsRTP",2015
128,128,"Cameron Percy",72,0.035,"Approach200225yardsRTP",2015
129,129,"Tyrone Van Aswegen",58,0.037,"Approach200225yardsRTP",2015
130,130,"Brian Harman",90,0.04,"Approach200225yardsRTP",2015
131,131,"Chad Campbell",97,0.041,"Approach200225yardsRTP",2015
132,132,"David Hearn",97,0.043,"Approach200225yardsRTP",2015
132,132,"John Merrick",78,0.043,"Approach200225yardsRTP",2015
134,134,"Sean OHair",86,0.044,"Approach200225yardsRTP",2015
135,135,"Jim Herman",88,0.048,"Approach200225yardsRTP",2015
136,136,"Erik Compton",86,0.049,"Approach200225yardsRTP",2015
137,137,"Billy Hurley III",83,0.05,"Approach200225yardsRTP",2015
138,138,"Matt Every",73,0.051,"Approach200225yardsRTP",2015
139,139,"Mark Hubbard",79,0.057,"Approach200225yardsRTP",2015
140,140,"Jeff Overton",94,0.058,"Approach200225yardsRTP",2015
141,141,"Ryo Ishikawa",90,0.061,"Approach200225yardsRTP",2015
142,142,"Bill Haas",89,0.064,"Approach200225yardsRTP",2015
143,143,"Jon Curran",83,0.065,"Approach200225yardsRTP",2015
143,143,"JB Holmes",89,0.065,"Approach200225yardsRTP",2015
145,145,"Rory Sabbatini",81,0.07,"Approach200225yardsRTP",2015
146,146,"KJ Choi",66,0.071,"Approach200225yardsRTP",2015
146,146,"Rickie Fowler",76,0.071,"Approach200225yardsRTP",2015
146,146,"John Peterson",84,0.071,"Approach200225yardsRTP",2015
146,146,"Johnson Wagner",68,0.071,"Approach200225yardsRTP",2015
150,150,"Francesco Molinari",56,0.075,"Approach200225yardsRTP",2015
151,151,"Robert Allenby",63,0.078,"Approach200225yardsRTP",2015
151,151,"Jason Dufner",76,0.078,"Approach200225yardsRTP",2015
153,153,"Brian Davis",86,0.08,"Approach200225yardsRTP",2015
154,154,"Justin Leonard",61,0.081,"Approach200225yardsRTP",2015
155,155,"Luke Donald",71,0.085,"Approach200225yardsRTP",2015
156,156,"Alex Cejka",94,0.088,"Approach200225yardsRTP",2015
156,156,"Derek Fathauer",81,0.088,"Approach200225yardsRTP",2015
158,158,"Kevin Na",98,0.09,"Approach200225yardsRTP",2015
159,159,"David Lingmerth",90,0.091,"Approach200225yardsRTP",2015
160,160,"John Senden",80,0.095,"Approach200225yardsRTP",2015
161,161,"Scott Stallings",60,0.096,"Approach200225yardsRTP",2015
162,162,"Steven Alker",62,0.098,"Approach200225yardsRTP",2015
162,162,"Andrew Putnam",68,0.098,"Approach200225yardsRTP",2015
164,164,"Ken Duke",93,0.099,"Approach200225yardsRTP",2015
165,165,"Angel Cabrera",53,0.1,"Approach200225yardsRTP",2015
166,166,"Zac Blair",108,0.103,"Approach200225yardsRTP",2015
167,167,"Phil Mickelson",70,0.108,"Approach200225yardsRTP",2015
168,168,"Morgan Hoffmann",85,0.111,"Approach200225yardsRTP",2015
169,169,"Charley Hoffman",97,0.115,"Approach200225yardsRTP",2015
169,169,"Jonathan Randolph",72,0.115,"Approach200225yardsRTP",2015
171,171,"Marc Leishman",74,0.12,"Approach200225yardsRTP",2015
171,171,"Chez Reavie",56,0.12,"Approach200225yardsRTP",2015
173,173,"Gonzalo Fdez Castano",81,0.122,"Approach200225yardsRTP",2015
173,173,"Andres Romero",69,0.122,"Approach200225yardsRTP",2015
175,175,"Ian Poulter",68,0.125,"Approach200225yardsRTP",2015
176,176,"Mark Wilson",89,0.129,"Approach200225yardsRTP",2015
177,177,"Jerry Kelly",79,0.132,"Approach200225yardsRTP",2015
178,178,"Oscar Fraustro",58,0.133,"Approach200225yardsRTP",2015
179,179,"Nicholas Thompson",90,0.142,"Approach200225yardsRTP",2015
180,180,"Greg Owen",58,0.15,"Approach200225yardsRTP",2015
181,181,"Fabian Gomez",83,0.157,"Approach200225yardsRTP",2015
182,182,"Roberto Castro",54,0.172,"Approach200225yardsRTP",2015
183,183,"Greg Chalmers",58,0.207,"Approach200225yardsRTP",2015
184,184,"Jamie Donaldson",50,0.22,"Approach200225yardsRTP",2015
