"ScramblingfromtheRough_RANKTHISWEEK_2014","ScramblingfromtheRough_RANKLASTWEEK_2014","ScramblingfromtheRough_PLAYERNAME_2014","ScramblingfromtheRough_ROUNDS_2014","ScramblingfromtheRough_Pct_2014","ScramblingfromtheRough_SUCCESSES_2014","ScramblingfromtheRough_ATTEMPTS_2014","stat_name","year"
1,1,"Jim Furyk",84,70.21,99,141,"ScramblingfromtheRough",2014
2,2,"Jason Day",54,70.11,61,87,"ScramblingfromtheRough",2014
3,3,"Rory McIlroy",66,66,66,100,"ScramblingfromtheRough",2014
4,4,"Justin Leonard",75,64.77,114,176,"ScramblingfromtheRough",2014
5,5,"Zach Johnson",97,63.89,115,180,"ScramblingfromtheRough",2014
6,6,"Jerry Kelly",80,63.87,99,155,"ScramblingfromtheRough",2014
7,7,"Brendon Todd",108,62.92,151,240,"ScramblingfromtheRough",2014
8,8,"Adam Scott",68,62.07,72,116,"ScramblingfromtheRough",2014
9,9,"Jordan Spieth",102,62.01,142,229,"ScramblingfromtheRough",2014
10,10,"Matt Kuchar",91,61.96,101,163,"ScramblingfromtheRough",2014
11,11,"Phil Mickelson",71,61.72,79,128,"ScramblingfromtheRough",2014
12,12,"Kevin Na",94,61.62,122,198,"ScramblingfromtheRough",2014
13,13,"Brandt Snedeker",89,61.33,111,181,"ScramblingfromtheRough",2014
14,14,"Brendon de Jonge",109,61.32,130,212,"ScramblingfromtheRough",2014
15,15,"Rickie Fowler",91,61.27,106,173,"ScramblingfromtheRough",2014
16,16,"Sergio Garcia",61,61.25,49,80,"ScramblingfromtheRough",2014
17,17,"Justin Rose",70,61.02,72,118,"ScramblingfromtheRough",2014
18,18,"Richard Lee",80,60.75,113,186,"ScramblingfromtheRough",2014
19,19,"Bo Van Pelt",83,60.66,74,122,"ScramblingfromtheRough",2014
20,20,"Jeff Overton",80,60.65,94,155,"ScramblingfromtheRough",2014
21,21,"Russell Knox",92,60.51,118,195,"ScramblingfromtheRough",2014
22,22,"Dustin Johnson",58,60.42,58,96,"ScramblingfromtheRough",2014
23,23,"Charley Hoffman",93,60.22,112,186,"ScramblingfromtheRough",2014
24,24,"Ernie Els",85,60,90,150,"ScramblingfromtheRough",2014
24,24,"Chesson Hadley",84,60,123,205,"ScramblingfromtheRough",2014
26,26,"Stuart Appleby",92,59.89,112,187,"ScramblingfromtheRough",2014
27,27,"Gary Woodland",93,59.87,94,157,"ScramblingfromtheRough",2014
28,28,"Brian Gay",81,59.34,108,182,"ScramblingfromtheRough",2014
29,29,"Gonzalo Fdez Castano",83,59.28,99,167,"ScramblingfromtheRough",2014
30,30,"Pat Perez",84,58.8,127,216,"ScramblingfromtheRough",2014
31,31,"Graham DeLaet",80,58.65,61,104,"ScramblingfromtheRough",2014
32,32,"Matt Every",85,58.64,95,162,"ScramblingfromtheRough",2014
33,33,"Danny Lee",84,58.62,102,174,"ScramblingfromtheRough",2014
34,34,"Billy Hurley III",86,58.58,99,169,"ScramblingfromtheRough",2014
34,34,"Chris Stroud",88,58.58,99,169,"ScramblingfromtheRough",2014
36,36,"Luke Guthrie",85,58.46,114,195,"ScramblingfromtheRough",2014
37,37,"Retief Goosen",94,58.38,115,197,"ScramblingfromtheRough",2014
38,38,"Andres Romero",81,58.33,112,192,"ScramblingfromtheRough",2014
39,39,"Bubba Watson",76,58.2,71,122,"ScramblingfromtheRough",2014
40,40,"George McNeill",79,58.17,89,153,"ScramblingfromtheRough",2014
41,41,"Luke Donald",57,58.16,57,98,"ScramblingfromtheRough",2014
42,42,"Charl Schwartzel",64,58.14,75,129,"ScramblingfromtheRough",2014
43,43,"Hideki Matsuyama",82,58.02,94,162,"ScramblingfromtheRough",2014
44,44,"Aaron Baddeley",74,58.01,105,181,"ScramblingfromtheRough",2014
45,45,"Ian Poulter",57,58,58,100,"ScramblingfromtheRough",2014
