"ClubHeadSpeed_RANKTHISWEEK_2007","ClubHeadSpeed_RANKLASTWEEK_2007","ClubHeadSpeed_PLAYERNAME_2007","ClubHeadSpeed_ROUNDS_2007","ClubHeadSpeed_AVG_2007","ClubHeadSpeed_TOTALCLUBHEADSPEED_2007","ClubHeadSpeed_TOTALATTEMPTS_2007","ClubHeadSpeed_FASTESTSPEED_2007","ClubHeadSpeed_SLOWESTSPEED_2007","stat_name","year"
1,1,"Bubba Watson",80,124.18,4346.33,35,136.81,120.82,"ClubHeadSpeed",2007
2,2,"Tiger Woods",63,123.95,4090.34,33,127.08,119.77,"ClubHeadSpeed",2007
3,3,"JB Holmes",71,123.79,4456.59,36,128.86,119.43,"ClubHeadSpeed",2007
4,4,"John Daly",59,122.25,3056.25,25,125.09,117.09,"ClubHeadSpeed",2007
5,5,"Phil Mickelson",73,122.04,3905.43,32,130.19,117.85,"ClubHeadSpeed",2007
6,6,"Robert Garrigus",95,121.61,7053.2,58,128.29,118.33,"ClubHeadSpeed",2007
7,7,"Brett Wetterich",88,121.43,5949.97,49,128.4,117.03,"ClubHeadSpeed",2007
8,8,"Chris Couch",76,120.83,6525.03,54,126.02,117.07,"ClubHeadSpeed",2007
9,9,"Henrik Stenson",52,120.33,3369.32,28,124.85,115.31,"ClubHeadSpeed",2007
10,10,"Charles Howell III",89,119.96,6358.02,53,123.99,115.6,"ClubHeadSpeed",2007
11,11,"Sergio Garcia",68,119.95,5157.98,43,125.23,112.14,"ClubHeadSpeed",2007
12,12,"Nick Watney",87,119.9,6354.92,53,123.57,115.61,"ClubHeadSpeed",2007
13,13,"Charley Hoffman",97,119.64,7776.46,65,125.11,111.99,"ClubHeadSpeed",2007
14,14,"Lucas Glover",98,119.63,6460.12,54,128.55,115.65,"ClubHeadSpeed",2007
15,15,"Scott Gutschewski",67,119.49,3226.25,27,123.51,111.25,"ClubHeadSpeed",2007
16,16,"Tag Ridings",52,119.28,3101.35,26,122.37,109.4,"ClubHeadSpeed",2007
17,17,"Jason Gore",86,118.85,6655.76,56,135.33,114.55,"ClubHeadSpeed",2007
18,18,"Anthony Kim",93,118.64,6525.23,55,122.53,115.2,"ClubHeadSpeed",2007
19,19,"Bill Haas",93,118.6,6285.66,53,122.83,114.85,"ClubHeadSpeed",2007
20,20,"Aaron Baddeley",83,118.45,4619.61,39,124.03,115.06,"ClubHeadSpeed",2007
21,21,"Pat Perez",84,118.38,4261.71,36,124.1,113.97,"ClubHeadSpeed",2007
22,22,"Adam Scott",69,118.33,5324.93,45,123.32,113.62,"ClubHeadSpeed",2007
23,23,"Davis Love III",66,118.29,5086.46,43,121.85,109.44,"ClubHeadSpeed",2007
24,24,"Harrison Frazar",88,117.93,5070.9,43,124.13,114.18,"ClubHeadSpeed",2007
25,25,"John Senden",97,117.91,7310.11,62,122.68,107.66,"ClubHeadSpeed",2007
26,26,"Greg Owen",81,117.89,4951.3,42,122.51,113.97,"ClubHeadSpeed",2007
27,27,"Retief Goosen",50,117.83,3181.4,27,121.91,112.3,"ClubHeadSpeed",2007
28,28,"Troy Matteson",87,117.49,6461.96,55,123.47,113.44,"ClubHeadSpeed",2007
29,29,"Charles Warren",101,117.4,7748.14,66,124.54,111.82,"ClubHeadSpeed",2007
30,30,"George McNeill",95,117.37,6572.85,56,124.11,111.03,"ClubHeadSpeed",2007
31,31,"Boo Weekley",101,117.17,5623.93,48,121.32,114.4,"ClubHeadSpeed",2007
32,32,"Ernie Els",59,117.09,3863.85,33,120.42,114.7,"ClubHeadSpeed",2007
33,33,"Daniel Chopra",106,116.74,7938.45,68,122.49,111.68,"ClubHeadSpeed",2007
34,34,"Michael Sim",52,116.69,3734.2,32,132.28,113.12,"ClubHeadSpeed",2007
35,35,"Kyle Reifers",71,116.6,3498.12,30,119.08,113.34,"ClubHeadSpeed",2007
36,36,"Robert Allenby",90,116.58,6178.55,53,123.18,112.44,"ClubHeadSpeed",2007
37,37,"Geoff Ogilvy",84,116.35,6049.95,52,119.78,112.9,"ClubHeadSpeed",2007
38,38,"Padraig Harrington",64,116.24,3952.04,34,118.99,113.15,"ClubHeadSpeed",2007
39,39,"Michael Putnam",96,116.18,5344.2,46,120.86,111.99,"ClubHeadSpeed",2007
40,40,"JJ Henry",86,116.1,5572.64,48,121.51,111.4,"ClubHeadSpeed",2007
41,41,"Jonathan Byrd",73,116.03,5685.6,49,121.16,112.57,"ClubHeadSpeed",2007
42,42,"Ryan Palmer",91,115.91,6143.26,53,118.68,110.25,"ClubHeadSpeed",2007
43,43,"Sean OHair",98,115.87,7415.8,64,121.08,106.47,"ClubHeadSpeed",2007
44,44,"Camilo Villegas",82,115.81,4979.8,43,120.68,112.21,"ClubHeadSpeed",2007
45,45,"Matt Hendrix",63,115.71,4281.32,37,121.17,106.78,"ClubHeadSpeed",2007
46,46,"Paul Stankowski",52,115.69,2892.23,25,121.68,111.35,"ClubHeadSpeed",2007
47,47,"Kevin Stadler",95,115.56,5893.79,51,122.47,111.85,"ClubHeadSpeed",2007
48,48,"Brendon de Jonge",76,115.55,4853.11,42,122.43,112.3,"ClubHeadSpeed",2007
49,49,"Trevor Immelman",74,115.51,4389.55,38,122.05,111.85,"ClubHeadSpeed",2007
50,50,"Jose Maria Olazabal",52,115.26,2996.77,26,119.71,112.68,"ClubHeadSpeed",2007
51,51,"Steve Wheatcroft",73,115.23,4494.14,39,119.33,112.25,"ClubHeadSpeed",2007
52,52,"Bo Van Pelt",104,115.21,7604.1,66,119.08,110.27,"ClubHeadSpeed",2007
53,53,"Stuart Appleby",74,115.13,6792.93,59,118.88,106.72,"ClubHeadSpeed",2007
54,54,"Will Ma Kenzie",100,115.07,7939.69,69,120.69,110.35,"ClubHeadSpeed",2007
55,55,"Jeff Overton",60,114.99,4369.57,38,120.96,111.93,"ClubHeadSpeed",2007
56,56,"Mathew Goggin",97,114.97,7127.86,62,121.18,111.56,"ClubHeadSpeed",2007
57,57,"Ted Purdy",102,114.89,6319.13,55,120.24,111.79,"ClubHeadSpeed",2007
58,58,"Steve Allan",63,114.72,4359.54,38,117.93,111.78,"ClubHeadSpeed",2007
59,59,"John Rollins",102,114.68,7339.6,64,118.56,111.21,"ClubHeadSpeed",2007
60,60,"Stewart Cink",91,114.63,7451.05,65,120.27,109.67,"ClubHeadSpeed",2007
61,61,"Joe Durant",88,114.59,6531.41,57,119.83,110.93,"ClubHeadSpeed",2007
62,62,"Rory Sabbatini",81,114.53,5039.49,44,117.15,110.85,"ClubHeadSpeed",2007
63,63,"Mathias Gronberg",95,114.47,7097.04,62,120.39,110.26,"ClubHeadSpeed",2007
64,64,"Chris Tidland",59,114.31,4915.31,43,118.49,108.74,"ClubHeadSpeed",2007
65,65,"DJ Trahan",99,114.29,6514.69,57,119.42,105.97,"ClubHeadSpeed",2007
66,66,"Brett Quigley",79,114.27,4456.64,39,121.29,110.98,"ClubHeadSpeed",2007
67,67,"Hunter Mahan",91,114.26,5827.07,51,117.55,107.52,"ClubHeadSpeed",2007
68,68,"Vijay Singh",102,114.2,7765.68,68,117.65,109.87,"ClubHeadSpeed",2007
69,69,"Michael Allen",74,114.17,4909.45,43,121.54,110.55,"ClubHeadSpeed",2007
