"BestYTD1PuttorBetterStreak_RANKTHISWEEK_2015","BestYTD1PuttorBetterStreak_RANKLASTWEEK_2015","BestYTD1PuttorBetterStreak_PLAYERNAME_2015","BestYTD1PuttorBetterStreak_EVENTS_2015","BestYTD1PuttorBetterStreak_VALUE_2015","stat_name","year"
1,1,"Brandt Jobe",6,16,"BestYTD1PuttorBetterStreak",2015
2,2,"James Hahn",28,13,"BestYTD1PuttorBetterStreak",2015
2,2,"Jonathan Randolph",25,13,"BestYTD1PuttorBetterStreak",2015
4,4,"Gary Woodland",24,12,"BestYTD1PuttorBetterStreak",2015
5,5,"Jason Bohn",27,11,"BestYTD1PuttorBetterStreak",2015
5,5,"Chad Collins",24,11,"BestYTD1PuttorBetterStreak",2015
5,5,"Retief Goosen",25,11,"BestYTD1PuttorBetterStreak",2015
5,5,"Jason Gore",26,11,"BestYTD1PuttorBetterStreak",2015
5,5,"Heath Slocum",22,11,"BestYTD1PuttorBetterStreak",2015
5,5,"Jimmy Walker",24,11,"BestYTD1PuttorBetterStreak",2015
5,5,"Bernd Wiesberger",11,11,"BestYTD1PuttorBetterStreak",2015
5,5,"Will Wilcox",17,11,"BestYTD1PuttorBetterStreak",2015
13,13,"Zac Blair",34,10,"BestYTD1PuttorBetterStreak",2015
13,13,"Steven Bowditch",32,10,"BestYTD1PuttorBetterStreak",2015
13,13,"Greg Chalmers",17,10,"BestYTD1PuttorBetterStreak",2015
13,13,"Andres Gonzales",28,10,"BestYTD1PuttorBetterStreak",2015
13,13,"Charley Hoffman",28,10,"BestYTD1PuttorBetterStreak",2015
13,13,"JB Holmes",25,10,"BestYTD1PuttorBetterStreak",2015
13,13,"Martin Laird",24,10,"BestYTD1PuttorBetterStreak",2015
13,13,"Jordan Spieth",25,10,"BestYTD1PuttorBetterStreak",2015
13,13,"Camilo Villegas",27,10,"BestYTD1PuttorBetterStreak",2015
22,22,"Kiradech Aphibarnrat",4,9,"BestYTD1PuttorBetterStreak",2015
22,22,"Arjun Atwal",7,9,"BestYTD1PuttorBetterStreak",2015
22,22,"Blayne Barber",26,9,"BestYTD1PuttorBetterStreak",2015
22,22,"Erik Compton",28,9,"BestYTD1PuttorBetterStreak",2015
22,22,"Brian Davis",31,9,"BestYTD1PuttorBetterStreak",2015
22,22,"Brendon de Jonge",31,9,"BestYTD1PuttorBetterStreak",2015
22,22,"Oscar Fraustro",21,9,"BestYTD1PuttorBetterStreak",2015
22,22,"Tom Gillis",16,9,"BestYTD1PuttorBetterStreak",2015
22,22,"Adam Hadwin",30,9,"BestYTD1PuttorBetterStreak",2015
22,22,"Tom Hoge",26,9,"BestYTD1PuttorBetterStreak",2015
22,22,"Mark Hubbard",25,9,"BestYTD1PuttorBetterStreak",2015
22,22,"Billy Hurley III",28,9,"BestYTD1PuttorBetterStreak",2015
22,22,"Scott Langley",28,9,"BestYTD1PuttorBetterStreak",2015
22,22,"Danny Lee",36,9,"BestYTD1PuttorBetterStreak",2015
22,22,"Alexander Levy",8,9,"BestYTD1PuttorBetterStreak",2015
22,22,"Ben Martin",27,9,"BestYTD1PuttorBetterStreak",2015
22,22,"Jeff Overton",30,9,"BestYTD1PuttorBetterStreak",2015
22,22,"Ryan Palmer",22,9,"BestYTD1PuttorBetterStreak",2015
22,22,"Michael Putnam",28,9,"BestYTD1PuttorBetterStreak",2015
22,22,"Andres Romero",24,9,"BestYTD1PuttorBetterStreak",2015
22,22,"Rory Sabbatini",25,9,"BestYTD1PuttorBetterStreak",2015
22,22,"Charl Schwartzel",19,9,"BestYTD1PuttorBetterStreak",2015
22,22,"Chris Stroud",28,9,"BestYTD1PuttorBetterStreak",2015
22,22,"Brian Stuard",31,9,"BestYTD1PuttorBetterStreak",2015
22,22,"Daniel Summerhays",29,9,"BestYTD1PuttorBetterStreak",2015
22,22,"Michael Thompson",27,9,"BestYTD1PuttorBetterStreak",2015
48,48,"Eric Axley",21,8,"BestYTD1PuttorBetterStreak",2015
48,48,"Aaron Baddeley",25,8,"BestYTD1PuttorBetterStreak",2015
48,48,"Sangmoon Bae",30,8,"BestYTD1PuttorBetterStreak",2015
48,48,"Ricky Barnes",27,8,"BestYTD1PuttorBetterStreak",2015
48,48,"Daniel Berger",31,8,"BestYTD1PuttorBetterStreak",2015
48,48,"Scott Brown",30,8,"BestYTD1PuttorBetterStreak",2015
48,48,"Paul Casey",24,8,"BestYTD1PuttorBetterStreak",2015
48,48,"Kevin Chappell",26,8,"BestYTD1PuttorBetterStreak",2015
48,48,"KJ Choi",19,8,"BestYTD1PuttorBetterStreak",2015
48,48,"Jason Dufner",21,8,"BestYTD1PuttorBetterStreak",2015
48,48,"Derek Ernst",26,8,"BestYTD1PuttorBetterStreak",2015
48,48,"Gonzalo Fdez Castano",28,8,"BestYTD1PuttorBetterStreak",2015
48,48,"Martin Flores",30,8,"BestYTD1PuttorBetterStreak",2015
48,48,"Rickie Fowler",21,8,"BestYTD1PuttorBetterStreak",2015
48,48,"Tommy Gainey",9,8,"BestYTD1PuttorBetterStreak",2015
48,48,"Branden Grace",13,8,"BestYTD1PuttorBetterStreak",2015
48,48,"Bill Haas",25,8,"BestYTD1PuttorBetterStreak",2015
48,48,"Chesson Hadley",30,8,"BestYTD1PuttorBetterStreak",2015
48,48,"Brian Harman",29,8,"BestYTD1PuttorBetterStreak",2015
48,48,"Padraig Harrington",21,8,"BestYTD1PuttorBetterStreak",2015
48,48,"Russell Henley",24,8,"BestYTD1PuttorBetterStreak",2015
48,48,"Ryuji Imada",4,8,"BestYTD1PuttorBetterStreak",2015
48,48,"Freddie Jacobson",14,8,"BestYTD1PuttorBetterStreak",2015
48,48,"Dustin Johnson",21,8,"BestYTD1PuttorBetterStreak",2015
48,48,"Matt Jones",25,8,"BestYTD1PuttorBetterStreak",2015
48,48,"Jerry Kelly",24,8,"BestYTD1PuttorBetterStreak",2015
48,48,"Brooks Koepka",23,8,"BestYTD1PuttorBetterStreak",2015
48,48,"Pablo Larrazabal",4,8,"BestYTD1PuttorBetterStreak",2015
48,48,"Tom Lehman",2,8,"BestYTD1PuttorBetterStreak",2015
48,48,"Spencer Levin",31,8,"BestYTD1PuttorBetterStreak",2015
48,48,"David Lingmerth",28,8,"BestYTD1PuttorBetterStreak",2015
48,48,"Hideki Matsuyama",25,8,"BestYTD1PuttorBetterStreak",2015
48,48,"John Merrick",27,8,"BestYTD1PuttorBetterStreak",2015
48,48,"Bryce Molder",26,8,"BestYTD1PuttorBetterStreak",2015
48,48,"Ryan Moore",24,8,"BestYTD1PuttorBetterStreak",2015
48,48,"Kevin Na",27,8,"BestYTD1PuttorBetterStreak",2015
48,48,"SJ Park",27,8,"BestYTD1PuttorBetterStreak",2015
48,48,"DA Points",26,8,"BestYTD1PuttorBetterStreak",2015
48,48,"Patrick Reed",27,8,"BestYTD1PuttorBetterStreak",2015
