"ApexHeight_RANKTHISWEEK_2013","ApexHeight_RANKLASTWEEK_2013","ApexHeight_PLAYERNAME_2013","ApexHeight_ROUNDS_2013","ApexHeight_AVG_2013","ApexHeight_TOTALAPEXHEIGHT_2013","ApexHeight_TOTALATTEMPTS_2013","ApexHeight_HIGHESTAPEXPOINT_2013","ApexHeight_LOWESTAPEXPOINT_2013","stat_name","year"
75,75,"Brandt Jobe",62,NA,NA,50,NA,NA,"ApexHeight",2013
76,76,"Steve Stricker",51,NA,NA,32,NA,NA,"ApexHeight",2013
77,77,"Derek Ernst",58,NA,NA,52,NA,NA,"ApexHeight",2013
77,77,"Aaron Watkins",46,NA,NA,35,NA,NA,"ApexHeight",2013
79,79,"Steven Bowditch",67,NA,NA,55,NA,NA,"ApexHeight",2013
80,80,"Doug LaBelle II",72,NA,NA,56,NA,NA,"ApexHeight",2013
81,81,"George McNeill",68,NA,NA,59,NA,NA,"ApexHeight",2013
82,82,"Sergio Garcia",65,NA,NA,35,NA,NA,"ApexHeight",2013
82,82,"Robert Karlsson",56,NA,NA,35,NA,NA,"ApexHeight",2013
84,84,"Zach Johnson",84,NA,NA,67,NA,NA,"ApexHeight",2013
85,85,"Webb Simpson",92,NA,NA,61,NA,NA,"ApexHeight",2013
86,86,"Andrew Svoboda",46,NA,NA,34,NA,NA,"ApexHeight",2013
87,87,"Tim Herron",45,NA,NA,37,NA,NA,"ApexHeight",2013
87,87,"Steve LeBrun",66,NA,NA,48,NA,NA,"ApexHeight",2013
89,89,"Russell Henley",80,NA,NA,61,NA,NA,"ApexHeight",2013
90,90,"Brian Gay",79,NA,NA,71,NA,NA,"ApexHeight",2013
90,90,"Jeff Maggert",63,NA,NA,54,NA,NA,"ApexHeight",2013
92,92,"Chris Stroud",88,NA,NA,75,NA,NA,"ApexHeight",2013
92,92,"Brian Stuard",78,NA,NA,64,NA,NA,"ApexHeight",2013
94,94,"Brian Davis",91,NA,NA,86,NA,NA,"ApexHeight",2013
95,95,"Alistair Presnell",59,NA,NA,42,NA,NA,"ApexHeight",2013
96,96,"Tag Ridings",69,NA,NA,45,NA,NA,"ApexHeight",2013
97,97,"Kevin Streelman",86,NA,NA,69,NA,NA,"ApexHeight",2013
98,98,"Matt Jones",83,NA,NA,67,NA,NA,"ApexHeight",2013
99,99,"Luke List",65,NA,NA,43,NA,NA,"ApexHeight",2013
100,100,"Tommy Gainey",84,NA,NA,71,NA,NA,"ApexHeight",2013
101,101,"Eric Meierdierks",48,NA,NA,32,NA,NA,"ApexHeight",2013
102,102,"Ben Kohles",75,NA,NA,61,NA,NA,"ApexHeight",2013
102,102,"Phil Mickelson",78,NA,NA,24,NA,NA,"ApexHeight",2013
104,104,"Jerry Kelly",75,NA,NA,64,NA,NA,"ApexHeight",2013
105,105,"Roberto Castro",97,NA,NA,75,NA,NA,"ApexHeight",2013
105,105,"Rory Sabbatini",86,NA,NA,66,NA,NA,"ApexHeight",2013
107,107,"Bobby Gates",49,NA,NA,37,NA,NA,"ApexHeight",2013
108,108,"Scott Brown",65,NA,NA,55,NA,NA,"ApexHeight",2013
109,109,"Chez Reavie",72,NA,NA,72,NA,NA,"ApexHeight",2013
109,109,"Casey Wittenberg",72,NA,NA,59,NA,NA,"ApexHeight",2013
111,111,"Brian Harman",89,NA,NA,78,NA,NA,"ApexHeight",2013
112,112,"Jimmy Walker",84,NA,NA,70,NA,NA,"ApexHeight",2013
113,113,"Stewart Cink",71,NA,NA,37,NA,NA,"ApexHeight",2013
114,114,"Richard Lee",81,NA,NA,68,NA,NA,"ApexHeight",2013
