"GoingfortheGreenHitGreenPct_RANKTHISWEEK_2012","GoingfortheGreenHitGreenPct_RANKLASTWEEK_2012","GoingfortheGreenHitGreenPct_PLAYERNAME_2012","GoingfortheGreenHitGreenPct_ROUNDS_2012","GoingfortheGreenHitGreenPct_Pct_2012","GoingfortheGreenHitGreenPct_SUCCESSES_2012","GoingfortheGreenHitGreenPct_ATTEMPTS_2012","GoingfortheGreenHitGreenPct_RTPSUCCESSES_2012","GoingfortheGreenHitGreenPct_RTPNOTGOINGFORTHEGRN_2012","stat_name","year"
1,1,"Charlie Beljan",61,36.56,34,93,-34,NA,"GoingfortheGreenHitGreenPct",2012
2,2,"Rory McIlroy",60,34.34,34,99,-38,NA,"GoingfortheGreenHitGreenPct",2012
3,3,"Adam Scott",59,33.71,30,89,-31,NA,"GoingfortheGreenHitGreenPct",2012
4,4,"John Merrick",83,32.82,43,131,-44,NA,"GoingfortheGreenHitGreenPct",2012
5,5,"Michael Thompson",80,32.56,28,86,-35,NA,"GoingfortheGreenHitGreenPct",2012
6,6,"Ryo Ishikawa",54,31.58,18,57,-23,NA,"GoingfortheGreenHitGreenPct",2012
7,7,"Tiger Woods",69,31.07,32,103,-34,NA,"GoingfortheGreenHitGreenPct",2012
8,8,"Russell Knox",72,30,27,90,-35,NA,"GoingfortheGreenHitGreenPct",2012
9,9,"Charles Howell III",98,29.66,43,145,-49,NA,"GoingfortheGreenHitGreenPct",2012
9,9,"Gary Woodland",70,29.66,43,145,-46,NA,"GoingfortheGreenHitGreenPct",2012
11,11,"Johnson Wagner",88,29.29,41,140,-38,NA,"GoingfortheGreenHitGreenPct",2012
12,12,"Charl Schwartzel",56,29.27,24,82,-24,NA,"GoingfortheGreenHitGreenPct",2012
13,13,"Dustin Johnson",70,28.35,36,127,-36,NA,"GoingfortheGreenHitGreenPct",2012
14,14,"Robert Garrigus",89,28.29,58,205,-61,NA,"GoingfortheGreenHitGreenPct",2012
15,15,"Scott Stallings",78,28.14,47,167,-50,NA,"GoingfortheGreenHitGreenPct",2012
16,16,"Jason Day",57,27.72,28,101,-30,NA,"GoingfortheGreenHitGreenPct",2012
17,17,"Harrison Frazar",56,27.62,29,105,-29,NA,"GoingfortheGreenHitGreenPct",2012
18,18,"Scott Brown",65,27.52,30,109,-28,NA,"GoingfortheGreenHitGreenPct",2012
19,19,"Geoff Ogilvy",73,27.43,31,113,-34,NA,"GoingfortheGreenHitGreenPct",2012
20,20,"Jonas Blixt",72,27.27,33,121,-37,NA,"GoingfortheGreenHitGreenPct",2012
21,21,"Jimmy Walker",101,27,54,200,-57,NA,"GoingfortheGreenHitGreenPct",2012
22,22,"Nick Watney",97,26.92,42,156,-49,NA,"GoingfortheGreenHitGreenPct",2012
23,23,"Billy Horschel",63,26.88,25,93,-26,NA,"GoingfortheGreenHitGreenPct",2012
24,24,"Angel Cabrera",54,26.83,22,82,-25,NA,"GoingfortheGreenHitGreenPct",2012
25,25,"Phil Mickelson",79,26.76,38,142,-37,NA,"GoingfortheGreenHitGreenPct",2012
26,26,"Chris Couch",61,26.72,35,131,-40,NA,"GoingfortheGreenHitGreenPct",2012
27,27,"Sean OHair",84,26.7,47,176,-48,NA,"GoingfortheGreenHitGreenPct",2012
28,28,"Bill Haas",79,26.67,40,150,-37,NA,"GoingfortheGreenHitGreenPct",2012
29,29,"Ben Crane",73,26.52,35,132,-39,NA,"GoingfortheGreenHitGreenPct",2012
30,30,"Pat Perez",81,26.47,36,136,-36,NA,"GoingfortheGreenHitGreenPct",2012
