"Percentageofpotentialmoneywon_RANKTHISWEEK_2006","Percentageofpotentialmoneywon_RANKLASTWEEK_2006","Percentageofpotentialmoneywon_PLAYERNAME_2006","Percentageofpotentialmoneywon_EVENTS_2006","Percentageofpotentialmoneywon_Pct_2006","Percentageofpotentialmoneywon_OFFICIALMONEYWON_2006","Percentageofpotentialmoneywon_POTENTIALMONEY_2006","stat_name","year"
1,1,"Tiger Woods",15,58.63,9941563,16957480,"Percentageofpotentialmoneywon",2006
2,2,"Jim Furyk",24,27.61,7213315,26128480,"Percentageofpotentialmoneywon",2006
3,3,"Anthony Kim",2,26.83,338066,1260000,"Percentageofpotentialmoneywon",2006
4,4,"Adam Scott",19,23.11,4978857,21547480,"Percentageofpotentialmoneywon",2006
5,5,"Phil Mickelson",19,20.34,4256505,20931480,"Percentageofpotentialmoneywon",2006
6,6,"Geoff Ogilvy",20,19.59,4354969,22227480,"Percentageofpotentialmoneywon",2006
7,7,"Vijay Singh",27,15.86,4602416,29017480,"Percentageofpotentialmoneywon",2006
8,8,"Trevor Immelman",24,15.76,3844188,24399000,"Percentageofpotentialmoneywon",2006
9,9,"Luke Donald",18,15.5,3177408,20494480,"Percentageofpotentialmoneywon",2006
10,10,"Stuart Appleby",23,13.7,3470457,25327480,"Percentageofpotentialmoneywon",2006
11,11,"Retief Goosen",18,12.63,2617452,20719480,"Percentageofpotentialmoneywon",2006
12,12,"David Toms",22,12.19,2911186,23890000,"Percentageofpotentialmoneywon",2006
13,13,"Hideto Tanihara",2,12.13,310830,2562480,"Percentageofpotentialmoneywon",2006
14,14,"Brett Wetterich",25,12.11,3023184,24962480,"Percentageofpotentialmoneywon",2006
15,15,"Steve Stricker",17,11.46,1811811,15805000,"Percentageofpotentialmoneywon",2006
16,16,"Ernie Els",18,11.27,2326220,20638480,"Percentageofpotentialmoneywon",2006
17,17,"Davis Love III",23,11.1,2747205,24738480,"Percentageofpotentialmoneywon",2006
18,18,"Rory Sabbatini",24,10.94,2861750,26155480,"Percentageofpotentialmoneywon",2006
19,19,"Joe Durant",28,10.74,2811139,26172000,"Percentageofpotentialmoneywon",2006
20,20,"Jose Maria Olazabal",18,10.55,2120422,20089480,"Percentageofpotentialmoneywon",2006
21,21,"Chad Campbell",25,10.47,2811067,26848480,"Percentageofpotentialmoneywon",2006
22,22,"Stephen Ames",21,10.4,2395155,23032480,"Percentageofpotentialmoneywon",2006
23,23,"Rod Pampling",24,10.14,2664673,26281480,"Percentageofpotentialmoneywon",2006
24,24,"Stewart Cink",26,9.99,2755911,27586480,"Percentageofpotentialmoneywon",2006
25,25,"Arron Oberholser",23,9.87,2467771,25012480,"Percentageofpotentialmoneywon",2006
26,26,"Ian Poulter",15,9.06,1553906,17155480,"Percentageofpotentialmoneywon",2006
27,27,"Carl Pettersson",28,8.83,2647982,29989480,"Percentageofpotentialmoneywon",2006
28,28,"KJ Choi",26,8.67,2376547,27424480,"Percentageofpotentialmoneywon",2006
29,29,"Zach Johnson",27,8.56,2452250,28648480,"Percentageofpotentialmoneywon",2006
30,30,"Ben Curtis",26,8.43,2256325,26768480,"Percentageofpotentialmoneywon",2006
31,31,"Tim Clark",22,8.21,1974931,24067480,"Percentageofpotentialmoneywon",2006
32,32,"Sergio Garcia",17,8.08,1560733,19311480,"Percentageofpotentialmoneywon",2006
33,33,"Lucas Glover",31,7.89,2587982,32815480,"Percentageofpotentialmoneywon",2006
34,34,"Brett Quigley",33,7.85,2617418,33347480,"Percentageofpotentialmoneywon",2006
35,35,"JJ Henry",28,7.84,2301480,29373480,"Percentageofpotentialmoneywon",2006
36,36,"Padraig Harrington",15,7.73,1339675,17326480,"Percentageofpotentialmoneywon",2006
36,36,"Tom Lehman",20,7.73,1692080,21876480,"Percentageofpotentialmoneywon",2006
38,38,"Dean Wilson",34,7.58,2509857,33111000,"Percentageofpotentialmoneywon",2006
39,39,"Roland Thatcher",1,7.5,74250,990000,"Percentageofpotentialmoneywon",2006
40,40,"Jonathan Byrd",20,7.44,1408418,18918000,"Percentageofpotentialmoneywon",2006
41,41,"Mike Weir",24,7.43,1883724,25341480,"Percentageofpotentialmoneywon",2006
42,42,"Tom Pernice Jr",33,7.25,2396547,33077480,"Percentageofpotentialmoneywon",2006
43,43,"Angel Cabrera",12,7.13,1021420,14320480,"Percentageofpotentialmoneywon",2006
44,44,"Andres Romero",2,6.92,177224,2562480,"Percentageofpotentialmoneywon",2006
45,45,"Henrik Stenson",10,6.7,821677,12259480,"Percentageofpotentialmoneywon",2006
46,46,"Scott Verplank",25,6.67,1729318,25912480,"Percentageofpotentialmoneywon",2006
47,47,"Vaughn Taylor",26,6.66,1783944,26794480,"Percentageofpotentialmoneywon",2006
48,48,"Frank Lickliter II",29,6.56,1655678,25227000,"Percentageofpotentialmoneywon",2006
49,49,"Ken Duke",2,6.51,138230,2124000,"Percentageofpotentialmoneywon",2006
50,50,"Robert Allenby",22,6.38,1503581,23554480,"Percentageofpotentialmoneywon",2006
51,51,"Colin Montgomerie",8,6.34,638749,10077480,"Percentageofpotentialmoneywon",2006
52,52,"Tim Herron",27,6.27,1776142,28324480,"Percentageofpotentialmoneywon",2006
52,52,"Troy Matteson",32,6.27,1778597,28377000,"Percentageofpotentialmoneywon",2006
54,54,"Mikko Ilonen",1,6.25,83655,1338480,"Percentageofpotentialmoneywon",2006
54,54,"Robert Rock",1,6.25,83655,1338480,"Percentageofpotentialmoneywon",2006
54,54,"Brett Rumford",1,6.25,83655,1338480,"Percentageofpotentialmoneywon",2006
57,57,"Camilo Villegas",29,6.21,1742111,28054000,"Percentageofpotentialmoneywon",2006
