"ScramblingfromtheRough_RANKTHISWEEK_2015","ScramblingfromtheRough_RANKLASTWEEK_2015","ScramblingfromtheRough_PLAYERNAME_2015","ScramblingfromtheRough_ROUNDS_2015","ScramblingfromtheRough_Pct_2015","ScramblingfromtheRough_SUCCESSES_2015","ScramblingfromtheRough_ATTEMPTS_2015","stat_name","year"
1,1,"Henrik Stenson",63,70.45,62,88,"ScramblingfromtheRough",2015
2,2,"Brendon Todd",96,65.56,118,180,"ScramblingfromtheRough",2015
3,3,"Jim Furyk",71,64.71,66,102,"ScramblingfromtheRough",2015
4,4,"Camilo Villegas",83,64.12,109,170,"ScramblingfromtheRough",2015
5,5,"Jordan Spieth",91,64,112,175,"ScramblingfromtheRough",2015
6,6,"Bryce Molder",91,63.54,115,181,"ScramblingfromtheRough",2015
7,7,"Bubba Watson",71,63.21,67,106,"ScramblingfromtheRough",2015
8,8,"Louis Oosthuizen",68,63.16,72,114,"ScramblingfromtheRough",2015
9,9,"Billy Hurley III",83,62.98,114,181,"ScramblingfromtheRough",2015
10,10,"Justin Leonard",61,62.81,76,121,"ScramblingfromtheRough",2015
11,11,"Francesco Molinari",56,62.79,54,86,"ScramblingfromtheRough",2015
12,12,"Matt Jones",89,62.72,106,169,"ScramblingfromtheRough",2015
13,13,"Patrick Reed",103,62.69,126,201,"ScramblingfromtheRough",2015
14,14,"Chad Collins",79,62.5,90,144,"ScramblingfromtheRough",2015
15,15,"Ricky Barnes",82,62.31,124,199,"ScramblingfromtheRough",2015
16,16,"Robert Streb",110,62.04,134,216,"ScramblingfromtheRough",2015
17,17,"Ian Poulter",68,61.95,70,113,"ScramblingfromtheRough",2015
18,18,"Jerry Kelly",79,61.9,104,168,"ScramblingfromtheRough",2015
19,19,"Jason Dufner",76,61.8,55,89,"ScramblingfromtheRough",2015
20,20,"Steven Bowditch",103,61.57,141,229,"ScramblingfromtheRough",2015
21,21,"Morgan Hoffmann",85,61.29,114,186,"ScramblingfromtheRough",2015
22,22,"Zac Blair",108,61.05,163,267,"ScramblingfromtheRough",2015
23,23,"Jason Bohn",95,61.03,119,195,"ScramblingfromtheRough",2015
24,24,"Jason Kokrak",88,61.02,108,177,"ScramblingfromtheRough",2015
25,25,"Rory Sabbatini",81,61.01,97,159,"ScramblingfromtheRough",2015
26,26,"Justin Thomas",106,61,122,200,"ScramblingfromtheRough",2015
27,27,"Brooks Koepka",84,60.9,95,156,"ScramblingfromtheRough",2015
28,28,"John Huh",102,60.89,109,179,"ScramblingfromtheRough",2015
29,29,"Matt Kuchar",97,60.87,126,207,"ScramblingfromtheRough",2015
30,30,"Keegan Bradley",87,60.84,87,143,"ScramblingfromtheRough",2015
31,31,"Kevin Chappell",86,60.8,107,176,"ScramblingfromtheRough",2015
32,32,"William McGirt",103,60.47,130,215,"ScramblingfromtheRough",2015
33,33,"Russell Knox",96,60.44,110,182,"ScramblingfromtheRough",2015
34,34,"Harris English",105,60.35,137,227,"ScramblingfromtheRough",2015
35,35,"Kevin Na",98,60.22,109,181,"ScramblingfromtheRough",2015
36,36,"Bill Haas",89,60.16,74,123,"ScramblingfromtheRough",2015
37,37,"Sangmoon Bae",98,59.91,133,222,"ScramblingfromtheRough",2015
37,37,"Troy Merritt",91,59.91,127,212,"ScramblingfromtheRough",2015
39,39,"Ben Crane",62,59.85,79,132,"ScramblingfromtheRough",2015
40,40,"Cameron Tringale",96,59.57,112,188,"ScramblingfromtheRough",2015
41,41,"Kevin Kisner",104,59.44,148,249,"ScramblingfromtheRough",2015
42,42,"Daniel Berger",97,59.36,111,187,"ScramblingfromtheRough",2015
43,43,"Brian Davis",86,59.2,103,174,"ScramblingfromtheRough",2015
43,43,"Chris Kirk",76,59.2,74,125,"ScramblingfromtheRough",2015
43,43,"Mark Wilson",89,59.2,103,174,"ScramblingfromtheRough",2015
46,46,"Hideki Matsuyama",95,59.12,94,159,"ScramblingfromtheRough",2015
46,46,"Tim Wilkinson",73,59.12,107,181,"ScramblingfromtheRough",2015
48,48,"Rickie Fowler",76,59.03,85,144,"ScramblingfromtheRough",2015
49,49,"DA Points",72,58.97,92,156,"ScramblingfromtheRough",2015
50,50,"Luke Donald",71,58.96,79,134,"ScramblingfromtheRough",2015
51,51,"Martin Laird",77,58.94,89,151,"ScramblingfromtheRough",2015
52,52,"Webb Simpson",81,58.9,86,146,"ScramblingfromtheRough",2015
53,53,"Boo Weekley",79,58.82,90,153,"ScramblingfromtheRough",2015
54,54,"Derek Fathauer",81,58.79,117,199,"ScramblingfromtheRough",2015
54,54,"George McNeill",93,58.79,107,182,"ScramblingfromtheRough",2015
56,56,"Brandt Snedeker",98,58.76,114,194,"ScramblingfromtheRough",2015
57,57,"Andres Gonzales",90,58.69,125,213,"ScramblingfromtheRough",2015
58,58,"Fabian Gomez",83,58.6,109,186,"ScramblingfromtheRough",2015
59,59,"Ryan Palmer",80,58.33,77,132,"ScramblingfromtheRough",2015
60,60,"David Lingmerth",90,58.29,109,187,"ScramblingfromtheRough",2015
61,61,"Chesson Hadley",101,58.23,138,237,"ScramblingfromtheRough",2015
62,62,"Ernie Els",57,58.16,57,98,"ScramblingfromtheRough",2015
63,63,"Steve Wheatcroft",87,57.81,111,192,"ScramblingfromtheRough",2015
64,64,"Aaron Baddeley",76,57.78,104,180,"ScramblingfromtheRough",2015
65,65,"David Hearn",97,57.71,101,175,"ScramblingfromtheRough",2015
66,66,"Jonathan Byrd",69,57.6,72,125,"ScramblingfromtheRough",2015
67,67,"Kyle Reifers",96,57.56,99,172,"ScramblingfromtheRough",2015
68,68,"Zach Johnson",90,57.49,96,167,"ScramblingfromtheRough",2015
69,69,"Greg Owen",58,57.43,58,101,"ScramblingfromtheRough",2015
70,70,"Adam Scott",51,57.33,43,75,"ScramblingfromtheRough",2015
71,71,"Blayne Barber",76,57.32,90,157,"ScramblingfromtheRough",2015
72,72,"Carl Pettersson",106,57.31,145,253,"ScramblingfromtheRough",2015
73,73,"Max Homa",78,57.3,102,178,"ScramblingfromtheRough",2015
73,73,"Brendan Steele",88,57.3,106,185,"ScramblingfromtheRough",2015
75,75,"Erik Compton",86,57.28,122,213,"ScramblingfromtheRough",2015
76,76,"Jeff Overton",94,57.21,119,208,"ScramblingfromtheRough",2015
77,77,"Eric Axley",57,57.14,72,126,"ScramblingfromtheRough",2015
78,78,"JB Holmes",89,57.06,97,170,"ScramblingfromtheRough",2015
79,79,"Tony Finau",106,57.02,130,228,"ScramblingfromtheRough",2015
80,80,"Brian Stuard",97,57,114,200,"ScramblingfromtheRough",2015
81,81,"Charley Hoffman",97,56.8,117,206,"ScramblingfromtheRough",2015
82,82,"Jonathan Randolph",72,56.79,92,162,"ScramblingfromtheRough",2015
83,83,"Luke Guthrie",84,56.74,101,178,"ScramblingfromtheRough",2015
84,84,"Scott Piercy",90,56.68,123,217,"ScramblingfromtheRough",2015
85,85,"Jimmy Walker",89,56.67,102,180,"ScramblingfromtheRough",2015
86,86,"Martin Flores",95,56.65,98,173,"ScramblingfromtheRough",2015
87,87,"Ken Duke",93,56.61,107,189,"ScramblingfromtheRough",2015
88,88,"Jon Curran",83,56.47,96,170,"ScramblingfromtheRough",2015
89,89,"Retief Goosen",81,56.45,105,186,"ScramblingfromtheRough",2015
90,90,"Nick Taylor",91,56.42,123,218,"ScramblingfromtheRough",2015
91,91,"James Hahn",94,56.37,115,204,"ScramblingfromtheRough",2015
92,92,"Ryan Moore",81,56.16,82,146,"ScramblingfromtheRough",2015
93,93,"Tom Hoge",83,56.14,96,171,"ScramblingfromtheRough",2015
94,94,"Adam Hadwin",95,55.98,103,184,"ScramblingfromtheRough",2015
94,94,"Spencer Levin",99,55.98,103,184,"ScramblingfromtheRough",2015
96,96,"Jason Day",75,55.93,66,118,"ScramblingfromtheRough",2015
96,96,"Sam Saunders",83,55.93,99,177,"ScramblingfromtheRough",2015
98,98,"Chez Reavie",56,55.88,57,102,"ScramblingfromtheRough",2015
99,99,"Chad Campbell",97,55.83,115,206,"ScramblingfromtheRough",2015
100,100,"Will Wilcox",58,55.81,48,86,"ScramblingfromtheRough",2015
101,101,"Marc Leishman",74,55.7,83,149,"ScramblingfromtheRough",2015
102,102,"Michael Putnam",87,55.69,93,167,"ScramblingfromtheRough",2015
103,103,"Scott Stallings",60,55.56,75,135,"ScramblingfromtheRough",2015
104,104,"Robert Garrigus",70,55.37,98,177,"ScramblingfromtheRough",2015
105,105,"Hudson Swafford",97,55.36,93,168,"ScramblingfromtheRough",2015
106,106,"Brian Harman",90,55.29,94,170,"ScramblingfromtheRough",2015
107,107,"SJ Park",79,55.28,89,161,"ScramblingfromtheRough",2015
108,108,"Lucas Glover",79,55.22,74,134,"ScramblingfromtheRough",2015
109,109,"Gonzalo Fdez Castano",81,55.17,96,174,"ScramblingfromtheRough",2015
109,109,"Daniel Summerhays",101,55.17,128,232,"ScramblingfromtheRough",2015
111,111,"Nick Watney",91,55.15,107,194,"ScramblingfromtheRough",2015
112,112,"Ryo Ishikawa",90,55.14,102,185,"ScramblingfromtheRough",2015
113,113,"Graham DeLaet",65,55.12,70,127,"ScramblingfromtheRough",2015
114,114,"Phil Mickelson",70,55.11,97,176,"ScramblingfromtheRough",2015
115,115,"Tyrone Van Aswegen",58,55.05,60,109,"ScramblingfromtheRough",2015
116,116,"Billy Horschel",99,55.03,82,149,"ScramblingfromtheRough",2015
