"AveragePuttingDistanceAll1putts_RANKTHISWEEK_2010","AveragePuttingDistanceAll1putts_RANKLASTWEEK_2010","AveragePuttingDistanceAll1putts_PLAYERNAME_2010","AveragePuttingDistanceAll1putts_ROUNDS_2010","AveragePuttingDistanceAll1putts_AVG_2010","AveragePuttingDistanceAll1putts_DISTANCEFEET_2010","AveragePuttingDistanceAll1putts_TOTALPUTTS_2010","stat_name","year"
1,1,"Stephen Ames",75,NA,4063.667,482,"AveragePuttingDistanceAll1putts",2010
2,2,"Richard Johnson",90,NA,3946.333,474,"AveragePuttingDistanceAll1putts",2010
3,3,"Paul Stankowski",62,NA,2925,359,"AveragePuttingDistanceAll1putts",2010
4,4,"Robert Allenby",76,NA,3333.167,413,"AveragePuttingDistanceAll1putts",2010
4,4,"Ben Crane",85,NA,3839.5,475,"AveragePuttingDistanceAll1putts",2010
6,6,"Paul Casey",64,NA,2581.417,324,"AveragePuttingDistanceAll1putts",2010
6,6,"Brent Delahoussaye",57,NA,2423,302,"AveragePuttingDistanceAll1putts",2010
6,6,"Matt Every",60,NA,2898.083,364,"AveragePuttingDistanceAll1putts",2010
6,6,"Chris Tidland",77,NA,3712.75,463,"AveragePuttingDistanceAll1putts",2010
6,6,"Boo Weekley",88,NA,3787.083,473,"AveragePuttingDistanceAll1putts",2010
11,11,"Blake Adams",84,NA,3989,506,"AveragePuttingDistanceAll1putts",2010
11,11,"Troy Merritt",86,NA,4438,561,"AveragePuttingDistanceAll1putts",2010
13,13,"KJ Choi",82,NA,3437,437,"AveragePuttingDistanceAll1putts",2010
13,13,"Jason Day",82,NA,3909,500,"AveragePuttingDistanceAll1putts",2010
13,13,"Brad Faxon",58,NA,2708.5,344,"AveragePuttingDistanceAll1putts",2010
13,13,"Mathew Goggin",85,NA,3508.333,450,"AveragePuttingDistanceAll1putts",2010
13,13,"David Lutterus",69,NA,2829.917,363,"AveragePuttingDistanceAll1putts",2010
