"BirdieorBetterPercentageFairway_RANKTHISWEEK_2012","BirdieorBetterPercentageFairway_RANKLASTWEEK_2012","BirdieorBetterPercentageFairway_PLAYERNAME_2012","BirdieorBetterPercentageFairway_ROUNDS_2012","BirdieorBetterPercentageFairway_Pct_2012","BirdieorBetterPercentageFairway_TOTALBIRDIES_2012","BirdieorBetterPercentageFairway_TOTALHOLES_2012","stat_name","year"
1,1,"Rory McIlroy",60,29.39,144,490,"BirdieorBetterPercentageFairway",2012
2,2,"Jason Dufner",83,26.73,235,879,"BirdieorBetterPercentageFairway",2012
3,3,"Tiger Woods",69,25.95,170,655,"BirdieorBetterPercentageFairway",2012
4,4,"Ryan Palmer",81,25.84,230,890,"BirdieorBetterPercentageFairway",2012
5,5,"Martin Laird",77,25.51,176,690,"BirdieorBetterPercentageFairway",2012
6,6,"Keegan Bradley",90,25.4,236,929,"BirdieorBetterPercentageFairway",2012
7,7,"Bo Van Pelt",84,25.37,221,871,"BirdieorBetterPercentageFairway",2012
8,8,"Phil Mickelson",79,25.27,184,728,"BirdieorBetterPercentageFairway",2012
9,9,"Robert Karlsson",54,25.1,126,502,"BirdieorBetterPercentageFairway",2012
10,10,"Robert Garrigus",89,25.08,230,917,"BirdieorBetterPercentageFairway",2012
11,11,"Adam Scott",59,24.81,131,528,"BirdieorBetterPercentageFairway",2012
12,12,"Brandt Snedeker",81,24.8,215,867,"BirdieorBetterPercentageFairway",2012
12,12,"Steve Stricker",73,24.8,182,734,"BirdieorBetterPercentageFairway",2012
14,14,"Jonas Blixt",72,24.75,199,804,"BirdieorBetterPercentageFairway",2012
15,15,"Webb Simpson",77,24.73,208,841,"BirdieorBetterPercentageFairway",2012
16,16,"Scott Piercy",95,24.29,257,1058,"BirdieorBetterPercentageFairway",2012
17,17,"Dustin Johnson",70,24.23,158,652,"BirdieorBetterPercentageFairway",2012
18,18,"Graeme McDowell",55,24.21,130,537,"BirdieorBetterPercentageFairway",2012
19,19,"Zach Johnson",95,24.1,248,1029,"BirdieorBetterPercentageFairway",2012
20,20,"Lee Westwood",60,24.04,125,520,"BirdieorBetterPercentageFairway",2012
21,21,"Charl Schwartzel",56,23.93,128,535,"BirdieorBetterPercentageFairway",2012
22,22,"Ken Duke",104,23.9,292,1222,"BirdieorBetterPercentageFairway",2012
23,23,"Padraig Harrington",67,23.84,139,583,"BirdieorBetterPercentageFairway",2012
24,24,"Nick Watney",97,23.81,236,991,"BirdieorBetterPercentageFairway",2012
25,25,"Sergio Garcia",57,23.79,138,580,"BirdieorBetterPercentageFairway",2012
25,25,"Jeff Overton",101,23.79,281,1181,"BirdieorBetterPercentageFairway",2012
27,27,"Brendon de Jonge",115,23.76,325,1368,"BirdieorBetterPercentageFairway",2012
28,28,"Carl Pettersson",92,23.65,246,1040,"BirdieorBetterPercentageFairway",2012
28,28,"Josh Teater",97,23.65,254,1074,"BirdieorBetterPercentageFairway",2012
30,30,"Tom Gillis",75,23.6,224,949,"BirdieorBetterPercentageFairway",2012
31,31,"Ryan Moore",89,23.58,261,1107,"BirdieorBetterPercentageFairway",2012
32,32,"John Senden",81,23.54,197,837,"BirdieorBetterPercentageFairway",2012
33,33,"Justin Rose",69,23.5,168,715,"BirdieorBetterPercentageFairway",2012
34,34,"Rory Sabbatini",84,23.45,215,917,"BirdieorBetterPercentageFairway",2012
35,35,"Chris Kirk",93,23.42,255,1089,"BirdieorBetterPercentageFairway",2012
36,36,"Matt Kuchar",86,23.4,208,889,"BirdieorBetterPercentageFairway",2012
37,37,"Nathan Green",73,23.38,166,710,"BirdieorBetterPercentageFairway",2012
38,38,"Geoff Ogilvy",73,23.35,166,711,"BirdieorBetterPercentageFairway",2012
39,39,"John Daly",50,23.34,109,467,"BirdieorBetterPercentageFairway",2012
40,40,"Jason Day",57,23.33,133,570,"BirdieorBetterPercentageFairway",2012
41,41,"Pat Perez",81,23.28,217,932,"BirdieorBetterPercentageFairway",2012
42,42,"Vijay Singh",99,23.11,244,1056,"BirdieorBetterPercentageFairway",2012
43,43,"Rickie Fowler",84,23.09,209,905,"BirdieorBetterPercentageFairway",2012
44,44,"Jimmy Walker",101,23.08,253,1096,"BirdieorBetterPercentageFairway",2012
45,45,"Luke Donald",63,23.03,149,647,"BirdieorBetterPercentageFairway",2012
46,46,"Louis Oosthuizen",65,23.02,148,643,"BirdieorBetterPercentageFairway",2012
47,47,"Tommy Biershenk",74,23.01,168,730,"BirdieorBetterPercentageFairway",2012
48,48,"Gary Christian",91,22.98,239,1040,"BirdieorBetterPercentageFairway",2012
49,49,"Jonathan Byrd",69,22.8,161,706,"BirdieorBetterPercentageFairway",2012
49,49,"Garth Mulroy",59,22.8,135,592,"BirdieorBetterPercentageFairway",2012
51,51,"Bubba Watson",68,22.79,142,623,"BirdieorBetterPercentageFairway",2012
52,52,"Freddie Jacobson",61,22.77,125,549,"BirdieorBetterPercentageFairway",2012
53,53,"Ben Curtis",62,22.65,152,671,"BirdieorBetterPercentageFairway",2012
54,54,"Ben Crane",73,22.64,187,826,"BirdieorBetterPercentageFairway",2012
55,55,"Ricky Barnes",92,22.58,236,1045,"BirdieorBetterPercentageFairway",2012
55,55,"Billy Horschel",63,22.58,147,651,"BirdieorBetterPercentageFairway",2012
57,57,"Sean OHair",84,22.56,220,975,"BirdieorBetterPercentageFairway",2012
57,57,"Jhonattan Vegas",77,22.56,185,820,"BirdieorBetterPercentageFairway",2012
59,59,"Davis Love III",64,22.52,152,675,"BirdieorBetterPercentageFairway",2012
60,60,"KJ Choi",71,22.5,171,760,"BirdieorBetterPercentageFairway",2012
61,61,"Henrik Stenson",51,22.48,127,565,"BirdieorBetterPercentageFairway",2012
61,61,"YE Yang",64,22.48,138,614,"BirdieorBetterPercentageFairway",2012
63,63,"Brian Harman",101,22.44,269,1199,"BirdieorBetterPercentageFairway",2012
64,64,"DA Points",88,22.39,240,1072,"BirdieorBetterPercentageFairway",2012
65,65,"Ian Poulter",57,22.35,120,537,"BirdieorBetterPercentageFairway",2012
66,66,"John Rollins",81,22.34,212,949,"BirdieorBetterPercentageFairway",2012
67,67,"Will Claxton",99,22.33,259,1160,"BirdieorBetterPercentageFairway",2012
68,68,"Charley Hoffman",88,22.32,219,981,"BirdieorBetterPercentageFairway",2012
69,69,"Richard Lee",71,22.28,176,790,"BirdieorBetterPercentageFairway",2012
70,70,"Scott Brown",65,22.27,149,669,"BirdieorBetterPercentageFairway",2012
71,71,"Kevin Na",80,22.21,197,887,"BirdieorBetterPercentageFairway",2012
72,72,"James Driscoll",83,22.2,188,847,"BirdieorBetterPercentageFairway",2012
72,72,"Bobby Gates",87,22.2,214,964,"BirdieorBetterPercentageFairway",2012
74,74,"Matt Every",80,22.16,187,844,"BirdieorBetterPercentageFairway",2012
75,75,"John Merrick",83,22.15,212,957,"BirdieorBetterPercentageFairway",2012
76,76,"Daniel Chopra",55,22.13,108,488,"BirdieorBetterPercentageFairway",2012
77,77,"Sangmoon Bae",81,22.11,159,719,"BirdieorBetterPercentageFairway",2012
78,78,"Blake Adams",107,22.06,268,1215,"BirdieorBetterPercentageFairway",2012
79,79,"Camilo Villegas",79,22.04,216,980,"BirdieorBetterPercentageFairway",2012
80,80,"Greg Owen",90,22.03,217,985,"BirdieorBetterPercentageFairway",2012
81,81,"Harrison Frazar",56,22.01,129,586,"BirdieorBetterPercentageFairway",2012
82,82,"Spencer Levin",81,21.97,181,824,"BirdieorBetterPercentageFairway",2012
83,83,"Vaughn Taylor",81,21.94,183,834,"BirdieorBetterPercentageFairway",2012
84,84,"Martin Flores",95,21.88,217,992,"BirdieorBetterPercentageFairway",2012
85,85,"Bill Lunde",83,21.86,188,860,"BirdieorBetterPercentageFairway",2012
86,86,"Johnson Wagner",88,21.78,218,1001,"BirdieorBetterPercentageFairway",2012
87,87,"Harris English",98,21.77,246,1130,"BirdieorBetterPercentageFairway",2012
88,88,"Aaron Baddeley",73,21.74,145,667,"BirdieorBetterPercentageFairway",2012
89,89,"Hunter Mahan",88,21.66,188,868,"BirdieorBetterPercentageFairway",2012
90,90,"Marco Dawson",60,21.63,125,578,"BirdieorBetterPercentageFairway",2012
90,90,"Daniel Summerhays",81,21.63,194,897,"BirdieorBetterPercentageFairway",2012
92,92,"Matt Bettencourt",80,21.6,154,713,"BirdieorBetterPercentageFairway",2012
93,93,"Brian Davis",91,21.57,239,1108,"BirdieorBetterPercentageFairway",2012
94,94,"Michael Thompson",80,21.49,188,875,"BirdieorBetterPercentageFairway",2012
94,94,"Charlie Wi",86,21.49,208,968,"BirdieorBetterPercentageFairway",2012
96,96,"Tommy Gainey",98,21.48,238,1108,"BirdieorBetterPercentageFairway",2012
97,97,"Roberto Castro",92,21.46,220,1025,"BirdieorBetterPercentageFairway",2012
98,98,"Cameron Beckman",81,21.41,197,920,"BirdieorBetterPercentageFairway",2012
98,98,"Brian Gay",91,21.41,224,1046,"BirdieorBetterPercentageFairway",2012
100,100,"Chad Campbell",84,21.37,203,950,"BirdieorBetterPercentageFairway",2012
