"PresidentsCupInternational_RANKTHISWEEK_2014","PresidentsCupInternational_RANKLASTWEEK_2014","PresidentsCupInternational_PLAYERNAME_2014","PresidentsCupInternational_EVENTS_2014","PresidentsCupInternational_AVGPOINTS_2014","PresidentsCupInternational_TOTALPOINTS_2014","PresidentsCupInternational_POINTSLOST_2014","PresidentsCupInternational_POINTSGAINED_2014","stat_name","year"
1,1,"Adam Scott",41,8.84,362.45,-241.99,211.01,"PresidentsCupInternational",2014
2,2,"Jason Day",41,6.72,275.7,-147.28,190.33,"PresidentsCupInternational",2014
3,3,"Hideki Matsuyama",49,4.07,199.45,-94,138.43,"PresidentsCupInternational",2014
4,4,"Charl Schwartzel",52,3.79,196.83,-160.12,110.04,"PresidentsCupInternational",2014
5,5,"Graham DeLaet",50,3.01,150.3,-95.23,96.89,"PresidentsCupInternational",2014
6,6,"Thongchai Jaidee",52,2.9,150.65,-90.23,108.14,"PresidentsCupInternational",2014
7,7,"Marc Leishman",52,2.84,147.6,-72.85,125.82,"PresidentsCupInternational",2014
8,8,"John Senden",52,2.57,133.6,-67.37,122.87,"PresidentsCupInternational",2014
9,9,"Ernie Els",52,2.56,132.91,-136.83,85.25,"PresidentsCupInternational",2014
10,10,"Angel Cabrera",50,2.37,118.72,-57.8,81.78,"PresidentsCupInternational",2014
11,12,"Louis Oosthuizen",48,2.3,110.2,-143,99.13,"PresidentsCupInternational",2014
12,11,"Matt Jones",52,2.24,116.51,-55.24,92.69,"PresidentsCupInternational",2014
13,13,"Koumei Oda",48,2.06,99.08,-55.59,56.24,"PresidentsCupInternational",2014
14,15,"Richard Sterne",46,1.96,90.35,-75.52,48.91,"PresidentsCupInternational",2014
15,14,"Geoff Ogilvy",51,1.83,93.34,-47.66,78.66,"PresidentsCupInternational",2014
16,16,"Tim Clark",47,1.78,83.53,-57.85,56.87,"PresidentsCupInternational",2014
17,21,"Hyung Sung Kim",52,1.71,89.07,-62.73,46.06,"PresidentsCupInternational",2014
18,17,"KJ Choi",51,1.7,86.94,-53.67,74.62,"PresidentsCupInternational",2014
19,18,"Ryo Ishikawa",52,1.66,86.49,-62.39,56.83,"PresidentsCupInternational",2014
