"Front9ScoringAverage_RANKTHISWEEK_2005","Front9ScoringAverage_RANKLASTWEEK_2005","Front9ScoringAverage_PLAYERNAME_2005","Front9ScoringAverage_ROUNDS_2005","Front9ScoringAverage_AVG_2005","Front9ScoringAverage_TOTALSTROKES_2005","Front9ScoringAverage_TOTALHOLES_2005","stat_name","year"
1,1,"Vijay Singh",111,34.46,3756,109,"Front9ScoringAverage",2005
2,2,"David Toms",87,34.53,2659,77,"Front9ScoringAverage",2005
3,3,"Ben Crane",78,34.54,2556,74,"Front9ScoringAverage",2005
4,4,"Tiger Woods",76,34.55,2557,74,"Front9ScoringAverage",2005
5,5,"Phil Mickelson",81,34.69,2567,74,"Front9ScoringAverage",2005
5,5,"Kenny Perry",82,34.69,2775,80,"Front9ScoringAverage",2005
7,7,"Steve Elkington",67,34.75,2328,67,"Front9ScoringAverage",2005
8,8,"Luke Donald",67,34.82,2089,60,"Front9ScoringAverage",2005
9,9,"Sergio Garcia",73,34.85,2370,68,"Front9ScoringAverage",2005
10,10,"Tim Herron",100,34.9,3455,99,"Front9ScoringAverage",2005
11,11,"Stewart Cink",98,34.91,3142,90,"Front9ScoringAverage",2005
11,11,"Jim Furyk",94,34.91,3247,93,"Front9ScoringAverage",2005
13,13,"Billy Mayfair",114,34.93,3842,110,"Front9ScoringAverage",2005
14,14,"Richard Johnson",50,34.94,1747,50,"Front9ScoringAverage",2005
15,15,"Geoff Ogilvy",97,34.95,3250,93,"Front9ScoringAverage",2005
16,16,"Stuart Appleby",84,34.98,2798,80,"Front9ScoringAverage",2005
16,16,"Scott Verplank",87,34.98,3008,86,"Front9ScoringAverage",2005
18,18,"Bart Bryant",91,35,3185,91,"Front9ScoringAverage",2005
18,18,"Scott Gutschewski",86,35,2870,82,"Front9ScoringAverage",2005
20,20,"Tim Clark",92,35.03,3048,87,"Front9ScoringAverage",2005
21,21,"Mark Calcavecchia",92,35.07,3156,90,"Front9ScoringAverage",2005
21,21,"Dudley Hart",84,35.07,2946,84,"Front9ScoringAverage",2005
23,23,"Bob Estes",92,35.08,3227,92,"Front9ScoringAverage",2005
24,24,"Arjun Atwal",65,35.09,2281,65,"Front9ScoringAverage",2005
25,25,"Mathias Gronberg",60,35.1,2036,58,"Front9ScoringAverage",2005
25,25,"Arron Oberholser",65,35.1,2211,63,"Front9ScoringAverage",2005
27,27,"Marco Dawson",82,35.11,2879,82,"Front9ScoringAverage",2005
27,27,"Brad Faxon",75,35.11,2493,71,"Front9ScoringAverage",2005
27,27,"Harrison Frazar",105,35.11,3546,101,"Front9ScoringAverage",2005
27,27,"Shigeki Maruyama",99,35.11,3441,98,"Front9ScoringAverage",2005
27,27,"Rod Pampling",89,35.11,2949,84,"Front9ScoringAverage",2005
27,27,"Phillip Price",77,35.11,2563,73,"Front9ScoringAverage",2005
33,33,"Woody Austin",100,35.12,3512,100,"Front9ScoringAverage",2005
33,33,"Chris DiMarco",83,35.12,2634,75,"Front9ScoringAverage",2005
33,33,"Carl Pettersson",109,35.12,3688,105,"Front9ScoringAverage",2005
36,36,"Justin Leonard",78,35.13,2635,75,"Front9ScoringAverage",2005
37,37,"Brandt Jobe",96,35.14,3233,92,"Front9ScoringAverage",2005
38,38,"Dan Forsman",52,35.16,1758,50,"Front9ScoringAverage",2005
39,39,"Dean Wilson",86,35.17,3025,86,"Front9ScoringAverage",2005
40,40,"Jason Bohn",91,35.19,3202,91,"Front9ScoringAverage",2005
41,41,"Jeff Brehaut",71,35.21,2359,67,"Front9ScoringAverage",2005
41,41,"Jose Maria Olazabal",55,35.21,1866,53,"Front9ScoringAverage",2005
43,43,"Olin Browne",99,35.22,3346,95,"Front9ScoringAverage",2005
43,43,"Brett Wetterich",76,35.22,2606,74,"Front9ScoringAverage",2005
45,45,"Omar Uresti",84,35.23,2959,84,"Front9ScoringAverage",2005
46,46,"Gavin Coles",70,35.24,2467,70,"Front9ScoringAverage",2005
47,47,"Davis Love III",80,35.25,2644,75,"Front9ScoringAverage",2005
47,47,"Ryan Palmer",101,35.25,3419,97,"Front9ScoringAverage",2005
49,49,"Ryuji Imada",78,35.26,2750,78,"Front9ScoringAverage",2005
50,50,"Padraig Harrington",50,35.27,1693,48,"Front9ScoringAverage",2005
50,50,"Zach Johnson",96,35.27,3351,95,"Front9ScoringAverage",2005
50,50,"Brenden Pappas",51,35.27,1799,51,"Front9ScoringAverage",2005
50,50,"Brett Quigley",96,35.27,3245,92,"Front9ScoringAverage",2005
50,50,"Mark Wilson",74,35.27,2469,70,"Front9ScoringAverage",2005
55,55,"Joe Durant",81,35.28,2858,81,"Front9ScoringAverage",2005
55,55,"Lucas Glover",88,35.28,3034,86,"Front9ScoringAverage",2005
55,55,"Charles Howell III",95,35.28,3175,90,"Front9ScoringAverage",2005
58,58,"Brian Davis",75,35.29,2647,75,"Front9ScoringAverage",2005
58,58,"Justin Rose",99,35.29,3353,95,"Front9ScoringAverage",2005
58,58,"Bo Van Pelt",112,35.29,3952,112,"Front9ScoringAverage",2005
61,61,"Stephen Leaney",89,35.3,3036,86,"Front9ScoringAverage",2005
61,61,"JL Lewis",98,35.3,3459,98,"Front9ScoringAverage",2005
61,61,"Hidemichi Tanaka",106,35.3,3601,102,"Front9ScoringAverage",2005
64,64,"DA Points",94,35.31,3178,90,"Front9ScoringAverage",2005
65,65,"Stephen Ames",82,35.33,2791,79,"Front9ScoringAverage",2005
65,65,"Chad Campbell",95,35.33,3250,92,"Front9ScoringAverage",2005
65,65,"Sean OHair",103,35.33,3498,99,"Front9ScoringAverage",2005
65,65,"Darron Stiles",78,35.33,2685,76,"Front9ScoringAverage",2005
65,65,"Kevin Sutherland",89,35.33,3074,87,"Front9ScoringAverage",2005
70,70,"Robert Gamez",91,35.34,3216,91,"Front9ScoringAverage",2005
70,70,"Will Ma Kenzie",75,35.34,2580,73,"Front9ScoringAverage",2005
72,72,"Daniel Chopra",108,35.35,3676,104,"Front9ScoringAverage",2005
73,73,"Briny Baird",98,35.36,3395,96,"Front9ScoringAverage",2005
74,74,"Adam Scott",72,35.37,2405,68,"Front9ScoringAverage",2005
74,74,"John Senden",101,35.37,3502,99,"Front9ScoringAverage",2005
76,76,"Matt Kuchar",60,35.38,2123,60,"Front9ScoringAverage",2005
76,76,"Heath Slocum",103,35.38,3503,99,"Front9ScoringAverage",2005
76,76,"Nick Watney",91,35.38,3149,89,"Front9ScoringAverage",2005
76,76,"Charlie Wi",67,35.38,2300,65,"Front9ScoringAverage",2005
80,80,"Carlos Franco",78,35.39,2690,76,"Front9ScoringAverage",2005
81,81,"Robert Allenby",95,35.4,3151,89,"Front9ScoringAverage",2005
81,81,"Tommy Armour III",103,35.4,3646,103,"Front9ScoringAverage",2005
83,83,"Billy Andrade",83,35.41,2939,83,"Front9ScoringAverage",2005
83,83,"Jonathan Byrd",103,35.41,3506,99,"Front9ScoringAverage",2005
83,83,"John Huston",90,35.41,3045,86,"Front9ScoringAverage",2005
86,86,"Jerry Kelly",101,35.42,3507,99,"Front9ScoringAverage",2005
87,87,"Aaron Baddeley",84,35.44,2906,82,"Front9ScoringAverage",2005
87,87,"Doug Barron",70,35.44,2481,70,"Front9ScoringAverage",2005
87,87,"Kent Jones",99,35.44,3438,97,"Front9ScoringAverage",2005
87,87,"Jesper Parnevik",84,35.44,2906,82,"Front9ScoringAverage",2005
87,87,"Jeff Sluman",94,35.44,3331,94,"Front9ScoringAverage",2005
92,92,"Tom Byrum",83,35.45,2942,83,"Front9ScoringAverage",2005
92,92,"Tom Pernice Jr",111,35.45,3793,107,"Front9ScoringAverage",2005
92,92,"Kevin Stadler",96,35.45,3261,92,"Front9ScoringAverage",2005
92,92,"Steve Stricker",62,35.45,2198,62,"Front9ScoringAverage",2005
92,92,"Vaughn Taylor",99,35.45,3510,99,"Front9ScoringAverage",2005
92,92,"Bob Tway",87,35.45,2942,83,"Front9ScoringAverage",2005
98,98,"Duffy Waldorf",86,35.46,2908,82,"Front9ScoringAverage",2005
99,99,"Fred Funk",102,35.47,3582,101,"Front9ScoringAverage",2005
99,99,"Neal Lancaster",95,35.47,3370,95,"Front9ScoringAverage",2005
99,99,"Rocco Mediate",73,35.47,2589,73,"Front9ScoringAverage",2005
99,99,"Tim Petrovic",97,35.47,3299,93,"Front9ScoringAverage",2005
103,103,"Hunter Haas",83,35.48,2803,79,"Front9ScoringAverage",2005
103,103,"Corey Pavin",77,35.48,2590,73,"Front9ScoringAverage",2005
103,103,"DJ Trahan",81,35.48,2732,77,"Front9ScoringAverage",2005
106,106,"Craig Barlow",81,35.49,2733,77,"Front9ScoringAverage",2005
106,106,"Retief Goosen",71,35.49,2165,61,"Front9ScoringAverage",2005
108,108,"Chris Anderson",66,35.5,2201,62,"Front9ScoringAverage",2005
108,108,"Steve Lowery",100,35.5,3408,96,"Front9ScoringAverage",2005
110,110,"Paul Claxton",79,35.51,2805,79,"Front9ScoringAverage",2005
110,110,"JP Hayes",63,35.51,2237,63,"Front9ScoringAverage",2005
110,110,"Bernhard Langer",67,35.51,2379,67,"Front9ScoringAverage",2005
113,113,"Bob Heintz",67,35.52,2380,67,"Front9ScoringAverage",2005
113,113,"JJ Henry",102,35.52,3552,100,"Front9ScoringAverage",2005
113,113,"Ted Purdy",122,35.52,4334,122,"Front9ScoringAverage",2005
113,113,"Patrick Sheehan",114,35.52,3907,110,"Front9ScoringAverage",2005
113,113,"Joey Sindelar",104,35.52,3694,104,"Front9ScoringAverage",2005
118,118,"Joe Ogilvie",103,35.53,3517,99,"Front9ScoringAverage",2005
119,119,"Glen Day",80,35.54,2772,78,"Front9ScoringAverage",2005
119,119,"Tom Lehman",69,35.54,2381,67,"Front9ScoringAverage",2005
119,119,"Pat Perez",89,35.54,3163,89,"Front9ScoringAverage",2005
122,122,"Greg Owen",84,35.55,2844,80,"Front9ScoringAverage",2005
