"TotalHoleOuts_RANKTHISWEEK_2016","TotalHoleOuts_RANKLASTWEEK_2016","TotalHoleOuts_PLAYERNAME_2016","TotalHoleOuts_ROUNDS_2016","TotalHoleOuts_HOLEOUTS_2016","stat_name","year"
1,1,"John Huh",51,13,"TotalHoleOuts",2016
1,1,"Patton Kizzire",57,13,"TotalHoleOuts",2016
3,3,"Andrew Loupe",50,12,"TotalHoleOuts",2016
4,14,"Alex Cejka",47,11,"TotalHoleOuts",2016
4,5,"Jamie Lovemark",57,11,"TotalHoleOuts",2016
4,3,"Chez Reavie",56,11,"TotalHoleOuts",2016
7,5,"Zac Blair",56,10,"TotalHoleOuts",2016
7,5,"Jon Curran",55,10,"TotalHoleOuts",2016
7,5,"Matt Every",34,10,"TotalHoleOuts",2016
7,14,"Chesson Hadley",51,10,"TotalHoleOuts",2016
7,14,"Padraig Harrington",38,10,"TotalHoleOuts",2016
7,14,"Jim Herman",55,10,"TotalHoleOuts",2016
7,5,"Tom Hoge",47,10,"TotalHoleOuts",2016
7,5,"Si Woo Kim",63,10,"TotalHoleOuts",2016
7,14,"Jason Kokrak",52,10,"TotalHoleOuts",2016
7,5,"Peter Malnati",53,10,"TotalHoleOuts",2016
7,5,"Ben Martin",48,10,"TotalHoleOuts",2016
7,5,"Bryce Molder",50,10,"TotalHoleOuts",2016
7,46,"Jeff Overton",51,10,"TotalHoleOuts",2016
7,29,"Martin Piller",37,10,"TotalHoleOuts",2016
7,14,"Kyle Stanley",57,10,"TotalHoleOuts",2016
7,14,"David Toms",38,10,"TotalHoleOuts",2016
7,29,"Camilo Villegas",50,10,"TotalHoleOuts",2016
24,14,"Thomas Aiken",42,9,"TotalHoleOuts",2016
24,29,"Blayne Barber",44,9,"TotalHoleOuts",2016
24,14,"Jonas Blixt",46,9,"TotalHoleOuts",2016
24,14,"Bronson Burgoon",53,9,"TotalHoleOuts",2016
24,29,"Chad Campbell",54,9,"TotalHoleOuts",2016
24,29,"Roberto Castro",55,9,"TotalHoleOuts",2016
24,29,"Chad Collins",45,9,"TotalHoleOuts",2016
24,14,"Erik Compton",45,9,"TotalHoleOuts",2016
24,14,"Derek Fathauer",58,9,"TotalHoleOuts",2016
24,14,"Charles Howell III",63,9,"TotalHoleOuts",2016
24,14,"Smylie Kaufman",57,9,"TotalHoleOuts",2016
24,46,"Patrick Reed",53,9,"TotalHoleOuts",2016
24,14,"Brett Stegmaier",57,9,"TotalHoleOuts",2016
24,29,"Dawie van der Walt",48,9,"TotalHoleOuts",2016
38,29,"Abraham Ancer",26,8,"TotalHoleOuts",2016
38,29,"KJ Choi",47,8,"TotalHoleOuts",2016
38,29,"Stewart Cink",45,8,"TotalHoleOuts",2016
38,29,"Jason Dufner",53,8,"TotalHoleOuts",2016
38,29,"David Hearn",55,8,"TotalHoleOuts",2016
38,29,"Freddie Jacobson",54,8,"TotalHoleOuts",2016
38,29,"Jerry Kelly",44,8,"TotalHoleOuts",2016
38,29,"Whee Kim",54,8,"TotalHoleOuts",2016
38,46,"Michael Kim",62,8,"TotalHoleOuts",2016
38,46,"Colt Knost",56,8,"TotalHoleOuts",2016
38,46,"Spencer Levin",62,8,"TotalHoleOuts",2016
38,29,"David Lingmerth",54,8,"TotalHoleOuts",2016
38,46,"William McGirt",54,8,"TotalHoleOuts",2016
38,46,"DA Points",32,8,"TotalHoleOuts",2016
38,46,"Nick Taylor",57,8,"TotalHoleOuts",2016
38,91,"Brendon Todd",43,8,"TotalHoleOuts",2016
38,29,"Jimmy Walker",43,8,"TotalHoleOuts",2016
38,46,"Steve Wheatcroft",53,8,"TotalHoleOuts",2016
56,46,"Tyler Aldridge",53,7,"TotalHoleOuts",2016
56,46,"Aaron Baddeley",51,7,"TotalHoleOuts",2016
56,46,"Ricky Barnes",57,7,"TotalHoleOuts",2016
56,46,"Shane Bertsch",30,7,"TotalHoleOuts",2016
56,46,"Jason Gore",51,7,"TotalHoleOuts",2016
56,46,"Charley Hoffman",49,7,"TotalHoleOuts",2016
56,46,"Davis Love III",40,7,"TotalHoleOuts",2016
56,117,"Scott Pinckney",53,7,"TotalHoleOuts",2016
56,46,"Dicky Pride",33,7,"TotalHoleOuts",2016
56,66,"Vijay Singh",42,7,"TotalHoleOuts",2016
56,46,"Scott Stallings",46,7,"TotalHoleOuts",2016
56,46,"Shawn Stefani",45,7,"TotalHoleOuts",2016
56,66,"Daniel Summerhays",55,7,"TotalHoleOuts",2016
56,46,"Will Wilcox",47,7,"TotalHoleOuts",2016
70,66,"Daniel Berger",52,6,"TotalHoleOuts",2016
70,66,"Kevin Chappell",49,6,"TotalHoleOuts",2016
70,91,"Luke Donald",49,6,"TotalHoleOuts",2016
70,91,"Ernie Els",34,6,"TotalHoleOuts",2016
70,66,"Harris English",51,6,"TotalHoleOuts",2016
70,66,"Bill Haas",42,6,"TotalHoleOuts",2016
70,91,"James Hahn",45,6,"TotalHoleOuts",2016
70,66,"Brian Harman",60,6,"TotalHoleOuts",2016
70,66,"Russell Henley",42,6,"TotalHoleOuts",2016
70,66,"JJ Henry",44,6,"TotalHoleOuts",2016
70,66,"Mark Hubbard",73,6,"TotalHoleOuts",2016
70,66,"Zach Johnson",42,6,"TotalHoleOuts",2016
70,66,"Chris Kirk",51,6,"TotalHoleOuts",2016
70,66,"Kelly Kraft",35,6,"TotalHoleOuts",2016
70,66,"Scott Langley",41,6,"TotalHoleOuts",2016
70,66,"DH Lee",35,6,"TotalHoleOuts",2016
