"BogeyAverage_RANKTHISWEEK_2006","BogeyAverage_RANKLASTWEEK_2006","BogeyAverage_PLAYERNAME_2006","BogeyAverage_EVENTS_2006","BogeyAverage_AVERAGEBOGEYSPERROUND_2006","BogeyAverage_TOTALBOGEYS_2006","BogeyAverage_ROUNDSPLAYED_2006","stat_name","year"
1,1,"Jim Furyk",24,1.91,168,88,"BogeyAverage",2006
2,2,"Steve Stricker",17,2.02,125,62,"BogeyAverage",2006
3,3,"Tiger Woods",15,2.04,106,52,"BogeyAverage",2006
4,4,"Steve Elkington",17,2.06,105,51,"BogeyAverage",2006
5,5,"Luke Donald",18,2.17,137,63,"BogeyAverage",2006
6,6,"Ian Poulter",15,2.19,114,52,"BogeyAverage",2006
7,7,"Greg Owen",24,2.25,173,77,"BogeyAverage",2006
8,8,"Frank Lickliter II",29,2.29,222,97,"BogeyAverage",2006
9,9,"Jonathan Byrd",20,2.3,152,66,"BogeyAverage",2006
9,9,"John Senden",28,2.3,214,93,"BogeyAverage",2006
11,11,"Stephen Leaney",27,2.32,195,84,"BogeyAverage",2006
12,12,"Brian Gay",31,2.33,249,107,"BogeyAverage",2006
13,13,"Padraig Harrington",15,2.36,118,50,"BogeyAverage",2006
14,14,"Jesper Parnevik",24,2.37,199,84,"BogeyAverage",2006
15,15,"Scott Verplank",25,2.38,205,86,"BogeyAverage",2006
16,16,"David Branshaw",29,2.39,234,98,"BogeyAverage",2006
17,17,"Steve Flesch",33,2.43,280,115,"BogeyAverage",2006
17,17,"Richard Johnson",29,2.43,228,94,"BogeyAverage",2006
19,19,"Jeff Gove",29,2.44,212,87,"BogeyAverage",2006
19,19,"Trevor Immelman",24,2.44,210,86,"BogeyAverage",2006
21,21,"Eric Axley",29,2.45,218,89,"BogeyAverage",2006
21,21,"Paul Azinger",30,2.45,213,87,"BogeyAverage",2006
23,23,"Justin Rose",28,2.47,235,95,"BogeyAverage",2006
23,23,"Tjaart van der Walt",21,2.47,141,57,"BogeyAverage",2006
23,23,"Mark Wilson",24,2.47,188,76,"BogeyAverage",2006
26,26,"KJ Choi",26,2.48,228,92,"BogeyAverage",2006
26,26,"Vijay Singh",27,2.48,248,100,"BogeyAverage",2006
28,28,"Arron Oberholser",23,2.49,197,79,"BogeyAverage",2006
28,28,"Omar Uresti",22,2.49,147,59,"BogeyAverage",2006
30,30,"Brett Quigley",33,2.5,262,105,"BogeyAverage",2006
31,31,"Bob Estes",25,2.51,213,85,"BogeyAverage",2006
31,31,"Brent Geiberger",30,2.51,243,97,"BogeyAverage",2006
31,31,"Jerry Kelly",31,2.51,251,100,"BogeyAverage",2006
34,34,"Stephen Ames",21,2.52,156,62,"BogeyAverage",2006
34,34,"Kevin Sutherland",29,2.52,242,96,"BogeyAverage",2006
36,36,"Joe Durant",28,2.54,257,101,"BogeyAverage",2006
36,36,"Billy Mayfair",29,2.54,239,94,"BogeyAverage",2006
36,36,"Corey Pavin",23,2.54,178,70,"BogeyAverage",2006
39,39,"Shaun Micheel",29,2.55,237,93,"BogeyAverage",2006
39,39,"Joe Ogilvie",29,2.55,232,91,"BogeyAverage",2006
41,41,"Bob May",21,2.56,159,62,"BogeyAverage",2006
42,42,"Phil Mickelson",19,2.57,177,69,"BogeyAverage",2006
43,43,"Robert Allenby",22,2.58,199,77,"BogeyAverage",2006
43,43,"Skip Kendall",22,2.58,186,72,"BogeyAverage",2006
43,43,"Steve Lowery",31,2.58,250,97,"BogeyAverage",2006
43,43,"Heath Slocum",30,2.58,240,93,"BogeyAverage",2006
43,43,"Charles Warren",27,2.58,232,90,"BogeyAverage",2006
48,48,"Davis Love III",23,2.59,197,76,"BogeyAverage",2006
48,48,"Nick Watney",29,2.59,246,95,"BogeyAverage",2006
50,50,"Briny Baird",25,2.61,201,77,"BogeyAverage",2006
50,50,"Chad Campbell",25,2.61,227,87,"BogeyAverage",2006
50,50,"Ryan Palmer",30,2.61,258,99,"BogeyAverage",2006
50,50,"Dean Wilson",34,2.61,290,111,"BogeyAverage",2006
54,54,"Jason Bohn",29,2.62,272,104,"BogeyAverage",2006
54,54,"Hunter Mahan",29,2.62,257,98,"BogeyAverage",2006
54,54,"Bubba Watson",27,2.62,207,79,"BogeyAverage",2006
57,57,"Bart Bryant",26,2.63,226,86,"BogeyAverage",2006
57,57,"Paul Goydos",24,2.63,189,72,"BogeyAverage",2006
57,57,"Freddie Jacobson",18,2.63,147,56,"BogeyAverage",2006
57,57,"Zach Johnson",27,2.63,231,88,"BogeyAverage",2006
57,57,"Shigeki Maruyama",30,2.63,242,92,"BogeyAverage",2006
62,62,"Chris DiMarco",26,2.64,206,78,"BogeyAverage",2006
62,62,"Charley Hoffman",29,2.64,259,98,"BogeyAverage",2006
62,62,"Paul Stankowski",22,2.64,185,70,"BogeyAverage",2006
