"ConsecutiveHolesBelowPar_RANKTHISWEEK_2013","ConsecutiveHolesBelowPar_RANKLASTWEEK_2013","ConsecutiveHolesBelowPar_PLAYERNAME_2013","ConsecutiveHolesBelowPar_EVENTS_2013","ConsecutiveHolesBelowPar_NUMBEROFHOLES_2013","stat_name","year"
1,1,"Russell Henley",24,7,"ConsecutiveHolesBelowPar",2013
1,1,"Matt Jones",24,7,"ConsecutiveHolesBelowPar",2013
1,1,"Brandt Snedeker",23,7,"ConsecutiveHolesBelowPar",2013
4,4,"Sangmoon Bae",26,6,"ConsecutiveHolesBelowPar",2013
4,4,"Scott Gardiner",23,6,"ConsecutiveHolesBelowPar",2013
4,4,"Robert Garrigus",22,6,"ConsecutiveHolesBelowPar",2013
4,4,"Billy Horschel",26,6,"ConsecutiveHolesBelowPar",2013
4,4,"John Mallinger",12,6,"ConsecutiveHolesBelowPar",2013
4,4,"Louis Oosthuizen",12,6,"ConsecutiveHolesBelowPar",2013
4,4,"Chris Stroud",26,6,"ConsecutiveHolesBelowPar",2013
4,4,"Mike Weir",22,6,"ConsecutiveHolesBelowPar",2013
12,12,"Stuart Appleby",25,5,"ConsecutiveHolesBelowPar",2013
12,12,"Ricky Barnes",26,5,"ConsecutiveHolesBelowPar",2013
12,12,"Matt Bettencourt",9,5,"ConsecutiveHolesBelowPar",2013
12,12,"Donald Constable",16,5,"ConsecutiveHolesBelowPar",2013
12,12,"Graham DeLaet",26,5,"ConsecutiveHolesBelowPar",2013
12,12,"James Driscoll",23,5,"ConsecutiveHolesBelowPar",2013
12,12,"Harris English",26,5,"ConsecutiveHolesBelowPar",2013
12,12,"Ross Fisher",15,5,"ConsecutiveHolesBelowPar",2013
12,12,"Rickie Fowler",22,5,"ConsecutiveHolesBelowPar",2013
12,12,"Tommy Gainey",28,5,"ConsecutiveHolesBelowPar",2013
12,12,"Sergio Garcia",17,5,"ConsecutiveHolesBelowPar",2013
12,12,"Justin Hicks",25,5,"ConsecutiveHolesBelowPar",2013
12,12,"Charley Hoffman",23,5,"ConsecutiveHolesBelowPar",2013
12,12,"Miguel Angel Jimenez",3,5,"ConsecutiveHolesBelowPar",2013
12,12,"Martin Kaymer",17,5,"ConsecutiveHolesBelowPar",2013
