"ProximitytoHolefromFringe_RANKTHISWEEK_2013","ProximitytoHolefromFringe_RANKLASTWEEK_2013","ProximitytoHolefromFringe_PLAYERNAME_2013","ProximitytoHolefromFringe_ROUNDS_2013","ProximitytoHolefromFringe_AVGDTP_2013","ProximitytoHolefromFringe_TOTALDISTANCEFEET_2013","ProximitytoHolefromFringe_OFSHOTS_2013","ProximitytoHolefromFringe_SCRAMBLINGRANK_2013","stat_name","year"
1,NA,"Aaron Baddeley",68,NA,111.75,58,92,"ProximitytoHolefromFringe",2013
2,NA,"Ben Curtis",59,NA,87.583,43,141,"ProximitytoHolefromFringe",2013
2,NA,"Ted Potter Jr",65,NA,103.333,51,34,"ProximitytoHolefromFringe",2013
2,NA,"Ian Poulter",59,NA,83.667,41,25,"ProximitytoHolefromFringe",2013
5,NA,"Bob Estes",66,NA,124,60,1,"ProximitytoHolefromFringe",2013
5,NA,"Pat Perez",69,NA,111.833,53,111,"ProximitytoHolefromFringe",2013
5,NA,"Justin Rose",62,NA,105.5,50,35,"ProximitytoHolefromFringe",2013
8,NA,"Justin Leonard",86,NA,138.583,64,72,"ProximitytoHolefromFringe",2013
8,NA,"Andrew Svoboda",46,NA,57.25,26,167,"ProximitytoHolefromFringe",2013
10,NA,"Justin Bolli",59,NA,102.25,45,106,"ProximitytoHolefromFringe",2013
10,NA,"Jim Furyk",80,NA,182.417,81,57,"ProximitytoHolefromFringe",2013
10,NA,"Robert Streb",75,NA,137.333,60,86,"ProximitytoHolefromFringe",2013
13,NA,"James Hahn",78,NA,172.25,74,128,"ProximitytoHolefromFringe",2013
13,NA,"Greg Owen",73,NA,153.25,65,142,"ProximitytoHolefromFringe",2013
13,NA,"David Toms",49,NA,78.333,34,51,"ProximitytoHolefromFringe",2013
13,NA,"Bo Van Pelt",72,NA,137.167,59,159,"ProximitytoHolefromFringe",2013
17,NA,"Keegan Bradley",88,NA,180.333,74,32,"ProximitytoHolefromFringe",2013
17,NA,"Brian Harman",89,NA,212.917,87,77,"ProximitytoHolefromFringe",2013
17,NA,"Marc Leishman",77,NA,147.833,62,96,"ProximitytoHolefromFringe",2013
17,NA,"Troy Matteson",68,NA,179.417,74,63,"ProximitytoHolefromFringe",2013
21,NA,"Will Claxton",67,NA,135.417,55,156,"ProximitytoHolefromFringe",2013
21,NA,"Brandt Jobe",62,NA,130.583,53,146,"ProximitytoHolefromFringe",2013
21,NA,"Zach Johnson",84,NA,153.167,61,54,"ProximitytoHolefromFringe",2013
21,NA,"Chris Kirk",89,NA,233.333,92,3,"ProximitytoHolefromFringe",2013
25,NA,"Bud Cauley",67,NA,150.333,58,165,"ProximitytoHolefromFringe",2013
25,NA,"Jason Dufner",78,NA,158.167,62,70,"ProximitytoHolefromFringe",2013
25,NA,"Tom Gillis",69,NA,128.25,50,44,"ProximitytoHolefromFringe",2013
25,NA,"Morgan Hoffmann",64,NA,122.917,48,85,"ProximitytoHolefromFringe",2013
25,NA,"Matt Jones",83,NA,190.333,74,8,"ProximitytoHolefromFringe",2013
25,NA,"Jason Kokrak",78,NA,177.083,68,83,"ProximitytoHolefromFringe",2013
25,NA,"Hunter Mahan",91,NA,151.583,58,73,"ProximitytoHolefromFringe",2013
25,NA,"Ryan Palmer",79,NA,197.583,77,133,"ProximitytoHolefromFringe",2013
25,NA,"Tag Ridings",69,NA,122.667,48,98,"ProximitytoHolefromFringe",2013
25,NA,"Charl Schwartzel",69,NA,96.667,37,140,"ProximitytoHolefromFringe",2013
25,NA,"Charlie Wi",75,NA,164.083,64,47,"ProximitytoHolefromFringe",2013
25,NA,"Mark Wilson",56,NA,132.083,51,27,"ProximitytoHolefromFringe",2013
37,NA,"Stephen Ames",49,NA,119.417,45,67,"ProximitytoHolefromFringe",2013
37,NA,"Michael Bradley",56,NA,93.917,35,166,"ProximitytoHolefromFringe",2013
37,NA,"Charley Hoffman",84,NA,193.417,72,154,"ProximitytoHolefromFringe",2013
37,NA,"Robert Karlsson",56,NA,86.25,32,100,"ProximitytoHolefromFringe",2013
37,NA,"Jerry Kelly",75,NA,205.25,76,14,"ProximitytoHolefromFringe",2013
37,NA,"Chez Reavie",72,NA,157.917,60,48,"ProximitytoHolefromFringe",2013
37,NA,"Chris Stroud",88,NA,244.25,91,6,"ProximitytoHolefromFringe",2013
37,NA,"Cameron Tringale",80,NA,180.667,67,20,"ProximitytoHolefromFringe",2013
37,NA,"Lee Westwood",70,NA,147.167,55,21,"ProximitytoHolefromFringe",2013
46,NA,"Chad Campbell",78,NA,179.583,66,76,"ProximitytoHolefromFringe",2013
46,NA,"KJ Choi",85,NA,176.333,65,13,"ProximitytoHolefromFringe",2013
46,NA,"Tim Clark",64,NA,133.833,48,45,"ProximitytoHolefromFringe",2013
46,NA,"Nicolas Colsaerts",50,NA,97.583,35,178,"ProximitytoHolefromFringe",2013
46,NA,"Brendon de Jonge",110,NA,255,94,16,"ProximitytoHolefromFringe",2013
46,NA,"Ernie Els",63,NA,175.583,63,84,"ProximitytoHolefromFringe",2013
46,NA,"Rickie Fowler",75,NA,183.417,66,56,"ProximitytoHolefromFringe",2013
46,NA,"Padraig Harrington",52,NA,83.583,30,113,"ProximitytoHolefromFringe",2013
46,NA,"David Hearn",88,NA,202.167,73,90,"ProximitytoHolefromFringe",2013
46,NA,"Scott Langley",79,NA,162.583,60,59,"ProximitytoHolefromFringe",2013
46,NA,"George McNeill",68,NA,172.083,62,49,"ProximitytoHolefromFringe",2013
46,NA,"Alistair Presnell",59,NA,152.333,55,101,"ProximitytoHolefromFringe",2013
46,NA,"Jordan Spieth",82,NA,189.5,68,31,"ProximitytoHolefromFringe",2013
46,NA,"Daniel Summerhays",83,NA,249,91,68,"ProximitytoHolefromFringe",2013
60,NA,"Stuart Appleby",88,NA,249.833,89,4,"ProximitytoHolefromFringe",2013
60,NA,"Luke Donald",60,NA,163.667,57,22,"ProximitytoHolefromFringe",2013
60,NA,"Sergio Garcia",65,NA,171.167,61,99,"ProximitytoHolefromFringe",2013
60,NA,"Brian Gay",79,NA,263.25,94,10,"ProximitytoHolefromFringe",2013
60,NA,"Russell Henley",80,NA,159.25,57,104,"ProximitytoHolefromFringe",2013
60,NA,"Luke List",65,NA,142.5,50,151,"ProximitytoHolefromFringe",2013
