"Approachesfrominside100yardsRgh_RANKTHISWEEK_2007","Approachesfrominside100yardsRgh_RANKLASTWEEK_2007","Approachesfrominside100yardsRgh_PLAYERNAME_2007","Approachesfrominside100yardsRgh_ROUNDS_2007","Approachesfrominside100yardsRgh_AVG_2007","Approachesfrominside100yardsRgh_TOTALDISTANCEFEET_2007","Approachesfrominside100yardsRgh_OFATTEMPTS_2007","Approachesfrominside100yardsRgh_RELATIVETOPAR_2007","stat_name","year"
1,1,"Anders Hansen",55,NA,200.083,14,4,"Approachesfrominside100yardsRgh",2007
2,2,"Scott Verplank",82,NA,394.083,24,-3,"Approachesfrominside100yardsRgh",2007
3,3,"Justin Leonard",95,NA,430.833,25,1,"Approachesfrominside100yardsRgh",2007
4,4,"Nick OHern",72,NA,442.917,25,8,"Approachesfrominside100yardsRgh",2007
5,5,"Stephen Ames",81,NA,448.167,25,-1,"Approachesfrominside100yardsRgh",2007
6,6,"Jaco Van Zyl",51,NA,622.25,33,6,"Approachesfrominside100yardsRgh",2007
7,7,"Mark Brooks",53,NA,417.667,22,5,"Approachesfrominside100yardsRgh",2007
8,8,"Kevin Stadler",95,NA,883.5,46,13,"Approachesfrominside100yardsRgh",2007
9,9,"Justin Rose",63,NA,192.417,10,1,"Approachesfrominside100yardsRgh",2007
10,10,"Aaron Baddeley",83,NA,618.167,32,4,"Approachesfrominside100yardsRgh",2007
11,11,"Paul Gow",70,NA,621.083,32,0,"Approachesfrominside100yardsRgh",2007
12,12,"Craig Lile",77,NA,720.083,37,5,"Approachesfrominside100yardsRgh",2007
13,13,"Chris Riley",59,NA,490.333,25,2,"Approachesfrominside100yardsRgh",2007
14,14,"Craig Bowden",78,NA,691.25,35,-6,"Approachesfrominside100yardsRgh",2007
14,14,"Jose Coceres",50,NA,217,11,0,"Approachesfrominside100yardsRgh",2007
14,14,"Joe Durant",88,NA,751.833,38,3,"Approachesfrominside100yardsRgh",2007
14,14,"Hunter Mahan",91,NA,355.667,18,-2,"Approachesfrominside100yardsRgh",2007
18,18,"Shigeki Maruyama",84,NA,832.167,42,2,"Approachesfrominside100yardsRgh",2007
19,19,"Joey Sindelar",75,NA,438.75,22,3,"Approachesfrominside100yardsRgh",2007
20,20,"Jerry Kelly",101,NA,660.667,33,-1,"Approachesfrominside100yardsRgh",2007
21,21,"Glen Day",85,NA,868.917,43,1,"Approachesfrominside100yardsRgh",2007
21,21,"JB Holmes",71,NA,1148.833,57,4,"Approachesfrominside100yardsRgh",2007
21,21,"Jeff Quinney",95,NA,765.583,38,10,"Approachesfrominside100yardsRgh",2007
24,24,"Tom Byrum",50,NA,303.5,15,3,"Approachesfrominside100yardsRgh",2007
25,25,"Cliff Kresge",107,NA,708.917,34,3,"Approachesfrominside100yardsRgh",2007
26,26,"Tiger Woods",63,NA,380.083,18,0,"Approachesfrominside100yardsRgh",2007
27,27,"Jeff Gove",103,NA,656.167,31,1,"Approachesfrominside100yardsRgh",2007
28,28,"Charlie Wi",90,NA,558.5,26,9,"Approachesfrominside100yardsRgh",2007
29,29,"Phil Mickelson",73,NA,754.5,35,2,"Approachesfrominside100yardsRgh",2007
30,30,"Brian Davis",101,NA,737.083,34,-7,"Approachesfrominside100yardsRgh",2007
30,30,"Ken Duke",112,NA,1214,56,5,"Approachesfrominside100yardsRgh",2007
30,30,"George McNeill",95,NA,736.583,34,2,"Approachesfrominside100yardsRgh",2007
30,30,"Arron Oberholser",69,NA,520.75,24,10,"Approachesfrominside100yardsRgh",2007
30,30,"Heath Slocum",101,NA,735.5,34,5,"Approachesfrominside100yardsRgh",2007
35,35,"Fred Funk",65,NA,369.667,17,1,"Approachesfrominside100yardsRgh",2007
35,35,"Shaun Micheel",91,NA,716.75,33,7,"Approachesfrominside100yardsRgh",2007
35,35,"DJ Trahan",99,NA,1108.667,51,9,"Approachesfrominside100yardsRgh",2007
38,38,"Steve Flesch",100,NA,634,29,8,"Approachesfrominside100yardsRgh",2007
38,38,"Jose Maria Olazabal",52,NA,459.333,21,3,"Approachesfrominside100yardsRgh",2007
40,40,"Duffy Waldorf",69,NA,612.917,28,4,"Approachesfrominside100yardsRgh",2007
41,41,"Briny Baird",115,NA,988.25,45,11,"Approachesfrominside100yardsRgh",2007
41,41,"Kenny Perry",83,NA,857.917,39,2,"Approachesfrominside100yardsRgh",2007
41,41,"John Senden",97,NA,681.333,31,4,"Approachesfrominside100yardsRgh",2007
44,44,"Jonathan Byrd",73,NA,574.417,26,-3,"Approachesfrominside100yardsRgh",2007
44,44,"Nick Watney",87,NA,752,34,9,"Approachesfrominside100yardsRgh",2007
46,46,"Steve Marino",106,NA,976.167,44,0,"Approachesfrominside100yardsRgh",2007
46,46,"Rory Sabbatini",81,NA,864.083,39,-4,"Approachesfrominside100yardsRgh",2007
48,48,"Jarrod Lyle",77,NA,889.5,40,5,"Approachesfrominside100yardsRgh",2007
49,49,"Ian Poulter",63,NA,334.5,15,0,"Approachesfrominside100yardsRgh",2007
50,50,"Ted Purdy",102,NA,1053.167,47,3,"Approachesfrominside100yardsRgh",2007
51,51,"Steve Wheatcroft",73,NA,698.75,31,2,"Approachesfrominside100yardsRgh",2007
52,52,"Mathias Gronberg",95,NA,815.75,36,2,"Approachesfrominside100yardsRgh",2007
53,53,"Tommy Armour III",81,NA,567.917,25,8,"Approachesfrominside100yardsRgh",2007
54,54,"Michael Allen",74,NA,572.583,25,4,"Approachesfrominside100yardsRgh",2007
54,54,"Tim Clark",66,NA,459,20,1,"Approachesfrominside100yardsRgh",2007
54,54,"Bob Tway",103,NA,870.167,38,2,"Approachesfrominside100yardsRgh",2007
57,57,"Woody Austin",95,NA,873.583,38,-2,"Approachesfrominside100yardsRgh",2007
57,57,"Bo Van Pelt",104,NA,782.25,34,10,"Approachesfrominside100yardsRgh",2007
59,59,"Vijay Singh",102,NA,1387.083,60,9,"Approachesfrominside100yardsRgh",2007
60,60,"Kent Jones",97,NA,371.583,16,6,"Approachesfrominside100yardsRgh",2007
61,61,"Steve Elkington",87,NA,653.5,28,2,"Approachesfrominside100yardsRgh",2007
62,62,"Brian Gay",107,NA,865.75,37,10,"Approachesfrominside100yardsRgh",2007
63,63,"Robert Gamez",88,NA,634.333,27,16,"Approachesfrominside100yardsRgh",2007
63,63,"Robert Garrigus",95,NA,1055.917,45,2,"Approachesfrominside100yardsRgh",2007
63,63,"Stephen Leaney",82,NA,493.75,21,4,"Approachesfrominside100yardsRgh",2007
66,66,"Craig Barlow",52,NA,495.083,21,7,"Approachesfrominside100yardsRgh",2007
67,67,"Bart Bryant",87,NA,710.667,30,-1,"Approachesfrominside100yardsRgh",2007
67,67,"Mark Calcavecchia",93,NA,734.25,31,11,"Approachesfrominside100yardsRgh",2007
69,69,"Daisuke Maruyama",86,NA,669.583,28,3,"Approachesfrominside100yardsRgh",2007
70,70,"Anthony Kim",93,NA,1177.583,49,4,"Approachesfrominside100yardsRgh",2007
70,70,"Kevin Na",84,NA,1032.667,43,2,"Approachesfrominside100yardsRgh",2007
72,72,"Chris Couch",76,NA,1301.167,54,4,"Approachesfrominside100yardsRgh",2007
73,73,"Eric Axley",107,NA,1787.25,74,9,"Approachesfrominside100yardsRgh",2007
74,74,"JP Hayes",89,NA,994.917,41,3,"Approachesfrominside100yardsRgh",2007
74,74,"Ryuji Imada",104,NA,1090.5,45,-1,"Approachesfrominside100yardsRgh",2007
74,74,"Steve Stricker",81,NA,581.417,24,2,"Approachesfrominside100yardsRgh",2007
77,77,"Billy Andrade",88,NA,923.417,38,10,"Approachesfrominside100yardsRgh",2007
77,77,"Lucas Glover",98,NA,802.333,33,2,"Approachesfrominside100yardsRgh",2007
79,79,"Steve Allan",63,NA,563.167,23,6,"Approachesfrominside100yardsRgh",2007
79,79,"Tim Petrovic",106,NA,1296.75,53,6,"Approachesfrominside100yardsRgh",2007
81,81,"Tom Johnson",74,NA,687.917,28,9,"Approachesfrominside100yardsRgh",2007
81,81,"Billy Mayfair",98,NA,687.5,28,1,"Approachesfrominside100yardsRgh",2007
81,81,"Bryce Molder",56,NA,664.75,27,5,"Approachesfrominside100yardsRgh",2007
84,84,"Daniel Chopra",106,NA,1457.25,59,12,"Approachesfrominside100yardsRgh",2007
84,84,"Craig Kanada",109,NA,961.333,39,6,"Approachesfrominside100yardsRgh",2007
84,84,"Charles Warren",101,NA,961.5,39,12,"Approachesfrominside100yardsRgh",2007
87,87,"Rich Barcelo",80,NA,1040.167,42,15,"Approachesfrominside100yardsRgh",2007
88,88,"Joe Ogilvie",102,NA,1191.417,48,5,"Approachesfrominside100yardsRgh",2007
88,88,"Carl Pettersson",111,NA,1042.333,42,0,"Approachesfrominside100yardsRgh",2007
90,90,"Alex Cejka",80,NA,951.75,38,4,"Approachesfrominside100yardsRgh",2007
90,90,"Richard Johnson",93,NA,851.75,34,10,"Approachesfrominside100yardsRgh",2007
90,90,"Ryan Palmer",91,NA,1153.667,46,13,"Approachesfrominside100yardsRgh",2007
90,90,"Chris Stroud",66,NA,777.833,31,8,"Approachesfrominside100yardsRgh",2007
94,94,"Jason Bohn",57,NA,453.5,18,3,"Approachesfrominside100yardsRgh",2007
95,95,"Stuart Appleby",74,NA,758,30,3,"Approachesfrominside100yardsRgh",2007
95,95,"Mark Hensby",81,NA,882.917,35,8,"Approachesfrominside100yardsRgh",2007
95,95,"Tom Pernice Jr",104,NA,781.917,31,10,"Approachesfrominside100yardsRgh",2007
98,98,"Rich Beem",89,NA,938.417,37,9,"Approachesfrominside100yardsRgh",2007
98,98,"KJ Choi",87,NA,734.917,29,2,"Approachesfrominside100yardsRgh",2007
98,98,"Bill Haas",93,NA,1165.25,46,10,"Approachesfrominside100yardsRgh",2007
98,98,"Will Ma Kenzie",100,NA,1140.167,45,0,"Approachesfrominside100yardsRgh",2007
102,102,"Ryan Armour",107,NA,1040.833,41,10,"Approachesfrominside100yardsRgh",2007
103,103,"Geoff Ogilvy",84,NA,865.833,34,0,"Approachesfrominside100yardsRgh",2007
104,104,"Nathan Green",103,NA,1203.667,47,13,"Approachesfrominside100yardsRgh",2007
104,104,"Jeff Maggert",79,NA,1098.417,43,2,"Approachesfrominside100yardsRgh",2007
106,106,"Jeff Sluman",60,NA,384.833,15,-1,"Approachesfrominside100yardsRgh",2007
107,107,"Boo Weekley",101,NA,1261.25,49,-2,"Approachesfrominside100yardsRgh",2007
108,108,"John Rollins",102,NA,1320.5,51,12,"Approachesfrominside100yardsRgh",2007
109,109,"Bob Estes",88,NA,1119.25,43,8,"Approachesfrominside100yardsRgh",2007
109,109,"Sergio Garcia",68,NA,780.333,30,8,"Approachesfrominside100yardsRgh",2007
