"AverageGoingforitShotDistanceinYards_RANKTHISWEEK_2015","AverageGoingforitShotDistanceinYards_RANKLASTWEEK_2015","AverageGoingforitShotDistanceinYards_PLAYERNAME_2015","AverageGoingforitShotDistanceinYards_EVENTS_2015","AverageGoingforitShotDistanceinYards_AVG_2015","AverageGoingforitShotDistanceinYards_DISTANCEININCHES_2015","AverageGoingforitShotDistanceinYards_ATTEMPTS_2015","stat_name","year"
1,1,"Justin Leonard",22,240.9,294872,34,"AverageGoingforitShotDistanceinYards",2015
2,2,"Charlie Beljan",27,243,1111036,127,"AverageGoingforitShotDistanceinYards",2015
3,3,"Ben Crane",22,243.4,394363,45,"AverageGoingforitShotDistanceinYards",2015
4,4,"Camilo Villegas",27,244.3,1169644,133,"AverageGoingforitShotDistanceinYards",2015
5,5,"Alex Prugh",27,244.5,1153054,131,"AverageGoingforitShotDistanceinYards",2015
6,6,"Adam Scott",15,244.6,607521,69,"AverageGoingforitShotDistanceinYards",2015
7,7,"JJ Henry",30,246.4,993495,112,"AverageGoingforitShotDistanceinYards",2015
8,8,"Heath Slocum",22,246.7,435148,49,"AverageGoingforitShotDistanceinYards",2015
9,9,"Patrick Rodgers",17,246.8,932880,105,"AverageGoingforitShotDistanceinYards",2015
9,9,"Byron Smith",21,246.8,684212,77,"AverageGoingforitShotDistanceinYards",2015
11,11,"Jim Furyk",19,247.1,613815,69,"AverageGoingforitShotDistanceinYards",2015
12,12,"Jim Herman",27,247.2,1148205,129,"AverageGoingforitShotDistanceinYards",2015
13,13,"Sam Saunders",28,247.4,1255725,141,"AverageGoingforitShotDistanceinYards",2015
14,14,"Alex Cejka",30,247.5,1087218,122,"AverageGoingforitShotDistanceinYards",2015
15,15,"Aaron Baddeley",25,247.8,1132845,127,"AverageGoingforitShotDistanceinYards",2015
16,16,"Hudson Swafford",30,248.3,1474671,165,"AverageGoingforitShotDistanceinYards",2015
17,17,"Stewart Cink",23,248.4,858492,96,"AverageGoingforitShotDistanceinYards",2015
18,18,"KJ Choi",19,248.7,608863,68,"AverageGoingforitShotDistanceinYards",2015
19,19,"Lucas Glover",26,248.8,1262723,141,"AverageGoingforitShotDistanceinYards",2015
19,19,"Roger Sloan",20,248.8,680843,76,"AverageGoingforitShotDistanceinYards",2015
21,21,"Scott Langley",28,249.1,977359,109,"AverageGoingforitShotDistanceinYards",2015
22,22,"Nicholas Thompson",31,249.6,799701,89,"AverageGoingforitShotDistanceinYards",2015
23,23,"Ricky Barnes",27,249.8,944413,105,"AverageGoingforitShotDistanceinYards",2015
23,23,"Bill Lunde",18,249.8,548481,61,"AverageGoingforitShotDistanceinYards",2015
25,25,"Andres Gonzales",28,250,1223897,136,"AverageGoingforitShotDistanceinYards",2015
26,26,"Brooks Koepka",23,250.2,1395897,155,"AverageGoingforitShotDistanceinYards",2015
27,27,"Johnson Wagner",23,250.3,765939,85,"AverageGoingforitShotDistanceinYards",2015
28,28,"Martin Flores",30,250.4,1487405,165,"AverageGoingforitShotDistanceinYards",2015
29,29,"Steven Alker",22,250.5,613285,68,"AverageGoingforitShotDistanceinYards",2015
30,30,"Ernie Els",18,250.7,803159,89,"AverageGoingforitShotDistanceinYards",2015
30,30,"Brian Stuard",31,250.7,839300,93,"AverageGoingforitShotDistanceinYards",2015
32,32,"Erik Compton",28,251,1147645,127,"AverageGoingforitShotDistanceinYards",2015
33,33,"Jason Gore",26,251.1,922046,102,"AverageGoingforitShotDistanceinYards",2015
34,34,"Eric Axley",21,251.2,587726,65,"AverageGoingforitShotDistanceinYards",2015
35,35,"Davis Love III",18,251.3,606188,67,"AverageGoingforitShotDistanceinYards",2015
36,36,"Blayne Barber",26,251.6,960095,106,"AverageGoingforitShotDistanceinYards",2015
36,36,"Graham DeLaet",22,251.6,978401,108,"AverageGoingforitShotDistanceinYards",2015
38,38,"Roberto Castro",16,251.7,525580,58,"AverageGoingforitShotDistanceinYards",2015
38,38,"James Hahn",28,251.7,1150911,127,"AverageGoingforitShotDistanceinYards",2015
38,38,"Dustin Johnson",21,251.7,1232561,136,"AverageGoingforitShotDistanceinYards",2015
38,38,"Tim Wilkinson",28,251.7,607219,67,"AverageGoingforitShotDistanceinYards",2015
42,42,"Spencer Levin",31,251.9,1233160,136,"AverageGoingforitShotDistanceinYards",2015
43,43,"Ryo Ishikawa",28,252,1242812,137,"AverageGoingforitShotDistanceinYards",2015
43,43,"John Merrick",27,252,907287,100,"AverageGoingforitShotDistanceinYards",2015
45,45,"Ryan Palmer",22,252.1,953095,105,"AverageGoingforitShotDistanceinYards",2015
45,45,"Will Wilcox",17,252.1,689713,76,"AverageGoingforitShotDistanceinYards",2015
47,47,"Jason Day",20,252.4,1454082,160,"AverageGoingforitShotDistanceinYards",2015
47,47,"DA Points",26,252.4,772275,85,"AverageGoingforitShotDistanceinYards",2015
49,49,"Tyrone Van Aswegen",20,252.5,545410,60,"AverageGoingforitShotDistanceinYards",2015
50,50,"Andrew Putnam",23,252.6,763999,84,"AverageGoingforitShotDistanceinYards",2015
51,51,"Charles Howell III",30,252.7,2101614,231,"AverageGoingforitShotDistanceinYards",2015
51,51,"Scott Piercy",28,252.7,1491926,164,"AverageGoingforitShotDistanceinYards",2015
51,51,"Vijay Singh",23,252.7,1246114,137,"AverageGoingforitShotDistanceinYards",2015
51,51,"Chris Stroud",28,252.7,1018890,112,"AverageGoingforitShotDistanceinYards",2015
51,51,"Andrew Svoboda",30,252.7,1046288,115,"AverageGoingforitShotDistanceinYards",2015
56,56,"Chad Campbell",30,252.8,1201088,132,"AverageGoingforitShotDistanceinYards",2015
57,57,"Boo Weekley",24,252.9,1247317,137,"AverageGoingforitShotDistanceinYards",2015
58,58,"Tom Hoge",26,253.2,1075398,118,"AverageGoingforitShotDistanceinYards",2015
58,58,"Jhonattan Vegas",27,253.2,1540535,169,"AverageGoingforitShotDistanceinYards",2015
60,60,"Brian Harman",29,253.3,1395027,153,"AverageGoingforitShotDistanceinYards",2015
61,61,"Robert Garrigus",25,253.5,1095074,120,"AverageGoingforitShotDistanceinYards",2015
61,61,"Cameron Percy",23,253.5,976660,107,"AverageGoingforitShotDistanceinYards",2015
61,61,"Justin Thomas",30,253.5,2144765,235,"AverageGoingforitShotDistanceinYards",2015
64,64,"Chad Collins",24,253.6,766851,84,"AverageGoingforitShotDistanceinYards",2015
64,64,"Harris English",29,253.6,1752793,192,"AverageGoingforitShotDistanceinYards",2015
66,66,"Derek Fathauer",27,253.8,1068795,117,"AverageGoingforitShotDistanceinYards",2015
66,66,"Brice Garnett",29,253.8,931783,102,"AverageGoingforitShotDistanceinYards",2015
68,68,"Jonas Blixt",26,254,649212,71,"AverageGoingforitShotDistanceinYards",2015
68,68,"Retief Goosen",25,254,1179771,129,"AverageGoingforitShotDistanceinYards",2015
70,70,"Luke Donald",20,254.2,658867,72,"AverageGoingforitShotDistanceinYards",2015
70,70,"Chesson Hadley",30,254.2,1646910,180,"AverageGoingforitShotDistanceinYards",2015
72,72,"Seung Yul Noh",21,254.3,933822,102,"AverageGoingforitShotDistanceinYards",2015
72,72,"Brendon Todd",27,254.3,878964,96,"AverageGoingforitShotDistanceinYards",2015
74,74,"Adam Hadwin",30,254.5,1356047,148,"AverageGoingforitShotDistanceinYards",2015
74,74,"Carlos Ortiz",30,254.5,1887235,206,"AverageGoingforitShotDistanceinYards",2015
74,74,"Jeff Overton",30,254.5,1190947,130,"AverageGoingforitShotDistanceinYards",2015
77,77,"Nick Watney",28,254.6,1393306,152,"AverageGoingforitShotDistanceinYards",2015
78,78,"Colt Knost",29,254.9,807514,88,"AverageGoingforitShotDistanceinYards",2015
78,78,"Jonathan Randolph",25,254.9,963508,105,"AverageGoingforitShotDistanceinYards",2015
80,80,"Hideki Matsuyama",25,255.1,1459920,159,"AverageGoingforitShotDistanceinYards",2015
80,80,"Charl Schwartzel",19,255.1,918349,100,"AverageGoingforitShotDistanceinYards",2015
82,82,"Robert Allenby",25,255.2,679962,74,"AverageGoingforitShotDistanceinYards",2015
82,82,"Russell Knox",28,255.2,1139089,124,"AverageGoingforitShotDistanceinYards",2015
84,84,"Angel Cabrera",19,255.4,1020530,111,"AverageGoingforitShotDistanceinYards",2015
84,84,"Oscar Fraustro",21,255.4,689627,75,"AverageGoingforitShotDistanceinYards",2015
86,86,"Ken Duke",30,255.7,1012636,110,"AverageGoingforitShotDistanceinYards",2015
86,86,"Jason Kokrak",28,255.7,1831497,199,"AverageGoingforitShotDistanceinYards",2015
88,88,"Steven Bowditch",32,255.8,1832438,199,"AverageGoingforitShotDistanceinYards",2015
88,88,"Chez Reavie",19,255.8,782666,85,"AverageGoingforitShotDistanceinYards",2015
90,90,"Zac Blair",34,255.9,939706,102,"AverageGoingforitShotDistanceinYards",2015
91,91,"Andres Romero",24,256.1,1124594,122,"AverageGoingforitShotDistanceinYards",2015
91,91,"Nick Taylor",28,256.1,1594899,173,"AverageGoingforitShotDistanceinYards",2015
91,91,"Michael Thompson",27,256.1,1170668,127,"AverageGoingforitShotDistanceinYards",2015
94,94,"Jon Curran",28,256.2,479656,52,"AverageGoingforitShotDistanceinYards",2015
94,94,"Rory Sabbatini",25,256.2,1171539,127,"AverageGoingforitShotDistanceinYards",2015
96,96,"Billy Hurley III",28,256.4,599861,65,"AverageGoingforitShotDistanceinYards",2015
97,97,"Kevin Chappell",26,256.6,1274758,138,"AverageGoingforitShotDistanceinYards",2015
97,97,"William McGirt",30,256.6,1117671,121,"AverageGoingforitShotDistanceinYards",2015
99,99,"Paul Casey",24,256.7,1007104,109,"AverageGoingforitShotDistanceinYards",2015
100,100,"Derek Ernst",26,256.8,1220206,132,"AverageGoingforitShotDistanceinYards",2015
101,101,"Troy Merritt",29,257,1110405,120,"AverageGoingforitShotDistanceinYards",2015
101,101,"Mark Wilson",28,257,888348,96,"AverageGoingforitShotDistanceinYards",2015
103,103,"Brian Davis",31,257.1,823891,89,"AverageGoingforitShotDistanceinYards",2015
103,103,"Michael Putnam",28,257.1,1212613,131,"AverageGoingforitShotDistanceinYards",2015
103,103,"Brendan Steele",24,257.1,1851171,200,"AverageGoingforitShotDistanceinYards",2015
103,103,"Jimmy Walker",24,257.1,1277327,138,"AverageGoingforitShotDistanceinYards",2015
107,107,"Kyle Reifers",31,257.2,1277719,138,"AverageGoingforitShotDistanceinYards",2015
108,108,"Tony Finau",31,257.3,2343231,253,"AverageGoingforitShotDistanceinYards",2015
109,109,"Francesco Molinari",16,257.4,583766,63,"AverageGoingforitShotDistanceinYards",2015
109,109,"Pat Perez",26,257.4,1269404,137,"AverageGoingforitShotDistanceinYards",2015
111,111,"Gonzalo Fdez Castano",28,257.5,1223662,132,"AverageGoingforitShotDistanceinYards",2015
111,111,"George McNeill",27,257.5,1344325,145,"AverageGoingforitShotDistanceinYards",2015
111,111,"Steve Wheatcroft",28,257.5,1195740,129,"AverageGoingforitShotDistanceinYards",2015
114,114,"Greg Owen",19,257.6,612045,66,"AverageGoingforitShotDistanceinYards",2015
115,115,"Daniel Berger",31,257.7,1762694,190,"AverageGoingforitShotDistanceinYards",2015
115,115,"Scott Pinckney",27,257.7,1196676,129,"AverageGoingforitShotDistanceinYards",2015
115,115,"Bo Van Pelt",28,257.7,936838,101,"AverageGoingforitShotDistanceinYards",2015
115,115,"Bubba Watson",19,257.7,1632647,176,"AverageGoingforitShotDistanceinYards",2015
119,119,"Carl Pettersson",32,257.9,1671089,180,"AverageGoingforitShotDistanceinYards",2015
120,120,"Martin Laird",24,258,1430158,154,"AverageGoingforitShotDistanceinYards",2015
121,121,"Matt Every",26,258.1,994284,107,"AverageGoingforitShotDistanceinYards",2015
122,122,"Whee Kim",23,258.2,715739,77,"AverageGoingforitShotDistanceinYards",2015
122,122,"Sean OHair",26,258.2,1598682,172,"AverageGoingforitShotDistanceinYards",2015
124,124,"Sangmoon Bae",30,258.3,1571471,169,"AverageGoingforitShotDistanceinYards",2015
124,124,"Justin Rose",20,258.3,1004164,108,"AverageGoingforitShotDistanceinYards",2015
124,124,"Webb Simpson",22,258.3,1217947,131,"AverageGoingforitShotDistanceinYards",2015
124,124,"Brandt Snedeker",27,258.3,1125263,121,"AverageGoingforitShotDistanceinYards",2015
128,128,"Bryce Molder",26,258.5,735107,79,"AverageGoingforitShotDistanceinYards",2015
129,129,"Jonathan Byrd",22,258.6,791297,85,"AverageGoingforitShotDistanceinYards",2015
129,129,"David Hearn",30,258.6,977633,105,"AverageGoingforitShotDistanceinYards",2015
131,131,"Jamie Donaldson",16,258.7,502977,54,"AverageGoingforitShotDistanceinYards",2015
131,131,"Luke Guthrie",27,258.7,987161,106,"AverageGoingforitShotDistanceinYards",2015
131,131,"Max Homa",27,258.7,1219998,131,"AverageGoingforitShotDistanceinYards",2015
131,131,"Chris Kirk",21,258.7,950089,102,"AverageGoingforitShotDistanceinYards",2015
131,131,"Ian Poulter",19,258.7,661211,71,"AverageGoingforitShotDistanceinYards",2015
131,131,"Scott Stallings",19,258.7,1024254,110,"AverageGoingforitShotDistanceinYards",2015
131,131,"Daniel Summerhays",29,258.7,1387701,149,"AverageGoingforitShotDistanceinYards",2015
138,138,"Matt Kuchar",25,258.8,1453523,156,"AverageGoingforitShotDistanceinYards",2015
139,139,"JB Holmes",25,258.9,1593613,171,"AverageGoingforitShotDistanceinYards",2015
140,140,"David Lingmerth",28,259,1128398,121,"AverageGoingforitShotDistanceinYards",2015
140,140,"Ryan Moore",24,259,941775,101,"AverageGoingforitShotDistanceinYards",2015
142,142,"Robert Streb",30,259.3,1801463,193,"AverageGoingforitShotDistanceinYards",2015
143,143,"Mark Hubbard",25,259.4,915149,98,"AverageGoingforitShotDistanceinYards",2015
144,144,"Matt Jones",25,259.5,1625247,174,"AverageGoingforitShotDistanceinYards",2015
145,145,"Jerry Kelly",24,259.6,878652,94,"AverageGoingforitShotDistanceinYards",2015
146,146,"Brendon de Jonge",31,259.7,1551684,166,"AverageGoingforitShotDistanceinYards",2015
147,147,"David Toms",21,259.8,439619,47,"AverageGoingforitShotDistanceinYards",2015
148,148,"Gary Woodland",24,260,1226206,131,"AverageGoingforitShotDistanceinYards",2015
149,149,"Charley Hoffman",28,260.1,1704481,182,"AverageGoingforitShotDistanceinYards",2015
149,149,"John Peterson",25,260.1,1451260,155,"AverageGoingforitShotDistanceinYards",2015
151,151,"Morgan Hoffmann",26,260.2,1536232,164,"AverageGoingforitShotDistanceinYards",2015
151,151,"Shawn Stefani",26,260.2,1770486,189,"AverageGoingforitShotDistanceinYards",2015
153,153,"Bill Haas",25,260.4,1246754,133,"AverageGoingforitShotDistanceinYards",2015
154,154,"Rickie Fowler",21,260.8,1136172,121,"AverageGoingforitShotDistanceinYards",2015
155,155,"Padraig Harrington",21,260.9,826377,88,"AverageGoingforitShotDistanceinYards",2015
156,156,"Scott Brown",30,261,1352819,144,"AverageGoingforitShotDistanceinYards",2015
156,156,"Kevin Kisner",30,261,1597067,170,"AverageGoingforitShotDistanceinYards",2015
158,158,"Marc Leishman",23,261.1,1052932,112,"AverageGoingforitShotDistanceinYards",2015
159,159,"Billy Horschel",28,261.2,1627031,173,"AverageGoingforitShotDistanceinYards",2015
160,160,"SJ Park",27,261.4,856446,91,"AverageGoingforitShotDistanceinYards",2015
160,160,"Lee Westwood",15,261.4,592903,63,"AverageGoingforitShotDistanceinYards",2015
162,162,"Ben Martin",27,261.5,1204985,128,"AverageGoingforitShotDistanceinYards",2015
163,163,"Hunter Mahan",24,261.6,1412816,150,"AverageGoingforitShotDistanceinYards",2015
164,164,"Fabian Gomez",26,261.9,933457,99,"AverageGoingforitShotDistanceinYards",2015
165,165,"Louis Oosthuizen",20,262,962197,102,"AverageGoingforitShotDistanceinYards",2015
166,166,"Jim Renner",27,262.1,858617,91,"AverageGoingforitShotDistanceinYards",2015
167,167,"Greg Chalmers",17,262.2,462549,49,"AverageGoingforitShotDistanceinYards",2015
168,168,"Kevin Streelman",27,262.3,1567259,166,"AverageGoingforitShotDistanceinYards",2015
169,169,"Jason Bohn",27,262.4,1095671,116,"AverageGoingforitShotDistanceinYards",2015
169,169,"Patrick Reed",27,262.4,1407316,149,"AverageGoingforitShotDistanceinYards",2015
171,171,"Russell Henley",24,262.8,1277281,135,"AverageGoingforitShotDistanceinYards",2015
172,172,"Kevin Na",27,262.9,1031732,109,"AverageGoingforitShotDistanceinYards",2015
173,173,"Jordan Spieth",25,263.2,1288412,136,"AverageGoingforitShotDistanceinYards",2015
174,174,"Keegan Bradley",24,263.6,1489729,157,"AverageGoingforitShotDistanceinYards",2015
175,175,"John Huh",31,264.1,1483116,156,"AverageGoingforitShotDistanceinYards",2015
175,175,"Danny Lee",36,264.1,1539949,162,"AverageGoingforitShotDistanceinYards",2015
177,177,"Jason Dufner",21,264.3,780181,82,"AverageGoingforitShotDistanceinYards",2015
178,178,"Cameron Tringale",28,264.6,1219357,128,"AverageGoingforitShotDistanceinYards",2015
179,179,"Henrik Stenson",16,264.9,1010778,106,"AverageGoingforitShotDistanceinYards",2015
180,180,"Geoff Ogilvy",15,265.4,831092,87,"AverageGoingforitShotDistanceinYards",2015
181,181,"Phil Mickelson",19,265.8,1243724,130,"AverageGoingforitShotDistanceinYards",2015
182,182,"Zach Johnson",25,266.6,1046028,109,"AverageGoingforitShotDistanceinYards",2015
183,183,"John Senden",24,267.4,1145508,119,"AverageGoingforitShotDistanceinYards",2015
184,184,"Sergio Garcia",15,269,910439,94,"AverageGoingforitShotDistanceinYards",2015
