"ConsecutiveBirdiesStreak_RANKTHISWEEK_2008","ConsecutiveBirdiesStreak_RANKLASTWEEK_2008","ConsecutiveBirdiesStreak_PLAYERNAME_2008","ConsecutiveBirdiesStreak_EVENTS_2008","ConsecutiveBirdiesStreak_NUMBEROFHOLES_2008","stat_name","year"
1,1,"Stuart Appleby",23,6,"ConsecutiveBirdiesStreak",2008
1,1,"Aaron Baddeley",22,6,"ConsecutiveBirdiesStreak",2008
1,1,"Jim Furyk",26,6,"ConsecutiveBirdiesStreak",2008
1,1,"Lucas Glover",26,6,"ConsecutiveBirdiesStreak",2008
1,1,"Dudley Hart",22,6,"ConsecutiveBirdiesStreak",2008
1,1,"Shigeki Maruyama",18,6,"ConsecutiveBirdiesStreak",2008
1,1,"Kenny Perry",26,6,"ConsecutiveBirdiesStreak",2008
1,1,"Kevin Stadler",30,6,"ConsecutiveBirdiesStreak",2008
1,1,"Kevin Streelman",32,6,"ConsecutiveBirdiesStreak",2008
1,1,"Steve Stricker",22,6,"ConsecutiveBirdiesStreak",2008
1,1,"DJ Trahan",27,6,"ConsecutiveBirdiesStreak",2008
1,1,"Charles Warren",29,6,"ConsecutiveBirdiesStreak",2008
1,1,"Tim Wilkinson",29,6,"ConsecutiveBirdiesStreak",2008
1,1,"Garrett Willis",11,6,"ConsecutiveBirdiesStreak",2008
15,15,"Brad Adamonis",29,5,"ConsecutiveBirdiesStreak",2008
15,15,"Robert Allenby",28,5,"ConsecutiveBirdiesStreak",2008
15,15,"Tommy Armour III",25,5,"ConsecutiveBirdiesStreak",2008
15,15,"Briny Baird",30,5,"ConsecutiveBirdiesStreak",2008
15,15,"Cameron Beckman",29,5,"ConsecutiveBirdiesStreak",2008
15,15,"KJ Choi",21,5,"ConsecutiveBirdiesStreak",2008
15,15,"Tim Clark",27,5,"ConsecutiveBirdiesStreak",2008
15,15,"Ben Crane",25,5,"ConsecutiveBirdiesStreak",2008
15,15,"Jason Dufner",16,5,"ConsecutiveBirdiesStreak",2008
15,15,"Ken Duke",33,5,"ConsecutiveBirdiesStreak",2008
15,15,"Joe Durant",28,5,"ConsecutiveBirdiesStreak",2008
15,15,"Robert Garrigus",29,5,"ConsecutiveBirdiesStreak",2008
15,15,"Brian Gay",31,5,"ConsecutiveBirdiesStreak",2008
15,15,"Mathew Goggin",27,5,"ConsecutiveBirdiesStreak",2008
15,15,"Nathan Green",30,5,"ConsecutiveBirdiesStreak",2008
15,15,"Tim Herron",28,5,"ConsecutiveBirdiesStreak",2008
15,15,"JB Holmes",26,5,"ConsecutiveBirdiesStreak",2008
15,15,"John Huston",18,5,"ConsecutiveBirdiesStreak",2008
15,15,"Zach Johnson",25,5,"ConsecutiveBirdiesStreak",2008
15,15,"Anthony Kim",22,5,"ConsecutiveBirdiesStreak",2008
15,15,"Matt Kuchar",27,5,"ConsecutiveBirdiesStreak",2008
15,15,"Martin Laird",29,5,"ConsecutiveBirdiesStreak",2008
15,15,"Michael Letzig",29,5,"ConsecutiveBirdiesStreak",2008
15,15,"Peter Lonard",30,5,"ConsecutiveBirdiesStreak",2008
15,15,"Hunter Mahan",27,5,"ConsecutiveBirdiesStreak",2008
15,15,"John Mallinger",29,5,"ConsecutiveBirdiesStreak",2008
15,15,"Steve Marino",32,5,"ConsecutiveBirdiesStreak",2008
15,15,"George McNeill",29,5,"ConsecutiveBirdiesStreak",2008
15,15,"Spike McRoy",4,5,"ConsecutiveBirdiesStreak",2008
15,15,"Rocco Mediate",27,5,"ConsecutiveBirdiesStreak",2008
15,15,"Geoff Ogilvy",20,5,"ConsecutiveBirdiesStreak",2008
15,15,"Ryan Palmer",22,5,"ConsecutiveBirdiesStreak",2008
15,15,"Carl Pettersson",29,5,"ConsecutiveBirdiesStreak",2008
15,15,"Brett Quigley",25,5,"ConsecutiveBirdiesStreak",2008
15,15,"Jeff Quinney",28,5,"ConsecutiveBirdiesStreak",2008
15,15,"Adam Scott",15,5,"ConsecutiveBirdiesStreak",2008
15,15,"Heath Slocum",29,5,"ConsecutiveBirdiesStreak",2008
15,15,"Nicholas Thompson",36,5,"ConsecutiveBirdiesStreak",2008
15,15,"Bob Tway",20,5,"ConsecutiveBirdiesStreak",2008
15,15,"Omar Uresti",24,5,"ConsecutiveBirdiesStreak",2008
15,15,"Camilo Villegas",22,5,"ConsecutiveBirdiesStreak",2008
15,15,"Nick Watney",27,5,"ConsecutiveBirdiesStreak",2008
15,15,"Boo Weekley",24,5,"ConsecutiveBirdiesStreak",2008
15,15,"Jay Williamson",33,5,"ConsecutiveBirdiesStreak",2008
59,59,"Steve Allan",21,4,"ConsecutiveBirdiesStreak",2008
59,59,"Billy Andrade",24,4,"ConsecutiveBirdiesStreak",2008
59,59,"Woody Austin",30,4,"ConsecutiveBirdiesStreak",2008
59,59,"Eric Axley",35,4,"ConsecutiveBirdiesStreak",2008
59,59,"Paul Azinger",9,4,"ConsecutiveBirdiesStreak",2008
59,59,"Rich Beem",29,4,"ConsecutiveBirdiesStreak",2008
59,59,"Shane Bertsch",29,4,"ConsecutiveBirdiesStreak",2008
59,59,"Michael Bradley",14,4,"ConsecutiveBirdiesStreak",2008
59,59,"Mark Brooks",17,4,"ConsecutiveBirdiesStreak",2008
59,59,"Olin Browne",27,4,"ConsecutiveBirdiesStreak",2008
59,59,"Jonathan Byrd",27,4,"ConsecutiveBirdiesStreak",2008
59,59,"Angel Cabrera",17,4,"ConsecutiveBirdiesStreak",2008
59,59,"Mark Calcavecchia",25,4,"ConsecutiveBirdiesStreak",2008
59,59,"Chad Campbell",28,4,"ConsecutiveBirdiesStreak",2008
59,59,"Jose Coceres",13,4,"ConsecutiveBirdiesStreak",2008
59,59,"Chad Collins",24,4,"ConsecutiveBirdiesStreak",2008
59,59,"Kris Cox",8,4,"ConsecutiveBirdiesStreak",2008
59,59,"Ben Curtis",22,4,"ConsecutiveBirdiesStreak",2008
59,59,"Brian Davis",34,4,"ConsecutiveBirdiesStreak",2008
59,59,"Glen Day",19,4,"ConsecutiveBirdiesStreak",2008
59,59,"Jason Day",28,4,"ConsecutiveBirdiesStreak",2008
59,59,"Todd Demsey",25,4,"ConsecutiveBirdiesStreak",2008
59,59,"James Driscoll",28,4,"ConsecutiveBirdiesStreak",2008
59,59,"Steve Elkington",25,4,"ConsecutiveBirdiesStreak",2008
59,59,"Ernie Els",16,4,"ConsecutiveBirdiesStreak",2008
59,59,"Bob Estes",28,4,"ConsecutiveBirdiesStreak",2008
59,59,"Niclas Fasth",10,4,"ConsecutiveBirdiesStreak",2008
59,59,"Steve Flesch",29,4,"ConsecutiveBirdiesStreak",2008
59,59,"Dan Forsman",11,4,"ConsecutiveBirdiesStreak",2008
59,59,"Cody Freeman",26,4,"ConsecutiveBirdiesStreak",2008
59,59,"Tommy Gainey",24,4,"ConsecutiveBirdiesStreak",2008
59,59,"Robert Gamez",26,4,"ConsecutiveBirdiesStreak",2008
59,59,"Retief Goosen",18,4,"ConsecutiveBirdiesStreak",2008
59,59,"Jason Gore",33,4,"ConsecutiveBirdiesStreak",2008
59,59,"Paul Goydos",25,4,"ConsecutiveBirdiesStreak",2008
59,59,"Bill Haas",31,4,"ConsecutiveBirdiesStreak",2008
59,59,"Todd Hamilton",28,4,"ConsecutiveBirdiesStreak",2008
59,59,"Anders Hansen",6,4,"ConsecutiveBirdiesStreak",2008
59,59,"Padraig Harrington",15,4,"ConsecutiveBirdiesStreak",2008
59,59,"JJ Henry",34,4,"ConsecutiveBirdiesStreak",2008
59,59,"Mark Hensby",26,4,"ConsecutiveBirdiesStreak",2008
59,59,"Charley Hoffman",29,4,"ConsecutiveBirdiesStreak",2008
59,59,"Charles Howell III",31,4,"ConsecutiveBirdiesStreak",2008
59,59,"Ryuji Imada",25,4,"ConsecutiveBirdiesStreak",2008
59,59,"Trevor Immelman",22,4,"ConsecutiveBirdiesStreak",2008
59,59,"Freddie Jacobson",24,4,"ConsecutiveBirdiesStreak",2008
59,59,"Lee Janzen",28,4,"ConsecutiveBirdiesStreak",2008
59,59,"Dustin Johnson",30,4,"ConsecutiveBirdiesStreak",2008
59,59,"Kent Jones",23,4,"ConsecutiveBirdiesStreak",2008
59,59,"Craig Kanada",23,4,"ConsecutiveBirdiesStreak",2008
59,59,"Jerry Kelly",31,4,"ConsecutiveBirdiesStreak",2008
59,59,"JT Kohut",3,4,"ConsecutiveBirdiesStreak",2008
59,59,"Greg Kraft",21,4,"ConsecutiveBirdiesStreak",2008
59,59,"Cliff Kresge",28,4,"ConsecutiveBirdiesStreak",2008
59,59,"Doug LaBelle II",22,4,"ConsecutiveBirdiesStreak",2008
59,59,"Justin Leonard",25,4,"ConsecutiveBirdiesStreak",2008
59,59,"Frank Lickliter II",32,4,"ConsecutiveBirdiesStreak",2008
59,59,"Davis Love III",23,4,"ConsecutiveBirdiesStreak",2008
59,59,"Steve Lowery",25,4,"ConsecutiveBirdiesStreak",2008
59,59,"Jeff Maggert",28,4,"ConsecutiveBirdiesStreak",2008
59,59,"Len Mattiace",11,4,"ConsecutiveBirdiesStreak",2008
59,59,"Billy Mayfair",29,4,"ConsecutiveBirdiesStreak",2008
59,59,"Scott McCarron",22,4,"ConsecutiveBirdiesStreak",2008
59,59,"Jim McGovern",26,4,"ConsecutiveBirdiesStreak",2008
59,59,"Phil Mickelson",21,4,"ConsecutiveBirdiesStreak",2008
59,59,"Alan Morin",2,4,"ConsecutiveBirdiesStreak",2008
59,59,"Kevin Na",29,4,"ConsecutiveBirdiesStreak",2008
59,59,"Nick OHern",26,4,"ConsecutiveBirdiesStreak",2008
59,59,"Joe Ogilvie",29,4,"ConsecutiveBirdiesStreak",2008
59,59,"Jeff Overton",32,4,"ConsecutiveBirdiesStreak",2008
59,59,"Rod Pampling",28,4,"ConsecutiveBirdiesStreak",2008
59,59,"Brenden Pappas",24,4,"ConsecutiveBirdiesStreak",2008
59,59,"Jin Park",30,4,"ConsecutiveBirdiesStreak",2008
59,59,"Jesper Parnevik",29,4,"ConsecutiveBirdiesStreak",2008
59,59,"Corey Pavin",20,4,"ConsecutiveBirdiesStreak",2008
59,59,"Pat Perez",27,4,"ConsecutiveBirdiesStreak",2008
59,59,"Tom Pernice Jr",30,4,"ConsecutiveBirdiesStreak",2008
59,59,"Chez Reavie",30,4,"ConsecutiveBirdiesStreak",2008
59,59,"Tag Ridings",29,4,"ConsecutiveBirdiesStreak",2008
59,59,"John Rollins",28,4,"ConsecutiveBirdiesStreak",2008
59,59,"Justin Rose",15,4,"ConsecutiveBirdiesStreak",2008
59,59,"Brett Rumford",26,4,"ConsecutiveBirdiesStreak",2008
59,59,"Rory Sabbatini",23,4,"ConsecutiveBirdiesStreak",2008
59,59,"Tom Scherrer",20,4,"ConsecutiveBirdiesStreak",2008
59,59,"Charl Schwartzel",1,4,"ConsecutiveBirdiesStreak",2008
59,59,"Jeev Milkha Singh",5,4,"ConsecutiveBirdiesStreak",2008
59,59,"Chris Smith",5,4,"ConsecutiveBirdiesStreak",2008
59,59,"Brandt Snedeker",26,4,"ConsecutiveBirdiesStreak",2008
59,59,"Paul Stankowski",13,4,"ConsecutiveBirdiesStreak",2008
59,59,"Scott Sterling",28,4,"ConsecutiveBirdiesStreak",2008
59,59,"Kevin Sutherland",26,4,"ConsecutiveBirdiesStreak",2008
59,59,"Vaughn Taylor",32,4,"ConsecutiveBirdiesStreak",2008
59,59,"David Toms",20,4,"ConsecutiveBirdiesStreak",2008
59,59,"Marc Turnesa",29,4,"ConsecutiveBirdiesStreak",2008
59,59,"Bo Van Pelt",32,4,"ConsecutiveBirdiesStreak",2008
59,59,"Scott Verplank",24,4,"ConsecutiveBirdiesStreak",2008
59,59,"Johnson Wagner",26,4,"ConsecutiveBirdiesStreak",2008
59,59,"Jimmy Walker",24,4,"ConsecutiveBirdiesStreak",2008
59,59,"Bubba Watson",29,4,"ConsecutiveBirdiesStreak",2008
59,59,"Mike Weir",26,4,"ConsecutiveBirdiesStreak",2008
59,59,"Charlie Wi",27,4,"ConsecutiveBirdiesStreak",2008
59,59,"Dean Wilson",32,4,"ConsecutiveBirdiesStreak",2008
59,59,"Mark Wilson",29,4,"ConsecutiveBirdiesStreak",2008
59,59,"Casey Wittenberg",4,4,"ConsecutiveBirdiesStreak",2008
59,59,"YE Yang",29,4,"ConsecutiveBirdiesStreak",2008
164,164,"Thomas Aiken",1,3,"ConsecutiveBirdiesStreak",2008
164,164,"Michael Allen",28,3,"ConsecutiveBirdiesStreak",2008
164,164,"Jason Allred",23,3,"ConsecutiveBirdiesStreak",2008
164,164,"Stephen Ames",24,3,"ConsecutiveBirdiesStreak",2008
164,164,"Ryan Armour",32,3,"ConsecutiveBirdiesStreak",2008
164,164,"Clint Avret",1,3,"ConsecutiveBirdiesStreak",2008
164,164,"Craig Barlow",15,3,"ConsecutiveBirdiesStreak",2008
164,164,"Brian Bateman",18,3,"ConsecutiveBirdiesStreak",2008
164,164,"Notah Begay III",9,3,"ConsecutiveBirdiesStreak",2008
164,164,"Henrik Bjornstad",1,3,"ConsecutiveBirdiesStreak",2008
164,164,"Jason Bohn",15,3,"ConsecutiveBirdiesStreak",2008
164,164,"Justin Bolli",28,3,"ConsecutiveBirdiesStreak",2008
164,164,"Guy Boros",6,3,"ConsecutiveBirdiesStreak",2008
164,164,"Casey Bourque",1,3,"ConsecutiveBirdiesStreak",2008
164,164,"Bart Bryant",23,3,"ConsecutiveBirdiesStreak",2008
164,164,"Andrew Buckle",15,3,"ConsecutiveBirdiesStreak",2008
164,164,"Bob Burns",7,3,"ConsecutiveBirdiesStreak",2008
164,164,"Tom Byrum",12,3,"ConsecutiveBirdiesStreak",2008
164,164,"Alejandro Canizares",16,3,"ConsecutiveBirdiesStreak",2008
164,164,"Paul Casey",16,3,"ConsecutiveBirdiesStreak",2008
164,164,"Alex Cejka",25,3,"ConsecutiveBirdiesStreak",2008
164,164,"Brandel Chamblee",1,3,"ConsecutiveBirdiesStreak",2008
