"MoneyLeadersFallSeries_RANKTHISWEEK_2011","MoneyLeadersFallSeries_RANKLASTWEEK_2011","MoneyLeadersFallSeries_PLAYERNAME_2011","MoneyLeadersFallSeries_EVENTS_2011","MoneyLeadersFallSeries_MONEY_2011","MoneyLeadersFallSeries_YTDVICTORIES_2011","stat_name","year"
1,1,"Bryce Molder",27,1085533,2001,"MoneyLeadersFallSeries",2011
2,2,"Kevin Na",26,869500,10001,"MoneyLeadersFallSeries",2011
3,3,"Luke Donald",19,846000,10001,"MoneyLeadersFallSeries",2011
4,4,"Ben Crane",23,817533,5001,"MoneyLeadersFallSeries",2011
5,5,"Webb Simpson",26,579110,10000,"MoneyLeadersFallSeries",2011
6,6,"Briny Baird",19,575629,6000,"MoneyLeadersFallSeries",2011
7,7,"Justin Leonard",26,518400,10000,"MoneyLeadersFallSeries",2011
8,8,"Nick Watney",22,475200,10000,"MoneyLeadersFallSeries",2011
9,9,"Bud Cauley",8,404000,7200000,"MoneyLeadersFallSeries",2011
10,10,"Trevor Immelman",25,385330,5000,"MoneyLeadersFallSeries",2011
11,11,"David Hearn",26,339683,2000,"MoneyLeadersFallSeries",2011
12,12,"John Rollins",27,327110,5000,"MoneyLeadersFallSeries",2011
13,13,"Sung Kang",21,321900,7000,"MoneyLeadersFallSeries",2011
14,14,"Spencer Levin",31,319149,7000,"MoneyLeadersFallSeries",2011
15,15,"Nick OHern",29,310370,11000,"MoneyLeadersFallSeries",2011
16,16,"Michael Thompson",25,303401,9000,"MoneyLeadersFallSeries",2011
17,17,"Kris Blanks",29,303033,5000,"MoneyLeadersFallSeries",2011
18,18,"Paul Goydos",25,274212,9000,"MoneyLeadersFallSeries",2011
19,19,"Tom Pernice Jr",12,267441,3000,"MoneyLeadersFallSeries",2011
20,20,"Kevin Chappell",26,259819,5000,"MoneyLeadersFallSeries",2011
21,21,"Tommy Gainey",34,255200,7000,"MoneyLeadersFallSeries",2011
22,22,"Billy Mayfair",29,242085,11000,"MoneyLeadersFallSeries",2011
23,23,"Billy Horschel",25,235371,9000,"MoneyLeadersFallSeries",2011
24,24,"Shane Bertsch",20,230053,7000,"MoneyLeadersFallSeries",2011
25,25,"Ernie Els",21,220000,7000,"MoneyLeadersFallSeries",2011
26,26,"Louis Oosthuizen",15,202800,5000,"MoneyLeadersFallSeries",2011
27,27,"Carl Pettersson",27,192493,7000,"MoneyLeadersFallSeries",2011
28,28,"Brendan Steele",27,192038,7000,"MoneyLeadersFallSeries",2011
29,29,"Tim Herron",28,187136,11000,"MoneyLeadersFallSeries",2011
30,30,"Kevin Streelman",26,186925,5000,"MoneyLeadersFallSeries",2011
31,31,"Josh Teater",31,159503,2000,"MoneyLeadersFallSeries",2011
32,32,"Matt McQuillan",21,159312,7000,"MoneyLeadersFallSeries",2011
33,33,"Kevin Kisner",24,152775,9000,"MoneyLeadersFallSeries",2011
34,34,"David Mathis",25,151652,9000,"MoneyLeadersFallSeries",2011
35,35,"Jhonattan Vegas",25,149160,7000,"MoneyLeadersFallSeries",2011
36,36,"Jeff Overton",26,145410,5000,"MoneyLeadersFallSeries",2011
37,37,"Derek Lamely",26,138574,10000,"MoneyLeadersFallSeries",2011
38,38,"Adam Hadwin",5,138312,5076000,"MoneyLeadersFallSeries",2011
39,39,"Angel Cabrera",17,137375,6000,"MoneyLeadersFallSeries",2011
40,40,"Scott McCarron",22,134088,8000,"MoneyLeadersFallSeries",2011
41,41,"Charlie Wi",25,131522,5000,"MoneyLeadersFallSeries",2011
42,42,"Paul Casey",15,130312,5000,"MoneyLeadersFallSeries",2011
43,43,"Heath Slocum",29,127498,11000,"MoneyLeadersFallSeries",2011
44,44,"Steven Bowditch",28,122260,10000,"MoneyLeadersFallSeries",2011
45,45,"Scott Piercy",23,117133,7000,"MoneyLeadersFallSeries",2011
46,46,"Henrik Stenson",15,114641,5000,"MoneyLeadersFallSeries",2011
47,47,"Hunter Haas",30,113620,11000,"MoneyLeadersFallSeries",2011
48,48,"Roland Thatcher",22,111567,8000,"MoneyLeadersFallSeries",2011
49,49,"Garrett Willis",24,109120,9000,"MoneyLeadersFallSeries",2011
50,50,"Kyle Stanley",28,106613,7000,"MoneyLeadersFallSeries",2011
51,51,"James Driscoll",24,104975,8000,"MoneyLeadersFallSeries",2011
52,52,"William McGirt",32,104972,5000,"MoneyLeadersFallSeries",2011
53,53,"Michael Bradley",24,101005,9000,"MoneyLeadersFallSeries",2011
54,54,"DJ Trahan",30,100569,2000,"MoneyLeadersFallSeries",2011
55,55,"Greg Chalmers",28,95285,5000,"MoneyLeadersFallSeries",2011
56,56,"Gary Woodland",25,95175,10000,"MoneyLeadersFallSeries",2011
57,57,"Paul Stankowski",24,94913,9000,"MoneyLeadersFallSeries",2011
58,58,"Andres Gonzales",21,91330,7000,"MoneyLeadersFallSeries",2011
59,59,"Jim Furyk",26,88000,7000,"MoneyLeadersFallSeries",2011
60,60,"Nathan Green",26,81891,10000,"MoneyLeadersFallSeries",2011
61,61,"Will Ma Kenzie",14,77500,5000,"MoneyLeadersFallSeries",2011
61,61,"Chris Stroud",28,77500,7000,"MoneyLeadersFallSeries",2011
63,63,"Alexandre Rocha",22,76411,7000,"MoneyLeadersFallSeries",2011
64,64,"Robert Garrigus",26,69805,5000,"MoneyLeadersFallSeries",2011
65,65,"Bobby Gates",29,68488,11000,"MoneyLeadersFallSeries",2011
66,66,"Ben Martin",25,66921,9000,"MoneyLeadersFallSeries",2011
67,67,"Cameron Tringale",32,66902,7000,"MoneyLeadersFallSeries",2011
68,68,"Lucas Glover",23,64000,7000,"MoneyLeadersFallSeries",2011
68,68,"Sean OHair",24,64000,7000,"MoneyLeadersFallSeries",2011
70,70,"Rod Pampling",21,62720,7000,"MoneyLeadersFallSeries",2011
71,71,"Arjun Atwal",29,59848,2000,"MoneyLeadersFallSeries",2011
72,72,"Scott Gutschewski",23,57611,8000,"MoneyLeadersFallSeries",2011
73,73,"Stephen Ames",22,57526,8000,"MoneyLeadersFallSeries",2011
74,74,"Bio Kim",25,57464,9000,"MoneyLeadersFallSeries",2011
75,75,"Jerry Kelly",26,54112,7000,"MoneyLeadersFallSeries",2011
76,76,"Blake Adams",34,50769,7000,"MoneyLeadersFallSeries",2011
77,77,"Cameron Percy",12,50760,4000,"MoneyLeadersFallSeries",2011
78,78,"Chad Campbell",29,50235,7000,"MoneyLeadersFallSeries",2011
79,79,"Jim Renner",22,50182,8000,"MoneyLeadersFallSeries",2011
80,80,"Woody Austin",18,49086,6000,"MoneyLeadersFallSeries",2011
81,81,"Vaughn Taylor",27,48651,10000,"MoneyLeadersFallSeries",2011
82,82,"Ryan Palmer",24,47411,7000,"MoneyLeadersFallSeries",2011
83,83,"Kevin Stadler",27,47178,2000,"MoneyLeadersFallSeries",2011
84,84,"Brandt Jobe",28,45384,7000,"MoneyLeadersFallSeries",2011
85,85,"Bob Estes",12,44716,3000,"MoneyLeadersFallSeries",2011
86,86,"Jason Bohn",22,44127,8000,"MoneyLeadersFallSeries",2011
87,87,"Matt Kuchar",24,43333,10000,"MoneyLeadersFallSeries",2011
88,88,"Boo Weekley",23,41400,8000,"MoneyLeadersFallSeries",2011
89,89,"Colt Knost",27,40350,10000,"MoneyLeadersFallSeries",2011
90,90,"John Merrick",21,39571,5000,"MoneyLeadersFallSeries",2011
91,91,"Nate Smith",24,39043,9000,"MoneyLeadersFallSeries",2011
92,92,"David Duval",24,38060,9000,"MoneyLeadersFallSeries",2011
93,93,"Jonathan Byrd",26,34886,10000,"MoneyLeadersFallSeries",2011
94,94,"Tim Petrovic",29,33302,11000,"MoneyLeadersFallSeries",2011
95,95,"Fabian Gomez",26,30969,10000,"MoneyLeadersFallSeries",2011
96,96,"Richard Johnson",23,30816,8000,"MoneyLeadersFallSeries",2011
97,97,"Tiger Woods",9,30375,4000,"MoneyLeadersFallSeries",2011
98,98,"Ryuji Imada",29,29296,5000,"MoneyLeadersFallSeries",2011
98,98,"John Senden",26,29296,10000,"MoneyLeadersFallSeries",2011
98,98,"Scott Stallings",28,29296,7000,"MoneyLeadersFallSeries",2011
98,98,"Marc Turnesa",20,29296,8000,"MoneyLeadersFallSeries",2011
102,102,"Will Strickler",19,29098,6000,"MoneyLeadersFallSeries",2011
103,103,"Michael Letzig",13,29000,4000,"MoneyLeadersFallSeries",2011
104,104,"Bill Lunde",28,28600,5000,"MoneyLeadersFallSeries",2011
104,104,"Alex Prugh",29,28600,11000,"MoneyLeadersFallSeries",2011
106,106,"George McNeill",21,28456,7000,"MoneyLeadersFallSeries",2011
107,107,"Brian Gay",26,25571,9000,"MoneyLeadersFallSeries",2011
108,108,"Ricky Barnes",23,25283,5000,"MoneyLeadersFallSeries",2011
109,109,"Tag Ridings",28,24499,11000,"MoneyLeadersFallSeries",2011
110,110,"Marc Leishman",27,23041,7000,"MoneyLeadersFallSeries",2011
111,111,"Harrison Frazar",19,22220,5000,"MoneyLeadersFallSeries",2011
112,112,"Chris DiMarco",31,21669,12000,"MoneyLeadersFallSeries",2011
113,113,"Steve Flesch",27,21617,10000,"MoneyLeadersFallSeries",2011
114,114,"Steve Elkington",17,20524,6000,"MoneyLeadersFallSeries",2011
115,115,"Ben Curtis",23,20314,8000,"MoneyLeadersFallSeries",2011
116,116,"Michael Allen",5,20210,1000,"MoneyLeadersFallSeries",2011
117,117,"Rocco Mediate",23,19924,9000,"MoneyLeadersFallSeries",2011
118,118,"Chris Riley",25,19750,9000,"MoneyLeadersFallSeries",2011
119,119,"Robert Allenby",25,19466,7000,"MoneyLeadersFallSeries",2011
119,119,"Charles Howell III",30,19466,10000,"MoneyLeadersFallSeries",2011
119,119,"Brandt Snedeker",26,19466,10000,"MoneyLeadersFallSeries",2011
122,122,"Aron Price",18,18866,6000,"MoneyLeadersFallSeries",2011
123,123,"Matt Bettencourt",30,18850,12000,"MoneyLeadersFallSeries",2011
124,124,"JP Hayes",19,18204,7000,"MoneyLeadersFallSeries",2011
