"OnePuttPercentageRound1_RANKTHISWEEK_2014","OnePuttPercentageRound1_RANKLASTWEEK_2014","OnePuttPercentageRound1_PLAYERNAME_2014","OnePuttPercentageRound1_ROUNDS_2014","OnePuttPercentageRound1_Pct_2014","OnePuttPercentageRound1_OF1PUTTS_2014","OnePuttPercentageRound1_OFHOLES_2014","stat_name","year"
77,77,"Sean OHair",77,39.11,176,450,"OnePuttPercentageRound1",2014
77,77,"Rory Sabbatini",82,39.11,176,450,"OnePuttPercentageRound1",2014
80,80,"Ben Martin",80,39.1,183,468,"OnePuttPercentageRound1",2014
81,81,"Brendon de Jonge",109,39.07,218,558,"OnePuttPercentageRound1",2014
82,82,"Kevin Chappell",100,38.89,189,486,"OnePuttPercentageRound1",2014
82,82,"Andres Romero",81,38.89,168,432,"OnePuttPercentageRound1",2014
82,82,"Webb Simpson",87,38.89,168,432,"OnePuttPercentageRound1",2014
85,85,"Bill Haas",107,38.68,188,486,"OnePuttPercentageRound1",2014
85,85,"Russell Knox",92,38.68,181,468,"OnePuttPercentageRound1",2014
87,87,"Michael Thompson",74,38.64,153,396,"OnePuttPercentageRound1",2014
88,88,"Brian Davis",93,38.49,194,504,"OnePuttPercentageRound1",2014
88,88,"David Hearn",97,38.49,194,504,"OnePuttPercentageRound1",2014
88,88,"Henrik Stenson",56,38.49,97,252,"OnePuttPercentageRound1",2014
91,91,"Derek Ernst",80,38.48,187,486,"OnePuttPercentageRound1",2014
92,92,"Matt Every",85,38.46,180,468,"OnePuttPercentageRound1",2014
93,93,"Bubba Watson",76,38.33,138,360,"OnePuttPercentageRound1",2014
94,94,"Charlie Beljan",76,38.22,172,450,"OnePuttPercentageRound1",2014
94,94,"James Driscoll",71,38.22,172,450,"OnePuttPercentageRound1",2014
94,94,"Vijay Singh",83,38.22,172,450,"OnePuttPercentageRound1",2014
97,97,"Ernie Els",85,38.16,158,414,"OnePuttPercentageRound1",2014
98,98,"Scott Brown",100,37.96,205,540,"OnePuttPercentageRound1",2014
98,98,"Martin Kaymer",65,37.96,123,324,"OnePuttPercentageRound1",2014
100,100,"Troy Matteson",62,37.63,149,396,"OnePuttPercentageRound1",2014
