"BogeyAvoidance_RANKTHISWEEK_2011","BogeyAvoidance_RANKLASTWEEK_2011","BogeyAvoidance_PLAYERNAME_2011","BogeyAvoidance_ROUNDS_2011","BogeyAvoidance_PctMAKESBOGEY_2011","BogeyAvoidance_BOGEYS_2011","BogeyAvoidance_HOLESPLAYED_2011","stat_name","year"
1,1,"Luke Donald",73,12.77,154,1206,"BogeyAvoidance",2011
2,2,"Webb Simpson",98,13.27,234,1764,"BogeyAvoidance",2011
3,3,"Charles Howell III",108,13.32,259,1944,"BogeyAvoidance",2011
4,4,"Steve Stricker",70,13.61,169,1242,"BogeyAvoidance",2011
5,5,"Matt Kuchar",94,13.7,217,1584,"BogeyAvoidance",2011
6,6,"David Toms",78,13.96,196,1404,"BogeyAvoidance",2011
7,7,"Nick Watney",80,14.07,195,1386,"BogeyAvoidance",2011
8,8,"Zach Johnson",79,14.1,198,1404,"BogeyAvoidance",2011
9,9,"Briny Baird",60,14.44,156,1080,"BogeyAvoidance",2011
10,10,"Spencer Levin",113,14.45,294,2034,"BogeyAvoidance",2011
11,11,"Bryce Molder",82,14.5,214,1476,"BogeyAvoidance",2011
12,12,"Jerry Kelly",85,14.58,223,1530,"BogeyAvoidance",2011
13,13,"Jason Day",76,14.76,194,1314,"BogeyAvoidance",2011
14,14,"Bill Haas",93,14.79,245,1656,"BogeyAvoidance",2011
15,15,"David Hearn",88,14.84,235,1584,"BogeyAvoidance",2011
16,16,"William McGirt",103,14.94,277,1854,"BogeyAvoidance",2011
17,17,"Greg Chalmers",88,15.03,238,1584,"BogeyAvoidance",2011
17,17,"Sergio Garcia",61,15.03,165,1098,"BogeyAvoidance",2011
19,19,"Trevor Immelman",84,15.15,229,1512,"BogeyAvoidance",2011
20,20,"Hunter Haas",96,15.16,262,1728,"BogeyAvoidance",2011
21,21,"JJ Henry",96,15.22,263,1728,"BogeyAvoidance",2011
21,21,"Brandt Jobe",100,15.22,274,1800,"BogeyAvoidance",2011
21,21,"Phil Mickelson",79,15.22,211,1386,"BogeyAvoidance",2011
24,24,"Brian Gay",90,15.25,247,1620,"BogeyAvoidance",2011
25,25,"Rod Pampling",72,15.28,198,1296,"BogeyAvoidance",2011
26,26,"Michael Thompson",79,15.33,218,1422,"BogeyAvoidance",2011
26,26,"Mark Wilson",89,15.33,240,1566,"BogeyAvoidance",2011
28,28,"Woody Austin",59,15.35,163,1062,"BogeyAvoidance",2011
29,29,"Brendon de Jonge",105,15.4,291,1890,"BogeyAvoidance",2011
30,30,"Chris Couch",73,15.45,203,1314,"BogeyAvoidance",2011
31,31,"Steve Elkington",50,15.56,140,900,"BogeyAvoidance",2011
32,32,"Jim Furyk",87,15.63,242,1548,"BogeyAvoidance",2011
33,33,"John Merrick",71,15.65,200,1278,"BogeyAvoidance",2011
34,34,"John Senden",94,15.66,265,1692,"BogeyAvoidance",2011
34,34,"Heath Slocum",89,15.66,248,1584,"BogeyAvoidance",2011
36,36,"Brandt Snedeker",85,15.69,240,1530,"BogeyAvoidance",2011
37,37,"Stephen Ames",69,15.7,195,1242,"BogeyAvoidance",2011
38,38,"Martin Laird",77,15.72,215,1368,"BogeyAvoidance",2011
39,39,"Freddie Jacobson",92,15.76,261,1656,"BogeyAvoidance",2011
40,40,"Brian Davis",105,15.77,298,1890,"BogeyAvoidance",2011
41,41,"Chad Campbell",99,15.82,282,1782,"BogeyAvoidance",2011
42,42,"Ben Crane",76,15.83,208,1314,"BogeyAvoidance",2011
43,43,"Billy Mayfair",94,15.84,268,1692,"BogeyAvoidance",2011
44,44,"Justin Leonard",82,15.85,234,1476,"BogeyAvoidance",2011
45,45,"Kevin Streelman",90,15.86,257,1620,"BogeyAvoidance",2011
45,45,"Vaughn Taylor",89,15.86,254,1602,"BogeyAvoidance",2011
47,47,"Chris DiMarco",93,15.89,266,1674,"BogeyAvoidance",2011
47,47,"Gary Woodland",93,15.89,266,1674,"BogeyAvoidance",2011
49,49,"Johnson Wagner",81,15.91,232,1458,"BogeyAvoidance",2011
50,50,"Dean Wilson",62,15.95,178,1116,"BogeyAvoidance",2011
51,51,"Jason Bohn",74,15.99,213,1332,"BogeyAvoidance",2011
52,52,"Justin Rose",79,16.02,222,1386,"BogeyAvoidance",2011
53,53,"KJ Choi",77,16.07,217,1350,"BogeyAvoidance",2011
54,54,"Ben Curtis",66,16.08,191,1188,"BogeyAvoidance",2011
55,55,"Blake Adams",116,16.09,336,2088,"BogeyAvoidance",2011
56,56,"Hunter Mahan",92,16.1,258,1602,"BogeyAvoidance",2011
56,56,"Adam Scott",60,16.1,171,1062,"BogeyAvoidance",2011
58,58,"Kris Blanks",92,16.12,267,1656,"BogeyAvoidance",2011
58,58,"Joe Durant",71,16.12,206,1278,"BogeyAvoidance",2011
60,60,"Nick OHern",89,16.17,259,1602,"BogeyAvoidance",2011
61,61,"Kevin Na",84,16.2,245,1512,"BogeyAvoidance",2011
62,62,"Cameron Tringale",110,16.21,321,1980,"BogeyAvoidance",2011
63,63,"Bill Lunde",92,16.24,269,1656,"BogeyAvoidance",2011
64,64,"Carl Pettersson",95,16.26,278,1710,"BogeyAvoidance",2011
65,65,"DJ Trahan",91,16.3,267,1638,"BogeyAvoidance",2011
66,66,"Chris Kirk",87,16.35,256,1566,"BogeyAvoidance",2011
67,67,"Bo Van Pelt",92,16.36,265,1620,"BogeyAvoidance",2011
68,68,"Aaron Baddeley",77,16.38,227,1386,"BogeyAvoidance",2011
69,69,"John Rollins",85,16.41,251,1530,"BogeyAvoidance",2011
70,70,"Michael Putnam",67,16.42,198,1206,"BogeyAvoidance",2011
71,71,"Ryan Moore",79,16.44,222,1350,"BogeyAvoidance",2011
72,72,"Chris Riley",76,16.45,225,1368,"BogeyAvoidance",2011
73,73,"Jonathan Byrd",83,16.46,243,1476,"BogeyAvoidance",2011
