"MoneyperEventLeaders_RANKTHISWEEK_2015","MoneyperEventLeaders_RANKLASTWEEK_2015","MoneyperEventLeaders_PLAYERNAME_2015","MoneyperEventLeaders_EVENTS_2015","MoneyperEventLeaders_MONEYPEREVENT_2015","MoneyperEventLeaders_TOTALMONEY_2015","stat_name","year"
1,1,"Jordan Spieth",25,481218,12030464,"MoneyperEventLeaders",2015
2,2,"Jason Day",20,470166,9403330,"MoneyperEventLeaders",2015
3,3,"Rory McIlroy",12,405275,4863311,"MoneyperEventLeaders",2015
4,4,"Bubba Watson",19,361936,6876797,"MoneyperEventLeaders",2015
5,5,"Henrik Stenson",16,297191,4755070,"MoneyperEventLeaders",2015
6,6,"Rickie Fowler",21,274925,5773430,"MoneyperEventLeaders",2015
7,7,"Justin Rose",20,273133,5462677,"MoneyperEventLeaders",2015
8,8,"Dustin Johnson",21,262355,5509466,"MoneyperEventLeaders",2015
9,9,"Jim Furyk",19,196456,3732664,"MoneyperEventLeaders",2015
10,10,"Zach Johnson",25,192059,4801487,"MoneyperEventLeaders",2015
11,11,"Prom Meesawat",1,189000,189000,"MoneyperEventLeaders",2015
11,11,"Angelo Que",1,189000,189000,"MoneyperEventLeaders",2015
13,13,"Jimmy Walker",24,188389,4521350,"MoneyperEventLeaders",2015
14,14,"Sergio Garcia",15,178015,2670229,"MoneyperEventLeaders",2015
15,15,"Louis Oosthuizen",20,162558,3251173,"MoneyperEventLeaders",2015
16,16,"Anthony Wall",1,162107,162107,"MoneyperEventLeaders",2015
17,17,"JB Holmes",25,161497,4037430,"MoneyperEventLeaders",2015
18,18,"Brooks Koepka",23,155300,3571900,"MoneyperEventLeaders",2015
19,19,"Hideki Matsuyama",25,150344,3758618,"MoneyperEventLeaders",2015
20,20,"Paul Casey",24,145346,3488310,"MoneyperEventLeaders",2015
21,21,"Charley Hoffman",28,144324,4041088,"MoneyperEventLeaders",2015
22,22,"Brandt Snedeker",27,136965,3698055,"MoneyperEventLeaders",2015
23,23,"Patrick Reed",27,132983,3590566,"MoneyperEventLeaders",2015
24,24,"Robert Streb",30,131580,3947424,"MoneyperEventLeaders",2015
25,25,"Bill Haas",25,122560,3064023,"MoneyperEventLeaders",2015
26,26,"Kevin Kisner",30,118931,3567938,"MoneyperEventLeaders",2015
27,27,"Phil Mickelson",19,113378,2154199,"MoneyperEventLeaders",2015
28,28,"Branden Grace",13,113166,1471159,"MoneyperEventLeaders",2015
29,29,"Chris Kirk",21,112825,2369326,"MoneyperEventLeaders",2015
30,30,"Matt Kuchar",25,110966,2774169,"MoneyperEventLeaders",2015
31,31,"Danny Lee",36,110164,3965932,"MoneyperEventLeaders",2015
32,32,"Ryan Moore",24,110096,2642305,"MoneyperEventLeaders",2015
33,33,"Gary Woodland",24,108545,2605082,"MoneyperEventLeaders",2015
