"BirdieorBetterPercentageRough_RANKTHISWEEK_2007","BirdieorBetterPercentageRough_RANKLASTWEEK_2007","BirdieorBetterPercentageRough_PLAYERNAME_2007","BirdieorBetterPercentageRough_ROUNDS_2007","BirdieorBetterPercentageRough_Pct_2007","BirdieorBetterPercentageRough_TOTALBIRDIES_2007","BirdieorBetterPercentageRough_TOTALHOLES_2007","stat_name","year"
1,1,"Padraig Harrington",64,23.89,43,180,"BirdieorBetterPercentageRough",2007
2,2,"Tiger Woods",63,21.21,35,165,"BirdieorBetterPercentageRough",2007
3,3,"Bubba Watson",80,21.09,58,275,"BirdieorBetterPercentageRough",2007
4,4,"John Daly",59,19.92,52,261,"BirdieorBetterPercentageRough",2007
5,5,"Robert Garrigus",95,19.74,75,380,"BirdieorBetterPercentageRough",2007
6,6,"Ernie Els",59,19.55,35,179,"BirdieorBetterPercentageRough",2007
7,7,"JB Holmes",71,19.12,48,251,"BirdieorBetterPercentageRough",2007
8,8,"Jesper Parnevik",88,18.82,51,271,"BirdieorBetterPercentageRough",2007
9,9,"Vaughn Taylor",91,18.72,44,235,"BirdieorBetterPercentageRough",2007
10,10,"Ken Duke",112,18.69,57,305,"BirdieorBetterPercentageRough",2007
11,11,"Steve Allan",63,18.63,38,204,"BirdieorBetterPercentageRough",2007
12,12,"Ryan Moore",92,18.4,46,250,"BirdieorBetterPercentageRough",2007
13,13,"Tag Ridings",52,18.33,33,180,"BirdieorBetterPercentageRough",2007
14,14,"Brett Wetterich",88,18.28,51,279,"BirdieorBetterPercentageRough",2007
15,15,"Robert Allenby",90,17.99,52,289,"BirdieorBetterPercentageRough",2007
16,16,"Bubba Dickerson",51,17.86,30,168,"BirdieorBetterPercentageRough",2007
17,17,"Geoff Ogilvy",84,17.62,40,227,"BirdieorBetterPercentageRough",2007
18,18,"Craig Bowden",78,17.44,34,195,"BirdieorBetterPercentageRough",2007
19,19,"Scott Verplank",82,17.28,28,162,"BirdieorBetterPercentageRough",2007
20,20,"Joey Sindelar",75,17.26,34,197,"BirdieorBetterPercentageRough",2007
21,21,"Anthony Kim",93,17.19,49,285,"BirdieorBetterPercentageRough",2007
22,22,"Charley Hoffman",97,17.16,52,303,"BirdieorBetterPercentageRough",2007
23,23,"Kevin Stadler",95,16.78,49,292,"BirdieorBetterPercentageRough",2007
24,24,"Daniel Chopra",106,16.71,67,401,"BirdieorBetterPercentageRough",2007
25,25,"Stewart Cink",91,16.67,44,264,"BirdieorBetterPercentageRough",2007
26,26,"Ted Purdy",102,16.54,45,272,"BirdieorBetterPercentageRough",2007
27,27,"Sergio Garcia",68,16.53,39,236,"BirdieorBetterPercentageRough",2007
28,28,"Harrison Frazar",88,16.45,50,304,"BirdieorBetterPercentageRough",2007
29,29,"Lucas Glover",98,16.33,40,245,"BirdieorBetterPercentageRough",2007
30,30,"Marco Dawson",73,16.25,39,240,"BirdieorBetterPercentageRough",2007
31,31,"Jeff Overton",60,16.24,32,197,"BirdieorBetterPercentageRough",2007
32,32,"Rich Beem",89,16.18,39,241,"BirdieorBetterPercentageRough",2007
33,33,"Aaron Baddeley",83,16.15,42,260,"BirdieorBetterPercentageRough",2007
33,33,"Craig Barlow",52,16.15,26,161,"BirdieorBetterPercentageRough",2007
33,33,"Adam Scott",69,16.15,31,192,"BirdieorBetterPercentageRough",2007
36,36,"Jose Maria Olazabal",52,16.13,25,155,"BirdieorBetterPercentageRough",2007
37,37,"Bob Estes",88,16.09,42,261,"BirdieorBetterPercentageRough",2007
38,38,"John Mallinger",96,16.07,45,280,"BirdieorBetterPercentageRough",2007
39,39,"Carl Pettersson",111,16.02,54,337,"BirdieorBetterPercentageRough",2007
40,40,"Jonathan Byrd",73,15.96,34,213,"BirdieorBetterPercentageRough",2007
41,41,"Mark Calcavecchia",93,15.9,38,239,"BirdieorBetterPercentageRough",2007
42,42,"Brian Davis",101,15.86,36,227,"BirdieorBetterPercentageRough",2007
43,43,"Peter Lonard",85,15.84,35,221,"BirdieorBetterPercentageRough",2007
44,44,"Kenny Perry",83,15.74,37,235,"BirdieorBetterPercentageRough",2007
45,45,"Jeff Maggert",79,15.6,39,250,"BirdieorBetterPercentageRough",2007
45,45,"George McNeill",95,15.6,44,282,"BirdieorBetterPercentageRough",2007
47,47,"John Merrick",92,15.56,47,302,"BirdieorBetterPercentageRough",2007
48,48,"Ryuji Imada",104,15.52,52,335,"BirdieorBetterPercentageRough",2007
49,49,"Bill Haas",93,15.38,44,286,"BirdieorBetterPercentageRough",2007
49,49,"Joe Ogilvie",102,15.38,46,299,"BirdieorBetterPercentageRough",2007
51,51,"Freddie Jacobson",70,15.35,37,241,"BirdieorBetterPercentageRough",2007
52,52,"JP Hayes",89,15.28,44,288,"BirdieorBetterPercentageRough",2007
53,53,"Andrew Buckle",77,15.27,40,262,"BirdieorBetterPercentageRough",2007
54,54,"Frank Lickliter II",95,15.26,38,249,"BirdieorBetterPercentageRough",2007
55,55,"Bob Tway",103,15.21,47,309,"BirdieorBetterPercentageRough",2007
56,56,"Jason Dufner",100,15.19,48,316,"BirdieorBetterPercentageRough",2007
57,57,"Tommy Armour III",81,15.03,26,173,"BirdieorBetterPercentageRough",2007
58,58,"Chris Couch",76,14.97,44,294,"BirdieorBetterPercentageRough",2007
59,59,"Kevin Na",84,14.95,42,281,"BirdieorBetterPercentageRough",2007
60,60,"Tom Pernice Jr",104,14.92,37,248,"BirdieorBetterPercentageRough",2007
61,61,"Rich Barcelo",80,14.83,43,290,"BirdieorBetterPercentageRough",2007
62,62,"Eric Axley",107,14.78,55,372,"BirdieorBetterPercentageRough",2007
63,63,"Paul Gow",70,14.74,28,190,"BirdieorBetterPercentageRough",2007
64,64,"Charlie Wi",90,14.73,38,258,"BirdieorBetterPercentageRough",2007
65,65,"Dean Wilson",92,14.69,36,245,"BirdieorBetterPercentageRough",2007
66,66,"Steve Marino",106,14.67,49,334,"BirdieorBetterPercentageRough",2007
67,67,"Duffy Waldorf",69,14.61,26,178,"BirdieorBetterPercentageRough",2007
68,68,"KJ Choi",87,14.52,36,248,"BirdieorBetterPercentageRough",2007
69,69,"Bart Bryant",87,14.49,30,207,"BirdieorBetterPercentageRough",2007
69,69,"Phil Mickelson",73,14.49,31,214,"BirdieorBetterPercentageRough",2007
71,71,"Vijay Singh",102,14.47,46,318,"BirdieorBetterPercentageRough",2007
72,72,"Rod Pampling",92,14.45,37,256,"BirdieorBetterPercentageRough",2007
73,73,"David Toms",80,14.43,29,201,"BirdieorBetterPercentageRough",2007
74,74,"Jeff Quinney",95,14.4,37,257,"BirdieorBetterPercentageRough",2007
74,74,"Kevin Sutherland",85,14.4,36,250,"BirdieorBetterPercentageRough",2007
76,76,"Jason Gore",86,14.35,33,230,"BirdieorBetterPercentageRough",2007
77,77,"Nathan Green",103,14.33,44,307,"BirdieorBetterPercentageRough",2007
78,78,"Matt Hendrix",63,14.29,26,182,"BirdieorBetterPercentageRough",2007
78,78,"Chris Tidland",59,14.29,22,154,"BirdieorBetterPercentageRough",2007
78,78,"Bo Van Pelt",104,14.29,47,329,"BirdieorBetterPercentageRough",2007
78,78,"Johnson Wagner",97,14.29,43,301,"BirdieorBetterPercentageRough",2007
82,82,"Will Ma Kenzie",100,14.24,49,344,"BirdieorBetterPercentageRough",2007
83,83,"Craig Lile",77,14.23,36,253,"BirdieorBetterPercentageRough",2007
83,83,"Steve Lowery",74,14.23,34,239,"BirdieorBetterPercentageRough",2007
85,85,"DJ Brigman",67,14.21,27,190,"BirdieorBetterPercentageRough",2007
86,86,"Mark Hensby",81,14.16,33,233,"BirdieorBetterPercentageRough",2007
87,87,"Mike Weir",82,14.14,27,191,"BirdieorBetterPercentageRough",2007
88,88,"Pat Perez",84,14.11,34,241,"BirdieorBetterPercentageRough",2007
89,89,"Tim Petrovic",106,14.09,51,362,"BirdieorBetterPercentageRough",2007
90,90,"Ian Poulter",63,14.07,19,135,"BirdieorBetterPercentageRough",2007
91,91,"Jerry Kelly",101,14.04,32,228,"BirdieorBetterPercentageRough",2007
91,91,"Troy Matteson",87,14.04,40,285,"BirdieorBetterPercentageRough",2007
93,93,"Shigeki Maruyama",84,14.02,37,264,"BirdieorBetterPercentageRough",2007
94,94,"Charles Howell III",89,14.01,43,307,"BirdieorBetterPercentageRough",2007
95,95,"Arron Oberholser",69,14,28,200,"BirdieorBetterPercentageRough",2007
96,96,"Mathias Gronberg",95,13.99,47,336,"BirdieorBetterPercentageRough",2007
97,97,"Jay Williamson",50,13.97,19,136,"BirdieorBetterPercentageRough",2007
98,98,"Bryce Molder",56,13.92,27,194,"BirdieorBetterPercentageRough",2007
99,99,"Mathew Goggin",97,13.87,38,274,"BirdieorBetterPercentageRough",2007
99,99,"Bob Heintz",85,13.87,33,238,"BirdieorBetterPercentageRough",2007
101,101,"Joe Durant",88,13.85,27,195,"BirdieorBetterPercentageRough",2007
102,102,"Heath Slocum",101,13.82,34,246,"BirdieorBetterPercentageRough",2007
103,103,"Cliff Kresge",107,13.8,49,355,"BirdieorBetterPercentageRough",2007
104,104,"Hunter Mahan",91,13.78,27,196,"BirdieorBetterPercentageRough",2007
105,105,"Tom Johnson",74,13.76,30,218,"BirdieorBetterPercentageRough",2007
106,106,"Cameron Beckman",96,13.71,34,248,"BirdieorBetterPercentageRough",2007
107,107,"Alex Cejka",80,13.7,30,219,"BirdieorBetterPercentageRough",2007
108,108,"Davis Love III",66,13.68,29,212,"BirdieorBetterPercentageRough",2007
109,109,"Michael Boyd",61,13.61,20,147,"BirdieorBetterPercentageRough",2007
110,110,"David Branshaw",83,13.55,34,251,"BirdieorBetterPercentageRough",2007
111,111,"Jarrod Lyle",77,13.52,33,244,"BirdieorBetterPercentageRough",2007
112,112,"Jim Furyk",84,13.5,22,163,"BirdieorBetterPercentageRough",2007
113,113,"Sean OHair",98,13.48,36,267,"BirdieorBetterPercentageRough",2007
114,114,"Retief Goosen",50,13.43,18,134,"BirdieorBetterPercentageRough",2007
115,115,"Boo Weekley",101,13.41,37,276,"BirdieorBetterPercentageRough",2007
116,116,"Rory Sabbatini",81,13.33,34,255,"BirdieorBetterPercentageRough",2007
117,117,"Steve Flesch",100,13.19,38,288,"BirdieorBetterPercentageRough",2007
118,118,"Camilo Villegas",82,13.16,35,266,"BirdieorBetterPercentageRough",2007
119,119,"Trevor Immelman",74,13.04,21,161,"BirdieorBetterPercentageRough",2007
120,120,"Brett Quigley",79,13.03,34,261,"BirdieorBetterPercentageRough",2007
121,121,"Glen Day",85,13.02,28,215,"BirdieorBetterPercentageRough",2007
122,122,"John Rollins",102,13.01,35,269,"BirdieorBetterPercentageRough",2007
123,123,"John Senden",97,13,36,277,"BirdieorBetterPercentageRough",2007
124,124,"Michael Putnam",96,12.97,38,293,"BirdieorBetterPercentageRough",2007
125,125,"Billy Andrade",88,12.91,39,302,"BirdieorBetterPercentageRough",2007
126,126,"Justin Rose",63,12.9,16,124,"BirdieorBetterPercentageRough",2007
127,127,"Stuart Appleby",74,12.89,25,194,"BirdieorBetterPercentageRough",2007
128,128,"Justin Leonard",95,12.79,28,219,"BirdieorBetterPercentageRough",2007
129,129,"Briny Baird",115,12.74,40,314,"BirdieorBetterPercentageRough",2007
130,130,"Scott Gutschewski",67,12.72,29,228,"BirdieorBetterPercentageRough",2007
131,131,"Brendon de Jonge",76,12.7,31,244,"BirdieorBetterPercentageRough",2007
132,132,"Jason Bohn",57,12.64,23,182,"BirdieorBetterPercentageRough",2007
133,133,"Henrik Stenson",52,12.59,17,135,"BirdieorBetterPercentageRough",2007
134,134,"Steve Elkington",87,12.57,24,191,"BirdieorBetterPercentageRough",2007
135,135,"Charles Warren",101,12.5,34,272,"BirdieorBetterPercentageRough",2007
135,135,"Steve Wheatcroft",73,12.5,25,200,"BirdieorBetterPercentageRough",2007
137,137,"Brandt Snedeker",105,12.46,37,297,"BirdieorBetterPercentageRough",2007
138,138,"Daisuke Maruyama",86,12.45,31,249,"BirdieorBetterPercentageRough",2007
139,139,"Billy Mayfair",98,12.44,26,209,"BirdieorBetterPercentageRough",2007
140,140,"Stephen Ames",81,12.32,25,203,"BirdieorBetterPercentageRough",2007
141,141,"Woody Austin",95,12.29,37,301,"BirdieorBetterPercentageRough",2007
142,142,"Greg Owen",81,12.24,29,237,"BirdieorBetterPercentageRough",2007
143,143,"Nick Watney",87,12.2,31,254,"BirdieorBetterPercentageRough",2007
144,144,"DJ Trahan",99,12.11,35,289,"BirdieorBetterPercentageRough",2007
145,145,"Todd Hamilton",76,12.09,26,215,"BirdieorBetterPercentageRough",2007
146,146,"Rocco Mediate",72,12,24,200,"BirdieorBetterPercentageRough",2007
147,147,"Brian Bateman",55,11.92,18,151,"BirdieorBetterPercentageRough",2007
147,147,"Chris Stroud",66,11.92,23,193,"BirdieorBetterPercentageRough",2007
149,149,"Michael Allen",74,11.82,24,203,"BirdieorBetterPercentageRough",2007
149,149,"Craig Kanada",109,11.82,35,296,"BirdieorBetterPercentageRough",2007
151,151,"Nick OHern",72,11.8,21,178,"BirdieorBetterPercentageRough",2007
152,152,"Jason Schultz",63,11.76,22,187,"BirdieorBetterPercentageRough",2007
153,153,"Kent Jones",97,11.74,29,247,"BirdieorBetterPercentageRough",2007
154,154,"Michael Sim",52,11.66,19,163,"BirdieorBetterPercentageRough",2007
155,155,"Dicky Pride",71,11.65,24,206,"BirdieorBetterPercentageRough",2007
156,156,"Jaco Van Zyl",51,11.64,17,146,"BirdieorBetterPercentageRough",2007
