"RyderCupWorldPoints_RANKTHISWEEK_2010","RyderCupWorldPoints_RANKLASTWEEK_2010","RyderCupWorldPoints_PLAYERNAME_2010","RyderCupWorldPoints__2010","RyderCupWorldPoints_POINTS_2010","stat_name","year"
1,NA,"Lee Westwood",NA,422.01,"RyderCupWorldPoints",2010
2,NA,"Rory McIlroy",NA,316.95,"RyderCupWorldPoints",2010
3,NA,"Martin Kaymer",NA,285.42,"RyderCupWorldPoints",2010
4,NA,"Graeme McDowell",NA,249.35,"RyderCupWorldPoints",2010
5,NA,"Edoardo Molinari",NA,248.41,"RyderCupWorldPoints",2010
6,NA,"Luke Donald",NA,231.16,"RyderCupWorldPoints",2010
7,NA,"Ian Poulter",NA,211.24,"RyderCupWorldPoints",2010
8,NA,"Padraig Harrington",NA,204.97,"RyderCupWorldPoints",2010
9,NA,"Justin Rose",NA,195.74,"RyderCupWorldPoints",2010
10,NA,"Francesco Molinari",NA,181.91,"RyderCupWorldPoints",2010
11,NA,"Miguel Angel Jimenez",NA,171.21,"RyderCupWorldPoints",2010
12,NA,"Paul Casey",NA,164.51,"RyderCupWorldPoints",2010
13,NA,"Peter Hanson",NA,158.87,"RyderCupWorldPoints",2010
14,NA,"Ross Fisher",NA,152.6,"RyderCupWorldPoints",2010
15,NA,"Rhys Davies",NA,141.4,"RyderCupWorldPoints",2010
16,NA,"Robert Karlsson",NA,141.28,"RyderCupWorldPoints",2010
17,NA,"Alvaro Quiros",NA,135.6,"RyderCupWorldPoints",2010
18,NA,"Simon Dyson",NA,121.65,"RyderCupWorldPoints",2010
19,NA,"Ross McGowan",NA,107.49,"RyderCupWorldPoints",2010
20,NA,"Sergio Garcia",NA,104.08,"RyderCupWorldPoints",2010
21,NA,"Henrik Stenson",NA,97.2,"RyderCupWorldPoints",2010
22,NA,"Gregory Bourdy",NA,96.23,"RyderCupWorldPoints",2010
23,NA,"Oliver Wilson",NA,96.16,"RyderCupWorldPoints",2010
24,NA,"Fredrik Andersson Hed",NA,95.66,"RyderCupWorldPoints",2010
25,NA,"Anders Hansen",NA,85.99,"RyderCupWorldPoints",2010
26,NA,"Martin Laird",NA,85.46,"RyderCupWorldPoints",2010
27,NA,"Simon Khan",NA,84.95,"RyderCupWorldPoints",2010
28,NA,"Brian Davis",NA,84.49,"RyderCupWorldPoints",2010
29,NA,"Darren Clarke",NA,83.7,"RyderCupWorldPoints",2010
30,NA,"David Horsey",NA,82.34,"RyderCupWorldPoints",2010
31,NA,"Alexander Noren",NA,79.85,"RyderCupWorldPoints",2010
32,NA,"Bradley Dredge",NA,77.63,"RyderCupWorldPoints",2010
33,NA,"Stephen Gallacher",NA,77.62,"RyderCupWorldPoints",2010
34,NA,"Alejandro Canizares",NA,76.59,"RyderCupWorldPoints",2010
35,NA,"Soren Hansen",NA,75.47,"RyderCupWorldPoints",2010
36,NA,"Raphael Jacquelin",NA,71.42,"RyderCupWorldPoints",2010
37,NA,"Gregory Havret",NA,69.25,"RyderCupWorldPoints",2010
38,NA,"Robert Rock",NA,67.49,"RyderCupWorldPoints",2010
39,NA,"Alex Cejka",NA,66.94,"RyderCupWorldPoints",2010
40,NA,"Danny Willett",NA,65.21,"RyderCupWorldPoints",2010
41,NA,"Richie Ramsay",NA,65.1,"RyderCupWorldPoints",2010
42,NA,"Freddie Jacobson",NA,62.24,"RyderCupWorldPoints",2010
43,NA,"Shane Lowry",NA,60.87,"RyderCupWorldPoints",2010
44,NA,"Peter Lawrie",NA,59.88,"RyderCupWorldPoints",2010
45,NA,"Rafa Cabrera Bello",NA,59.43,"RyderCupWorldPoints",2010
46,NA,"Chris Wood",NA,57.5,"RyderCupWorldPoints",2010
47,NA,"Robert Jan Derksen",NA,57.35,"RyderCupWorldPoints",2010
48,NA,"Jamie Donaldson",NA,55.56,"RyderCupWorldPoints",2010
49,NA,"Gareth Maybin",NA,54.66,"RyderCupWorldPoints",2010
50,NA,"Thomas Bjorn",NA,53.83,"RyderCupWorldPoints",2010
51,NA,"Damian McGrane",NA,52.61,"RyderCupWorldPoints",2010
