"AverageGoingforitShotDistanceinYards_RANKTHISWEEK_2012","AverageGoingforitShotDistanceinYards_RANKLASTWEEK_2012","AverageGoingforitShotDistanceinYards_PLAYERNAME_2012","AverageGoingforitShotDistanceinYards_EVENTS_2012","AverageGoingforitShotDistanceinYards_AVG_2012","AverageGoingforitShotDistanceinYards_DISTANCEININCHES_2012","AverageGoingforitShotDistanceinYards_ATTEMPTS_2012","stat_name","year"
1,1,"Adam Scott",16,237.2,760139,89,"AverageGoingforitShotDistanceinYards",2012
2,2,"Rory McIlroy",16,238,848202,99,"AverageGoingforitShotDistanceinYards",2012
3,3,"Tiger Woods",19,239.3,887188,103,"AverageGoingforitShotDistanceinYards",2012
4,4,"Jason Day",17,242.4,881540,101,"AverageGoingforitShotDistanceinYards",2012
5,5,"Robert Garrigus",26,242.9,1792618,205,"AverageGoingforitShotDistanceinYards",2012
6,6,"Charlie Beljan",22,243.5,815352,93,"AverageGoingforitShotDistanceinYards",2012
7,7,"Charles Howell III",29,245.2,1279786,145,"AverageGoingforitShotDistanceinYards",2012
8,8,"Dustin Johnson",19,245.4,1121892,127,"AverageGoingforitShotDistanceinYards",2012
8,8,"Justin Rose",19,245.4,909920,103,"AverageGoingforitShotDistanceinYards",2012
10,10,"David Toms",19,246,557984,63,"AverageGoingforitShotDistanceinYards",2012
11,11,"Padraig Harrington",18,246.3,789043,89,"AverageGoingforitShotDistanceinYards",2012
12,12,"Ryo Ishikawa",18,246.4,505639,57,"AverageGoingforitShotDistanceinYards",2012
13,13,"Trevor Immelman",24,246.5,860720,97,"AverageGoingforitShotDistanceinYards",2012
14,14,"Jason Dufner",22,248.1,1125566,126,"AverageGoingforitShotDistanceinYards",2012
15,15,"Sangmoon Bae",25,248.3,965393,108,"AverageGoingforitShotDistanceinYards",2012
15,15,"Sergio Garcia",16,248.3,893736,100,"AverageGoingforitShotDistanceinYards",2012
15,15,"Boo Weekley",25,248.3,947590,106,"AverageGoingforitShotDistanceinYards",2012
18,18,"Nick Watney",26,248.5,1395506,156,"AverageGoingforitShotDistanceinYards",2012
19,19,"Steve Stricker",19,248.6,868217,97,"AverageGoingforitShotDistanceinYards",2012
19,19,"Michael Thompson",25,248.6,769783,86,"AverageGoingforitShotDistanceinYards",2012
21,21,"Davis Love III",20,249.1,852015,95,"AverageGoingforitShotDistanceinYards",2012
22,22,"John Mallinger",25,249.2,735608,82,"AverageGoingforitShotDistanceinYards",2012
23,23,"Martin Laird",22,249.5,1293335,144,"AverageGoingforitShotDistanceinYards",2012
24,24,"Jim Furyk",24,249.7,764214,85,"AverageGoingforitShotDistanceinYards",2012
24,24,"Ian Poulter",15,249.7,638224,71,"AverageGoingforitShotDistanceinYards",2012
26,26,"Luke Donald",17,249.8,656379,73,"AverageGoingforitShotDistanceinYards",2012
27,27,"John Merrick",26,250,1178827,131,"AverageGoingforitShotDistanceinYards",2012
28,28,"Graeme McDowell",16,250.1,576188,64,"AverageGoingforitShotDistanceinYards",2012
29,29,"Troy Kelly",23,250.3,820056,91,"AverageGoingforitShotDistanceinYards",2012
30,30,"Josh Teater",30,250.6,1768401,196,"AverageGoingforitShotDistanceinYards",2012
31,31,"Brian Gay",28,250.8,686275,76,"AverageGoingforitShotDistanceinYards",2012
32,32,"Alexandre Rocha",21,250.9,641281,71,"AverageGoingforitShotDistanceinYards",2012
33,33,"Greg Owen",27,251,1337170,148,"AverageGoingforitShotDistanceinYards",2012
33,33,"Brandt Snedeker",22,251,994004,110,"AverageGoingforitShotDistanceinYards",2012
35,35,"JB Holmes",25,251.1,1735721,192,"AverageGoingforitShotDistanceinYards",2012
36,36,"William McGirt",30,251.2,1057957,117,"AverageGoingforitShotDistanceinYards",2012
37,37,"Charl Schwartzel",16,251.4,742052,82,"AverageGoingforitShotDistanceinYards",2012
38,38,"Jason Bohn",28,251.5,860167,95,"AverageGoingforitShotDistanceinYards",2012
