"ConsecutiveSandSaves_RANKTHISWEEK_2012","ConsecutiveSandSaves_RANKLASTWEEK_2012","ConsecutiveSandSaves_PLAYERNAME_2012","ConsecutiveSandSaves_EVENTS_2012","ConsecutiveSandSaves_STREAK_2012","ConsecutiveSandSaves_CURRENTSTREAK_2012","ConsecutiveSandSaves_ROUND_2012","ConsecutiveSandSaves_HOLE_2012","ConsecutiveSandSaves_YEARTOURN_2012","stat_name","year"
1,1,"Jonas Blixt",21,16,6,4,6,2012020,"ConsecutiveSandSaves",2012
2,2,"Martin Flores",30,14,1,3,15,2012200,"ConsecutiveSandSaves",2012
3,3,"Chris DiMarco",29,13,1,4,5,2012230,"ConsecutiveSandSaves",2012
4,4,"Matt Kuchar",22,12,NA,4,8,2012220,"ConsecutiveSandSaves",2012
4,4,"Billy Mayfair",28,12,NA,1,3,2012050,"ConsecutiveSandSaves",2012
4,4,"Justin Rose",19,12,2,1,15,2012320,"ConsecutiveSandSaves",2012
7,7,"Bud Cauley",28,11,1,4,18,2012020,"ConsecutiveSandSaves",2012
7,7,"Sergio Garcia",16,11,9,3,9,2012210,"ConsecutiveSandSaves",2012
7,7,"Robert Karlsson",17,11,NA,1,8,2012200,"ConsecutiveSandSaves",2012
7,7,"Michael Thompson",25,11,NA,3,10,2012030,"ConsecutiveSandSaves",2012
11,11,"Greg Chalmers",25,10,NA,2,15,2012380,"ConsecutiveSandSaves",2012
11,11,"Jason Day",17,10,2,1,9,2012210,"ConsecutiveSandSaves",2012
11,11,"Matt Every",25,10,NA,2,8,2012230,"ConsecutiveSandSaves",2012
11,11,"Paul Goydos",6,10,1,2,13,2012020,"ConsecutiveSandSaves",2012
11,11,"Ryo Ishikawa",18,10,NA,4,16,2012240,"ConsecutiveSandSaves",2012
11,11,"JJ Killeen",33,10,1,2,2,2012230,"ConsecutiveSandSaves",2012
11,11,"Rory McIlroy",16,10,10,4,4,2012390,"ConsecutiveSandSaves",2012
11,11,"Kyle Reifers",27,10,NA,4,2,2012230,"ConsecutiveSandSaves",2012
11,11,"Johnson Wagner",27,10,NA,2,10,2012100,"ConsecutiveSandSaves",2012
20,20,"Aaron Baddeley",22,9,1,3,3,2012240,"ConsecutiveSandSaves",2012
20,20,"Jim Furyk",24,9,NA,3,6,2012280,"ConsecutiveSandSaves",2012
20,20,"Padraig Harrington",18,9,3,3,4,2012220,"ConsecutiveSandSaves",2012
20,20,"Edward Loar",23,9,3,1,2,2012230,"ConsecutiveSandSaves",2012
20,20,"Bill Lunde",25,9,7,1,18,2012370,"ConsecutiveSandSaves",2012
20,20,"Kevin Na",25,9,NA,2,4,2012380,"ConsecutiveSandSaves",2012
20,20,"Brandt Snedeker",22,9,4,2,16,2012170,"ConsecutiveSandSaves",2012
27,27,"Blake Adams",32,8,NA,3,3,2012040,"ConsecutiveSandSaves",2012
27,27,"Jonathan Byrd",21,8,2,3,17,2012290,"ConsecutiveSandSaves",2012
27,27,"Daniel Chopra",21,8,NA,1,7,2012180,"ConsecutiveSandSaves",2012
27,27,"Gavin Coles",23,8,2,2,11,2012440,"ConsecutiveSandSaves",2012
27,27,"Chris Couch",21,8,NA,3,11,2012030,"ConsecutiveSandSaves",2012
27,27,"Jamie Donaldson",4,8,8,1,13,2012350,"ConsecutiveSandSaves",2012
27,27,"Jason Dufner",22,8,2,4,12,2012070,"ConsecutiveSandSaves",2012
27,27,"Scott Dunlap",20,8,NA,1,5,2012430,"ConsecutiveSandSaves",2012
27,27,"Rickie Fowler",23,8,NA,1,4,2012210,"ConsecutiveSandSaves",2012
27,27,"Brian Gay",28,8,1,2,7,2012100,"ConsecutiveSandSaves",2012
27,27,"Nathan Green",22,8,NA,4,9,2012060,"ConsecutiveSandSaves",2012
27,27,"Hunter Haas",24,8,NA,2,1,2012020,"ConsecutiveSandSaves",2012
27,27,"Charles Howell III",29,8,1,2,13,2012120,"ConsecutiveSandSaves",2012
27,27,"Lee Janzen",12,8,NA,4,13,2012250,"ConsecutiveSandSaves",2012
27,27,"Phil Mickelson",22,8,NA,4,18,2012140,"ConsecutiveSandSaves",2012
27,27,"Jesper Parnevik",3,8,3,2,5,2012020,"ConsecutiveSandSaves",2012
27,27,"Carl Pettersson",26,8,1,4,5,2012230,"ConsecutiveSandSaves",2012
27,27,"Ian Poulter",15,8,2,4,16,2012140,"ConsecutiveSandSaves",2012
27,27,"Vaughn Taylor",26,8,NA,3,14,2012430,"ConsecutiveSandSaves",2012
27,27,"Lee Westwood",15,8,1,1,12,2012120,"ConsecutiveSandSaves",2012
47,47,"Sangmoon Bae",25,7,3,4,12,2012100,"ConsecutiveSandSaves",2012
47,47,"Darren Clarke",7,7,NA,3,9,2012120,"ConsecutiveSandSaves",2012
