"PuttsMadePerEventOver20_RANKTHISWEEK_2005","PuttsMadePerEventOver20_RANKLASTWEEK_2005","PuttsMadePerEventOver20_PLAYERNAME_2005","PuttsMadePerEventOver20_ROUNDS_2005","PuttsMadePerEventOver20_PUTTSMADE_2005","stat_name","year"
1,1,"Dan Forsman",52,2.4,"PuttsMadePerEventOver20",2005
2,2,"Arjun Atwal",65,2.1,"PuttsMadePerEventOver20",2005
2,2,"Richard Johnson",50,2.1,"PuttsMadePerEventOver20",2005
4,4,"Chad Campbell",95,2,"PuttsMadePerEventOver20",2005
4,4,"Tim Herron",100,2,"PuttsMadePerEventOver20",2005
4,4,"Phil Mickelson",81,2,"PuttsMadePerEventOver20",2005
7,7,"Stuart Appleby",84,1.9,"PuttsMadePerEventOver20",2005
7,7,"Scott McCarron",78,1.9,"PuttsMadePerEventOver20",2005
7,7,"Brenden Pappas",51,1.9,"PuttsMadePerEventOver20",2005
7,7,"David Toms",87,1.9,"PuttsMadePerEventOver20",2005
11,11,"Stewart Cink",98,1.8,"PuttsMadePerEventOver20",2005
11,11,"Gavin Coles",70,1.8,"PuttsMadePerEventOver20",2005
11,11,"Ben Crane",78,1.8,"PuttsMadePerEventOver20",2005
11,11,"Sean OHair",103,1.8,"PuttsMadePerEventOver20",2005
11,11,"Bob Tway",87,1.8,"PuttsMadePerEventOver20",2005
11,11,"Tiger Woods",76,1.8,"PuttsMadePerEventOver20",2005
17,17,"Jeff Brehaut",71,1.7,"PuttsMadePerEventOver20",2005
17,17,"Bart Bryant",91,1.7,"PuttsMadePerEventOver20",2005
17,17,"Brad Faxon",75,1.7,"PuttsMadePerEventOver20",2005
17,17,"Charles Howell III",95,1.7,"PuttsMadePerEventOver20",2005
17,17,"Bernhard Langer",67,1.7,"PuttsMadePerEventOver20",2005
17,17,"Tom Pernice Jr",111,1.7,"PuttsMadePerEventOver20",2005
17,17,"Patrick Sheehan",114,1.7,"PuttsMadePerEventOver20",2005
24,24,"Tom Byrum",83,1.6,"PuttsMadePerEventOver20",2005
24,24,"KJ Choi",78,1.6,"PuttsMadePerEventOver20",2005
24,24,"Steve Elkington",67,1.6,"PuttsMadePerEventOver20",2005
24,24,"Bob Estes",92,1.6,"PuttsMadePerEventOver20",2005
24,24,"Dudley Hart",84,1.6,"PuttsMadePerEventOver20",2005
24,24,"Freddie Jacobson",72,1.6,"PuttsMadePerEventOver20",2005
24,24,"Zach Johnson",96,1.6,"PuttsMadePerEventOver20",2005
24,24,"Frank Lickliter II",100,1.6,"PuttsMadePerEventOver20",2005
24,24,"Steve Lowery",100,1.6,"PuttsMadePerEventOver20",2005
24,24,"Hunter Mahan",103,1.6,"PuttsMadePerEventOver20",2005
24,24,"Billy Mayfair",114,1.6,"PuttsMadePerEventOver20",2005
24,24,"Arron Oberholser",65,1.6,"PuttsMadePerEventOver20",2005
24,24,"Justin Rose",99,1.6,"PuttsMadePerEventOver20",2005
24,24,"Adam Scott",72,1.6,"PuttsMadePerEventOver20",2005
24,24,"Jeff Sluman",94,1.6,"PuttsMadePerEventOver20",2005
24,24,"Bo Van Pelt",112,1.6,"PuttsMadePerEventOver20",2005
40,40,"Aaron Baddeley",84,1.5,"PuttsMadePerEventOver20",2005
40,40,"Brian Bateman",98,1.5,"PuttsMadePerEventOver20",2005
40,40,"Jonathan Byrd",103,1.5,"PuttsMadePerEventOver20",2005
40,40,"Tim Clark",92,1.5,"PuttsMadePerEventOver20",2005
40,40,"Harrison Frazar",105,1.5,"PuttsMadePerEventOver20",2005
40,40,"Jim Furyk",94,1.5,"PuttsMadePerEventOver20",2005
40,40,"Tom Gillis",77,1.5,"PuttsMadePerEventOver20",2005
40,40,"Matt Gogel",78,1.5,"PuttsMadePerEventOver20",2005
40,40,"Padraig Harrington",50,1.5,"PuttsMadePerEventOver20",2005
40,40,"Kent Jones",99,1.5,"PuttsMadePerEventOver20",2005
40,40,"Tom Lehman",69,1.5,"PuttsMadePerEventOver20",2005
40,40,"JL Lewis",98,1.5,"PuttsMadePerEventOver20",2005
40,40,"Peter Lonard",85,1.5,"PuttsMadePerEventOver20",2005
40,40,"Shaun Micheel",81,1.5,"PuttsMadePerEventOver20",2005
40,40,"Rod Pampling",89,1.5,"PuttsMadePerEventOver20",2005
40,40,"Jesper Parnevik",84,1.5,"PuttsMadePerEventOver20",2005
40,40,"Corey Pavin",77,1.5,"PuttsMadePerEventOver20",2005
40,40,"John Senden",101,1.5,"PuttsMadePerEventOver20",2005
40,40,"Heath Slocum",103,1.5,"PuttsMadePerEventOver20",2005
40,40,"Joey Snyder III",102,1.5,"PuttsMadePerEventOver20",2005
40,40,"Kevin Stadler",96,1.5,"PuttsMadePerEventOver20",2005
61,61,"Chris Anderson",66,1.4,"PuttsMadePerEventOver20",2005
61,61,"Briny Baird",98,1.4,"PuttsMadePerEventOver20",2005
61,61,"Craig Barlow",81,1.4,"PuttsMadePerEventOver20",2005
61,61,"Olin Browne",99,1.4,"PuttsMadePerEventOver20",2005
61,61,"Marco Dawson",82,1.4,"PuttsMadePerEventOver20",2005
61,61,"Mathias Gronberg",60,1.4,"PuttsMadePerEventOver20",2005
61,61,"Todd Hamilton",94,1.4,"PuttsMadePerEventOver20",2005
61,61,"Lee Janzen",75,1.4,"PuttsMadePerEventOver20",2005
61,61,"Davis Love III",80,1.4,"PuttsMadePerEventOver20",2005
61,61,"Mark OMeara",66,1.4,"PuttsMadePerEventOver20",2005
61,61,"Geoff Ogilvy",97,1.4,"PuttsMadePerEventOver20",2005
61,61,"Kenny Perry",82,1.4,"PuttsMadePerEventOver20",2005
61,61,"Rory Sabbatini",81,1.4,"PuttsMadePerEventOver20",2005
61,61,"Chris Smith",93,1.4,"PuttsMadePerEventOver20",2005
61,61,"Vaughn Taylor",99,1.4,"PuttsMadePerEventOver20",2005
61,61,"Mario Tiziani",67,1.4,"PuttsMadePerEventOver20",2005
61,61,"DJ Trahan",81,1.4,"PuttsMadePerEventOver20",2005
61,61,"Mike Weir",71,1.4,"PuttsMadePerEventOver20",2005
61,61,"Lee Westwood",50,1.4,"PuttsMadePerEventOver20",2005
61,61,"Jay Williamson",53,1.4,"PuttsMadePerEventOver20",2005
81,81,"Steve Allan",102,1.3,"PuttsMadePerEventOver20",2005
81,81,"Robert Allenby",95,1.3,"PuttsMadePerEventOver20",2005
81,81,"Stephen Ames",82,1.3,"PuttsMadePerEventOver20",2005
81,81,"Woody Austin",100,1.3,"PuttsMadePerEventOver20",2005
81,81,"Danny Briggs",70,1.3,"PuttsMadePerEventOver20",2005
81,81,"Mark Calcavecchia",92,1.3,"PuttsMadePerEventOver20",2005
81,81,"Glen Day",80,1.3,"PuttsMadePerEventOver20",2005
81,81,"Carlos Franco",78,1.3,"PuttsMadePerEventOver20",2005
81,81,"Fred Funk",102,1.3,"PuttsMadePerEventOver20",2005
81,81,"Brian Gay",101,1.3,"PuttsMadePerEventOver20",2005
81,81,"Lucas Glover",88,1.3,"PuttsMadePerEventOver20",2005
81,81,"Scott Gutschewski",86,1.3,"PuttsMadePerEventOver20",2005
81,81,"Jay Haas",54,1.3,"PuttsMadePerEventOver20",2005
81,81,"Hunter Haas",83,1.3,"PuttsMadePerEventOver20",2005
81,81,"JJ Henry",102,1.3,"PuttsMadePerEventOver20",2005
81,81,"Mark Hensby",70,1.3,"PuttsMadePerEventOver20",2005
81,81,"Brandt Jobe",96,1.3,"PuttsMadePerEventOver20",2005
81,81,"Jerry Kelly",101,1.3,"PuttsMadePerEventOver20",2005
81,81,"Stephen Leaney",89,1.3,"PuttsMadePerEventOver20",2005
81,81,"Thomas Levet",54,1.3,"PuttsMadePerEventOver20",2005
81,81,"Michael Long",72,1.3,"PuttsMadePerEventOver20",2005
81,81,"Shigeki Maruyama",99,1.3,"PuttsMadePerEventOver20",2005
81,81,"Len Mattiace",86,1.3,"PuttsMadePerEventOver20",2005
81,81,"Kevin Na",88,1.3,"PuttsMadePerEventOver20",2005
81,81,"Joe Ogilvie",103,1.3,"PuttsMadePerEventOver20",2005
81,81,"Jose Maria Olazabal",55,1.3,"PuttsMadePerEventOver20",2005
81,81,"Greg Owen",84,1.3,"PuttsMadePerEventOver20",2005
81,81,"Ryan Palmer",101,1.3,"PuttsMadePerEventOver20",2005
81,81,"Phillip Price",77,1.3,"PuttsMadePerEventOver20",2005
81,81,"Brett Quigley",96,1.3,"PuttsMadePerEventOver20",2005
81,81,"Loren Roberts",54,1.3,"PuttsMadePerEventOver20",2005
