"PuttsperRoundRound4_RANKTHISWEEK_2005","PuttsperRoundRound4_RANKLASTWEEK_2005","PuttsperRoundRound4_PLAYERNAME_2005","PuttsperRoundRound4__2005","PuttsperRoundRound4_AVG_2005","PuttsperRoundRound4_TOTALPUTTS_2005","PuttsperRoundRound4_TOTALROUNDS_2005","stat_name","year"
1,1,"Jose Coceres",NA,26.5,159,6,"PuttsperRoundRound4",2005
2,2,"Kevin Na",NA,27,378,14,"PuttsperRoundRound4",2005
3,3,"Bob Heintz",NA,27.33,246,9,"PuttsperRoundRound4",2005
4,4,"Aaron Baddeley",NA,27.43,384,14,"PuttsperRoundRound4",2005
4,4,"Skip Kendall",NA,27.43,192,7,"PuttsperRoundRound4",2005
6,6,"David Toms",NA,27.47,467,17,"PuttsperRoundRound4",2005
7,7,"Rory Sabbatini",NA,27.57,386,14,"PuttsperRoundRound4",2005
8,8,"John Cook",NA,27.6,276,10,"PuttsperRoundRound4",2005
9,9,"Glen Day",NA,27.62,359,13,"PuttsperRoundRound4",2005
10,10,"Justin Bolli",NA,27.63,221,8,"PuttsperRoundRound4",2005
11,11,"Loren Roberts",NA,27.67,249,9,"PuttsperRoundRound4",2005
12,12,"Michael Allen",NA,27.73,416,15,"PuttsperRoundRound4",2005
13,13,"Hank Kuehne",NA,27.75,333,12,"PuttsperRoundRound4",2005
14,14,"Rich Beem",NA,27.8,139,5,"PuttsperRoundRound4",2005
14,14,"Todd Fischer",NA,27.8,417,15,"PuttsperRoundRound4",2005
14,14,"Joe Ogilvie",NA,27.8,556,20,"PuttsperRoundRound4",2005
17,17,"Daniel Chopra",NA,28,532,19,"PuttsperRoundRound4",2005
17,17,"Ben Crane",NA,28,476,17,"PuttsperRoundRound4",2005
17,17,"Brenden Pappas",NA,28,280,10,"PuttsperRoundRound4",2005
20,20,"Lucas Glover",NA,28.07,421,15,"PuttsperRoundRound4",2005
21,21,"Brian Gay",NA,28.11,506,18,"PuttsperRoundRound4",2005
22,22,"Tim Herron",NA,28.14,619,22,"PuttsperRoundRound4",2005
22,22,"Tom Pernice Jr",NA,28.14,591,21,"PuttsperRoundRound4",2005
24,24,"Mark OMeara",NA,28.17,338,12,"PuttsperRoundRound4",2005
25,25,"John Huston",NA,28.21,395,14,"PuttsperRoundRound4",2005
25,25,"Scott Verplank",NA,28.21,536,19,"PuttsperRoundRound4",2005
27,27,"Steve Stricker",NA,28.22,254,9,"PuttsperRoundRound4",2005
