"FedExCupBonusMoney_RANKTHISWEEK_2009","FedExCupBonusMoney_RANKLASTWEEK_2009","FedExCupBonusMoney_PLAYERNAME_2009","FedExCupBonusMoney_EVENTS_2009","FedExCupBonusMoney_MONEY_2009","stat_name","year"
1,1,"Tiger Woods",17,1e+07,"FedExCupBonusMoney",2009
2,2,"Phil Mickelson",18,3e+06,"FedExCupBonusMoney",2009
3,3,"Steve Stricker",22,2e+06,"FedExCupBonusMoney",2009
4,4,"Jim Furyk",22,1500000,"FedExCupBonusMoney",2009
5,5,"Sean OHair",23,1e+06,"FedExCupBonusMoney",2009
6,6,"Zach Johnson",25,8e+05,"FedExCupBonusMoney",2009
7,7,"Padraig Harrington",20,7e+05,"FedExCupBonusMoney",2009
8,8,"Heath Slocum",27,6e+05,"FedExCupBonusMoney",2009
9,9,"Kenny Perry",24,550000,"FedExCupBonusMoney",2009
10,10,"Scott Verplank",24,5e+05,"FedExCupBonusMoney",2009
11,11,"Jason Dufner",26,3e+05,"FedExCupBonusMoney",2009
12,12,"Nick Watney",23,290000,"FedExCupBonusMoney",2009
13,13,"Geoff Ogilvy",20,280000,"FedExCupBonusMoney",2009
14,14,"Dustin Johnson",24,270000,"FedExCupBonusMoney",2009
15,15,"Steve Marino",28,250000,"FedExCupBonusMoney",2009
16,16,"Ernie Els",19,245000,"FedExCupBonusMoney",2009
17,17,"Lucas Glover",26,240000,"FedExCupBonusMoney",2009
18,18,"Retief Goosen",20,235000,"FedExCupBonusMoney",2009
19,19,"David Toms",25,230000,"FedExCupBonusMoney",2009
20,20,"Marc Leishman",26,225000,"FedExCupBonusMoney",2009
21,21,"Brian Gay",25,220000,"FedExCupBonusMoney",2009
22,22,"Jerry Kelly",25,215000,"FedExCupBonusMoney",2009
23,23,"YE Yang",23,210000,"FedExCupBonusMoney",2009
24,24,"John Senden",28,205000,"FedExCupBonusMoney",2009
25,25,"Angel Cabrera",17,2e+05,"FedExCupBonusMoney",2009
26,26,"Kevin Na",26,195000,"FedExCupBonusMoney",2009
27,27,"Hunter Mahan",24,190000,"FedExCupBonusMoney",2009
28,28,"Stewart Cink",22,185000,"FedExCupBonusMoney",2009
29,29,"Mike Weir",23,180000,"FedExCupBonusMoney",2009
30,30,"Luke Donald",21,175000,"FedExCupBonusMoney",2009
31,31,"Ian Poulter",17,165000,"FedExCupBonusMoney",2009
32,32,"Mark Wilson",25,155000,"FedExCupBonusMoney",2009
33,33,"Brandt Snedeker",23,150000,"FedExCupBonusMoney",2009
34,34,"Rory Sabbatini",22,145000,"FedExCupBonusMoney",2009
35,35,"Anthony Kim",21,142000,"FedExCupBonusMoney",2009
36,36,"Tim Clark",21,140000,"FedExCupBonusMoney",2009
37,37,"Charley Hoffman",24,138000,"FedExCupBonusMoney",2009
38,38,"Sergio Garcia",17,137000,"FedExCupBonusMoney",2009
39,39,"Justin Leonard",24,136000,"FedExCupBonusMoney",2009
40,40,"Matt Kuchar",22,135000,"FedExCupBonusMoney",2009
41,41,"Bill Haas",26,134000,"FedExCupBonusMoney",2009
42,42,"Camilo Villegas",21,133000,"FedExCupBonusMoney",2009
43,43,"Robert Allenby",20,132000,"FedExCupBonusMoney",2009
44,44,"Kevin Sutherland",25,131000,"FedExCupBonusMoney",2009
45,45,"John Rollins",24,130000,"FedExCupBonusMoney",2009
46,46,"Pat Perez",21,129000,"FedExCupBonusMoney",2009
47,47,"Ryan Moore",24,128000,"FedExCupBonusMoney",2009
48,48,"Jason Day",18,127000,"FedExCupBonusMoney",2009
49,49,"Charles Howell III",26,126000,"FedExCupBonusMoney",2009
50,50,"Bo Van Pelt",26,125000,"FedExCupBonusMoney",2009
51,51,"Davis Love III",24,120000,"FedExCupBonusMoney",2009
52,52,"Paul Casey",12,115000,"FedExCupBonusMoney",2009
53,53,"Bubba Watson",23,114000,"FedExCupBonusMoney",2009
54,54,"Paul Goydos",22,113000,"FedExCupBonusMoney",2009
55,55,"Stephen Ames",20,110000,"FedExCupBonusMoney",2009
56,56,"Charlie Wi",25,110000,"FedExCupBonusMoney",2009
57,57,"Freddie Jacobson",21,110000,"FedExCupBonusMoney",2009
58,58,"Brian Davis",28,110000,"FedExCupBonusMoney",2009
59,59,"Chad Campbell",24,110000,"FedExCupBonusMoney",2009
60,60,"John Mallinger",24,110000,"FedExCupBonusMoney",2009
61,61,"Ben Crane",23,110000,"FedExCupBonusMoney",2009
62,62,"Webb Simpson",26,110000,"FedExCupBonusMoney",2009
63,63,"Nathan Green",27,110000,"FedExCupBonusMoney",2009
64,64,"Bryce Molder",19,110000,"FedExCupBonusMoney",2009
65,65,"Woody Austin",22,110000,"FedExCupBonusMoney",2009
66,66,"Jonathan Byrd",21,110000,"FedExCupBonusMoney",2009
67,67,"Jeff Overton",24,110000,"FedExCupBonusMoney",2009
68,68,"Jason Bohn",22,110000,"FedExCupBonusMoney",2009
69,69,"JB Holmes",23,110000,"FedExCupBonusMoney",2009
70,70,"Bob Estes",23,110000,"FedExCupBonusMoney",2009
71,71,"Brett Quigley",25,80000,"FedExCupBonusMoney",2009
72,72,"DA Points",25,80000,"FedExCupBonusMoney",2009
73,73,"Boo Weekley",22,80000,"FedExCupBonusMoney",2009
74,74,"Mathew Goggin",23,80000,"FedExCupBonusMoney",2009
75,75,"John Merrick",24,80000,"FedExCupBonusMoney",2009
76,76,"Kevin Streelman",25,80000,"FedExCupBonusMoney",2009
77,77,"Greg Owen",26,80000,"FedExCupBonusMoney",2009
78,78,"Troy Matteson",27,80000,"FedExCupBonusMoney",2009
79,79,"Lee Janzen",22,80000,"FedExCupBonusMoney",2009
80,80,"Briny Baird",25,80000,"FedExCupBonusMoney",2009
81,81,"Vijay Singh",21,75000,"FedExCupBonusMoney",2009
82,82,"Scott McCarron",25,75000,"FedExCupBonusMoney",2009
83,83,"JJ Henry",26,75000,"FedExCupBonusMoney",2009
84,84,"Fred Couples",15,75000,"FedExCupBonusMoney",2009
85,85,"Justin Rose",20,75000,"FedExCupBonusMoney",2009
86,86,"Michael Letzig",24,75000,"FedExCupBonusMoney",2009
87,87,"Greg Chalmers",23,75000,"FedExCupBonusMoney",2009
88,88,"Scott Piercy",25,75000,"FedExCupBonusMoney",2009
89,89,"Tim Petrovic",27,75000,"FedExCupBonusMoney",2009
90,90,"Jeff Klauk",25,75000,"FedExCupBonusMoney",2009
91,91,"Richard Johnson",22,75000,"FedExCupBonusMoney",2009
92,92,"Rod Pampling",22,75000,"FedExCupBonusMoney",2009
93,93,"Ted Purdy",26,75000,"FedExCupBonusMoney",2009
94,94,"James Nitties",25,75000,"FedExCupBonusMoney",2009
95,95,"Kevin Stadler",19,75000,"FedExCupBonusMoney",2009
96,96,"DJ Trahan",26,75000,"FedExCupBonusMoney",2009
97,97,"Daniel Chopra",25,75000,"FedExCupBonusMoney",2009
98,98,"Cameron Beckman",22,75000,"FedExCupBonusMoney",2009
99,99,"Nick OHern",23,75000,"FedExCupBonusMoney",2009
100,100,"Ryuji Imada",23,75000,"FedExCupBonusMoney",2009
101,101,"KJ Choi",21,70000,"FedExCupBonusMoney",2009
102,102,"Ben Curtis",17,70000,"FedExCupBonusMoney",2009
103,103,"Chris Riley",18,70000,"FedExCupBonusMoney",2009
104,104,"Harrison Frazar",24,70000,"FedExCupBonusMoney",2009
105,105,"George McNeill",22,70000,"FedExCupBonusMoney",2009
106,106,"Matt Bettencourt",27,70000,"FedExCupBonusMoney",2009
107,107,"Bill Lunde",24,70000,"FedExCupBonusMoney",2009
108,108,"Michael Allen",19,70000,"FedExCupBonusMoney",2009
109,109,"Robert Garrigus",21,70000,"FedExCupBonusMoney",2009
110,110,"Adam Scott",18,70000,"FedExCupBonusMoney",2009
111,111,"Aaron Baddeley",20,70000,"FedExCupBonusMoney",2009
112,112,"James Driscoll",17,70000,"FedExCupBonusMoney",2009
113,113,"Jeff Quinney",22,70000,"FedExCupBonusMoney",2009
114,114,"Tim Herron",23,70000,"FedExCupBonusMoney",2009
115,115,"Vaughn Taylor",25,70000,"FedExCupBonusMoney",2009
116,116,"Alex Cejka",22,70000,"FedExCupBonusMoney",2009
117,117,"Mark Calcavecchia",19,70000,"FedExCupBonusMoney",2009
118,118,"Chris DiMarco",25,70000,"FedExCupBonusMoney",2009
119,119,"Steve Flesch",23,70000,"FedExCupBonusMoney",2009
120,120,"Chris Stroud",25,70000,"FedExCupBonusMoney",2009
121,121,"Joe Ogilvie",25,70000,"FedExCupBonusMoney",2009
122,122,"David Mathis",23,70000,"FedExCupBonusMoney",2009
123,123,"Todd Hamilton",25,70000,"FedExCupBonusMoney",2009
124,124,"Roland Thatcher",12,70000,"FedExCupBonusMoney",2009
125,125,"Jeff Maggert",24,70000,"FedExCupBonusMoney",2009
126,126,"Matt Jones",14,32000,"FedExCupBonusMoney",2009
127,127,"Ken Duke",25,32000,"FedExCupBonusMoney",2009
128,128,"Rich Beem",22,32000,"FedExCupBonusMoney",2009
129,129,"Corey Pavin",21,32000,"FedExCupBonusMoney",2009
130,130,"Tom Watson",2,32000,"FedExCupBonusMoney",2009
131,131,"Charles Warren",18,32000,"FedExCupBonusMoney",2009
132,132,"Andres Romero",17,32000,"FedExCupBonusMoney",2009
133,133,"Rocco Mediate",18,32000,"FedExCupBonusMoney",2009
134,134,"Ryan Palmer",23,32000,"FedExCupBonusMoney",2009
135,135,"Cliff Kresge",24,32000,"FedExCupBonusMoney",2009
136,136,"Aron Price",23,32000,"FedExCupBonusMoney",2009
137,137,"Brendon de Jonge",25,32000,"FedExCupBonusMoney",2009
138,138,"Nicholas Thompson",27,32000,"FedExCupBonusMoney",2009
139,139,"Michael Bradley",14,32000,"FedExCupBonusMoney",2009
140,140,"Tommy Armour III",15,32000,"FedExCupBonusMoney",2009
141,141,"Stuart Appleby",22,32000,"FedExCupBonusMoney",2009
142,142,"Ricky Barnes",19,32000,"FedExCupBonusMoney",2009
143,143,"Spencer Levin",21,32000,"FedExCupBonusMoney",2009
144,144,"Will Ma Kenzie",20,32000,"FedExCupBonusMoney",2009
145,145,"Dean Wilson",25,32000,"FedExCupBonusMoney",2009
146,146,"Martin Laird",21,32000,"FedExCupBonusMoney",2009
147,147,"Tom Lehman",14,32000,"FedExCupBonusMoney",2009
148,148,"Jimmy Walker",20,32000,"FedExCupBonusMoney",2009
149,149,"David Duval",18,32000,"FedExCupBonusMoney",2009
150,150,"Glen Day",22,32000,"FedExCupBonusMoney",2009
