"LongestHoleOutsinyards_RANKTHISWEEK_2007","LongestHoleOutsinyards_RANKLASTWEEK_2007","LongestHoleOutsinyards_PLAYERNAME_2007","LongestHoleOutsinyards_ROUNDS_2007","LongestHoleOutsinyards_DISTANCE_2007","LongestHoleOutsinyards_TOURNAMENT_2007","LongestHoleOutsinyards_ROUNDCOURSE_2007","LongestHoleOutsinyards_HOLE_2007","stat_name","year"
1,1,"Stewart Cink",91,241,NA,4,6,"LongestHoleOutsinyards",2007
2,2,"Peter Lonard",85,229,NA,3,2,"LongestHoleOutsinyards",2007
3,3,"Ryan Moore",92,228,NA,1,17,"LongestHoleOutsinyards",2007
3,4,"Jeff Overton",60,228,NA,1,13,"LongestHoleOutsinyards",2007
5,5,"Hunter Mahan",91,227,NA,2,11,"LongestHoleOutsinyards",2007
5,6,"Michael Putnam",96,227,NA,1,17,"LongestHoleOutsinyards",2007
7,7,"Nathan Green",103,224,NA,2,2,"LongestHoleOutsinyards",2007
8,8,"Dean Wilson",92,221,NA,1,2,"LongestHoleOutsinyards",2007
9,9,"Eric Axley",107,218,NA,1,17,"LongestHoleOutsinyards",2007
10,10,"Alex Cejka",80,211,NA,3,12,"LongestHoleOutsinyards",2007
11,11,"Jim Furyk",84,210,NA,4,4,"LongestHoleOutsinyards",2007
12,12,"Jose Coceres",50,209,NA,1,7,"LongestHoleOutsinyards",2007
13,13,"Parker McLachlin",83,206,NA,1,3,"LongestHoleOutsinyards",2007
14,14,"Justin Leonard",95,204,NA,2,17,"LongestHoleOutsinyards",2007
15,15,"Ken Duke",112,203,NA,4,14,"LongestHoleOutsinyards",2007
16,16,"Billy Mayfair",98,202,NA,3,8,"LongestHoleOutsinyards",2007
16,17,"Craig Perks",28,202,NA,1,8,"LongestHoleOutsinyards",2007
18,18,"Jerry Kelly",101,198,NA,3,4,"LongestHoleOutsinyards",2007
19,19,"KJ Choi",87,197,NA,1,3,"LongestHoleOutsinyards",2007
20,20,"Kevin Stadler",95,196,NA,3,13,"LongestHoleOutsinyards",2007
21,21,"Daniel Chopra",106,193,NA,4,17,"LongestHoleOutsinyards",2007
23,23,"Brett Quigley",79,191,NA,3,13,"LongestHoleOutsinyards",2007
23,24,"Bubba Dickerson",51,191,NA,2,8,"LongestHoleOutsinyards",2007
26,26,"Matt Kuchar",85,190,NA,4,3,"LongestHoleOutsinyards",2007
26,27,"Rod Pampling",92,190,NA,4,16,"LongestHoleOutsinyards",2007
28,28,"Joey Sindelar",75,189,NA,1,16,"LongestHoleOutsinyards",2007
30,31,"Shaun Micheel",91,185,NA,3,16,"LongestHoleOutsinyards",2007
33,33,"Cliff Kresge",107,184,NA,1,6,"LongestHoleOutsinyards",2007
34,34,"Heath Slocum",101,179,NA,4,4,"LongestHoleOutsinyards",2007
34,35,"Andrew Buckle",77,179,NA,1,8,"LongestHoleOutsinyards",2007
36,36,"Jeff Quinney",95,178,NA,5,17,"LongestHoleOutsinyards",2007
37,37,"Rich Beem",89,177,NA,3,14,"LongestHoleOutsinyards",2007
38,38,"Chris Couch",76,176,NA,4,7,"LongestHoleOutsinyards",2007
38,39,"Ryuji Imada",104,176,NA,1,2,"LongestHoleOutsinyards",2007
40,40,"Bo Van Pelt",104,173,NA,4,16,"LongestHoleOutsinyards",2007
41,41,"Brad Faxon",46,172,NA,1,1,"LongestHoleOutsinyards",2007
42,42,"Paul Gow",70,171,NA,2,1,"LongestHoleOutsinyards",2007
43,43,"Craig Kanada",109,170,NA,2,1,"LongestHoleOutsinyards",2007
44,44,"Ryan Palmer",91,169,NA,2,17,"LongestHoleOutsinyards",2007
45,45,"Tom Pernice Jr",104,168,NA,4,1,"LongestHoleOutsinyards",2007
45,46,"Boo Weekley",101,168,NA,2,12,"LongestHoleOutsinyards",2007
47,47,"Retief Goosen",50,165,NA,2,16,"LongestHoleOutsinyards",2007
48,48,"Brian Gay",107,164,NA,1,8,"LongestHoleOutsinyards",2007
49,49,"Tom Lehman",62,163,NA,2,15,"LongestHoleOutsinyards",2007
49,50,"Bernhard Langer",47,163,NA,3,15,"LongestHoleOutsinyards",2007
51,52,"Vijay Singh",102,162,NA,3,12,"LongestHoleOutsinyards",2007
53,53,"Mike Weir",82,161,NA,2,3,"LongestHoleOutsinyards",2007
54,54,"Prom Meesawat",4,160,NA,2,11,"LongestHoleOutsinyards",2007
55,55,"Gavin Coles",87,158,NA,4,17,"LongestHoleOutsinyards",2007
58,60,"Colin Montgomerie",26,155,NA,1,17,"LongestHoleOutsinyards",2007
61,61,"Nick Flanagan",12,154,NA,1,10,"LongestHoleOutsinyards",2007
63,63,"Zach Johnson",76,152,NA,2,8,"LongestHoleOutsinyards",2007
64,64,"Brian Davis",101,151,NA,4,15,"LongestHoleOutsinyards",2007
65,65,"Lucas Glover",98,148,NA,2,1,"LongestHoleOutsinyards",2007
66,66,"Arron Oberholser",69,146,NA,3,3,"LongestHoleOutsinyards",2007
67,67,"Scott Verplank",82,141,NA,1,7,"LongestHoleOutsinyards",2007
67,68,"Jim St Pierre",2,141,NA,1,12,"LongestHoleOutsinyards",2007
69,70,"Dicky Pride",71,140,NA,3,11,"LongestHoleOutsinyards",2007
71,71,"Justin Rose",63,139,NA,3,14,"LongestHoleOutsinyards",2007
72,72,"Darron Stiles",65,138,NA,4,11,"LongestHoleOutsinyards",2007
72,73,"Fred Funk",65,138,NA,1,12,"LongestHoleOutsinyards",2007
74,74,"Chris DiMarco",79,137,NA,1,10,"LongestHoleOutsinyards",2007
74,75,"Brandt Snedeker",105,137,NA,1,12,"LongestHoleOutsinyards",2007
77,77,"Mark Wilson",87,134,NA,4,4,"LongestHoleOutsinyards",2007
77,78,"Bob Estes",88,134,NA,2,11,"LongestHoleOutsinyards",2007
77,79,"JJ Henry",86,134,NA,2,11,"LongestHoleOutsinyards",2007
80,80,"Bill Haas",93,132,NA,3,3,"LongestHoleOutsinyards",2007
80,81,"Nick Watney",87,132,NA,4,5,"LongestHoleOutsinyards",2007
82,82,"Kenny Perry",83,131,NA,4,6,"LongestHoleOutsinyards",2007
82,83,"Lee Janzen",66,131,NA,4,10,"LongestHoleOutsinyards",2007
84,84,"Briny Baird",115,129,NA,1,10,"LongestHoleOutsinyards",2007
86,87,"Jeff Brehaut",59,126,NA,2,10,"LongestHoleOutsinyards",2007
86,88,"Daisuke Maruyama",86,126,NA,4,5,"LongestHoleOutsinyards",2007
89,90,"Kent Jones",97,125,NA,2,2,"LongestHoleOutsinyards",2007
89,92,"Joel Edwards",8,125,NA,1,13,"LongestHoleOutsinyards",2007
93,94,"Steve Stricker",81,123,NA,4,1,"LongestHoleOutsinyards",2007
96,96,"John Huston",46,119,NA,2,18,"LongestHoleOutsinyards",2007
96,98,"John Senden",97,119,NA,1,18,"LongestHoleOutsinyards",2007
96,100,"Joe Ogilvie",102,119,NA,4,16,"LongestHoleOutsinyards",2007
101,102,"Shigeki Maruyama",84,118,NA,3,1,"LongestHoleOutsinyards",2007
104,104,"Mathew Goggin",97,115,NA,4,9,"LongestHoleOutsinyards",2007
104,105,"Frank Lickliter II",95,115,NA,1,4,"LongestHoleOutsinyards",2007
104,106,"Olin Browne",44,115,NA,2,12,"LongestHoleOutsinyards",2007
