"BallStriking_RANKTHISWEEK_2012","BallStriking_RANKLASTWEEK_2012","BallStriking_PLAYERNAME_2012","BallStriking_ROUNDS_2012","BallStriking_VALUE_2012","BallStriking_TOTALDRVRANK_2012","BallStriking_GIRRANK_2012","stat_name","year"
1,1,"Boo Weekley",74,6,1,5,"BallStriking",2012
2,2,"Jason Dufner",83,12,4,8,"BallStriking",2012
3,3,"Hunter Mahan",88,14,2,12,"BallStriking",2012
4,4,"Justin Rose",69,16,15,1,"BallStriking",2012
4,4,"Lee Westwood",60,16,13,3,"BallStriking",2012
6,6,"Louis Oosthuizen",65,22,7,15,"BallStriking",2012
7,7,"John Merrick",83,23,13,10,"BallStriking",2012
8,8,"John Senden",81,27,11,16,"BallStriking",2012
9,9,"Will Claxton",99,30,19,11,"BallStriking",2012
10,10,"Billy Horschel",63,31,17,14,"BallStriking",2012
11,11,"Bubba Watson",68,33,31,2,"BallStriking",2012
12,12,"Tiger Woods",69,35,6,29,"BallStriking",2012
13,13,"Roberto Castro",92,36,18,18,"BallStriking",2012
13,13,"Kevin Stadler",85,36,10,26,"BallStriking",2012
15,15,"Bo Van Pelt",84,43,3,40,"BallStriking",2012
16,16,"Russell Knox",72,50,44,6,"BallStriking",2012
17,17,"Josh Teater",97,54,23,31,"BallStriking",2012
18,18,"Richard Lee",71,56,36,20,"BallStriking",2012
19,19,"Robert Garrigus",89,59,52,7,"BallStriking",2012
20,20,"Sean OHair",84,62,41,21,"BallStriking",2012
21,21,"Keegan Bradley",90,63,11,52,"BallStriking",2012
21,21,"Greg Owen",90,63,46,17,"BallStriking",2012
23,23,"Camilo Villegas",79,64,60,4,"BallStriking",2012
24,24,"Harris English",98,65,38,27,"BallStriking",2012
25,25,"Brendon de Jonge",115,67,59,8,"BallStriking",2012
26,26,"Kyle Stanley",86,68,27,41,"BallStriking",2012
27,27,"Graham DeLaet",79,69,23,46,"BallStriking",2012
28,28,"Seung Yul Noh",105,72,39,33,"BallStriking",2012
29,29,"Cameron Tringale",88,77,29,48,"BallStriking",2012
30,30,"Adam Scott",59,78,28,50,"BallStriking",2012
31,31,"Charley Hoffman",88,80,19,61,"BallStriking",2012
